GenSymb	LAU125_TPM	LAU355_TPM	LAU1255_TPM	LAU1314_TPM
HCCS	15.47	17.42	10.11	18.78
DVL2	11.75	8.93	8.08	9.27
PRSS22	0	0	0	0.02
UPF1	13.66	13.61	6.72	17.61
SKAP2	56.31	71.99	15.71	122.09
SLC25A5	532.83	236.52	228.36	241.43
MCUB	3.53	48.87	22.66	57.98
HOXA11	0.84	0	0.29	0.03
POLR2J	26.83	20.96	21.95	28.42
DHX33	17.88	4.62	4.97	5.42
MEOX1	0.04	1.32	0.36	3.18
THSD7A	0.7	0.01	0.03	0.01
LIG3	18.48	6.95	9	10.86
RPAP3	25.35	28.94	16.71	44.04
ACSM3	0.58	2.38	1.54	1.65
LOC81691	2.64	1.05	1.21	1.98
CIAPIN1	46.34	19.82	19.25	20.25
SPPL2B	3.46	4.34	2.22	5.73
FAM214B	4.55	4.08	5.87	3.44
COPZ2	32.71	0.47	3.9	0.69
PRKAR2B	3.29	4.09	7.38	6.81
MSL3	13.63	51.58	15.7	55.7
CREBBP	9.29	21.02	9.54	20.28
TSPOAP1	0.57	0.82	0.56	1.09
MPO	0.02	0.12	0.01	0.02
PON1	0	0	0.04	0.01
GCFC2	21.68	13.24	9.88	15.59
WDR54	18.75	10.55	13.92	11.62
CROT	11.47	4.91	4.37	4.84
ABCB4	0.61	24	5.4	32.19
KMT2E	82.06	62.09	34.49	67.74
RHBDD2	23.02	27.8	30.72	22.15
SOX8	4.63	0.2	0.11	0.16
IBTK	37.44	30.52	16.26	31.18
ZNF195	9.38	16.67	7.57	15.93
MYCBP2	19.1	89.88	21.78	94.47
FBXL3	18.32	30.13	11.59	37.99
ITGAL	2.28	108.96	46.55	109.05
PDK2	26.61	19.43	15.89	20.1
ITGA3	39.31	2.64	67.44	6.71
ZFX	13.4	22.83	7.42	13.4
LAMP2	198.31	41.57	187.93	41.54
ITGA2B	0.04	0	0.04	0
ASB4	1.2	0.06	0.62	0.28
GDE1	39.64	16.5	21.64	19.97
C19orf60	2.4	3.25	3.8	4.47
CRLF1	0	0.02	0.01	0.01
OSBPL7	1.55	4.22	2.95	3.43
TMEM98	29.97	0.13	29.18	1.29
YBX2	0.12	0.01	0.03	0.06
KRT33A	0	0	0	0
MAP3K14	2.47	18.04	4.88	17.02
ABCC8	0	0	0.04	0
CACNG3	0.01	0.08	0	0
TMEM132A	0.97	0.38	0.28	0.4
AP2B1	69.49	43.22	50.81	47.26
TAC1	0	0.02	0	0
ZNF263	14.26	16.47	9.41	15.61
CX3CL1	2.59	0.02	2.85	0.09
SPATA20	35.14	9.28	31.78	10.97
CACNA1G	0.02	0	0.01	0.02
TNFRSF12A	4.54	0.13	13.12	1.68
DLX6	0	0	0	0
MAP3K9	1.09	3.35	1.07	2.54
RALA	90.58	40.69	54.01	43.2
BAIAP2L1	8.73	1.7	16.1	3.51
KDM7A	9.74	38.09	8.38	38.29
ETV1	240.16	1.72	27.54	3.94
AGK	55.47	18.75	20.96	20.61
ALDH3B1	2.54	1.63	9.65	1.41
TTC22	0.04	1.36	0.27	1.42
PHTF2	26.5	31.5	16.39	36.31
CCL26	0	0.09	0	0.05
FARP2	78.5	14.31	20.56	13.7
USH1C	0	0	0.05	0
GGCT	90.72	19.1	27.18	22.97
DBF4	19.55	17.88	11.73	24.11
TBXA2R	1.54	1.99	1.13	2.12
IFRD1	64.72	43.2	47.26	17.73
LGALS14	0.08	0.17	0	0.29
COX10	12.75	11.81	5.49	12.05
GTF2IRD1	14.59	0.69	6.48	1.14
PAF1	49.87	35.09	44.26	46.75
VPS41	143.59	37.72	43.66	42.18
ARHGAP44	0.09	0.77	0.03	1.26
ELAC2	24.82	20.39	13.38	25.18
SCIN	9.13	0.26	11.13	0.08
ARSD	15.36	2.92	6.59	3.34
PNPLA4	29.87	14.99	12.23	8.37
MYH13	0	0	0	0
ADIPOR2	57.34	13.91	32.7	17.05
CDKL3	5.61	2.05	1.02	1.6
UPP2	0.02	0.03	0	0
PRSS21	0.04	0.19	3.3	0.43
MARK4	7.93	6.06	7.41	6.66
PROM1	0.66	0.15	2.04	0.16
CCDC124	9.64	5.74	8.69	6.33
CEACAM21	0.34	31.12	7.88	21.82
PAFAH1B1	67.33	42.87	25.46	53.43
NOS2	0.15	0.13	0.02	0.06
DNAH9	0.33	0.03	0.05	0.6
KIAA0100	36.57	35.46	15.89	32.74
SLC13A2	0	0	0	0.01
GAS7	273.42	2.05	11.39	3.55
TRAPPC6A	5.49	10.92	5.71	9.48
MATK	0.16	2.73	1.44	5.45
CEACAM7	0	0.02	0	0
CD79B	14.65	315.26	12.52	393.1
SCN4A	0.02	0.34	0.02	0.34
ST7L	26.91	9.67	11.15	9.3
TKTL1	0.89	1.46	1.46	1.52
PAX6	0.74	0.45	0.12	0.63
RPUSD1	0.7	1.58	1.23	2.18
RHBDF1	10.99	0.12	6.78	0.69
LUC7L	15.4	14.2	13.71	15.21
CACNA2D2	0.18	0.45	0.72	0.44
BAIAP3	0.19	0.42	0.15	0.15
TSR3	7.06	5.95	7.34	7.49
PIGQ	2.09	3.32	4.88	2.86
CRAMP1	5.56	7.65	3.6	5.2
TEAD3	1.51	0.03	1.45	0.16
SELE	0.06	0.1	0.01	0.05
DNAJC11	58.19	20.62	21.67	20.56
FMO3	0.11	0.06	0	0.1
MYLIP	38.58	43.34	44.84	24.16
NOX1	0.3	0.43	0.02	0.01
E2F2	2.26	2.85	2.34	7.14
PSMB1	156.41	136.12	103.05	146.45
SYN1	0.12	0.17	0.19	0.12
JARID2	11.98	10.75	10.54	11.21
CDKL5	5.52	1.39	1.27	1.62
CAMK1G	0.7	0.15	0.5	0.01
CDK11A	120.51	57.01	45.15	59.24
NADK	26.23	28.4	14.84	30.94
TFAP2B	0	0	0	0
TFAP2D	0	0	0	0
DLEC1	0.1	0.64	0.24	0.49
CYTH3	164.53	2.32	28.69	5.42
ADAM22	4.61	0.91	0.89	0.68
SYPL1	176.01	121.34	54.73	180.25
CYB561	2.1	2.31	3.58	2.18
SPAG9	132.92	20.61	45.01	23.43
MIR4793	0.42	1.38	0.71	0.59
AASS	23.91	2.45	6.13	3
PLEKHG6	0.04	0.08	0	0.02
SS18L2	11.8	19.07	19.12	26.92
MPND	2.29	4.04	3.98	5.04
MGST1	2.85	0.96	1.12	0.78
CRY1	3.92	4.3	4.07	4.15
PGLYRP1	0	0.03	0	0
NFIX	4.11	0.37	5.14	0.36
ST3GAL1	88.46	61.27	25.9	45.06
MMP25	0	0.64	0.41	0.42
IL32	3.46	224.89	142.64	158.05
MIR6511B1	6.39	9.07	3.95	6.61
MAPK8IP2	1.4	0.07	4.3	0.01
MIR6884	10.85	15.65	11.81	18.63
RHOBTB2	18.2	28.6	7.93	39.21
HEATR5B	14.32	18.41	7.27	21.99
SEC62	146.54	113.63	77.86	125.64
RPS20	2629	4263.16	2056.49	4047.84
CSDE1	736.24	426.31	306.16	451.49
UBE3C	55.05	39.57	21.93	39.44
REV3L	81.48	24.84	11.13	21.99
TENM1	0.25	0.35	0.19	0.14
PAX7	0.02	0	0	0
MASP2	0.87	0.73	0.15	0.63
IYD	0.04	0.2	0.03	0.1
FAM76A	6.45	6.68	5.78	7.82
TRAF3IP3	3.79	139.24	28.31	134.89
POMT2	3.65	1.09	4.75	0.97
VTA1	56.98	33.23	17.86	40.37
MLXIPL	0.1	0.71	0.37	0.65
BAZ1B	48.84	28.59	23.22	37.3
RANBP9	32.62	30.99	25.1	31.19
ETV7	0.38	0.78	4.04	1.18
SPRTN	9.52	10.35	5.85	9.07
METTL13	24.81	19.16	17.51	25.7
DYRK4	9.24	8.93	6.28	7.64
MIR632	113.66	88.35	64.17	98.51
UQCRC1	142.19	70.07	130.77	75.97
STARD3NL	76.67	22.44	25.56	23.21
CD9	188.07	9.59	107.14	9.43
HHATL	189	0.05	439.2	1.76
NCAPD2	36.11	23.5	13.13	37.09
IFFO1	9.95	6.7	7.36	6.61
GIPR	0	0.12	0.21	0.32
PHF7	4.59	5.89	5.08	4.03
SEMA3G	0.08	0	0.09	0.11
NISCH	35.96	28.52	32.64	31.03
STAB1	0.56	5.48	7.88	0.72
FUZ	6.7	4.97	9.06	3.23
SLC6A13	0	0.1	0.06	0
IDS	30.44	104.12	63.78	105.62
PRSS3	0	0	0	0
ZNF200	5.19	6.28	2.59	7.4
CD4	4.52	110.27	38.05	74.95
LRRC23	20.59	5.5	9.5	4.23
BTK	3.39	125.16	18.47	144.42
HFE	13.98	4.88	6.94	5.43
SCMH1	24.09	11.86	11.33	11.61
FYN	110.14	152.09	109.58	142.94
HIVEP2	3.9	31.51	7.1	23.22
FMO1	0.07	0.39	0.04	0.31
TCEB3	74.7	17.15	21.74	21.66
LYPLA2	46.27	28.05	24.47	33.73
CLCN6	24.71	10.58	5.39	7.6
MRC2	0.09	0.52	0.88	0.57
NME1-NME2	267.03	191.79	294.89	192.04
SLC6A7	0	0	0.09	0
TSPAN9	29.68	0.06	5.46	0.64
BTBD7	10.39	11.98	6.13	11.1
APBA3	0.87	2.91	1.41	3.28
MKS1	6.78	3.26	3.29	2.82
ABHD5	12.7	4.43	12.24	5.59
ANOS1	11.86	0.16	3.9	0.17
AKAP8L	35.52	34.52	25.81	27.49
MBTD1	9.42	13.15	4.16	11.32
UTP18	39.75	32.99	29.26	38.08
RNF216	22.98	19.55	12.13	19.75
TTC19	30.43	16.68	14.3	13.42
MIR4745	34.13	43.11	33.01	53.21
DPF1	2.03	0.07	1.04	0.26
SYT7	0.98	0.02	0.06	0.02
LARS2	20.12	11.34	13.96	13.52
PIK3C2A	27.05	9.09	7.37	8.51
PLAUR	8.48	9.92	50.9	6.37
ANLN	91.46	4.5	19.45	8.82
WIZ	3.62	2.33	3.33	2.59
RABGAP1	21.75	24.23	11	25.62
DCN	3.21	0.1	0.45	0.07
QPCTL	3.46	3.52	4.96	2.27
PPP5C	63.09	23.49	35.82	30.96
CEP68	8.77	10.16	5.86	8.34
MAP4K3	27.66	3.88	14.27	4.92
ZBTB32	0.18	3.56	1.39	1.61
TYROBP	9.83	71.46	140.34	35.48
TMEM159	6.8	5.13	5.41	7.05
GABRA3	0.65	0	2.59	0.01
BRCA1	19.05	4.89	10.67	11.57
ERCC1	36.17	29.59	25.85	33.84
MIR5196	2.19	265.37	16.35	261.94
MIR6872	9.92	0.17	24.93	0.15
MBTPS2	23.01	4.89	7.33	5.12
PRICKLE3	1.92	3.48	2.21	3.22
LTF	0	0.2	1.7	0.25
EXTL3	23.82	7.72	4.21	6.49
NR1H4	0	0	0.06	0
ELOVL5	87.51	92.18	61.89	113.69
ALOX5	1.33	55.86	13.1	51.38
KDM5D	15.43	0	8.82	26.22
CALCOCO1	10.77	16.35	14.39	15.68
UBR7	32.07	17.64	13.86	21.11
MAP4K5	15.83	15.27	10.42	13.22
EHD3	3.79	9.99	3.96	9.89
PSMC4	47.44	38.92	45.66	42.32
MAN2B2	3.91	15.26	7.55	12.96
SLC7A14	0	0	0	0
LOC101928583	13.41	6.26	5.12	3.77
SLC25A39	19.01	23.13	21.62	24.41
MVP	12.72	23.78	27.1	24.01
NUB1	128.2	99.96	98.03	106.8
PGM3	23.37	5.81	4.78	6.18
RWDD2A	5.62	2.56	2.51	1.93
CLK1	63.01	211.91	132.81	184.84
POLR3B	6.08	2.96	3.21	3.09
ANGEL1	11.46	8.75	7.59	8.89
RNF14	61.32	25.62	33.44	24.61
DNASE1L1	10.56	8.09	13.28	6.95
DDX11	5.94	11.12	8.61	8.29
HEBP1	37.92	8.85	30.54	9
MIR614	1.57	0	5.01	0
MAMLD1	7.87	0.42	3.01	0.21
CD6	0.41	38.08	10.15	32.65
TACC3	19.23	47.11	19.42	67.5
UFL1	27.15	17.66	7.05	19.64
POLA2	15.51	19.35	11.18	26.39
ZC3H3	1.5	2.24	2.26	2.65
CAPN1	27.54	61.72	20.75	79.44
ACPP	1.32	1.99	2.1	1.54
MDH1	237.34	127.43	148.75	148.76
SLC30A9	68.33	24.18	31.31	26.65
MTMR11	13.02	0.24	1.69	0.07
COX15	20.4	19.66	15.85	24.99
CCDC88C	0.63	34.44	10.22	31.55
YAF2	8.1	10.14	5.42	12.98
ZMYND11	72.98	51.99	36.85	44.72
WAS	1.92	86.24	24.67	95.64
DPEP1	0	0	0.11	0.03
BID	1.4	10.3	4.55	14.39
MATR3	470.17	381.63	204.85	431.49
NPC1L1	0.06	0.02	0.01	0.01
XYLT2	3.59	4.78	3.45	4.16
RGPD5	7.49	8.94	3.42	8.99
STMN4	0.36	0	0	0.01
NUDCD3	88.73	50.36	36.31	53.82
ISL1	0	0.03	0.02	0.06
CHDH	1.23	1.03	0.11	0.56
IL20RA	0.01	0	0	0
CLCA1	0.01	0	0	0
CLCA4	0.07	0.01	0.01	0.38
GLT8D1	100.07	27.35	58.48	38.55
ATP2C1	85.77	27.59	91.22	32.9
IGF1	1.08	0.38	0.19	0.43
SLC38A5	0.41	8.69	4.3	10.61
RALBP1	36.63	30.13	22.93	34.64
RUFY3	22.07	25.95	19.13	18.71
CNTN1	9.39	0	2.13	0.57
SLC11A1	0.84	0.51	6.23	0.39
WWTR1	70.66	0.28	26.91	2.36
AGPS	24.4	7.3	14.41	11.49
CXorf56	44.51	22.82	23.07	22.65
ATP1A2	1.95	0.12	0.02	0.04
TTC27	28.35	25.78	13.93	21.66
ZNF582	0.46	2.74	0.74	2.17
VSIG2	0.04	0.22	0	0.08
MIR6716	29.45	1.22	7.45	1.64
MARCO	2.58	20.65	34.95	0.62
CYP24A1	0.19	0.04	0	0.11
PRDM11	3.74	3.65	3.31	3.52
SYT13	0	0.03	0.01	0
SNAI2	88.14	0.04	16.56	0.02
CD74	142.72	7676.27	2744.41	8377.1
HGF	0.06	1.08	1.22	0.37
ZRANB1	9.41	14.22	10.34	14.12
NCDN	4.01	5.04	5.12	5.12
ADGRA2	29.47	0.01	0.55	0.07
ZFP64	12.17	9.62	7.27	9.13
MNAT1	12.52	6.33	9.32	6.61
SAMD4A	9.81	2.51	8.83	2.58
RUNX3	2.53	54.18	25.01	58.18
MRE11	6.82	7.48	9.6	9.74
PLEKHB1	108.27	17.79	62.42	18.4
SERPINB1	36.25	83.27	66.28	95.91
CYP3A43	0	0.12	0.04	0.04
SLC7A9	0	0.02	0.01	0.04
SPAST	7.69	9.14	4.56	9.77
NRXN3	0.1	0.03	0.23	0.06
OSBPL5	1.36	1.03	1.95	0.63
AQR	17.97	14.41	9.61	17.17
CPS1	30.52	0.39	9.08	0.68
C8B	0	0	0	0
FHL1	0.32	8.48	1.42	9.09
RTFDC1	118.01	68.01	74.1	87.88
GABRA1	0	0	0	0.19
NLRP2	0.03	2.17	0.6	0.93
SLC45A4	1.87	2.21	2.95	1.97
RNF10	39.69	36.07	25.74	36.96
ZNF839	5.67	5.97	3.43	4.79
ZDHHC6	15.97	27.6	22.86	29.47
GRAMD1B	1.02	2.56	2.07	3.09
RNH1	26.1	23.39	25.42	19.78
NDUFS1	77.96	25.63	40.65	29.11
RB1CC1	26.4	14.43	14.33	14.92
ERP44	18.69	28.27	16.66	35.67
ALAS1	21.27	12.45	25.6	17.69
BIRC3	2.55	144.31	101.71	217.78
AKAP11	4.95	18.13	5.86	19.68
GLRX2	7.97	4.2	10.44	6.21
SNAPC1	9.54	9.28	5.66	8.93
DERA	38.2	14.09	38.82	18.73
STRAP	68.14	39.87	42.42	47.59
ABCC2	5.28	0.5	6.11	0.59
DEF6	2.39	37.8	10.63	40.24
PLEKHO1	24.26	94.18	30.38	96
GCLM	3.66	6.48	4.55	9
UBR2	9.54	11.26	7.1	12.94
EHD2	24.78	0.05	2.46	0.05
DEPDC1	17.94	2.26	3.19	7.13
CCDC28A	13.15	23.1	9.26	22.97
RRAGD	45.01	5.41	22.05	3.78
HSF2	13.08	9.5	4.56	8.74
PHF20	38.22	38.39	15.6	45.23
HSD17B6	0.46	0.22	0.47	0.78
NR1H3	12.11	10.36	15.57	2.16
TYMP	1.44	14.84	31	7.7
NCAPH2	10.8	15.65	21.49	20.51
TOMM34	20.93	10.48	12.69	14.62
SEC63	179.26	73.07	62.21	92.45
KPNA6	14.94	13.81	8.95	13.13
VIM	4640.51	374.75	4458.32	382.87
RTEL1-TNFRSF6B	4.29	4.8	4.42	3.79
FAS	58.16	24.42	22.16	26.66
RNASET2	16.9	191.34	37.08	124.46
CD44	1532.57	558.85	868.7	559.94
KCNG1	0.09	3.36	0.06	3.98
AGPAT4	0.32	1.74	0.92	0.9
SLAMF7	0.79	32.54	53.06	42.2
BTN3A1	24.65	44.78	34.24	48.17
MIPEP	4.7	6.31	4.37	5.97
PRKCH	4.66	46.92	39.65	47.33
INSRR	0	0	0.01	0.02
IFNGR1	39.26	87.78	36.76	72.92
B4GALT7	8.66	6.71	7.41	6.64
SH2D2A	0.52	6.23	7.36	7
VRK2	17.43	17.18	11.01	20.5
MIR7846	1.54	38.75	25.91	41.09
VEZT	30.34	27.97	19.63	31.92
POU2F2	1.2	35.43	6.84	48.43
BRD9	14.9	16.73	16.59	20.01
SNX1	82.16	35.68	45.54	47.72
TBPL1	8.51	20	7.65	24.22
ARNTL2	0.26	0.65	0.8	2.34
BCLAF1	162.17	187.44	136.06	156.64
SLC39A9	25.9	10.59	11.44	10.44
ANK1	0.11	3.98	0.4	4.27
IBSP	0.19	0	0.05	0.34
TFB1M	13.84	8.52	2.81	13.15
RABEP1	49.89	35.78	14	48.93
HMGB3	44.53	10.82	24.97	19.33
NUP160	45.25	24.79	13.06	28.67
BAK1	8.04	12.64	13.15	14.88
MUSK	0	0	0.01	0
IKZF2	0.16	5.95	4.09	10.46
GRN	38.01	99.13	127.45	63.51
FAM13B	28.47	35.23	13.61	38.98
ARHGAP31	17.31	15.16	9.82	6.49
CENPQ	8.64	6.62	3.71	6.55
SARS	82.86	72.1	87.78	97.23
RANBP3	25.19	22.81	17.17	22.97
ARID4A	19.44	25.64	17.17	23.67
TSSC1	6.98	22.66	9.65	22.13
PNPLA6	3.45	4.86	4	5.01
IFT88	7.48	5.16	4.1	7.59
ALG1	12.48	6.63	7.67	8.72
ZCCHC8	12.44	13.92	11.25	16.09
ABCF2	56.85	24.87	25.47	33.06
CHPF2	12.11	12.04	7.62	10.69
LRRC7	1.57	0.06	0	0
FUT8	15.78	14.51	11.95	11.68
UBA6	17.99	16.82	12.1	20.28
GAB2	14.05	19.02	39.79	9.87
MIR5010	44.78	18.31	29.21	16.24
PIAS1	19.93	28.63	16.45	36.93
SLC4A7	23.51	14.55	9.89	18.25
APBA2	5.94	4.2	0.62	2.46
MAP2K3	7.53	27.75	14.3	34.35
EFCAB1	0.09	0	0	0
TMSB10	1361.88	2168.3	1960.68	1966.68
ASTE1	8.39	9.86	7.72	11.72
RNF19A	65.48	100.56	103.66	98.98
PEX3	22.46	13.23	7.27	14.34
GABARAPL2	131.62	68.02	85.23	88.9
MYOC	45.5	0.01	0.25	0.01
SH3YL1	6.01	49.08	11.24	15.44
FAM136A	33	19.42	12.97	23.83
VCL	37.03	16	20.59	22.77
DEPDC1B	7.94	2.65	4	7.18
DAPK2	0.23	1.65	1.3	1.4
NSMAF	31.21	49.88	26.71	53.48
ADSS	40.63	38.55	36.19	43.78
STAP1	1.16	92.51	7.78	130.66
TIMP2	325.23	9.23	137.19	6.68
RFC1	93.9	50.78	48.63	68.59
TBC1D23	22.82	11.18	11.4	13.5
CUL3	59.12	80.44	56.48	100.26
MYOM2	3.89	2.56	0.91	2.96
OTC	0.08	0	0	0
CYP46A1	0	0.05	0.03	0.03
ZZZ3	23.49	22.8	13.89	18.4
SLC18A1	0.42	0.27	0.14	0.54
USP2	3.28	0.12	0.86	0.27
CASR	0	0.04	0.04	0
TUBG2	12.46	1.55	4.32	1.3
RPL26L1	35.88	15.98	23.06	18.2
FLT4	0.05	0.53	0.11	0.48
NSUN2	30.33	35.21	31.98	41.45
FBXO42	22.49	15.43	7.04	13.37
MFAP3	26.48	7.29	9.59	11.32
MRI1	2.65	6.66	4.16	5.84
METTL1	16.7	4.78	10.25	4.13
HOXC8	4.06	0.01	0.01	0.01
AGA	32.44	28.25	30.56	32.41
PI4K2B	10.15	18.76	13.86	23.59
BOD1L1	24.76	29.94	18.93	36.08
MAT2B	28.21	96.31	37.89	112.19
TLL1	0.01	0	0	0.01
EDC4	5.39	7	6.54	9.43
TRIO	7.75	27.7	9.34	21.26
VCAN	26.58	2.89	4.15	1.82
CLEC16A	7.57	19.87	8.44	18.33
MSR1	3.48	9.53	58.76	1.93
CDH1	392.36	6.15	133.33	4.39
SKIV2L2	73.71	47.44	42.36	64.44
DNAH5	0.07	0.02	0.1	0
ZFYVE16	45.39	10.53	30.07	7.98
FAM65A	10.94	19.36	9.12	18.26
C6	0	0.04	0.05	0.01
RAI14	59.92	0.33	21.89	0.99
SOX30	0.12	0.37	0.06	0.4
PNKP	5.03	7.66	8.09	9.51
BEST2	0	0	0	0
PHLPP2	2.61	6.62	2.61	5.89
SPDL1	30.67	10.46	13.13	14.91
STAU2	59.57	30.37	26.69	35.58
PQLC2	10.41	5.95	5.12	4.69
CTNS	11.25	8.29	5.78	6.17
RTN4R	0.06	0	0.35	0.04
PHF23	36.37	22.48	21.12	29.22
CDH10	0.02	0.01	0.09	0.02
INPP4A	6.05	13.89	6.43	10.75
RAB27B	0.02	0.63	0.1	0.51
PSMA4	102.51	83.04	90.05	106.25
MYO16	0.48	0.5	0.02	0.18
LSG1	36.24	22.81	24.37	22.59
PARP3	11.32	13.45	20.78	12.78
TNC	0.92	0.42	80.57	0.78
THAP3	8.26	3.89	4.57	6.55
FAM65C	0.18	0.4	0.05	0.2
TDP1	6.57	16.26	7	16.83
AIFM2	3.45	2.26	5.19	2.15
C2orf83	0	0	0	0
SPATA7	6.95	1.26	3.34	1.52
MED17	22.49	32.7	34.85	44.72
RETSAT	34.27	10.94	49.9	12.52
CAPG	3.62	75.9	227.04	74.02
AP2S1	68.3	24.16	38.19	24.42
USH2A	0.05	0.01	0.01	0.04
ZPBP	0	0.16	0	0
TG	0.82	0.84	0.16	0.48
ADAM28	2.39	45.28	10.35	72.73
BARX2	0	0.19	0.26	0.12
DCUN1D1	34.04	27.82	18.51	25.99
JADE2	11.98	55.14	18.02	57.8
ZIC2	0.05	0	0.02	0
LCP2	3.43	97.41	72.12	102.4
TRIT1	15.46	12.19	6.97	9.74
ADRB1	0	0.01	0.01	0
GUCA2B	0	0	0	0
CUL7	7.33	3.36	8.1	3.37
CTNNA1	253.33	35.13	92.33	40.81
PHKA2	8.85	11.41	4.35	12.3
CNTLN	6.38	1.29	3.33	1.4
EPHA3	0.06	0.02	0.01	0.01
HSPA5	284.73	186.63	190.95	151.97
DSG2	0.2	0.73	4.35	1.43
GEMIN8	17.3	7.49	7.73	4.26
OFD1	9.89	43.84	12.75	37.05
GPM6B	213.62	1.16	35.79	4.85
MAGEC2	0.78	0.07	2.65	1.48
PREX2	0	0.18	0.01	0.14
WDR37	7.85	21.78	10.08	15.23
YTHDC2	8.54	11.33	5.49	13.25
CTPS2	12.15	8.59	6.06	9.6
ATP6V1H	45.39	19.62	35.12	23.11
POLR2B	54.26	44.35	40.16	58.17
FAM214A	8.54	31.57	7.62	34.97
ARAP2	3.44	31.57	16.03	29.74
TPR	83.32	48.51	44.42	57.38
CP	0.82	0.26	1.2	0.15
KIAA0556	6.57	2.98	4.1	3.81
DTNBP1	19.04	30.99	20.39	36.18
XK	0.64	0.17	0.06	0.13
ANO2	0.02	0	0.07	0
C12orf4	10.96	6.81	4.58	8.33
SCML1	8.87	3.5	2.35	3.39
WWC3	10.09	10.07	5.06	9.85
ARHGAP6	0.29	0.26	0.08	0.35
FAM184B	1.76	0.75	0.59	1.22
MAP4	107.77	33.66	82.95	34.75
GOPC	25.84	18.04	7.98	19.57
ROS1	0	0	0.04	0.03
USP28	6.87	8.44	3.36	13.27
HDAC9	1.12	36.89	4.15	33.56
TSPAN17	17.43	13.84	23.2	12.52
NOP16	16.99	13.92	16.35	16.59
CC2D2A	28.53	1.83	10.65	1.09
RRM2B	56.45	38.22	36.27	57.5
ZNF800	21.09	38.64	15.25	31.46
TNFRSF17	0	8.3	1.83	18.3
SNX29	5.18	26.45	4.7	21.66
LMO3	0	0.01	0.01	0
MRPS10	39.96	22.93	22.16	26.63
GUCA1A	0.18	0.09	0	0.08
RSF1	35.72	34.21	49.35	30.25
VPS13D	17.01	16.68	6.31	14.25
CELF2	23.41	38.45	28.48	38.34
FAM120A	32.63	45.1	29.31	50.64
R3HDM1	30.24	40.01	18.23	37.85
COL9A2	0.43	3.43	0.86	2.77
KITLG	2.32	0.06	0.96	0.07
ERCC8	15.23	6.48	3.36	8.06
ADAMTS6	0.04	4.48	0.46	1.19
H6PD	7.84	6.74	4.86	6.62
