GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
NDUFAB1	40.44	21.08	37.03	28.01
PDK4	4.82	1.95	34.57	1.05
SLC22A16	0.24	0.16	0.1	0.12
ZMYND10	0.14	0.25	0.81	0.14
ABCB5	23.9	0.11	123.44	0.16
ARX	0	0	0.03	0
SLC25A13	87.53	7.78	16.85	5.56
MIR6132	36.46	7.04	12.14	7.39
CDC27	45.81	27.4	22.78	32.69
SLC4A1	0.02	0.09	0	0.06
CALCR	0	0.01	0.07	0
HCCS	11.48	15.45	9.34	16.17
DVL2	8.72	7.92	7.47	7.98
PRSS22	0	0	0	0.02
UPF1	10.14	12.07	6.21	15.16
SKAP2	41.78	63.86	14.51	105.12
SLC25A5	395.29	209.8	211	207.87
MCUB	2.62	43.35	20.93	49.92
HOXA11	0.62	0	0.27	0.03
POLR2J	19.9	18.59	20.28	24.47
DHX33	13.27	4.1	4.6	4.66
MEOX1	0.03	1.17	0.33	2.74
THSD7A	0.52	0.01	0.03	0.01
LIG3	13.71	6.16	8.31	9.35
RPAP3	18.81	25.67	15.44	37.92
ACSM3	0.43	2.11	1.43	1.42
LOC81691	1.96	0.93	1.12	1.71
CIAPIN1	34.38	17.58	17.79	17.43
SPPL2B	2.57	3.85	2.05	4.94
FAM214B	3.37	3.62	5.42	2.96
COPZ2	24.27	0.41	3.61	0.59
PRKAR2B	2.44	3.62	6.82	5.87
MSL3	10.11	45.75	14.51	47.96
CREBBP	6.89	18.64	8.81	17.46
TSPOAP1	0.42	0.73	0.52	0.94
MPO	0.01	0.1	0.01	0.02
PON1	0	0	0.04	0.01
GCFC2	16.08	11.74	9.13	13.42
WDR54	13.91	9.36	12.86	10
CROT	8.51	4.35	4.04	4.17
ABCB4	0.45	21.29	4.99	27.72
KMT2E	60.88	55.08	31.87	58.32
RHBDD2	17.08	24.66	28.38	19.07
SOX8	3.43	0.18	0.1	0.14
IBTK	27.78	27.08	15.02	26.84
ZNF195	6.96	14.79	7	13.71
MYCBP2	14.17	79.73	20.13	81.34
FBXL3	13.59	26.73	10.7	32.71
ITGAL	1.69	96.65	43.01	93.89
PDK2	19.74	17.23	14.68	17.31
ITGA3	29.16	2.34	62.31	5.78
ZFX	9.94	20.25	6.85	11.54
LAMP2	147.12	36.87	173.64	35.77
ITGA2B	0.03	0	0.04	0
ASB4	0.89	0.06	0.57	0.24
GDE1	29.41	14.63	20	17.2
C19orf60	1.78	2.89	3.51	3.85
CRLF1	0	0.02	0.01	0.01
OSBPL7	1.15	3.74	2.73	2.96
TMEM98	22.24	0.12	26.96	1.11
YBX2	0.09	0.01	0.03	0.05
KRT33A	0	0	0	0
MAP3K14	1.83	16	4.51	14.65
ABCC8	0	0	0.04	0
CACNG3	0.01	0.07	0	0
TMEM132A	0.72	0.34	0.26	0.35
AP2B1	51.55	38.33	46.95	40.69
TAC1	0	0.02	0	0
ZNF263	10.58	14.61	8.69	13.44
CX3CL1	1.92	0.02	2.63	0.08
SPATA20	26.07	8.23	29.36	9.45
CACNA1G	0.01	0	0.01	0.02
TNFRSF12A	3.37	0.12	12.12	1.44
DLX6	0	0	0	0
MAP3K9	0.81	2.97	0.99	2.19
RALA	67.2	36.1	49.9	37.19
BAIAP2L1	6.48	1.5	14.87	3.03
KDM7A	7.23	33.79	7.75	32.97
ETV1	178.17	1.53	25.45	3.39
AGK	41.15	16.63	19.37	17.75
ALDH3B1	1.88	1.44	8.92	1.22
TTC22	0.03	1.21	0.25	1.22
PHTF2	19.66	27.94	15.14	31.27
CCL26	0	0.08	0	0.05
FARP2	58.23	12.69	19	11.79
USH1C	0	0	0.05	0
GGCT	67.3	16.94	25.11	19.78
DBF4	14.5	15.86	10.84	20.76
TBXA2R	1.14	1.76	1.05	1.83
IFRD1	48.01	38.32	43.67	15.26
LGALS14	0.06	0.15	0	0.25
COX10	9.46	10.47	5.08	10.38
GTF2IRD1	10.82	0.62	5.99	0.98
PAF1	37	31.13	40.9	40.25
VPS41	106.53	33.46	40.34	36.32
ARHGAP44	0.06	0.68	0.02	1.09
ELAC2	18.41	18.08	12.37	21.68
SCIN	6.78	0.23	10.28	0.07
ARSD	11.4	2.59	6.09	2.88
PNPLA4	22.16	13.3	11.3	7.2
MYH13	0	0	0	0
ADIPOR2	42.54	12.34	30.22	14.68
CDKL3	4.16	1.82	0.95	1.38
UPP2	0.02	0.02	0	0
PRSS21	0.03	0.17	3.05	0.37
MARK4	5.88	5.37	6.84	5.73
PROM1	0.49	0.13	1.88	0.14
CCDC124	7.15	5.1	8.03	5.45
CEACAM21	0.25	27.6	7.28	18.79
PAFAH1B1	49.95	38.02	23.53	46
NOS2	0.11	0.12	0.01	0.05
DNAH9	0.24	0.03	0.05	0.51
KIAA0100	27.13	31.45	14.68	28.19
SLC13A2	0	0	0	0.01
GAS7	202.84	1.82	10.52	3.05
TRAPPC6A	4.08	9.68	5.28	8.16
MATK	0.12	2.42	1.33	4.69
CEACAM7	0	0.02	0	0
CD79B	10.87	279.64	11.57	338.46
SCN4A	0.01	0.3	0.02	0.29
ST7L	19.96	8.58	10.3	8.01
TKTL1	0.66	1.3	1.35	1.31
PAX6	0.55	0.4	0.11	0.54
RPUSD1	0.52	1.4	1.14	1.88
RHBDF1	8.15	0.11	6.26	0.59
LUC7L	11.42	12.6	12.67	13.1
CACNA2D2	0.14	0.4	0.67	0.38
BAIAP3	0.14	0.37	0.14	0.13
TSR3	5.24	5.28	6.78	6.45
PIGQ	1.55	2.94	4.51	2.46
CRAMP1	4.12	6.78	3.33	4.48
TEAD3	1.12	0.02	1.34	0.14
SELE	0.04	0.09	0.01	0.04
DNAJC11	43.17	18.29	20.02	17.7
FMO3	0.08	0.06	0	0.09
MYLIP	28.62	38.44	41.44	20.81
NOX1	0.23	0.38	0.02	0.01
E2F2	1.68	2.53	2.16	6.15
PSMB1	116.03	120.74	95.21	126.09
SYN1	0.09	0.15	0.18	0.1
JARID2	8.89	9.53	9.74	9.65
CDKL5	4.1	1.23	1.17	1.39
CAMK1G	0.52	0.13	0.46	0.01
CDK11A	89.4	50.57	41.71	51.01
NADK	19.46	25.19	13.71	26.64
TFAP2B	0	0	0	0
TFAP2D	0	0	0	0
DLEC1	0.07	0.57	0.22	0.42
CYTH3	122.06	2.06	26.51	4.67
ADAM22	3.42	0.8	0.82	0.59
SYPL1	130.57	107.63	50.57	155.19
CYB561	1.56	2.05	3.31	1.87
SPAG9	98.61	18.28	41.59	20.17
MIR4793	0.31	1.23	0.65	0.5
AASS	17.74	2.17	5.66	2.59
PLEKHG6	0.03	0.07	0	0.02
SS18L2	8.75	16.91	17.66	23.18
MPND	1.7	3.58	3.68	4.34
MGST1	2.12	0.85	1.03	0.67
CRY1	2.91	3.81	3.76	3.58
PGLYRP1	0	0.03	0	0
NFIX	3.05	0.32	4.75	0.31
ST3GAL1	65.63	54.35	23.93	38.8
MMP25	0	0.56	0.38	0.37
IL32	2.57	199.48	131.8	136.09
MIR6511B1	4.74	8.04	3.65	5.69
MAPK8IP2	1.04	0.06	3.97	0.01
MIR6884	8.05	13.88	10.91	16.04
RHOBTB2	13.5	25.37	7.33	33.76
HEATR5B	10.62	16.33	6.72	18.93
SEC62	108.71	100.79	71.94	108.18
RPS20	1950.36	3781.52	1900.16	3485.19
CSDE1	546.19	378.15	282.88	388.73
UBE3C	40.84	35.1	20.26	33.96
REV3L	60.44	22.03	10.28	18.94
TENM1	0.19	0.31	0.18	0.12
PAX7	0.02	0	0	0
MASP2	0.64	0.64	0.14	0.54
IYD	0.03	0.18	0.03	0.08
FAM76A	4.79	5.93	5.34	6.73
TRAF3IP3	2.81	123.51	26.16	116.14
POMT2	2.71	0.96	4.39	0.83
VTA1	42.27	29.47	16.5	34.76
MLXIPL	0.08	0.63	0.34	0.56
BAZ1B	36.23	25.36	21.45	32.11
RANBP9	24.2	27.49	23.19	26.85
ETV7	0.29	0.69	3.74	1.02
SPRTN	7.06	9.18	5.41	7.81
METTL13	18.41	16.99	16.17	22.13
DYRK4	6.85	7.92	5.8	6.58
MIR632	84.32	78.37	59.29	84.82
UQCRC1	105.48	62.15	120.83	65.41
STARD3NL	56.88	19.9	23.62	19.99
CD9	139.52	8.51	99	8.12
HHATL	140.21	0.05	405.82	1.52
NCAPD2	26.79	20.84	12.13	31.94
IFFO1	7.38	5.94	6.8	5.7
GIPR	0	0.11	0.2	0.27
PHF7	3.41	5.22	4.69	3.47
SEMA3G	0.06	0	0.08	0.1
NISCH	26.68	25.3	30.16	26.71
STAB1	0.41	4.86	7.28	0.62
FUZ	4.97	4.41	8.37	2.78
SLC6A13	0	0.09	0.05	0
IDS	22.58	92.35	58.93	90.94
PRSS3	0	0	0	0
ZNF200	3.85	5.57	2.39	6.37
CD4	3.36	97.81	35.16	64.53
LRRC23	15.28	4.88	8.78	3.64
BTK	2.52	111.02	17.07	124.34
HFE	10.37	4.33	6.41	4.67
SCMH1	17.87	10.52	10.47	10
FYN	81.71	134.91	101.25	123.07
HIVEP2	2.9	27.95	6.56	19.99
FMO1	0.05	0.34	0.04	0.26
TCEB3	55.41	15.21	20.09	18.65
LYPLA2	34.33	24.88	22.61	29.04
CLCN6	18.33	9.38	4.98	6.54
MRC2	0.07	0.46	0.81	0.49
NME1-NME2	198.1	170.13	272.48	165.35
SLC6A7	0	0	0.08	0
TSPAN9	22.02	0.06	5.04	0.55
BTBD7	7.71	10.62	5.67	9.55
APBA3	0.64	2.58	1.3	2.83
MKS1	5.03	2.89	3.04	2.43
ABHD5	9.42	3.93	11.31	4.81
ANOS1	8.8	0.14	3.61	0.14
AKAP8L	26.35	30.62	23.84	23.67
MBTD1	6.99	11.67	3.84	9.75
UTP18	29.49	29.27	27.04	32.79
RNF216	17.05	17.34	11.21	17
TTC19	22.58	14.79	13.21	11.55
MIR4745	25.32	38.24	30.5	45.81
DPF1	1.5	0.06	0.96	0.22
SYT7	0.73	0.02	0.05	0.02
LARS2	14.93	10.06	12.9	11.64
PIK3C2A	20.07	8.06	6.81	7.33
PLAUR	6.29	8.8	47.03	5.49
ANLN	67.85	3.99	17.97	7.59
WIZ	2.69	2.07	3.07	2.23
RABGAP1	16.13	21.5	10.17	22.06
DCN	2.38	0.09	0.42	0.06
QPCTL	2.57	3.12	4.58	1.96
PPP5C	46.8	20.84	33.1	26.66
CEP68	6.5	9.02	5.42	7.18
MAP4K3	20.52	3.44	13.18	4.24
ZBTB32	0.13	3.16	1.28	1.39
TYROBP	7.29	63.39	129.67	30.55
TMEM159	5.04	4.55	4.99	6.07
GABRA3	0.48	0	2.39	0.01
BRCA1	14.13	4.34	9.86	9.96
ERCC1	26.83	26.25	23.89	29.14
MIR5196	1.62	235.39	15.11	225.53
MIR6872	7.36	0.15	23.04	0.13
MBTPS2	17.07	4.34	6.78	4.41
PRICKLE3	1.43	3.09	2.04	2.77
LTF	0	0.17	1.57	0.21
EXTL3	17.67	6.85	3.89	5.59
NR1H4	0	0	0.06	0
ELOVL5	64.92	81.76	57.18	97.89
ALOX5	0.99	49.55	12.11	44.24
KDM5D	11.45	0	8.15	22.57
CALCOCO1	7.99	14.5	13.29	13.5
UBR7	23.79	15.64	12.8	18.18
MAP4K5	11.74	13.54	9.62	11.38
EHD3	2.81	8.86	3.66	8.52
PSMC4	35.2	34.52	42.19	36.43
MAN2B2	2.9	13.54	6.97	11.16
SLC7A14	0	0	0	0
LOC101928583	9.95	5.55	4.73	3.25
SLC25A39	14.1	20.51	19.98	21.02
MVP	9.44	21.09	25.04	20.67
NUB1	95.11	88.66	90.58	91.96
PGM3	17.34	5.16	4.42	5.32
RWDD2A	4.17	2.27	2.32	1.66
CLK1	46.75	187.97	122.72	159.15
POLR3B	4.51	2.62	2.96	2.66
ANGEL1	8.5	7.76	7.02	7.66
RNF14	45.49	22.73	30.9	21.19
DNASE1L1	7.84	7.18	12.27	5.98
DDX11	4.41	9.87	7.96	7.14
HEBP1	28.13	7.85	28.21	7.75
MIR614	1.16	0	4.63	0
MAMLD1	5.84	0.38	2.78	0.18
CD6	0.31	33.78	9.38	28.11
TACC3	14.27	41.79	17.94	58.11
UFL1	20.14	15.66	6.52	16.91
POLA2	11.51	17.17	10.33	22.72
ZC3H3	1.11	1.98	2.09	2.28
CAPN1	20.43	54.74	19.18	68.4
ACPP	0.98	1.77	1.94	1.33
MDH1	176.07	113.04	137.44	128.08
SLC30A9	50.69	21.45	28.93	22.95
MTMR11	9.66	0.21	1.56	0.06
COX15	15.14	17.44	14.65	21.52
CCDC88C	0.47	30.55	9.44	27.16
YAF2	6.01	9	5.01	11.18
ZMYND11	54.14	46.12	34.05	38.5
WAS	1.43	76.5	22.79	82.35
DPEP1	0	0	0.1	0.03
BID	1.04	9.14	4.2	12.39
MATR3	348.8	338.51	189.28	371.51
NPC1L1	0.05	0.01	0.01	0.01
XYLT2	2.66	4.24	3.18	3.58
RGPD5	5.56	7.93	3.16	7.74
STMN4	0.27	0	0	0.01
NUDCD3	65.83	44.67	33.55	46.34
ISL1	0	0.03	0.02	0.05
CHDH	0.92	0.92	0.1	0.48
IL20RA	0.01	0	0	0
CLCA1	0.01	0	0	0
CLCA4	0.05	0.01	0.01	0.33
GLT8D1	74.24	24.26	54.03	33.19
ATP2C1	63.63	24.47	84.29	28.32
IGF1	0.8	0.34	0.17	0.37
SLC38A5	0.3	7.71	3.97	9.14
RALBP1	27.18	26.72	21.18	29.82
RUFY3	16.37	23.01	17.68	16.11
CNTN1	6.97	0	1.96	0.49
SLC11A1	0.62	0.45	5.76	0.34
WWTR1	52.42	0.25	24.87	2.03
AGPS	18.1	6.48	13.31	9.89
CXorf56	33.02	20.24	21.31	19.5
ATP1A2	1.45	0.11	0.02	0.04
TTC27	21.03	22.87	12.87	18.65
ZNF582	0.34	2.43	0.68	1.87
VSIG2	0.03	0.19	0	0.07
MIR6716	21.85	1.08	6.89	1.41
MARCO	1.91	18.32	32.29	0.53
CYP24A1	0.14	0.03	0	0.1
PRDM11	2.78	3.24	3.06	3.03
SYT13	0	0.02	0.01	0
SNAI2	65.39	0.03	15.3	0.02
CD74	105.88	6809.03	2535.78	7212.68
HGF	0.04	0.96	1.12	0.32
ZRANB1	6.98	12.61	9.56	12.16
NCDN	2.97	4.47	4.73	4.41
ADGRA2	21.86	0.01	0.51	0.06
ZFP64	9.03	8.53	6.71	7.86
MNAT1	9.29	5.62	8.61	5.69
SAMD4A	7.27	2.22	8.16	2.22
RUNX3	1.88	48.06	23.1	50.1
MRE11	5.06	6.63	8.87	8.39
PLEKHB1	80.32	15.78	57.67	15.84
SERPINB1	26.89	73.87	61.24	82.58
CYP3A43	0	0.11	0.03	0.03
SLC7A9	0	0.02	0.01	0.04
SPAST	5.71	8.11	4.22	8.42
NRXN3	0.07	0.03	0.22	0.05
OSBPL5	1.01	0.92	1.8	0.54
AQR	13.33	12.78	8.88	14.78
CPS1	22.64	0.35	8.39	0.59
C8B	0	0	0	0
FHL1	0.24	7.52	1.31	7.82
RTFDC1	87.55	60.33	68.47	75.67
GABRA1	0	0	0	0.16
NLRP2	0.02	1.93	0.55	0.8
SLC45A4	1.38	1.96	2.73	1.7
RNF10	29.45	31.99	23.79	31.82
ZNF839	4.21	5.3	3.17	4.13
ZDHHC6	11.85	24.48	21.12	25.37
GRAMD1B	0.76	2.27	1.91	2.66
RNH1	19.36	20.75	23.49	17.03
NDUFS1	57.83	22.73	37.56	25.06
RB1CC1	19.58	12.8	13.24	12.84
ERP44	13.86	25.08	15.39	30.72
ALAS1	15.78	11.04	23.65	15.24
BIRC3	1.89	128.01	93.97	187.51
AKAP11	3.67	16.08	5.41	16.94
GLRX2	5.92	3.73	9.65	5.35
SNAPC1	7.08	8.23	5.23	7.69
DERA	28.34	12.49	35.87	16.13
STRAP	50.55	35.37	39.19	40.97
ABCC2	3.92	0.45	5.65	0.51
DEF6	1.78	33.53	9.82	34.64
PLEKHO1	17.99	83.54	28.07	82.66
GCLM	2.72	5.75	4.2	7.75
UBR2	7.08	9.99	6.56	11.14
EHD2	18.38	0.04	2.27	0.04
DEPDC1	13.31	2.01	2.95	6.14
CCDC28A	9.75	20.49	8.56	19.77
RRAGD	33.39	4.8	20.37	3.26
HSF2	9.7	8.42	4.21	7.52
PHF20	28.36	34.05	14.41	38.94
HSD17B6	0.34	0.19	0.43	0.67
NR1H3	8.98	9.19	14.39	1.86
TYMP	1.07	13.17	28.64	6.63
NCAPH2	8.01	13.88	19.85	17.66
TOMM34	15.53	9.29	11.73	12.58
SEC63	132.99	64.81	57.48	79.6
KPNA6	11.09	12.25	8.27	11.31
VIM	3442.63	332.41	4119.4	329.65
RTEL1-TNFRSF6B	3.18	4.26	4.09	3.27
FAS	43.15	21.66	20.47	22.95
RNASET2	12.54	169.73	34.26	107.16
CD44	1136.96	495.72	802.66	482.11
KCNG1	0.07	2.98	0.06	3.43
AGPAT4	0.24	1.54	0.85	0.77
SLAMF7	0.59	28.87	49.03	36.33
BTN3A1	18.29	39.72	31.63	41.47
MIPEP	3.49	5.59	4.04	5.14
PRKCH	3.46	41.62	36.64	40.75
INSRR	0	0	0.01	0.02
IFNGR1	29.12	77.87	33.96	62.78
B4GALT7	6.42	5.95	6.85	5.71
SH2D2A	0.39	5.53	6.8	6.03
VRK2	12.93	15.24	10.17	17.65
MIR7846	1.14	34.37	23.94	35.37
VEZT	22.5	24.81	18.14	27.48
POU2F2	0.89	31.43	6.32	41.69
BRD9	11.05	14.84	15.33	17.23
SNX1	60.95	31.65	42.08	41.09
TBPL1	6.32	17.74	7.07	20.86
ARNTL2	0.19	0.58	0.73	2.02
BCLAF1	120.3	166.27	125.72	134.87
SLC39A9	19.22	9.4	10.57	8.99
ANK1	0.08	3.53	0.37	3.68
IBSP	0.14	0	0.04	0.29
TFB1M	10.27	7.56	2.6	11.32
RABEP1	37.01	31.73	12.94	42.13
HMGB3	33.03	9.6	23.07	16.64
NUP160	33.57	21.99	12.07	24.68
BAK1	5.96	11.21	12.15	12.81
MUSK	0	0	0.01	0
IKZF2	0.12	5.27	3.78	9.01
GRN	28.2	87.93	117.76	54.68
FAM13B	21.12	31.25	12.57	33.56
ARHGAP31	12.84	13.44	9.07	5.59
CENPQ	6.41	5.87	3.43	5.64
SARS	61.47	63.96	81.11	83.72
RANBP3	18.69	20.23	15.86	19.78
ARID4A	14.42	22.75	15.86	20.38
TSSC1	5.18	20.1	8.92	19.06
PNPLA6	2.56	4.31	3.69	4.31
IFT88	5.55	4.58	3.78	6.53
ALG1	9.26	5.88	7.09	7.51
ZCCHC8	9.23	12.34	10.4	13.85
ABCF2	42.18	22.06	23.53	28.46
CHPF2	8.98	10.68	7.04	9.2
LRRC7	1.16	0.06	0	0
FUT8	11.71	12.87	11.05	10.05
UBA6	13.34	14.92	11.18	17.46
GAB2	10.43	16.87	36.77	8.5
MIR5010	33.22	16.24	26.99	13.98
PIAS1	14.79	25.4	15.2	31.8
SLC4A7	17.44	12.91	9.14	15.71
APBA2	4.41	3.73	0.58	2.12
MAP2K3	5.59	24.61	13.21	29.57
EFCAB1	0.07	0	0	0
TMSB10	1010.33	1923.34	1811.63	1693.31
ASTE1	6.23	8.75	7.14	10.09
RNF19A	48.58	89.2	95.78	85.22
PEX3	16.66	11.74	6.71	12.35
GABARAPL2	97.65	60.34	78.75	76.54
MYOC	33.75	0.01	0.23	0.01
SH3YL1	4.46	43.54	10.38	13.3
FAM136A	24.48	17.23	11.98	20.52
VCL	27.47	14.19	19.02	19.61
DEPDC1B	5.89	2.35	3.69	6.18
DAPK2	0.17	1.46	1.2	1.2
NSMAF	23.15	44.25	24.68	46.05
ADSS	30.15	34.19	33.44	37.69
STAP1	0.86	82.06	7.19	112.5
TIMP2	241.27	8.19	126.76	5.75
RFC1	69.66	45.04	44.93	59.06
TBC1D23	16.93	9.91	10.53	11.63
CUL3	43.86	71.35	52.19	86.32
MYOM2	2.89	2.27	0.84	2.55
OTC	0.06	0	0	0
CYP46A1	0	0.04	0.03	0.03
ZZZ3	17.43	20.23	12.83	15.84
SLC18A1	0.31	0.24	0.13	0.46
USP2	2.43	0.11	0.79	0.23
CASR	0	0.04	0.04	0
TUBG2	9.25	1.37	3.99	1.12
RPL26L1	26.62	14.17	21.31	15.67
FLT4	0.03	0.47	0.1	0.41
NSUN2	22.5	31.23	29.55	35.69
FBXO42	16.69	13.68	6.5	11.51
MFAP3	19.64	6.46	8.86	9.75
MRI1	1.97	5.9	3.85	5.02
METTL1	12.39	4.24	9.47	3.56
HOXC8	3.01	0.01	0.01	0.01
AGA	24.07	25.06	28.24	27.91
PI4K2B	7.53	16.64	12.8	20.31
BOD1L1	18.37	26.56	17.49	31.06
MAT2B	20.93	85.43	35.01	96.6
TLL1	0.01	0	0	0.01
EDC4	4	6.21	6.04	8.12
TRIO	5.75	24.57	8.63	18.3
VCAN	19.72	2.56	3.83	1.57
CLEC16A	5.62	17.63	7.8	15.78
MSR1	2.58	8.45	54.29	1.66
CDH1	291.08	5.45	123.2	3.78
SKIV2L2	54.68	42.08	39.14	55.48
DNAH5	0.05	0.02	0.09	0
ZFYVE16	33.67	9.34	27.79	6.87
FAM65A	8.11	17.18	8.43	15.72
C6	0	0.04	0.05	0.01
RAI14	44.45	0.29	20.23	0.85
SOX30	0.09	0.32	0.05	0.34
PNKP	3.73	6.8	7.47	8.19
BEST2	0	0	0	0
PHLPP2	1.94	5.87	2.41	5.07
SPDL1	22.76	9.28	12.13	12.84
STAU2	44.19	26.94	24.66	30.64
PQLC2	7.72	5.28	4.73	4.04
CTNS	8.34	7.36	5.34	5.31
RTN4R	0.04	0	0.33	0.03
PHF23	26.98	19.94	19.52	25.16
CDH10	0.01	0.01	0.09	0.02
INPP4A	4.49	12.32	5.94	9.26
RAB27B	0.01	0.56	0.09	0.44
PSMA4	76.05	73.66	83.2	91.48
MYO16	0.35	0.44	0.02	0.15
LSG1	26.88	20.24	22.52	19.45
PARP3	8.4	11.93	19.2	11
TNC	0.69	0.37	74.44	0.67
THAP3	6.13	3.45	4.22	5.64
FAM65C	0.14	0.36	0.04	0.17
TDP1	4.87	14.42	6.47	14.49
AIFM2	2.56	2	4.8	1.85
C2orf83	0	0	0	0
SPATA7	5.16	1.12	3.08	1.31
MED17	16.68	29	32.2	38.51
RETSAT	25.42	9.71	46.11	10.78
CAPG	2.69	67.33	209.78	63.74
AP2S1	50.67	21.43	35.28	21.03
USH2A	0.04	0.01	0.01	0.03
ZPBP	0	0.14	0	0
TG	0.61	0.74	0.15	0.41
ADAM28	1.77	40.16	9.56	62.62
BARX2	0	0.17	0.24	0.1
DCUN1D1	25.25	24.68	17.1	22.38
JADE2	8.89	48.91	16.65	49.77
ZIC2	0.04	0	0.02	0
LCP2	2.54	86.4	66.64	88.16
TRIT1	11.47	10.82	6.44	8.39
ADRB1	0	0.01	0.01	0
GUCA2B	0	0	0	0
CUL7	5.44	2.98	7.48	2.9
CTNNA1	187.94	31.16	85.31	35.14
PHKA2	6.56	10.12	4.02	10.59
CNTLN	4.73	1.15	3.07	1.21
EPHA3	0.04	0.02	0.01	0.01
HSPA5	211.23	165.55	176.44	130.85
DSG2	0.15	0.64	4.02	1.23
GEMIN8	12.84	6.64	7.14	3.66
OFD1	7.34	38.89	11.78	31.9
GPM6B	158.48	1.03	33.07	4.18
MAGEC2	0.58	0.07	2.45	1.27
PREX2	0	0.16	0.01	0.12
WDR37	5.83	19.32	9.32	13.12
YTHDC2	6.34	10.05	5.07	11.41
CTPS2	9.01	7.62	5.6	8.27
ATP6V1H	33.68	17.4	32.45	19.9
POLR2B	40.25	39.34	37.11	50.08
FAM214A	6.33	28	7.04	30.11
ARAP2	2.55	28	14.81	25.61
TPR	61.81	43.03	41.05	49.41
CP	0.61	0.23	1.1	0.13
KIAA0556	4.87	2.65	3.79	3.28
DTNBP1	14.12	27.49	18.84	31.15
XK	0.48	0.15	0.05	0.11
ANO2	0.01	0	0.07	0
C12orf4	8.13	6.04	4.23	7.17
SCML1	6.58	3.1	2.17	2.92
WWC3	7.49	8.93	4.68	8.48
ARHGAP6	0.22	0.23	0.08	0.3
FAM184B	1.31	0.67	0.54	1.05
MAP4	79.95	29.86	76.65	29.92
GOPC	19.17	16	7.37	16.85
ROS1	0	0	0.03	0.02
USP28	5.1	7.49	3.1	11.43
HDAC9	0.83	32.72	3.83	28.9
TSPAN17	12.93	12.28	21.44	10.78
NOP16	12.6	12.35	15.1	14.28
CC2D2A	21.16	1.62	9.84	0.94
RRM2B	41.88	33.9	33.51	49.51
ZNF800	15.65	34.28	14.09	27.09
TNFRSF17	0	7.37	1.7	15.76
SNX29	3.85	23.46	4.34	18.65
LMO3	0	0	0.01	0
MRPS10	29.64	20.34	20.48	22.93
GUCA1A	0.13	0.08	0	0.07
RSF1	26.5	30.34	45.6	26.04
VPS13D	12.62	14.8	5.83	12.27
CELF2	17.37	34.1	26.32	33.01
FAM120A	24.21	40.01	27.08	43.6
R3HDM1	22.43	35.49	16.84	32.59
COL9A2	0.32	3.04	0.79	2.39
KITLG	1.72	0.05	0.89	0.06
ERCC8	11.3	5.74	3.11	6.94
ADAMTS6	0.03	3.98	0.43	1.03
H6PD	5.82	5.98	4.49	5.7
