CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
CAP0303	0.7007	0.1114	0.0369	0	0	0.0606	0.0518	0	0.0387
CAP0063	0.6413	0.1123	0	0.0876	0.0738	0	0.0621	0.0229	0
CAP0304	0.5908	0.1205	0.1265	0	0.0401	0	0.0697	0.0445	0.0079
CAP0305	0.4624	0.0794	0	0.0916	0.1188	0.0409	0.0834	0.0382	0.0854
CAP0306	0.6662	0.1066	0.0796	0	0.0476	0.0614	0.0385	0	0
CAP0307	0.4987	0.1371	0.2166	0	0	0	0.1476	0	0
CAP0308	0.7315	0.1022	0.111	0	0	0	0.0553	0	0
CAP0309	0.5719	0.1614	0.1305	0.004	0	0	0.1292	0.0031	0
CAP0310	0.6853	0.0736	0	0.057	0.0993	0.0423	0.0373	0	0.0052
CAP0311	0.5224	0.3021	0.0679	0	0	0.0142	0.035	0.0358	0.0225
CAP0312	0.5931	0.1791	0.0785	0.0293	0.0194	0.01	0.0904	0	0
CAP0313	0.5202	0.1161	0.0395	0.1165	0.1119	0	0.0584	0	0.0374
CAP0314	0.445	0.1221	0	0.1197	0.0794	0.168	0.0447	0	0.0211
CAP0315	0.6932	0.0645	0.1438	1e-04	0.0485	0	0.05	0	0
CAP0316	0.7058	0.104	0.0865	0.0331	0.0083	0	0.0453	0.017	0
CAP0317	0.6096	0.1394	0.0728	0.0371	0.0815	0	0.0595	0	0
CAP0318	0.6508	0.0876	0.1494	0	0	0	0.0722	0.0399	0
CAP0319	0.7424	0.0792	0	0.0582	0.0792	0.019	0.022	0	0
CAP0320	0.6306	0.1293	0.1489	0	0.02	0	0.0711	0	0
CAP0321	0.5359	0.1226	0	0.0091	0.0507	0.107	0.0628	0.0554	0.0567
CAP0322	0.6382	0.087	0.0282	0.1122	0	0	0.0568	0.0165	0.0611
CAP0323	0.6207	0.1153	0.1453	0	0	0	0.0799	0	0.0388
CAP0324	0.5968	0.1135	0.0315	0.1098	0.0688	0	0.0634	0.0163	0
CAP0325	0.5124	0.0938	0	0.0868	0.0202	0.0313	0.0725	0.1648	0.0184
CAP0326	0.6193	0.112	0.1736	0	0	0	0.0951	0	0
CAP0327	0.5156	0.1313	0.0834	0	0	0.0947	0.0868	0.0104	0.0777
CAP0328	0.6278	0.1221	0.0398	0.0355	0.087	0.0035	0.0843	0	0
CAP0329	0.6642	0.1285	0	0.043	0.0779	0.0457	0.0408	0	0
CAP0330	0.5711	0.1234	0	0	0.1228	0.1085	0.0742	0	0
CAP0331	0.6133	0.101	0.1257	0	0.0575	0.0309	0.0451	0	0.0265
CAP0332	0.5485	0.1537	0.0396	0.06	0.0903	0	0.108	0	0
CAP0333	0.5545	0.173	7e-04	0.0702	0.0948	0	0.0801	0	0.0268
CAP0334	0.6355	0.1656	0.1358	0	0	0	0.0631	0	0
CAP0335	0.6271	0.1422	0.1189	0	0.0075	0	0.0725	0.0237	0.0083
CAP0336	0.4333	0.1627	0.0066	0.0499	0.1451	0.0228	0.0716	0.1081	0
CAP0337	0.6	0.094	0.0828	0	0.0168	0.1079	0.0638	0.0118	0.0229
CAP0340	0.5369	0.1315	0.2252	0	0	0	0.1064	0	0
CAP0341	0.6302	0.1356	0	0.0741	0.0945	0	0.0656	0	0
CAP0342	0.653	0.0812	0.1341	0	0.0432	0	0.0398	0.0272	0.0214
CAP0343	0.6903	0.1282	0.0802	0	0.0462	0	0.055	0	0
CAP0344	0.6442	0.0925	0.0718	0.0428	0	0	0.1032	0.0456	0
CAP0345	0.6408	0.0532	0.085	0.1083	0.0515	0	0.0281	0	0.033
CAP0347	0.6002	0.1208	0.1792	0	0.0259	0	0.0739	0	0
CAP0348	0.7088	0.1008	0	0.0981	0.0563	0	0.0358	0	3e-04
CAP0349	0.6189	0.0888	0	0.0871	0.1432	0	0.0298	0.0322	0
CAP0350	0.5616	0.1392	0.1362	0.0063	0	0	0.099	0	0.0576
CAP0351	0.6483	0.1252	0.1117	0.0259	0.0463	0	0.0426	0	0
CAP0353	0.6925	0.082	0.0326	0.0123	0.0156	0.0205	0.0811	0.0041	0.0592
CAP0354	0.702	0.0902	0.0126	0	0.0695	0.0802	0.0306	0.0148	0
CAP0355	0.5902	0.0839	0.1126	0.0062	0.1222	0.0394	0.0402	0.0053	0
CAP0357	0.5732	0.1661	0.1006	0.0203	0.0696	0	0.0703	0	0
CAP0358	0.6592	0.12	0.1337	0	0	0	0.0871	0	0
CAP0359	0.6754	0.0995	0.0808	0	0.0255	0.0441	0.0401	0.0097	0.0249
CAP0360	0.6813	0.1279	0.0267	0.05	0.0654	0.0224	0.0263	0	0
CAP0361	0.3841	0.1195	0	0.1768	0	0	0.1826	0.0193	0.1177
CAP0362	0.6052	0.1093	0.0445	0	0.0996	0.0282	0.0929	0.0203	0
CAP0363	0.6014	0.0865	0	0.0688	0.0849	0.0669	0.0563	0	0.0352
CAP0364	0.6087	0.1362	0.1706	0	0	0	0.0845	0	0
CAP0365	0.7072	0.0898	0.0064	0.08	0.0361	0	0.0534	0	0.0272
CAP0366	0.6081	0.0846	0.0049	0.0751	0.1841	0	0.0432	0	0
CAP0367	0.5621	0.1133	0.0717	0.087	0	0	0.1396	0.0264	0
CAP0368	0.6458	0.0961	0	0.1118	0.0579	0	0.041	0.0191	0.0284
CAP0369	0.5737	0.0904	0.0928	0.094	0	0	0.1053	0.0438	0
CAP0370	0.2114	0.5867	0	0.1284	0.053	0	0.0204	0	0
CAP0371	0.5266	0.1346	0.0404	0.0269	0.0601	0.1012	0.0487	0	0.0616
CAP0372	0.6052	0.1402	0	0	0.1172	0.0703	0.0659	0.0011	0
CAP0374	0.4616	0.1303	0.1701	0.0619	0.0091	0	0.0794	0	0.0876
CAP0375	0.6692	0.0664	0.0076	0.0871	0.0749	0	0.0719	0	0.0228
CAP0376	0.6849	0.0923	0	0.0507	0.0993	0.0421	0.0308	0	0
CAP0377	0.5634	0.1084	1e-04	0.0511	0.0202	0.0625	0.0459	0.0336	0.1147
CAP0378	0.5737	0.0519	0	0.0997	0	0	0.1634	0.1112	0
CAP0379	0.6022	0.1088	0.1712	0	0	0	0.1148	0.0031	0
CAP0380	0.6731	0.1281	0	0.0082	0.0624	0.0492	0.079	0	0
CAP0381	0.5977	0.1236	0.1736	0	0.0219	0	0.0832	0	0
