Gene	LAU125	LAU355	LAU1255	LAU1314
FRK	0.567711	0.228628	0.337822	0.193576
FRMD4A	0.133161	0.084508	0.098832	0.082979
FRMD8	0.09697	0.154953	0.077485	0.148558
FZD2	0.032768	0.039151	0.030515	0.032673
FZD3	0.349277	0.174109	0.146465	0.19902
GAL3ST4	0.403856	0.041978	0.189525	0.041119
GALR1	0.262166	0.383308	0.238897	0.354385
GFI1	0.021897	0.106634	0.077136	0.097658
GGT5	0.047993	0.089403	0.080358	0.174613
GIPR	0.085027	0.324577	0.356992	0.447271
GNG7	0.223893	0.122914	0.054941	0.117472
GNLY	0.00452	0.075733	0.028027	0.131795
GPC4	0.151663	0.022303	0.001447	0.041616
GPR1	1.0	0.387239	0.373979	0.292747
GPR171	0.004511	0.067776	0.029382	0.03351
GPR18	0.012203	0.852639	0.066163	1.0
GPR183	0.005033	1.0	0.522687	0.787954
GPR19	0.41391	0.169229	0.161755	0.174355
GPR25	0.090059	0.151242	0.116198	0.079267
GPR65	0.0	0.155562	0.04579	0.141122
GRAP2	0.071907	1.0	0.259923	0.718992
GUSBP11	0.002808	0.005169	0.003681	0.004997
GYPE	0.127319	1.0	0.223192	0.997429
GZMA	0.001985	0.125706	0.219402	0.167045
GZMB	0.002211	0.171032	0.192398	0.147704
GZMH	0.007076	0.091423	0.183388	0.068563
GZMK	0.003223	0.280305	0.380707	0.562724
GZMM	0.006685	0.027709	0.016225	0.026586
HAL	0.0	0.010144	0.003159	0.013769
HCK	0.004161	0.076939	0.043971	0.021156
HDC	0.000642	0.000359	0.002361	0.0
HESX1	0.030067	0.020905	0.025438	0.019613
HHEX	0.008741	0.172942	0.013578	0.373265
HIC1	0.404047	0.376362	0.389408	0.397378
HK3	0.008752	0.027053	0.042117	0.010877
HLA-DOB	0.006699	0.757636	0.045968	1.0
HLA-DQA1	0.014744	0.841919	0.528804	1.0
HNMT	0.694263	0.153117	1.0	0.075697
HOXA1	0.083764	0.070241	0.047173	0.093393
HPGDS	0.001738	0.000421	0.000477	0.000567
HPSE	0.054582	0.082782	0.131592	0.077714
HRH1	0.008359	0.018623	0.00128	0.005556
HSPA6	0.04357	0.017644	0.09794	0.022675
HTR2B	0.586501	0.091774	0.047365	0.096399
ICA1	0.0	0.062659	0.049078	0.085463
ICOS	0.008396	0.13379	0.229859	0.135346
IDO1	0.0	0.006702	0.012259	0.007806
IFI44L	0.048222	0.044009	0.087759	0.03385
IFNA10	0.039378	0.030494	0.01799	0.0
IFNG	0.0	0.037671	0.334818	0.012503
IGSF6	0.010001	0.071453	0.0671	0.019649
IL12B	0.001205	0.011878	0.003463	0.001113
IL12RB2	0.036156	0.052742	0.62188	0.044882
IL17A	0.00059	0.009624	0.070703	0.055243
IL18R1	0.020152	0.086152	0.036493	0.100923
IL18RAP	0.00327	0.012168	0.013584	0.014665
IL1A	0.0	0.014625	0.00628	0.020244
IL1B	0.000524	0.104166	0.034609	0.024204
IL1RL1	0.003776	0.01031	0.004609	0.026355
IL21	0.0	0.057769	0.043839	0.063006
IL26	0.011361	0.218488	0.082868	0.183524
IL2RA	0.006904	0.237758	0.038302	0.088759
IL2RB	0.0	0.08052	0.049309	0.115447
IL3	0.004994	0.007472	0.010758	0.015277
IL4	0.0	0.266667	0.011424	0.267868
IL4R	0.0	0.543901	0.02336	0.558941
IL5	0.130768	0.131596	0.063497	0.0
IL5RA	0.000523	0.072034	0.010908	0.055554
IL7	0.107539	0.291267	0.146853	0.270614
IL7R	0.003336	0.444911	0.057833	0.232248
IL9	0.000907	0.000969	0.000737	0.000465
IRF8	0.004039	0.660225	0.103769	0.617631
ITK	0.000111	0.266858	0.054745	0.076081
KCNA3	0.042602	0.348489	0.082528	0.263298
KCNG2	0.010024	0.07516	0.028579	0.030468
KIR2DL1	0.010213	0.070913	0.050531	0.097946
KIR2DL4	0.0	0.029879	0.043283	0.047402
KIR2DS4	0.006471	0.000485	0.0	0.001419
KIR3DL2	0.011383	0.042599	0.045879	0.054858
KIRREL	1.0	0.007356	0.346243	0.021917
KLRB1	0.004431	0.095672	0.009602	0.037612
KLRC3	0.037107	0.067954	0.08639	0.069389
KLRC4	0.108815	0.420209	0.420209	0.371999
KLRD1	0.004288	0.034224	0.107867	0.029714
KLRF1	0.004551	0.018612	0.007226	0.017515
KLRG1	0.0	0.020708	0.01636	0.047828
KLRK1	0.003068	0.165315	0.332247	0.077507
KYNU	0.00579	0.081447	0.025169	0.08088
LAG3	0.023629	0.079022	0.44446	0.095206
LAIR2	0.0	0.030179	0.009567	0.012764
LAMP3	0.000743	0.020937	0.003163	0.01984
LAT	0.0	0.141352	0.03257	0.124818
LCK	0.005806	0.464814	0.125731	0.456624
LEF1	1.0	0.776957	0.425075	0.425075
LHCGR	0.308337	0.205142	0.136498	0.181256
LILRA2	0.021672	0.044499	0.047548	0.047128
LILRA4	0.031963	1.0	0.116248	0.705332
LILRB2	0.011722	0.042581	0.042105	0.02077
LIME1	0.0	0.061306	0.036039	0.069012
LRMP	0.005301	0.706664	0.02869	0.864854
LST1	0.017921	0.329663	0.117943	0.125421
LTA	0.016103	0.391491	0.034747	0.328903
LTB	0.0	0.636754	0.032102	0.678401
LTC4S	0.0	0.02484	0.012055	0.022591
LY86	0.0	0.601634	0.07583	0.780067
LY9	0.009088	1.0	0.29701	0.62776
MAGEA11	0.111412	0.073675	0.866704	0.224064
MAK	0.025255	0.015205	0.018601	0.021989
MAN1A1	0.0	0.059216	0.040309	0.087185
MANEA	0.438628	0.296637	0.186628	0.334806
MAP3K13	1.0	0.172285	0.799959	0.166574
MAP4K1	0.017788	0.465427	0.089642	0.442901
MAP4K2	0.068143	0.57375	0.135898	1.0
MAP9	0.970353	0.917723	1.0	0.849856
MARCO	0.035451	0.199359	0.53891	0.02343
MAST1	0.032637	0.014614	0.046851	0.021604
MBL2	0.100462	0.155694	0.287545	0.383378
MEFV	0.04325	0.087904	0.055827	0.065423
MEP1A	0.0	0.009531	0.005694	0.006002
MICAL3	0.319406	1.0	0.744357	0.795197
MMP25	0.0	0.01255	0.008965	0.010237
MMP9	0.001239	0.002532	0.0	0.000505
MNDA	0.004273	0.056901	0.027263	0.023511
MROH7	0.065901	0.024674	0.054744	0.063559
MS4A1	0.0117	0.860169	0.152505	1.0
MS4A2	0.004996	0.0	0.003529	0.003355
MS4A3	0.011795	0.000799	0.012352	0.005713
MS4A6A	0.003636	0.339395	0.348996	0.061293
MSC	0.201828	0.034188	0.159014	0.028626
MXD1	0.038563	0.055162	0.08024	0.04431
MYB	0.0	0.017757	0.008538	0.019766
MZB1	0.001694	0.043979	0.030408	0.110617
NAALADL1	0.185031	0.572516	0.250977	0.483031
NCF2	0.001935	0.016498	0.027992	0.009765
NCR3	0.008331	0.522859	0.023502	0.365881
NFE2	0.011261	0.01324	0.009837	0.016628
NIPSNAP3B	0.016402	0.048122	0.00369	0.054439
NKG7	0.005832	0.132984	0.328356	0.204557
NLRP3	0.076024	0.204971	0.228878	0.169427
NMBR	0.050239	0.011952	0.007227	0.0
NME8	0.037933	0.140102	0.125471	0.17102
NOD2	0.024069	0.051457	0.055128	0.060111
NOX3	0.040751	0.051592	0.053426	0.039424
NPAS1	0.168944	0.147663	0.031097	0.137693
NPIPB15	0.022081	0.024589	0.023489	0.017492
NPL	0.082519	0.105978	0.193344	0.025723
NR4A3	0.0	0.036969	0.266859	0.010801
NTN3	0.128324	0.024752	0.039718	0.058348
NTRK1	0.0	0.039031	0.034047	0.025492
ORC1	0.150841	0.150174	0.157982	0.229992
OSM	0.022039	0.059219	0.082306	0.045797
P2RX1	0.0	0.023607	0.006847	0.025635
P2RX5	0.005154	0.179184	0.015718	0.291746
P2RY10	0.014174	1.0	0.259166	0.785474
P2RY13	0.004779	0.026923	0.016157	0.0177
P2RY14	0.002926	0.036727	0.007486	0.034451
P2RY2	0.02384	0.04687	0.061972	0.048505
PADI4	0.038419	0.077482	0.038412	0.054802
PAQR5	0.164344	0.0	0.12078	0.037941
PASK	0.0	0.253239	0.012098	0.093298
PAX7	0.041816	0.019939	0.003188	0.001881
PBXIP1	0.090545	1.0	0.371734	0.884951
PCDHA5	0.154765	0.080135	0.223286	0.062937
PDCD1	0.0	0.04112	0.025196	0.044079
PDCD1LG2	0.041653	0.110591	0.14123	0.069694
PDE6C	0.456948	1.0	0.28755	0.68195
PDK1	1.0	0.29867	0.141599	0.362779
PGLYRP1	0.002924	0.010972	0.003181	0.002967
PIK3IP1	0.0	0.766938	0.079252	0.359809
PKD2L2	0.146358	0.274082	0.210266	0.281408
PLA1A	0.113091	0.006114	1.0	0.01245
PLA2G7	0.005691	0.03033	0.022646	0.009482
PLCH2	0.035609	0.063923	0.045768	0.065529
PLEKHF1	0.008689	0.034712	0.018784	0.047148
PLEKHG3	0.173718	0.05365	0.462326	0.050465
PMCH	0.0036	0.00946	0.006357	0.013483
PNOC	0.006237	0.076735	0.013249	0.121577
PPBP	0.014103	0.0	0.003149	0.0013
PPFIBP1	1.0	0.051001	0.112467	0.064932
PRF1	0.001564	0.018089	0.0799	0.017214
PRG2	0.001178	0.00022	0.001227	0.0
PRR5L	0.046529	0.145669	0.116755	0.247762
PSG2	0.006394	0.001544	0.000458	0.0
PTGDR	0.001639	0.025505	0.00903	0.036044
PTGER2	0.005578	0.031438	0.013794	0.017461
PTGIR	0.0	0.020819	0.005243	0.022944
PTPRCAP	0.007557	0.451473	0.042834	0.576939
PTPRG	1.0	0.068193	0.348501	0.080795
PVRIG	0.006394	0.023887	0.013047	0.029684
QPCT	0.079882	0.0139	1.0	0.021502
RAB27B	0.018895	0.068554	0.031722	0.061782
RALGPS2	0.041408	0.935019	0.049673	1.0
RASA3	0.402072	1.0	0.197014	0.784051
RASGRP2	0.00442	0.506643	0.053687	0.469905
RASGRP3	0.025331	0.437366	0.090055	0.655808
RASSF4	0.037889	0.049152	0.153485	0.032449
RCAN3	0.253079	1.0	0.329285	0.75482
REN	0.0	0.012402	0.011687	0.088676
RENBP	0.177603	0.098391	0.576994	0.066479
REPS2	0.055521	0.060579	0.079138	0.077712
RGS1	0.107804	0.652733	1.0	0.652733
RGS13	0.008232	0.116097	0.019641	0.548674
RNASE2	0.003183	0.007033	0.018839	0.0
RNASE6	0.018091	0.330377	0.062808	0.376225
RPL10L	0.003173	0.002365	0.00936	0.003431
RRP12	0.101518	0.157248	0.324135	0.14615
RRP9	0.305143	0.315448	0.501702	0.306966
RSAD2	0.0	0.00751	0.008863	0.008143
RYR1	0.01514	0.033019	0.036159	0.031155
S100A12	0.003629	0.005051	0.005225	0.0
S1PR5	0.044163	0.121416	0.068789	0.148907
SAMSN1	0.0	0.322192	0.176916	0.223741
SCN9A	0.094379	0.199004	0.091966	0.194747
SEC31B	0.04501	0.077501	0.068933	0.077697
SELL	0.009053	0.980295	0.269716	1.0
SERGEF	0.492619	1.0	0.784525	0.500793
SH2D1A	0.01896	0.34901	0.262758	0.502533
SIGLEC1	0.0	0.017623	0.013583	0.000976
SIK1	0.199734	0.471743	0.544082	0.062635
SIRPG	0.015361	0.639072	0.591795	0.644292
SIT1	0.0	0.23919	0.027847	0.341056
SKA1	0.420524	0.306992	0.365221	0.403594
SKAP1	0.0	0.384649	0.077751	0.268156
SLAMF1	0.012727	0.102442	0.033363	0.135477
SLAMF8	0.005163	0.064976	0.288708	0.02607
SLC12A1	0.339513	0.239311	0.170536	0.137268
SLC12A8	0.065933	0.094145	0.076991	0.122345
SLC15A3	0.013723	0.067984	0.030677	0.050668
SLC2A6	0.005518	0.017999	0.01008	0.01923
SLC7A10	0.017071	0.069966	0.002703	0.102002
SLCO5A1	0.007948	0.064907	0.011443	0.070304
SMPD3	0.013239	0.053893	0.024116	0.049631
SMPDL3B	0.333296	0.350787	0.367954	0.364455
SOCS1	0.006974	0.039276	0.022332	0.03054
SP140	0.016205	0.936056	0.114935	1.0
SPAG4	0.065476	0.019108	0.019189	0.013745
SPOCK2	0.0	0.749004	0.104124	0.780401
SSX1	1.0	0.012384	0.028293	0.010019
ST3GAL6	1.0	0.010458	0.500447	0.011247
ST6GALNAC4	0.0	0.094648	0.010463	0.080247
ST8SIA1	0.058973	0.066758	0.049122	0.062446
STAP1	0.009188	0.777688	0.030881	1.0
STEAP4	0.059245	0.091203	0.059245	0.100522
STXBP6	0.712999	0.150684	1.0	0.265662
TBX21	0.0	0.023042	0.019332	0.018998
TCF7	0.019277	1.0	0.102367	0.560642
TCL1A	0.0	0.251564	0.012785	0.618673
TEC	0.173127	0.719188	0.42966	0.723438
TEP1	0.485157	0.920901	0.564977	0.937556
TGM5	0.0	0.008026	0.041184	0.008887
TLR2	0.013509	0.007995	0.024116	0.002013
TLR7	0.037113	0.179178	0.112655	0.205148
TLR8	0.015553	0.053011	0.065426	0.033585
TMEM156	0.024186	0.822395	0.098849	1.0
TMEM255A	0.039195	0.081911	0.443383	0.087811
TNFAIP6	0.002635	0.000325	0.000922	0.0
TNFRSF11A	0.103338	0.057146	0.045418	0.067246
TNFRSF13B	0.0	0.503098	0.039051	0.461609
TNFRSF17	0.001402	0.024274	0.01026	0.049583
TNFRSF4	0.015246	0.019897	0.012178	0.031927
TNFSF14	0.017247	0.030012	0.018762	0.039072
TNIP3	0.011371	0.070619	0.080855	0.088634
TPSAB1	0.00064	0.002809	3.2e-05	0.000411
TRAF4	0.641381	1.0	0.318219	0.810565
TRAT1	0.022101	0.366286	0.195291	0.280814
TREM1	0.034208	0.004289	0.026484	0.006528
TREM2	0.008406	0.014565	0.07888	0.010422
TREML2	0.016405	0.241677	0.033461	0.442877
TRIB2	0.66396	0.079203	0.653888	0.089851
TRPM4	0.221828	0.141311	0.16743	0.128901
TRPM6	0.057791	0.065552	0.046182	0.069767
TSHR	0.111837	0.236184	0.158048	0.209078
TTC38	0.04956	0.045526	0.05473	0.049043
TXK	0.0	0.150894	0.021432	0.067813
TYR	0.830998	0.002265	1.0	0.007322
UBASH3A	0.015276	0.096601	0.048808	0.089765
UGT1A8	0.000325	0.028035	0.001122	0.0
UGT2B17	0.064201	0.31993	0.10855	0.0
UPK3A	0.046869	0.274625	0.113712	0.152798
VILL	0.09773	0.187168	0.119231	0.156514
VNN1	0.031056	0.064198	0.037631	0.046194
VNN2	0.003292	0.058693	0.00846	0.135335
VNN3	0.006153	0.010284	0.00852	0.012028
VPREB3	0.005708	0.750976	0.014737	1.0
WNT5B	0.057119	0.126316	0.065005	0.132872
WNT7A	0.0	0.185462	0.079463	0.178933
ZAP70	0.00415	0.041964	0.022164	0.040329
ZBP1	0.066342	0.48938	0.279024	0.540707
ZBTB10	1.0	0.730849	0.836655	0.161724
ZBTB32	0.149158	0.514232	0.318294	0.373158
ZFP36L2	0.152943	1.0	0.437305	0.697602
ZNF135	0.448114	0.598967	0.394893	0.524175
ZNF165	0.010235	0.030388	0.017842	0.020884
ZNF222	0.271163	0.2873	0.253609	0.346283
ZNF286A	0.376112	0.210019	0.117814	0.304432
ZNF324	0.188183	0.271314	0.205278	0.242011
ZNF442	0.222817	0.583311	0.285777	0.424198
