Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
BCL11B	0.048457	0.03231	0.067577	0.054177	0.069407	0.081405	0.060982	0.074791
BCL2A1	0.028217	0.031582	0.025077	0.025332	0.174158	0.14879	0.060995	0.048374
BCL7A	0.032005	0.035071	0.034678	0.041271	0.04174	0.046513	0.035398	0.040964
BEND5	0.030661	0.046841	0.034769	0.063937	0.051546	0.062917	0.062133	0.055739
BFSP1	0.207035	0.294939	0.28548	0.247318	0.226656	0.236734	0.21868	0.226422
BHLHE41	0.001397	0.001577	0.001671	0.002549	0.003668	0.003612	0.002746	0.003517
BIRC3	0.078498	0.045904	0.097205	0.089719	0.080891	0.107596	0.088866	0.066912
BLK	0.069661	0.069975	0.07196	0.136513	0.151203	0.163494	0.085624	0.106676
BMP2K	0.03903	0.037542	0.032237	0.032718	0.044633	0.046128	0.039973	0.040398
BPI	0.10106	0.117408	0.132553	0.115857	0.128393	0.145571	0.115259	0.136157
BRAF	0.003626	0.000609	0.002174	0.000306	0.000609	0.0	0.004018	0.0018
BRSK2	0.38694	0.450548	0.324464	0.40105	0.45657	0.469291	0.414219	0.469977
BST1	0.740586	0.895331	0.590229	0.502678	1.0	0.868795	0.969956	0.902761
BTNL8	0.021483	0.020765	0.018032	0.017421	0.030706	0.025008	0.016403	0.016403
C11ORF80	0.020981	0.030196	0.024837	0.032716	0.035014	0.028985	0.022008	0.024908
C1ORF54	0.011473	0.018377	0.011702	0.014579	0.015944	0.016031	0.01076	0.014155
C3AR1	0.038286	0.06788	0.028468	0.041777	0.046108	0.042694	0.037635	0.023994
C5AR1	0.176717	0.210354	0.120147	0.102738	0.263448	0.238158	0.141207	0.146722
C5AR2	0.381864	0.507418	0.324852	0.342335	0.453953	0.354237	0.40886	0.36199
CA8	0.147386	0.159854	0.166402	0.20094	0.166692	0.189143	0.114112	0.151688
CAMP	0.059472	0.040694	0.065396	0.056943	0.348727	0.328488	0.117784	0.220366
CASP5	0.156663	0.184199	0.11559	0.121324	0.13481	0.136879	0.128088	0.112688
CCDC102B	0.259975	0.255135	0.25653	0.278913	0.22941	0.270203	0.246704	0.265285
CCL1	0.011289	0.017153	0.014407	0.000366	0.01575	0.0	0.001848	0.000469
CCL13	0.0	2e-06	3e-06	2e-06	0.000195	3e-05	0.001318	2.7e-05
CCL14	0.00023	1.5e-05	0.006081	0.000227	0.00581	0.0	0.000246	0.000271
CCL17	0.001977	0.0	0.001936	3e-06	0.002359	0.002085	6.7e-05	1e-05
CCL18	0.001019	0.00099	0.0001	0.001004	0.000938	1.7e-05	0.000125	0.0
CCL19	0.000428	0.000395	0.0	0.0005	5.2e-05	3.8e-05	3.4e-05	3.6e-05
CCL20	0.003823	0.004564	0.0	0.004163	0.00463	0.00393	0.003593	0.005092
CCL22	0.000976	0.000866	0.000915	0.000761	0.000922	0.00095	0.000905	0.000789
CCL23	0.004232	0.005372	0.003486	0.004734	0.0	0.001244	0.001281	0.003602
CCL4	0.032378	0.026666	0.014666	0.022612	0.014973	0.005473	0.007194	0.010938
CCL5	0.501505	0.418708	0.461576	0.481823	0.549131	0.490892	0.511439	0.576444
CCL7	6.7e-05	0.0	5e-06	0.0	0.001333	0.000172	0.00908	0.000155
CCL8	0.0	0.002004	0.000334	0.002025	0.003384	0.003892	0.003598	0.002697
CCND2	0.029891	0.025204	0.037637	0.035162	0.022859	0.023456	0.027712	0.02455
CCR10	0.001494	0.028186	0.006691	0.017966	0.004997	0.0	0.001281	0.014559
CCR2	0.494109	0.583114	0.411032	0.369696	0.507588	0.509679	0.846843	0.518979
CCR3	0.009404	0.010163	0.010247	0.011825	0.012785	0.012315	0.010896	0.012589
CCR5	0.025599	0.025138	0.021316	0.021353	0.038623	0.03057	0.045049	0.043479
CCR6	0.149119	0.135998	0.149913	0.165483	0.198416	0.181733	0.183331	0.194129
CCR7	0.186787	0.139093	0.235489	0.259424	0.216395	0.228537	0.28559	0.261166
CD160	0.108152	0.151022	0.088266	0.140774	0.071153	0.052537	0.079028	0.069828
CD180	0.022857	0.034053	0.032802	0.036896	0.050912	0.062954	0.070583	0.046341
CD19	0.008256	0.009574	0.008698	0.018194	0.033183	0.032437	0.018704	0.022317
CD1A	0.000568	0.001176	0.000648	3.9e-05	0.000227	0.000248	0.000254	0.0
CD1B	0.001281	0.000967	0.001102	0.000884	0.000558	0.000624	0.000703	7.7e-05
CD1C	0.013603	0.012777	0.013849	0.016004	0.01519	0.015198	0.01176	0.013514
CD1D	0.660077	0.582205	0.467559	0.338247	0.419938	0.308546	0.346049	0.319618
CD1E	0.002163	0.002227	0.001495	0.002586	0.0	7.4e-05	0.00016	0.000889
CD2	0.320577	0.223643	0.363471	0.342258	0.342656	0.363492	0.405997	0.394299
CD209	0.012966	0.01457	0.012393	0.011355	0.011584	0.010314	0.009986	0.010158
CD22	0.060278	0.07473	0.066462	0.130174	0.175289	0.218813	0.107266	0.109847
CD244	0.479636	0.49986	0.45749	0.431657	0.321923	0.269432	0.279831	0.302576
CD247	0.54766	0.49366	0.543746	0.544925	0.436362	0.382208	0.463126	0.478
CD27	0.355747	0.289833	0.44075	0.543893	0.408374	0.442795	0.53855	0.557272
CD28	0.152227	0.101379	0.208577	0.196151	0.191748	0.245891	0.27702	0.2306
CD300A	0.839655	0.938024	0.753526	0.793098	0.614073	0.558842	0.464653	0.516562
CD33	0.868058	1.0	0.836247	0.637906	0.735697	0.735697	0.842094	0.745823
CD37	0.962648	0.920522	0.919182	0.962648	0.941417	0.991331	0.997362	1.0
CD38	0.007057	0.01019	0.008712	0.015302	0.005575	0.005702	0.004416	0.006899
CD3D	0.282455	0.269441	0.383741	0.386598	0.393517	0.415624	0.432271	0.432092
CD3E	0.746884	0.683189	0.83833	0.870526	0.890852	0.909085	0.990943	1.0
CD3G	0.388433	0.239981	0.512211	0.461858	0.528276	0.505661	0.673156	0.522032
CD4	0.682657	0.652803	0.631696	0.623281	0.59234	0.62036	0.722531	0.708014
CD40	0.002445	0.004713	0.001627	0.002896	0.005124	0.005902	0.001575	0.00153
CD40LG	0.388733	0.250527	0.404418	0.442531	0.503142	0.541075	0.855921	0.713045
CD5	0.315177	0.258827	0.495408	0.461646	0.464325	0.536973	0.634229	0.743689
CD6	0.627509	0.579876	0.839275	0.867713	0.765137	0.834989	0.937749	1.0
CD68	0.894634	1.0	0.802339	0.79469	0.784777	0.774058	0.813952	0.816184
CD69	0.090671	0.070513	0.109733	0.153375	0.251034	0.274585	0.054629	0.121928
CD7	0.910846	1.0	0.958224	0.97725	0.694197	0.625087	0.808822	0.905305
CD70	0.007154	0.003079	0.005961	0.009078	0.005238	0.005669	0.0	0.005746
CD72	0.113597	0.115818	0.110717	0.14648	0.140575	0.129385	0.111542	0.115976
CD79A	0.068236	0.08003	0.077197	0.191472	0.249629	0.244762	0.147745	0.23154
CD79B	0.121875	0.153136	0.115617	0.260958	0.377304	0.369646	0.215789	0.255429
CD80	0.0	0.002807	9.9e-05	0.0026	0.002938	0.001196	0.001034	0.002006
CD86	0.147533	0.122181	0.109486	0.082095	0.175512	0.170626	0.158814	0.1516
CD8A	0.08156	0.07396	0.089908	0.109045	0.128496	0.11966	0.147376	0.142885
CD8B	0.285541	0.244659	0.409293	0.471866	0.491836	0.488926	0.617572	0.607132
CD96	0.366188	0.249185	0.428173	0.45783	0.40823	0.500883	0.5285	0.524147
CDA	0.163614	0.193228	0.124689	0.123686	0.529893	0.357699	0.419368	0.540259
CDC25A	0.072707	0.059846	0.061908	0.065636	0.056877	0.050423	0.074917	0.056609
CDH12	0.050652	0.0	0.041935	0.042287	0.061797	0.049281	0.068572	0.07153
CDHR1	0.206988	0.200331	0.223209	0.237088	0.173583	0.152126	0.194373	0.206248
CDK6	0.291806	0.263764	0.296443	0.302793	0.303418	0.347271	0.276584	0.26949
CEACAM3	0.021065	0.02397	0.014752	0.015004	0.022352	0.01045	0.003056	0.007935
CEACAM8	0.023958	0.020555	0.029775	0.025744	0.038606	0.040994	0.031497	0.040317
CEMP1	0.946693	1.0	0.867214	0.977411	0.711078	0.761455	0.816023	0.89862
CFP	0.797355	1.0	0.744047	0.700248	0.803561	0.774959	0.889434	0.876942
CHI3L1	0.005152	0.00574	0.005515	0.006253	0.010154	0.009098	0.006096	0.007252
CHI3L2	0.007895	0.008319	0.019752	0.017055	0.0	0.006334	0.00401	0.007424
CHST15	0.163132	0.152669	0.120782	0.105953	0.155742	0.154013	0.123859	0.107361
CHST7	0.021535	0.02881	0.019715	0.018201	0.020917	0.023738	0.023114	0.024981
CLC	0.075389	0.056756	0.072334	0.07955	0.119363	0.112678	0.088522	0.115702
CLCA3P	0.576283	0.573147	0.650162	0.652409	0.548713	0.579966	0.615099	0.343583
CLEC10A	0.10322	0.110515	0.076013	0.087321	0.035897	0.031713	0.02802	0.031298
CLEC2D	0.397744	0.208005	0.401166	0.409368	0.543708	0.625516	0.645732	0.585322
CLEC4A	0.16587	0.147578	0.114098	0.097786	0.163045	0.171709	0.163915	0.132138
CLEC7A	1.0	0.801363	0.800178	0.657472	0.966145	0.911275	0.882095	0.713533
CLIC2	0.011709	0.01222	0.011865	0.011743	0.009963	0.010896	0.010992	0.011478
CMA1	0.007574	0.001277	0.0	0.001114	0.007751	0.001299	0.001368	0.00113
COL8A2	0.026573	0.028897	0.024959	0.022554	0.022987	0.022764	0.023366	0.025352
COLQ	0.299832	0.332447	0.299024	0.317026	0.222365	0.199691	0.207346	0.222672
CPA3	0.003293	0.002542	0.002734	0.002981	0.002936	0.003288	0.002959	0.003548
CR2	0.029998	0.037812	0.037742	0.046511	0.037269	0.042561	0.036217	0.036076
CREB5	0.095618	0.117157	0.085088	0.069632	0.121451	0.109352	0.119829	0.099211
CRISP3	0.06006	0.047253	0.075702	0.061843	0.105583	0.120739	0.083219	0.090598
CRTAM	0.070661	0.062403	0.071686	0.077543	0.075759	0.07724	0.078662	0.081804
CRYBB1	0.122435	0.15845	0.151503	0.150015	0.101577	0.118053	0.151081	0.113924
CSF1	0.058583	0.077826	0.072747	0.057388	0.075739	0.069388	0.060121	0.070411
CSF2	0.0	2.2e-05	0.000373	0.0	0.006501	0.000205	0.000345	0.009045
CSF3R	0.957731	1.0	0.917281	0.889162	0.990565	0.823796	0.957965	0.957618
CST7	0.531784	0.476493	0.454434	0.4346	0.254924	0.164734	0.226309	0.318098
CTLA4	0.020312	0.017904	0.025566	0.027172	0.034473	0.03418	0.025948	0.029109
CTSG	0.0	0.003078	0.001635	0.001699	0.005747	0.004423	0.002771	0.008727
CTSW	0.808714	0.816205	0.720333	0.813727	0.509305	0.44413	0.514484	0.579651
CXCL10	0.000384	0.001216	0.000639	0.000174	0.000922	0.0009	0.0	1e-05
CXCL11	0.001536	0.001511	0.001953	0.001071	0.001436	0.001917	0.001262	0.001722
CXCL13	0.000109	0.001133	0.001133	0.001138	0.001054	0.000129	0.000104	0.001194
CXCL3	0.00104	0.000976	0.00082	0.000352	0.001396	0.001136	0.001245	0.000446
CXCL5	0.003889	0.003492	0.004438	0.003476	0.008464	0.008831	0.006361	0.004963
CXCL9	0.000431	0.000498	0.000275	0.000332	0.00031	0.0003	0.0	0.000181
CXCR1	0.005479	0.006047	0.002804	0.006366	0.023821	0.003377	0.001817	0.000511
CXCR2	0.007847	0.008671	0.006467	0.007894	0.022519	0.006284	0.005474	0.005517
CXCR5	0.02603	0.028537	0.027828	0.036264	0.041017	0.037776	0.042387	0.045803
CXCR6	0.014089	0.009577	0.010058	0.012978	0.017501	0.008827	0.025354	0.027708
CXORF57	0.196686	0.18126	0.210449	0.204071	0.221225	0.211668	0.199715	0.202518
CYP27A1	0.068047	0.085996	0.069738	0.048462	0.038494	0.035905	0.037269	0.034472
CYP27B1	0.000548	0.001156	0.001356	0.001512	0.0	0.000925	0.000877	0.000886
DACH1	0.110822	0.112995	0.118662	0.108512	0.112588	0.11151	0.100618	0.11325
DAPK2	0.048338	0.04349	0.043784	0.049003	0.051254	0.051533	0.05032	0.049507
DCSTAMP	0.003152	0.000364	0.0	0.002497	0.002266	0.0032	0.000435	0.000293
DEFA4	0.009899	0.017579	0.032993	0.020525	0.03575	0.025137	0.015214	0.028452
DENND5B	0.161926	0.164206	0.164226	0.193934	0.172053	0.194863	0.174945	0.162586
DEPDC5	0.164992	0.18891	0.176246	0.18502	0.133957	0.147032	0.155052	0.167137
DGKA	0.837393	0.71375	0.922167	0.996525	0.892784	0.908745	1.0	0.967432
DHRS11	0.039241	0.03736	0.035642	0.03875	0.035107	0.032039	0.035408	0.040778
DHX58	0.207025	0.301718	0.252711	0.240048	0.236768	0.216956	0.206418	0.217611
DPEP2	0.754687	0.76469	0.742518	0.861134	0.685733	0.662372	0.758084	0.808085
DPP4	0.119106	0.114818	0.14134	0.158661	0.214997	0.244687	0.174956	0.171024
DSC1	0.080469	0.070619	0.082371	0.088368	0.061863	0.075631	0.074176	0.076493
DUSP2	0.227035	0.187964	0.148046	0.25958	0.402318	0.318388	0.092576	0.287598
EAF2	0.012355	0.01399	0.001811	0.016701	0.014336	0.017032	0.0	0.008156
EBI3	0.000967	0.001232	0.000949	0.000878	0.00146	0.001594	0.000916	0.00144
EFNA5	0.070249	0.079686	0.065787	0.067814	0.062361	0.069759	0.066003	0.069526
EGR2	0.000748	0.003515	0.001004	0.006051	0.046464	0.07763	0.004522	0.002534
ELANE	0.007541	0.014878	0.011036	0.007712	0.012771	0.013672	0.009962	0.017621
EPB41	0.8302	0.569018	1.0	0.947402	0.778725	0.869221	0.874021	0.831907
EPHA1	0.125649	0.109848	0.128696	0.164576	0.060148	0.062795	0.069036	0.064666
EPN2	0.083624	0.073616	0.08069	0.092595	0.076265	0.070199	0.079407	0.084583
ETS1	0.970381	0.738027	0.989684	1.0	0.873262	0.954474	0.93386	0.94852
ETV3	0.05278	0.056048	0.052633	0.056347	0.054811	0.050873	0.057526	0.050873
FAM124B	0.055027	0.045048	0.052552	0.06151	0.057202	0.054282	0.057783	0.052332
FAM174B	0.009241	0.015417	0.013282	0.016211	0.005016	0.0	0.005021	0.004556
FAM198B	0.772066	0.848482	0.66437	0.556039	0.75774	0.789917	0.876664	0.560012
FAM212B	0.128244	0.132906	0.114285	0.130986	0.172791	0.149259	0.115701	0.138448
FASLG	0.03151	0.032002	0.021569	0.015169	0.003834	0.002559	0.008507	0.005453
FBXL8	0.360653	0.479494	0.393501	0.359682	0.405292	0.320423	0.390204	0.467392
FCER1A	0.506696	0.278749	0.457929	0.531735	0.469051	0.51445	0.448103	0.488264
FCER2	0.143276	0.171469	0.136899	0.243366	0.346364	0.260557	0.227501	0.260969
FCGR2B	0.02875	0.051393	0.029897	0.050003	0.041722	0.033996	0.024047	0.028267
FCGR3B	0.000502	0.001098	0.0	0.001297	0.058112	0.004334	0.001036	0.001124
FCN1	0.733783	0.788674	0.64083	0.615213	0.6628	0.645538	0.6628	0.668749
FCRL2	0.030587	0.030749	0.029749	0.049221	0.12423	0.147077	0.080695	0.072449
FES	0.740458	1.0	0.603058	0.550821	0.513327	0.446282	0.56943	0.557312
FFAR2	0.014112	0.019193	0.015885	0.014888	0.054556	0.029716	0.016226	0.014016
FLT3LG	0.702348	0.833189	0.867943	0.923337	0.912749	1.0	0.961631	0.98428
FLVCR2	0.027939	0.039785	0.019872	0.02242	0.02799	0.025921	0.027147	0.024374
FOSB	0.006259	0.008171	0.006147	0.014319	0.21228	0.380304	0.006025	0.009571
FOXP3	0.028194	0.035455	0.034933	0.036664	0.026632	0.028399	0.02724	0.032885
FPR1	0.17439	0.209055	0.140335	0.142745	0.198686	0.157994	0.148868	0.130817
FPR2	0.057975	0.083114	0.053642	0.041819	0.103363	0.068833	0.069834	0.046244
FPR3	0.004569	0.004851	0.002436	0.003786	0.001131	0.001239	0.0	0.002027
FRK	0.09326	0.118746	0.101855	0.093022	0.088269	0.093922	0.036328	0.094003
FRMD4A	0.051219	0.049064	0.049797	0.053231	0.049946	0.05493	0.054741	0.054841
FRMD8	0.420594	0.470249	0.417948	0.405708	0.341456	0.297164	0.340607	0.364798
FZD2	0.091217	0.122998	0.076939	0.074875	0.090005	0.077564	0.088156	0.099123
FZD3	0.018746	0.017802	0.019863	0.022917	0.013192	0.015538	0.02036	0.019991
GAL3ST4	0.107344	0.090965	0.115673	0.114053	0.09428	0.102821	0.120219	0.129472
GALR1	0.305908	0.288562	0.261929	0.287182	0.249258	0.272548	0.263991	0.282609
GFI1	0.102	0.09348	0.09143	0.108586	0.087475	0.074974	0.089178	0.092977
GGT5	0.058854	0.057452	0.044589	0.039384	0.039384	0.035921	0.033003	0.065009
GIPR	0.587972	0.575585	0.606169	0.570176	0.621839	0.620643	0.604961	0.700351
GNG7	0.026266	0.028922	0.024049	0.035361	0.033204	0.032034	0.024557	0.032703
GNLY	0.801218	0.777713	0.7523	0.756811	0.58685	0.504945	0.589408	0.632473
GPC4	0.006806	0.006974	0.000775	0.003651	0.002155	0.004239	0.003908	0.0
GPR1	0.714962	0.680886	0.631651	0.57857	0.582061	0.536819	0.576094	0.572847
GPR171	0.027416	0.018238	0.027416	0.019333	0.036367	0.035166	0.0418	0.039384
GPR18	0.020167	0.020262	0.020158	0.020367	0.029168	0.029842	0.040014	0.030066
GPR183	0.077383	0.046391	0.101082	0.094829	0.115905	0.180554	0.231585	0.179176
GPR19	0.074399	0.066688	0.087965	0.077943	0.106546	0.121494	0.139425	0.123673
GPR25	0.441144	0.522947	0.406487	0.463893	0.345722	0.377965	0.383754	0.458562
GPR65	0.086682	0.049365	0.04962	0.050365	0.057819	0.051012	0.060815	0.051213
GRAP2	0.5432	0.484905	0.601835	0.604013	0.784602	0.825781	1.0	0.827386
GSTT1	0.142723	0.152263	0.143617	0.162981	0.070359	0.074495	0.073613	0.072894
GUSBP11	0.057596	0.056808	0.060796	0.06893	0.053948	0.053148	0.056651	0.057876
GYPE	0.560374	0.510544	0.664641	0.624292	0.397732	0.358479	0.374923	0.331972
GZMA	0.274761	0.237826	0.261541	0.215984	0.197919	0.169463	0.193177	0.222919
GZMB	0.421764	0.37868	0.345185	0.334832	0.096036	0.055595	0.089301	0.109425
GZMH	0.505456	0.459556	0.418982	0.418428	0.054616	0.042395	0.061755	0.077607
GZMK	0.05377	0.029094	0.068951	0.068931	0.176184	0.157654	0.148215	0.169222
GZMM	0.919927	1.0	0.891673	0.974927	0.712374	0.60112	0.623156	0.889531
HAL	0.022237	0.024137	0.018091	0.016286	0.031231	0.022702	0.030343	0.024313
HCK	0.756046	1.0	0.663255	0.632881	0.871459	0.767636	0.860729	0.770038
HDC	0.068641	0.059275	0.081628	0.098602	0.06871	0.070188	0.064271	0.076488
HESX1	0.012801	0.01098	0.009989	0.007463	0.008586	0.010617	0.013364	0.007737
HHEX	0.116061	0.106006	0.097206	0.076572	0.116793	0.097231	0.112513	0.111948
HIC1	0.478855	0.640928	0.555289	0.454918	0.481338	0.434709	0.514638	0.483451
HIST1H2AE	0.111247	0.12603	0.118633	0.100014	0.150142	0.208294	0.148195	0.172328
HIST1H2BG	0.027737	0.038783	0.033554	0.043686	0.06533	0.07065	0.048909	0.071734
HK3	0.844811	1.0	0.710238	0.713076	0.860985	0.746776	0.804652	0.843181
HLA-DOB	0.023561	0.027062	0.025345	0.031374	0.037572	0.047763	0.02588	0.027631
HLA-DQA1	0.321532	0.378858	0.228963	0.330894	0.115121	0.123924	0.062347	0.087469
HNMT	0.328563	0.274901	0.254024	0.247214	0.31631	0.229105	0.255582	0.220107
HOXA1	0.03319	0.031142	0.02812	0.030373	0.030419	0.020756	0.031625	0.031104
HPGDS	0.000426	0.000132	0.000294	0.00015	5.3e-05	0.0	0.000161	0.000309
HPSE	0.201191	0.274663	0.202548	0.146448	0.139595	0.157961	0.117786	0.134219
HRH1	0.000522	0.0	0.000367	0.000404	0.000469	0.001375	0.002367	0.001086
HSPA6	0.069754	0.134665	0.056095	0.050282	0.068432	0.047709	0.047873	0.044926
HTR2B	0.050293	0.039933	0.04186	0.007579	0.047789	0.044804	0.039438	0.046009
ICA1	0.001652	0.0	0.000616	0.000271	0.002225	0.002402	0.000457	0.001252
ICOS	0.017144	0.014688	0.031505	0.023862	0.02546	0.025058	0.023759	0.025497
IDO1	0.000291	0.000752	0.000426	0.000689	0.000445	4.8e-05	0.0	5.6e-05
IFI44L	0.012455	0.016385	0.019854	0.013374	0.023229	0.025421	0.015326	0.013158
IFNA10	0.031844	0.031099	0.02687	0.029124	0.029528	0.034351	0.033751	0.027946
IFNG	0.001752	0.000303	0.002624	0.0	0.000783	0.000888	0.001098	0.000271
IGSF6	0.329441	0.405064	0.311438	0.234529	0.338024	0.323558	0.333454	0.245239
IL12B	0.005532	0.00284	0.005856	0.004377	0.006326	0.005096	0.005615	0.005391
IL12RB2	0.046339	0.04541	0.046936	0.047212	0.035003	0.032385	0.03492	0.036467
IL17A	0.024567	0.025744	0.021901	0.022525	0.02016	0.025981	0.025282	0.021958
IL18R1	0.090378	0.051031	0.083777	0.068825	0.058662	0.05153	0.049953	0.057087
IL18RAP	0.212994	0.170756	0.179588	0.155644	0.069242	0.045191	0.066863	0.088981
IL1A	0.004452	0.000434	0.000481	0.000454	0.0	0.000151	0.001588	0.000305
IL1B	0.000363	0.001833	0.0	0.000538	0.013791	0.018299	0.000121	0.000396
IL1RL1	0.027529	0.023064	0.025086	0.027701	0.022207	0.02138	0.016707	0.017781
IL21	0.000866	0.008009	0.001431	0.00537	0.0	0.000893	0.001295	0.001116
IL26	0.091828	0.065615	0.073802	0.065615	0.093904	0.090453	0.115263	0.104829
IL2RA	0.0192	0.017013	0.019013	0.018949	0.016874	0.017009	0.016131	0.015845
IL2RB	0.33917	0.358841	0.354914	0.316158	0.130567	0.107402	0.1609	0.198886
IL3	0.000806	0.000778	0.00718	0.000801	0.00099	0.007527	0.008423	0.000735
IL4	0.144699	0.175139	0.138858	0.171136	0.253717	0.220421	0.184088	0.198072
IL4R	0.143928	0.162952	0.16405	0.227561	0.230108	0.244014	0.224856	0.229758
IL5	0.057063	0.038476	0.006817	0.039282	0.046446	0.040834	0.000929	0.040292
IL5RA	0.031463	0.038167	0.04383	0.03715	0.041774	0.040593	0.031635	0.043709
IL7	0.038239	0.036447	0.030636	0.035448	0.046859	0.060785	0.038674	0.054132
IL7R	0.563376	0.376532	0.570582	0.577037	0.513855	0.573806	0.596467	0.588256
IL9	0.001339	0.001401	0.00122	0.001219	0.00115	0.001397	0.001744	0.00125
IRF8	0.241773	0.228846	0.234595	0.253058	0.234506	0.26222	0.17873	0.183527
ITK	0.251747	0.158981	0.271449	0.273226	0.231602	0.295162	0.296823	0.271449
KCNA3	0.233662	0.208417	0.320699	0.297489	0.289725	0.311018	0.331102	0.321677
KCNG2	0.069491	0.121096	0.082653	0.09841	0.09117	0.048323	0.055804	0.070763
KIR2DL1	0.298826	0.284775	0.229487	0.221585	0.121679	0.09296	0.148156	0.150078
KIR2DL4	0.012428	0.015071	0.009754	0.013765	0.00592	0.0	0.008062	0.008076
KIR2DS4	0.0	0.002262	0.000574	0.001551	0.012971	0.010338	0.013773	0.013507
KIR3DL2	0.047855	0.048447	0.042523	0.037861	0.057853	0.050599	0.059097	0.065462
KIRREL	0.033437	0.025989	0.01479	0.025989	0.0	0.033379	0.035711	0.085185
KLRB1	0.445859	0.330196	0.43113	0.42845	0.40053	0.375431	0.391366	0.425806
KLRC3	0.652312	0.330118	0.444125	0.507302	0.142872	0.111194	0.115299	0.144645
KLRC4	0.934847	0.5369	0.805048	0.61859	0.80317	0.558353	0.918138	1.0
KLRD1	0.155736	0.102163	0.115224	0.11201	0.054769	0.044365	0.050099	0.061745
KLRF1	0.425698	0.274349	0.373582	0.292618	0.074506	0.051569	0.078087	0.083758
KLRG1	0.025183	0.015536	0.028647	0.024725	0.05663	0.039912	0.05436	0.056655
KLRK1	0.894978	0.662096	0.859123	0.89845	0.715182	0.690022	0.790077	0.738839
KYNU	0.046073	0.039463	0.035388	0.022652	0.046956	0.048004	0.041375	0.028458
LAG3	0.046386	0.044779	0.045486	0.046476	0.063829	0.0547	0.063314	0.074195
LAIR2	0.038192	0.05533	0.050031	0.046439	0.017817	0.019136	0.017717	0.021355
LAMP3	0.00034	0.000462	0.000573	0.000126	0.000438	0.000481	0.000202	8.8e-05
LAT	0.574384	0.586388	0.641671	0.690498	0.61089	0.596918	0.729393	0.705614
LCK	0.578856	0.535073	0.660062	0.770041	0.59745	0.584864	0.670111	0.729899
LEF1	0.775091	0.531402	0.994758	0.903047	0.796777	0.968688	1.0	0.941445
LHCGR	0.018517	0.018749	0.016826	0.018567	0.021279	0.019029	0.0	0.072401
LILRA2	0.805257	1.0	0.688914	0.632346	0.779339	0.767035	0.815043	0.798811
LILRA3	0.15657	0.232813	0.139031	0.104933	0.981096	0.929102	1.0	0.967571
LILRA4	0.307795	0.310121	0.323513	0.467258	0.184122	0.199666	0.196476	0.225219
