Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ASPHD1	0.0	0.0	0.001162	0.0	0.007283	0.001999	1.0	0.0	0.000791
B3GALT2	0.025371	0.003069	0.11836	0.007572	0.0	0.014943	0.000353	0.908272	0.343681
B3GNT7	0.001449	0.0	0.002519	1.0	0.079211	0.025336	0.020902	0.000308	0.017266
B4GALNT4	0.161045	0.000817	0.011579	0.043075	0.0	0.0	0.0	0.205101	0.89529
BACE2	0.012065	0.0	0.009587	0.005287	1.0	0.789843	0.00395	0.000481	0.000199
BANK1	0.000198	0.004822	0.000191	0.001204	0.866827	1.0	0.0	0.000274	0.000269
BCORP1	0.394761	0.000179	0.001247	0.060832	0.0	0.0	0.0	0.0	0.210079
BICDL2	0.001392	0.000387	1.0	0.0	0.0	0.009663	0.000399	0.005462	0.00271
BLK	0.004448	0.000633	5.4e-05	0.001065	1.0	0.912972	0.0	0.001973	0.005731
BLNK	0.000957	0.006362	0.000591	0.001399	1.0	0.838623	0.020788	0.0	0.0
BMX	0.015915	0.004939	1.0	0.001132	0.0	0.0	0.002921	0.0	0.0
BNC2	0.002482	0.000112	0.004633	1.0	0.003475	0.0	0.016441	0.002332	0.014355
BOK	0.002927	0.000499	0.001116	1.0	0.008034	0.0	0.01808	0.0	0.003593
BTNL9	0.000726	0.003075	0.013439	0.00927	0.949303	0.846611	0.0	0.0	0.0
C11ORF45	0.002124	0.004645	0.0	0.000204	0.00137	0.001708	1.0	0.002716	0.009685
C1ORF186	0.004199	0.001416	0.000517	0.0	1.0	0.092571	4.7e-05	0.019313	0.0
C4BPB	0.131588	0.002389	0.00432	0.0	0.00918	0.016007	0.0	0.0149	0.0
CA6	0.138161	0.000367	0.00131	0.0	0.0	0.0	0.0	0.016474	0.039575
CACHD1	0.66836	0.006237	0.276338	0.0	0.0	0.007155	0.004424	0.003433	0.0
CACNA1E	0.0	0.000722	1.0	0.0	0.003612	0.002595	0.000666	0.001035	0.0
CACNA1I	0.448548	0.001333	0.00386	0.0	0.0	0.002241	0.0	0.216804	0.071188
CAMK4	1.0	0.004056	0.001389	0.001128	0.004537	0.002388	0.0	0.341435	0.225104
CAPN11	0.003772	0.004303	0.006562	0.0	0.0	0.0	1.0	0.01149	0.0
CASC15	0.117891	0.029256	0.011487	0.0	0.0	0.0	0.003642	0.002984	0.003895
CAV1	1.0	0.002391	0.006031	0.0	0.035775	0.311011	0.052831	0.0	0.009888
CCL20	5e-05	1.0	0.004801	0.0	0.0	0.0	0.000815	0.00824	0.0002
CCL22	2e-05	2.8e-05	0.0001	0.0	0.00072	0.0	1.0	0.0	0.0
CCL3	0.0	1.0	0.003108	0.017998	5e-05	0.000606	0.011245	2.8e-05	0.000184
CCL3L3	0.0	1.0	0.037533	0.001333	0.0	0.001123	0.009388	0.001758	0.000358
CCL4	7.5e-05	1.0	0.011922	0.127532	0.0	0.000194	0.00262	0.000769	0.040245
CCL4L2	0.0	1.0	0.069078	0.06012	0.00053	0.00048	0.016179	0.000842	0.010122
CCL5	0.004163	0.0072	0.0	0.666933	0.000871	8.9e-05	0.000245	0.085609	0.687687
CCNA1	0.00011	0.000297	0.013551	0.0	0.0	0.008881	1.0	0.0	0.0
CCR3	0.000395	0.002433	1.0	0.001459	0.00467	0.000785	0.00056	0.0	0.007805
CCR4	0.014984	0.005578	0.0014	0.0	0.000721	0.000569	0.00151	1.0	0.232074
CCR5	0.003791	0.06501	0.010935	0.033785	0.00254	0.0	0.345375	0.090747	1.0
CCR8	0.032593	0.000137	0.002878	0.0	0.0	0.0	0.0	1.0	0.282798
CD160	0.000352	0.000885	0.000565	1.0	0.000394	0.000802	0.0	0.000578	0.167643
CD19	0.000729	0.000909	0.00544	0.001166	0.917461	1.0	0.000453	0.000254	0.0
CD1C	0.0	0.080506	0.000524	0.000646	1.0	0.063528	0.001198	0.000563	0.0
CD200	0.026488	0.000661	0.012188	0.000941	0.046177	1.0	0.0	0.006551	0.000433
CD24	0.000947	0.000888	0.06654	0.002659	1.0	0.266292	0.000488	0.0	0.0
CD300E	5e-06	0.355042	0.001829	8.9e-05	8.2e-05	0.000125	0.000106	2.8e-05	0.0
CD34	0.094656	0.015986	0.004151	0.00464	0.0	0.0	0.001392	0.0	0.0
CD3D	0.646721	0.002446	0.000661	0.029717	0.0	0.0	2.3e-05	0.701837	0.802374
CD3G	0.626809	0.004106	0.001433	0.047682	0.0	0.0	0.0	0.841348	1.0
CD40LG	0.245397	0.002786	0.002561	0.001557	0.0	0.001029	0.0	0.642323	0.036426
CD5	0.660946	0.006656	0.00313	0.003657	0.005874	0.01045	0.0	0.994656	0.465711
CD70	0.007107	0.000965	0.002803	0.005696	1.0	0.0	0.000739	0.132505	0.120975
CD79A	0.002268	0.000351	0.00158	0.002223	0.879383	1.0	0.000803	0.0	0.000497
CD8A	5.3e-05	0.002326	0.000666	0.072755	0.0	7.8e-05	2.9e-05	0.001436	1.0
CD8B	0.002672	0.001664	0.000342	0.00407	0.0	0.0	0.0	0.00183	1.0
CD9	0.000877	0.00957	0.01048	0.0	0.001045	0.005943	1.0	0.000743	0.00044
CDH2	0.017723	0.00163	1.0	0.006071	0.0	0.0	0.0	0.0	0.005663
CDO1	0.027211	0.0	0.029249	0.0	0.067432	0.075408	0.0	0.390815	0.010079
CFH	0.029905	0.010701	0.00578	0.078165	0.0	0.0	0.000538	1.0	0.32706
CHIT1	0.000116	0.001525	0.01223	2.4e-05	0.000571	0.000867	1.0	2e-05	0.0
CHL1	0.000765	0.000292	0.005313	0.0	0.547387	1.0	0.0	0.0	0.0
CHN1	0.048593	0.003879	0.051446	0.02066	0.002054	0.017603	0.0	1.0	0.190737
CHSY3	0.004335	0.001088	0.009605	1.0	0.0	0.0	0.040223	0.0	0.0
CLDN9	0.000465	0.002868	1.0	0.0	0.0	0.0	0.015654	0.003065	0.0
CLEC10A	0.000232	0.698144	0.001336	0.000314	0.0	0.001079	0.018058	0.001844	0.0
CLEC17A	7.8e-05	0.015021	0.007533	0.00059	0.994551	1.0	0.000453	0.0	0.0
CLECL1	0.003286	0.030843	0.0	0.000426	1.0	0.02342	0.078834	0.062167	0.085814
CLIC3	0.000271	0.000167	0.0	1.0	0.001041	0.000375	0.000607	0.005866	0.050466
CMTM2	7.8e-05	0.009871	1.0	0.000613	0.0	0.0	5.5e-05	0.000428	0.000395
CNTNAP2	0.001648	2.2e-05	0.002083	0.001253	0.066221	1.0	0.0	0.0	0.0
CNTNAP3	0.000608	0.000434	1.0	0.0	0.002837	0.0	7e-06	0.000178	0.000326
COBLL1	0.002356	0.001293	0.002439	0.001094	0.88116	1.0	0.001548	0.000307	0.0
COL19A1	0.001	5.7e-05	0.000134	0.000374	0.138914	1.0	0.0	0.0	0.0
COL4A3	0.002239	0.000265	0.0003	0.002749	1.0	0.037549	0.0	0.001544	0.001688
COL4A4	0.006534	0.000353	0.001603	0.020635	1.0	0.057511	0.0	0.003105	0.00461
COL5A3	0.00662	0.001288	0.005418	0.027466	0.0	0.0	0.018944	0.419864	0.443093
CORO2B	0.001421	0.001124	0.007255	0.0	0.033517	0.932841	0.000378	0.0	0.0
CPA5	0.495857	0.0	0.003227	0.0	0.0	0.0	0.003367	0.566332	0.765298
CPNE5	0.004269	0.00325	0.013503	0.002489	1.0	0.262514	0.0	0.002929	0.004249
CPNE7	0.032371	0.0	0.042565	0.044315	0.0	0.0	0.01118	1.0	0.688095
CPVL	0.001345	1.0	0.003783	0.000282	0.0	0.000347	0.284744	0.000491	0.000392
CRABP2	0.00034	0.00074	0.00901	0.000151	0.000202	0.000406	1.0	0.000102	0.0
CSF3R	2.1e-05	0.051186	1.0	2e-05	1.6e-05	5.6e-05	0.007453	4e-06	0.0
CSPG4	0.003233	0.001372	0.004745	0.0	0.0	0.0	1.0	0.005021	0.0
CTAG2	0.008881	1.0	0.010027	0.0	0.0	0.0	0.118357	0.0	0.020847
CTLA4	0.743183	0.00386	0.001686	0.007545	0.0	0.0	5.5e-05	1.0	0.255145
CXCL10	0.001064	0.722115	0.013497	0.002841	0.007828	0.0	0.011331	0.0	0.0
CXCL2	0.000557	1.0	0.035421	0.001125	0.0	0.00227	0.011244	0.0	0.0
CXCR1	0.0	0.000912	1.0	0.017696	4.8e-05	3e-05	0.000309	6.3e-05	0.000498
CXCR2	4e-06	0.002071	1.0	0.01427	0.0	0.0	9.6e-05	0.0	0.000343
CXCR3	0.009704	0.00199	0.001789	0.126597	0.166472	0.006882	0.0	0.44405	0.992502
CXCR6	0.005971	0.001057	0.002838	0.059146	0.0	0.004557	0.00056	0.105937	1.0
CYP26B1	0.000802	0.000125	1.0	0.014855	0.0	0.0	0.0	0.0	0.004026
CYP4F3	4.7e-05	0.007322	1.0	0.0	0.0	0.000139	0.000136	0.0	0.000208
DAB1	0.165486	0.000361	0.047643	0.057768	0.0	0.012153	0.000287	1.0	0.138857
DACT1	1.0	0.002004	0.019622	0.001723	0.017314	0.086944	0.01265	0.076415	0.0
DGKK	0.0	0.000218	0.007	0.614348	0.007483	0.0	0.0	0.0	0.045478
DKK3	0.104269	0.0	0.02464	0.01902	0.039137	0.014021	0.0	0.026701	0.65313
DNAAF1	0.0	1.0	0.043463	0.006088	0.006519	0.003652	0.001379	0.001668	0.004182
DNAJC5B	0.000661	0.03645	0.001848	0.005482	1.0	0.104071	0.241557	0.0	0.0
DOK7	2.4e-05	0.000405	0.0045	0.262874	1.0	0.137279	0.0	0.002548	0.004343
DPP4	0.826639	0.004934	0.001091	0.002247	0.009615	0.0	0.046799	1.0	0.503529
DSC1	1.0	0.000492	0.012261	0.012777	0.0	0.0	0.0	0.060652	0.018618
DSP	0.000374	0.000233	0.008138	0.0	0.050056	1.0	0.163535	0.001476	0.0
DUSP4	0.036938	0.0	0.023789	0.001049	0.021594	0.001103	0.013725	1.0	0.199213
EBF1	0.001914	0.003005	0.006718	0.002516	0.816603	1.0	0.0	0.001195	0.00173
EBI3	0.003374	0.017678	0.004215	0.012502	1.0	0.124639	0.005497	0.0	0.0
ECSCR	0.339838	0.008487	0.007013	0.0	0.0	0.0	0.028088	0.063075	0.0
EDAR	1.0	0.000274	0.00092	0.0	0.0	0.0	0.0	0.077888	0.010739
EDARADD	0.031405	0.003845	0.005186	0.268449	0.0	0.0	0.001065	0.411292	1.0
EGR1	0.0	1.0	0.047649	0.001117	0.045136	0.003891	0.000814	0.000156	0.000224
ELOVL4	0.078603	0.002359	0.00831	0.030029	0.0	0.0	0.000737	1.0	0.49195
EML6	0.008419	0.007466	0.038297	0.008969	1.0	0.083443	0.0	0.004845	0.008333
EMP1	0.001887	0.008509	0.000383	0.00028	0.0	0.0	1.0	0.002669	0.00077
ENAH	0.036272	0.005682	0.029402	0.01683	0.04062	1.0	0.039734	0.0	0.0
ENHO	0.005868	0.253366	0.008985	0.003851	0.0	0.0	0.003029	0.006264	0.008745
EPB41L1	0.002549	0.001633	0.006828	0.004407	0.002354	0.0	1.0	0.001352	0.001112
EPHB1	0.0	0.001166	1.0	0.000266	0.00064	0.000532	0.007359	0.000259	0.000337
EPHX2	1.0	0.003804	0.002745	0.010537	0.014437	0.010353	0.0	0.259304	0.101387
ERBB2	0.01442	0.0	0.014727	1.0	0.008617	0.020513	0.001425	0.00495	0.035355
EREG	0.000714	1.0	0.007468	0.000505	0.0	0.000996	0.002295	0.0	0.0
ESPN	0.038036	0.0	0.004544	0.063854	0.0	0.0	0.042304	0.60492	0.280808
ESPNL	0.003955	0.000442	0.020422	0.008716	1.0	0.023817	0.0	0.01019	0.003959
ESR2	0.003524	0.00085	0.046436	0.01622	1.0	0.321433	0.0	0.003422	0.009537
F13A1	0.002543	1.0	0.045344	0.001077	0.002679	0.005162	0.009587	0.010444	0.0
FABP3	0.0	2.2e-05	0.000361	0.000317	0.0	0.0	1.0	0.000283	0.0
FAM129C	0.00026	0.001687	0.011597	0.001109	0.97485	1.0	0.0	0.000207	0.000272
FAM153A	1.0	0.003466	0.000238	0.00153	0.007035	0.035012	0.0	0.295338	0.024769
FAM177B	0.003292	0.000602	0.061359	0.001798	0.219604	1.0	0.0	0.001764	0.001562
FAM184A	1.0	0.000321	0.007956	0.007715	0.020137	0.032078	0.0	0.168887	0.09479
FAM19A1	0.498313	0.001231	0.005685	0.129996	0.0	0.020596	0.0	0.580286	1.0
FAM69B	0.008484	0.000459	0.00123	0.004496	0.065618	1.0	0.0	0.00382	0.003051
FASLG	0.001541	0.000345	0.00135	1.0	0.00174	0.001943	0.0	0.011282	0.154142
FAT4	0.020327	0.0	0.002651	1.0	0.0	0.005848	0.0	0.0	0.006638
FBLN2	0.005454	0.008746	0.001255	0.031685	1.0	0.226358	0.001838	0.0	0.026092
FBLN7	0.524043	0.004392	0.007533	0.009148	0.022477	0.005263	0.0	1.0	0.036827
FBN2	0.002208	1.0	0.261517	0.0	0.0	0.002654	0.012145	0.0	0.0
FCER1A	0.001616	0.108515	0.002344	0.001743	0.001129	0.0	0.000226	0.000352	0.0
FCER2	8.3e-05	0.006692	0.004809	0.000665	0.15274	1.0	0.0029	0.0	5.9e-05
FCGR3B	4e-06	0.000293	1.0	0.00142	1.3e-05	0.0	1.2e-05	0.0	6e-05
FCN1	1e-06	0.176255	0.007929	1.2e-05	4e-06	1.9e-05	0.000354	2e-06	0.0
FCRL1	0.000547	0.000274	0.006032	0.001282	0.417033	1.0	0.0	0.000104	0.000211
FCRL2	0.000395	0.000359	0.002461	0.00107	0.744453	1.0	1.7e-05	0.0	8.3e-05
FCRL5	0.00131	0.000449	0.000146	0.001037	0.635417	1.0	0.0	0.0	0.0
FCRLA	6.6e-05	0.000589	0.000613	0.000943	1.0	0.519299	0.002312	0.0	0.0
FEZ1	0.005607	0.016437	0.004593	1.0	0.002221	0.0	0.001542	0.006351	0.098583
FGFBP2	0.001934	0.000974	0.001144	1.0	0.000635	0.000773	0.0	0.001641	0.204678
FGFR2	0.001433	0.004159	0.023085	0.030731	0.0	0.0	0.0	0.072941	0.265034
FHIT	1.0	0.009896	0.0	0.015355	0.006082	0.025153	0.032993	0.188222	0.010924
FLT4	0.220197	0.011022	0.003961	0.019011	0.0	0.0	0.000915	0.199538	0.653982
FRMD7	0.005946	1.0	0.062259	0.016258	0.0	0.0	0.000759	0.0	0.0
GALNTL6	0.0	0.003208	0.006073	0.0035	1.0	0.067964	0.005268	0.0	0.0
GDF15	0.000516	0.004269	0.02054	0.000715	0.000723	0.0	1.0	0.000207	0.0
GDF7	0.007489	0.0	0.006045	0.002766	1.0	0.172728	0.000227	0.05877	0.003492
GFPT2	0.022491	0.000422	0.008848	0.165282	0.0	0.144251	0.034546	0.097046	0.757648
GNAT2	0.004341	0.010543	0.938461	0.0	0.0	0.0	0.0149	0.0	0.008054
GNLY	0.000749	0.000564	0.000534	0.551421	0.000224	0.000321	0.0	0.00153	0.056409
GPC4	0.0	0.000918	0.00827	0.0	0.000418	0.00573	1.0	0.0	0.0
GPM6A	7.4e-05	0.000133	0.000296	0.001052	1.0	0.081547	0.0	0.0	0.0
GPNMB	1e-06	0.000341	8e-06	0.0	2.7e-05	6.5e-05	1.0	1.6e-05	8e-06
GPR15	0.051084	0.012599	0.000926	0.049476	0.01457	0.0	0.0	1.0	0.16376
GPR171	0.444486	0.002937	0.022728	0.102233	0.001791	0.013961	0.0	0.87103	1.0
GPRC5B	0.554197	0.004051	0.010846	0.0	0.0	0.0	0.082637	0.112512	0.023292
GREM2	0.054973	0.000569	0.003811	0.034731	0.0	0.0	0.0	1.0	0.038503
GRIK4	0.001784	0.000297	0.002493	1.0	0.0	0.071118	0.001505	0.0	0.0
GSDMA	0.04668	0.000704	0.00202	0.024062	0.0	0.0	0.002393	0.027418	0.312632
GZMB	0.000452	0.000694	0.000413	1.0	0.000648	0.000461	0.0	0.000187	0.090278
GZMK	0.016857	0.001377	0.000833	0.025464	0.0	0.0	5e-06	0.159895	1.0
HBG2	1.0	0.033294	0.039379	0.01244	0.004397	0.025056	0.000867	0.0	0.0
HEATR9	0.005792	0.012526	0.002215	0.129569	0.0	0.0	0.0	0.013454	0.199198
HEY1	0.00153	0.009089	1.0	0.003915	0.0	0.0	0.004727	0.0	0.001296
HIST1H1T	0.00117	0.002309	1.0	0.0	0.0	0.0	0.001816	0.003517	0.0
HLF	0.047358	0.003968	0.015291	0.012763	0.0	0.0	0.0004	1.0	0.069587
HMSD	0.0	0.523015	0.022441	0.012645	0.0	0.0	0.006238	0.0	0.010875
HPCAL4	0.761793	0.002168	0.00691	0.008892	0.004721	0.0	0.0	1.0	0.067366
HRH4	0.017915	0.0	0.074962	0.011937	0.006757	0.004641	0.006903	0.375493	0.024177
HSD3B7	0.000559	0.00525	0.019761	0.000109	0.001211	0.001589	1.0	0.0	0.000129
ICOS	1.0	0.004772	0.001328	0.008148	0.0	0.000675	0.0	0.847677	0.24098
IER3	0.003586	1.0	0.130091	0.002431	0.0	0.000819	0.040497	0.001687	0.002068
IFNG	0.030808	0.003571	0.002004	0.916867	0.0	0.04718	0.0	0.422444	1.0
IGFBP3	0.154348	0.008052	0.00504	0.074167	0.00607	0.0	0.0	0.617232	1.0
IGFBP6	0.029298	0.01936	0.004587	0.008203	0.043888	0.0	0.625256	0.141885	0.749453
IGSF9B	0.51023	0.003537	0.003773	0.028761	0.009398	0.0	0.0	0.602663	0.171434
IL1A	3.6e-05	1.0	0.020292	0.001158	0.004991	0.005396	0.004031	0.0	0.0
IL1B	9e-06	1.0	0.030088	8.2e-05	1e-05	0.000131	5.5e-05	1e-05	0.0
IL1R2	0.0	0.010654	1.0	0.0	0.0	0.0	0.002846	0.000319	0.000305
IL2RB	0.008659	0.000519	0.001261	0.511309	0.000322	0.000437	0.0	0.021852	0.097545
IL6ST	1.0	0.092576	0.031246	0.0	0.003034	0.01842	0.025742	0.111052	0.006181
INHBB	0.000177	0.005691	1.0	0.004217	0.0	0.0	0.001068	0.0	0.0
INPP4B	1.0	0.007382	0.001004	0.002235	0.0	0.002179	0.000357	0.7603	0.335186
IQGAP3	0.002452	0.005775	0.013317	0.00431	0.0	0.0	1.0	0.0	0.002088
ISM1	0.749017	0.000422	0.002722	0.0	0.0	0.0	0.075096	1.0	0.102704
ITGB5	0.001238	0.007607	0.000101	0.0	0.000317	0.000308	1.0	0.00255	0.002681
JAKMIP1	0.010258	0.001435	0.000686	0.098022	0.00174	0.001764	0.0	0.272158	1.0
JCHAIN	0.114855	0.001383	0.001594	0.000889	0.814796	0.1285	7e-06	0.0	7.2e-05
KCNG1	0.0	0.000219	0.000281	0.0	0.019515	1.0	0.00317	0.0	0.0
KCNH8	0.00089	0.000643	0.001597	0.000572	0.076618	1.0	8.1e-05	0.000755	0.0
KCNJ15	0.000248	0.019913	1.0	0.0	0.0	0.0	0.000352	0.000141	0.0
KHDRBS2	0.000414	0.017482	0.000572	0.001364	0.440131	1.0	0.000243	0.0	0.0
KIAA1257	0.008893	0.008972	1.0	0.003032	0.00345	0.0	0.000896	0.003773	0.002771
KIAA1671	0.127938	0.003393	0.005643	0.606679	0.0	0.009707	0.033352	0.05822	0.971805
KIR2DL1	0.000322	0.000253	0.008202	0.415123	0.0	0.0	0.0	0.0	0.001478
KIR2DL4	0.000907	0.003988	0.017195	0.454955	0.0	0.0	0.001291	0.0	0.004324
KIR2DS4	0.000691	0.002763	0.002207	0.308269	0.0	0.0	0.0	0.003865	0.016512
KIR3DL1	0.000125	0.000853	0.014026	0.530713	0.0	0.0	0.0	0.0	0.05306
KIR3DL2	0.01548	0.003122	0.009899	1.0	0.0	0.0	0.00025	0.056114	0.054456
KLF4	0.0	0.661779	0.065973	0.000409	0.003589	0.011387	0.006316	0.004512	6.3e-05
KLHL14	0.001394	0.000902	0.000411	0.001146	0.624002	1.0	0.0	0.0	0.0
KLRC1	0.002817	0.000333	0.000462	1.0	0.0	0.0	0.0	0.0	0.163278
KLRC2	0.001753	0.000189	0.00023	1.0	0.001365	0.0	0.0	0.0	0.106905
KLRC3	0.001279	0.000958	0.001223	0.568074	0.0	0.0	0.0	0.0	0.077565
KLRD1	0.000828	0.001641	0.006382	1.0	0.001145	3.8e-05	0.0	0.000621	0.422995
KLRF1	0.00083	0.000784	0.000732	1.0	0.001064	0.000323	0.0	0.00012	0.042888
KLRG1	0.041295	0.004695	0.0	0.466035	0.001516	0.005466	0.010139	0.16765	1.0
KRT1	0.0169	0.003681	0.002096	0.0	0.0	0.0	0.000943	1.0	0.005375
KRT23	3.4e-05	0.01206	1.0	0.000227	0.0	0.0	0.000105	0.000216	0.000326
KRT72	1.0	0.000872	0.001847	0.090932	0.0	0.0	0.0	0.088014	0.006797
KRT73	1.0	0.001493	0.004743	0.126224	0.0	0.0	0.000196	0.097105	0.008489
LAG3	0.025057	0.003556	0.030292	0.100065	0.0	0.0	0.001944	0.041847	0.919924
LARGE1	0.004399	0.001711	0.0	0.008282	0.07296	1.0	0.021648	0.004405	0.001418
LCN10	0.015364	0.000676	0.000625	0.001118	0.603526	1.0	0.0	0.003357	0.004056
LCN2	0.000791	0.0059	0.288185	0.0	0.002274	0.003411	0.0	0.000981	0.0
LDLRAD3	0.0044	1.0	0.014496	0.002212	0.0	0.007593	0.12783	0.0	0.0
LEF1	1.0	0.001675	0.000292	0.005544	4.5e-05	0.001108	0.0	0.196842	0.072359
LGALS9B	0.002761	0.000135	0.047344	1.0	0.0	0.005372	0.008035	0.001029	0.001622
LGR6	0.006148	0.00185	0.005721	1.0	0.004852	0.007835	0.0	0.007589	0.229917
LILRA4	0.001525	0.017538	0.160864	0.003478	0.834118	0.012903	0.028015	0.005859	0.0
LIM2	0.000425	0.0	0.001996	0.89754	0.0	0.0	0.0	0.003495	0.024106
LINC00346	0.00086	0.75857	0.023593	0.011059	0.0	0.007307	0.043309	0.0	0.0
LINC00494	0.001291	0.000387	0.000662	0.001845	0.817721	1.0	0.0	0.0	0.0
LINC00926	0.001222	0.002321	0.000117	0.001386	0.491224	1.0	0.0	0.00018	0.00018
LINC01550	1.0	0.00215	0.002031	0.000879	0.0	0.001082	0.0	0.232123	0.201595
LINGO2	0.000766	7.7e-05	0.002143	1.0	0.0	0.007345	0.0	0.0	0.002459
LMF1	0.473289	0.003198	0.000925	0.000519	0.008679	0.0	0.021743	0.115684	0.041735
LPL	2.5e-05	0.000947	9.2e-05	0.0	0.0	3.6e-05	1.0	0.0	7e-05
LRRC4	0.0	0.035292	1.0	0.001879	0.004431	0.002998	0.000376	0.000582	0.001144
LRRC43	0.008872	0.010429	0.026141	1.0	0.0	0.0	0.013036	0.0	0.038906
LRRC7	1.0	0.00553	0.015131	0.006344	0.0	0.0	0.002793	0.005587	0.0
LRRN3	1.0	0.005598	0.005059	0.0	0.001988	0.008252	0.000265	0.105713	0.044323
LTF	9.5e-05	0.000271	0.196753	0.000779	0.0	0.001929	0.000587	0.0	0.0
LTK	0.024218	0.002922	0.002078	0.007406	0.171736	0.024032	0.0	0.804477	0.56197
LYVE1	0.0082	0.010963	1.0	0.0	0.01131	0.019721	0.0	0.0	0.0
LYZ	6e-06	0.082177	0.002255	4e-06	0.0	1e-05	0.010049	7e-06	0.0
MACROD2	0.006143	0.003865	0.006058	0.016196	0.109432	1.0	0.009531	0.0	0.0
MAK	0.000207	0.0478	1.0	0.0007	0.001331	0.001567	0.0	0.002178	0.001203
MAL	1.0	0.002265	0.001141	0.0	0.000417	0.000569	0.0	0.846839	0.05281
MANSC1	0.011345	0.016805	1.0	0.0	0.001079	0.004098	0.003189	0.002701	0.001356
MB21D2	0.149328	0.051859	0.00048	0.003865	0.020171	0.0	0.050157	1.0	0.036782
MEOX1	0.269316	0.005832	0.003261	0.0	0.0	0.0	0.000462	0.987826	0.179326
METTL7B	0.0	0.007626	0.001021	0.0	0.004717	0.01301	1.0	0.0	0.0
MGAM	0.000122	0.01187	1.0	0.049684	0.000186	0.0	0.000115	0.0	0.000458
MIR99AHG	1.0	0.016351	0.073423	0.039015	0.0	0.0	0.0	0.011567	0.0
MLC1	0.002565	0.02108	0.010268	1.0	0.000364	0.001776	0.0	0.000344	0.015084
MMP1	0.760766	0.008628	0.017438	0.0	0.053534	0.0	0.090891	0.0	0.0
MMP19	0.000103	0.014624	0.000285	0.001011	0.001317	0.0	1.0	0.0	0.000274
MMP25	8.4e-05	0.005913	1.0	0.00049	3.8e-05	0.0	5.6e-05	0.000297	0.000443
MMP28	1.0	0.001578	0.001166	0.0	0.016163	0.0	0.001973	0.036541	0.015963
MMP9	4e-06	0.000264	0.040288	5e-06	0.0	0.0	1.0	2.5e-05	0.0
MOXD1	0.015909	0.000181	0.01174	0.005659	0.358081	1.0	0.006526	0.0	0.00581
MS4A1	0.000113	0.00132	0.000183	0.001177	0.81396	1.0	0.0	0.000671	0.010007
