Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils
ASGR2	0.006645	0.009136	1.0	0.006162	0.006381	0.020058	0.011159	0.01454	0.009515	0.006317	0.010646	0.003991	0.505449	0.00236	0.0	0.009139	0.007411	0.063301	0.10009	0.019277	0.002026	0.020931
ATP8B4	0.04555	0.027819	0.091662	0.281169	0.484977	0.032102	0.014854	0.010578	0.023264	0.019624	0.037099	0.00207	0.546341	0.852118	1.0	0.026335	0.0	0.014247	0.037292	0.294873	0.038682	0.172034
AZU1	0.015702	0.026664	0.084432	0.392009	0.106261	0.070638	0.0	0.034301	0.01006	0.063926	0.040606	0.150211	0.298496	0.575846	1.0	0.043441	0.002055	0.001771	0.022052	0.052383	0.047812	0.1018
BACH2	1.0	0.272271	0.003193	0.099918	0.107416	0.021506	0.314618	0.093352	0.09183	0.154067	0.00515	0.009147	0.00414	0.009286	0.006869	0.024495	0.047004	0.092331	0.12695	0.004726	0.010165	0.034033
BANK1	0.798874	0.960491	0.008551	0.00294	0.003379	0.003587	0.003627	0.003202	0.0	0.00232	0.000218	0.001161	0.002541	0.007842	0.009174	0.010874	0.001473	0.002988	0.005323	0.004639	0.001516	0.103469
BARX2	0.013764	0.030129	0.018646	0.020877	0.039062	0.130165	0.007707	0.0	0.017993	0.009716	0.01604	0.011991	0.044126	0.095781	0.039654	0.010618	0.022724	1.0	0.317806	0.030193	0.027904	0.140581
BCL11B	0.017232	0.012625	0.00622	0.108579	0.065692	0.017276	1.0	0.689596	0.111944	0.580366	0.004816	0.003418	0.001041	0.001431	0.001192	0.014883	0.440576	0.379117	0.355788	0.007312	0.004599	0.036915
BCL2A1	0.00275	0.018027	0.165762	0.035168	0.034153	0.661071	0.028564	0.051547	0.085734	0.037829	0.416041	0.528174	0.009071	0.060141	0.243889	0.0	0.047207	0.007182	0.026976	0.004491	0.415343	1.0
BCL7A	1.0	0.381318	0.020487	0.0	0.026953	0.084241	0.08133	0.044117	0.019473	0.082347	0.022796	0.093687	0.144712	0.117107	0.149209	0.159791	0.036626	0.141753	0.020915	0.234394	0.16917	0.045265
BEND5	1.0	0.441325	0.05516	0.08583	0.016932	0.136483	0.352639	0.068048	0.04316	0.242375	0.071845	0.053558	0.043434	0.048265	0.064734	0.312664	0.048278	0.0	0.051834	0.070084	0.094471	0.099682
BFSP1	0.0	0.028535	0.104745	0.213371	0.088931	0.085934	0.999332	0.00242	0.028511	0.09067	0.057994	0.232547	0.182086	0.208516	0.337053	0.010007	0.416183	0.048561	0.843447	0.088477	0.029422	0.037772
BHLHE41	0.038547	0.066494	0.004629	0.006227	0.006236	0.011035	0.0	0.001661	0.008919	0.005075	1.0	0.023207	0.056541	0.044076	0.043185	0.177177	0.000836	0.017809	0.013049	0.057091	0.098273	0.006709
BIRC3	0.161326	0.095493	0.008462	0.020266	0.105197	0.005876	0.057881	0.100185	0.268781	0.028589	0.015217	0.181244	0.01586	0.0	0.179379	0.02791	0.031606	0.226869	0.015995	0.035438	1.0	0.144145
BLK	0.370851	0.682448	0.00541	0.000394	0.000853	0.000354	0.012464	0.002292	0.00047	0.026712	0.001533	0.000761	0.001302	0.000498	0.0	0.007057	0.017017	0.000295	0.002614	0.001483	0.001787	0.006361
BMP2K	0.086395	0.062705	0.110951	0.023366	0.027019	0.196653	0.024181	0.0	0.037619	0.027222	0.10124	0.220578	0.334351	1.0	0.874196	0.022578	0.065538	0.012677	0.0276	0.138672	0.208002	0.308615
BRAF	1.0	0.353446	0.066316	0.080012	0.0632	0.251036	0.0	0.022068	0.031296	0.031434	0.085764	0.108769	0.036419	0.02123	0.081277	0.158267	0.000445	0.199248	0.137609	0.052238	0.10484	0.333699
BRSK2	0.104777	0.0	0.127744	0.241666	0.223293	0.129548	0.06066	0.205278	0.630638	0.105063	0.094328	0.106182	0.077499	0.730925	0.192883	0.522498	0.879537	0.180327	1.0	0.053214	0.426057	0.066401
BST1	0.031641	0.033003	0.894825	0.081174	0.043663	1.0	0.068508	0.033067	0.035437	0.033731	0.218599	0.036554	0.114538	0.23984	0.249419	0.013567	0.029959	0.019621	0.179475	0.082822	0.059665	0.0
BTNL8	0.009596	0.007748	0.014217	0.006122	0.008173	1.0	0.017112	0.011721	0.015266	0.007963	0.019526	0.012827	0.00533	0.007618	0.010977	0.004535	0.01094	0.028437	0.036891	0.010752	0.013152	0.089369
C11ORF80	0.23045	0.166472	0.023716	0.030581	0.049356	0.031123	0.026409	0.057467	0.04842	0.059353	0.030046	0.0	0.024952	0.052411	0.050232	1.0	0.04748	0.026664	0.053219	0.032099	0.049752	0.056797
C1ORF54	0.0	0.000549	0.074662	0.025559	0.006635	0.001606	0.05301	0.052101	0.014397	0.042754	0.290836	0.235841	0.421532	0.049779	0.055683	0.015085	0.009612	0.00203	0.017745	1.0	0.231013	0.080478
C3AR1	0.006497	0.002929	0.135275	0.072966	0.043015	0.072146	0.003238	0.013675	0.004147	0.015781	0.077869	0.446	0.286559	0.482255	0.51191	0.017682	0.004286	0.048153	0.063787	0.08635	0.020181	1.0
C5AR1	0.00546	0.00327	0.3354	0.024784	0.011713	1.0	0.001224	6.2e-05	0.0	0.003781	0.395292	0.019024	0.150984	0.04084	0.058352	0.000125	0.000283	0.001474	0.031727	0.093299	0.068943	0.208855
C5AR2	0.01175	0.034492	0.140302	0.083972	0.06664	1.0	0.123244	0.008554	0.033645	0.005115	0.100013	0.034567	0.146122	0.0	0.098232	0.03038	0.012146	0.113306	0.046532	0.05542	0.040234	0.743857
CA8	0.034282	0.037178	0.013198	0.013981	0.015628	0.074444	0.042444	0.025957	0.020165	0.00954	0.005335	0.105525	0.009185	0.320996	0.703922	0.028312	1.0	0.169356	0.268663	0.0	0.10948	0.021122
CAMP	0.00159	0.0	0.059371	1.0	0.061927	0.909021	0.073142	0.044337	0.001825	0.028592	0.097005	0.031983	0.046614	0.119075	0.089499	0.013818	0.056394	0.002109	0.006472	0.040082	0.007298	0.30745
CASP5	0.017209	0.035191	0.220775	0.054287	0.097349	0.932298	0.008189	0.003196	0.0	0.026008	0.084155	1.0	0.047566	0.003306	0.123239	9.3e-05	0.072912	0.21622	0.012425	0.027396	0.088285	0.101356
CCDC102B	0.029116	0.022508	0.020121	0.096183	0.008381	0.023728	0.037516	0.057261	0.001087	0.07871	1.0	0.0	0.004952	0.172217	0.024147	0.0226	0.022353	0.020847	0.075632	0.706009	0.034211	0.142141
CCL1	0.0044	0.005403	0.005961	0.006286	0.020595	0.004603	0.015036	0.00481	0.009799	0.005693	0.006901	0.007758	0.005236	0.002902	1.0	0.005117	0.007144	0.004363	0.006061	0.005471	0.287073	0.004981
CCL13	0.027805	0.024163	0.011323	0.012531	0.012782	0.014099	0.004408	0.016091	0.00812	0.016478	0.023479	0.025816	1.0	0.013446	0.100958	0.013496	0.0	0.009561	0.009078	0.564005	0.837466	0.016635
CCL17	0.003555	0.006178	0.007549	0.008682	0.003016	0.002315	0.0	0.001692	0.023588	0.009229	0.01491	0.005618	0.093931	0.001115	0.004139	0.009798	0.002901	0.058549	0.0063	0.394333	1.0	0.011328
CCL19	0.001825	0.003707	0.002963	0.00279	0.003913	0.003016	0.000545	0.001284	0.002171	0.001797	0.002927	1.0	0.003624	0.000581	0.0	0.007344	0.000917	0.000487	6.2e-05	0.004663	0.093123	0.004108
CCL20	0.005163	0.002871	0.001381	0.001304	0.001649	0.002038	0.000324	0.003312	0.283924	0.009196	0.0	0.130591	0.000274	0.000486	1.0	0.000441	0.032472	0.000194	0.001249	0.000588	0.274337	0.003628
CCL22	0.000848	0.000371	0.000429	0.000229	0.001847	0.001296	0.000633	0.00026	0.000269	0.000135	0.083562	0.014391	0.027816	0.000151	0.003041	0.0	0.000145	0.017469	0.000103	0.13266	1.0	0.002414
CCL7	0.06333	0.026329	0.015911	0.013059	0.0	0.081283	0.028783	0.018369	0.001743	0.035257	0.673758	0.234985	0.068889	0.124494	1.0	0.039333	0.034243	0.036508	0.056866	0.003117	0.055206	0.09276
CCL8	0.045473	0.016145	0.022737	0.005636	0.005509	0.015609	0.001603	0.008873	0.013033	0.002408	0.028401	1.0	0.621746	0.007831	0.290141	0.018076	0.003647	0.011905	0.018105	0.013576	0.332341	0.0
CCND2	0.042852	0.067723	0.025732	0.171144	1.0	0.045367	0.053675	0.187408	0.389391	0.106994	0.056205	0.006423	0.010902	0.049223	0.070915	0.106242	0.069902	0.180106	0.048168	0.064468	0.044417	0.068029
CCR10	0.041522	0.093815	0.06269	0.079858	0.037627	0.100759	0.056566	0.347262	0.060951	0.144913	0.055004	0.047633	0.069103	0.038705	0.068283	1.0	0.105007	0.043454	0.038564	0.043922	0.072437	0.156366
CCR2	0.130061	0.109082	1.0	0.015435	0.017143	0.068256	0.005937	0.247692	0.087103	0.092513	0.02615	0.011536	0.009283	0.023437	0.005546	0.581093	0.016609	0.073734	0.385628	0.023696	0.024181	0.058034
CCR3	0.018732	0.002905	0.010867	0.017692	0.010513	0.216828	0.0	0.011656	0.006386	0.005963	0.010235	0.007284	0.004116	0.003215	0.009196	0.006156	0.001281	0.037921	0.003873	0.010911	0.008231	1.0
CCR5	0.021667	0.019267	0.184857	0.221771	0.575197	0.016285	0.011923	0.173246	0.15708	0.394277	0.894785	0.603384	0.308873	0.042778	0.089154	0.0	0.20175	0.190292	1.0	0.612665	0.240993	0.034734
CCR6	0.235978	0.238711	0.008856	0.021701	0.080027	0.021088	0.038933	0.357079	0.104979	0.118258	0.0	0.005806	0.009108	0.007353	0.010464	0.017284	0.101487	0.064049	0.186697	0.009192	0.018462	0.012965
CCR7	0.21658	0.108375	0.005861	0.035176	0.024194	0.018051	0.504232	0.151981	0.163052	0.289566	0.015279	1.0	0.003463	0.000164	0.001007	0.008039	0.103722	0.362717	0.024677	0.013102	0.818313	0.03376
CD160	0.126046	0.075433	0.017529	0.758591	0.200707	0.060066	0.024033	0.027223	0.037652	0.341439	0.01616	0.009564	0.0	0.008364	0.01806	0.028529	0.011307	0.065358	1.0	0.010784	0.012911	0.040989
CD180	0.412826	0.620973	0.154436	0.003878	0.002176	0.024391	0.0	0.004133	0.016732	0.015526	0.049742	0.027054	0.771632	0.011444	0.008259	0.307081	0.007175	0.04356	0.030215	0.023825	0.01957	0.023735
CD19	1.0	0.7218	0.015053	0.004803	0.005894	0.027862	0.009999	0.0	0.005208	0.010555	0.005954	0.007001	0.012536	0.009026	0.010334	0.232485	0.012843	0.022305	0.012697	0.009282	0.014562	0.046494
CD1A	0.085706	0.053457	0.019081	0.008262	0.007813	0.026391	0.007097	0.010899	0.007392	0.012051	0.013176	0.008832	0.00856	0.005432	0.009766	0.032104	0.008529	0.032634	0.015911	1.0	0.087134	0.015593
CD1B	0.083373	0.019865	0.011083	0.008238	0.005521	0.021028	4.7e-05	0.010724	0.001503	0.002141	0.009056	0.003421	0.006941	0.006428	0.008613	0.020201	0.0	0.00197	0.014477	1.0	0.145978	0.006055
CD1C	0.140155	0.303194	0.053646	0.002048	0.001454	0.025389	0.006352	0.01974	0.00176	0.002871	0.001368	0.000632	0.015847	0.001683	0.001902	0.00152	0.002532	0.0	0.00358	1.0	0.103706	0.000819
CD1D	0.085364	0.147521	1.0	0.00356	0.003966	0.046984	0.008579	0.001595	0.0	0.003802	0.015473	0.13196	0.01193	0.022894	0.006321	0.070235	0.015207	0.016577	0.101579	0.030398	0.016177	0.01626
CD1E	0.002318	0.001944	0.006622	0.00237	0.000138	0.000976	0.005443	0.002616	2.8e-05	0.00224	0.001786	0.000866	0.009066	0.001943	0.002149	0.001865	0.003311	0.004884	0.0	1.0	0.157896	0.001907
CD2	0.023495	0.02279	0.009384	0.440824	0.215248	0.034765	0.566472	0.679332	0.556713	0.579377	0.004197	0.001526	0.006938	0.01728	0.003386	0.02052	1.0	0.797315	0.415727	0.006897	0.003986	0.037492
CD209	0.019067	0.003719	0.02467	0.009509	0.005593	0.041707	0.030294	0.0	0.00185	0.001851	0.108939	0.063613	1.0	0.018398	0.057185	0.002495	0.002776	0.050435	0.036531	0.891623	0.077269	0.027385
CD244	0.016886	0.008224	0.331022	0.737672	0.688317	0.013681	0.06377	0.020728	0.001989	0.247357	0.001609	0.011594	0.031831	0.035516	0.008153	0.004268	0.042904	0.027295	0.448336	0.002233	0.0	1.0
CD247	0.0	0.001868	0.000722	1.0	0.938342	0.00225	0.436362	0.329379	0.132665	0.341187	1.6e-05	0.000203	0.003619	0.006519	0.005085	0.002605	0.328381	0.604655	0.566426	0.001245	0.000549	0.027088
CD27	0.042599	0.558277	0.007887	0.016146	0.006638	0.030398	0.545046	0.565097	0.143972	0.746371	0.001622	0.008028	0.00789	0.006168	0.001431	1.0	0.774516	0.948998	0.303814	0.006339	0.004528	0.053556
CD28	0.048564	0.05451	0.007579	0.007047	0.00428	0.051649	0.179506	0.402907	1.0	0.208352	0.0	0.001009	0.064961	8.9e-05	0.005795	0.037413	0.566359	0.695128	0.206897	0.011262	0.001706	0.012073
CD300A	0.000847	0.009737	0.406723	1.0	0.873458	0.772323	0.031441	0.073038	0.005308	0.133937	0.125145	0.034792	0.321946	0.141407	0.197426	0.014584	0.003881	0.010895	0.421927	0.006264	0.0	0.447953
CD33	0.010029	0.004195	1.0	0.001912	0.002502	0.01769	0.00495	0.000808	0.0	0.007308	0.254427	0.155908	0.371737	0.539697	0.579782	0.012797	0.003717	0.030298	0.09163	0.486017	0.00336	0.017453
CD37	0.850356	0.744463	0.285135	0.128779	0.097351	0.20083	0.187468	0.27087	0.049547	0.282828	0.087581	0.015567	0.144772	0.044263	0.065024	0.04546	0.226554	0.30607	0.111493	0.019968	0.0	0.11699
CD38	0.043714	0.04966	0.014638	0.112556	0.066851	0.02814	0.019498	0.011951	0.035782	0.021372	0.002459	0.990994	0.048222	0.062493	0.1083	1.0	0.089921	0.052692	0.013503	0.000379	0.27457	0.019698
CD3D	0.004813	0.008577	0.003541	0.012621	0.01225	0.012628	0.788216	0.634459	0.393698	0.760719	0.003284	0.000729	0.0	0.00151	5.2e-05	0.004027	1.0	0.672097	0.628376	0.00497	0.006364	0.041398
CD3E	0.105729	0.060426	0.009878	0.032363	0.02099	0.065401	0.326483	0.594264	0.259567	0.538819	0.006369	0.004862	0.005127	0.002186	0.000778	0.09908	0.273147	0.492721	0.154774	0.007041	0.014721	0.028954
CD3G	0.012148	0.021637	0.004945	0.071233	0.030587	0.043383	0.853243	0.915301	0.340374	1.0	0.004794	0.002128	0.0	0.001242	0.000723	0.004761	0.720282	0.384789	0.331833	0.004304	0.006818	0.029852
CD4	0.00623	0.004226	0.325836	0.000509	0.0	0.028774	0.241221	0.362376	0.164461	0.008872	0.047494	0.149398	1.0	0.013749	0.021119	0.027424	0.427449	0.543275	0.032262	0.126108	0.06233	0.008741
CD40	0.10748	0.094638	0.014537	0.004081	0.007243	0.012749	0.00063	0.004454	0.004482	0.007107	0.080506	1.0	0.04138	0.0	0.023676	0.05653	0.001386	0.017655	0.012268	0.115653	0.375857	0.007184
CD40LG	0.058528	0.042564	0.010635	0.016001	0.043064	0.041934	0.528734	0.98619	0.760487	0.201324	0.016658	0.012567	0.019259	0.0	0.006724	0.022316	0.935819	0.018058	0.511744	0.005226	0.001366	0.0244
CD5	0.125202	0.047111	0.076183	0.06762	0.044072	0.05044	0.303657	0.486434	0.251095	0.259375	0.060688	0.068148	0.040201	0.038416	0.049225	0.118435	0.4086	1.0	0.132555	0.063958	0.060797	0.071568
CD6	0.010988	0.015974	0.015852	0.187339	0.098711	0.036663	0.224167	1.0	0.86584	0.540184	0.017058	0.030709	0.015197	7.7e-05	0.0	0.08154	0.577337	0.659979	0.096771	0.017731	0.015604	0.092693
CD68	0.0	0.000699	0.109442	0.012341	0.00145	0.004486	0.002436	0.001701	0.003765	0.006518	0.231986	0.101577	0.377196	0.023055	0.030368	0.000804	0.003228	0.002801	0.012803	0.154625	0.093286	0.005766
CD69	0.433514	0.264189	0.001967	0.092443	0.287117	0.021502	0.230428	0.28804	0.055023	0.198849	0.00015	0.001594	0.0	0.021711	0.076796	0.005398	0.319266	0.026934	0.239674	0.000554	0.002144	0.334141
CD7	0.000437	0.000646	0.001051	0.209278	0.264953	0.001647	0.255538	0.189178	0.159334	0.281127	0.000485	0.000151	0.008657	0.0	0.000996	0.00074	0.268203	1.0	0.051059	0.001885	0.001244	0.004604
CD70	0.131128	0.311122	0.077633	0.096475	0.076006	0.13861	0.040381	0.116678	0.178828	0.107163	0.063584	0.167146	0.040526	0.08595	0.039635	0.250084	0.090152	1.0	0.134579	0.064311	0.34051	0.123885
CD72	0.329599	0.043273	0.000561	0.014012	0.003318	0.000602	0.008401	0.000353	0.002093	0.002805	0.000649	0.000675	0.027084	0.0	0.002052	0.000391	0.000823	0.007154	0.001113	0.004065	0.000322	0.00155
CD79A	0.712418	0.577569	0.006681	0.005175	0.004567	0.011821	0.007177	0.005891	0.002123	0.021482	0.003702	0.002771	9.8e-05	0.0	0.00336	0.22447	0.022168	0.021404	0.007969	0.00455	0.007548	0.026562
CD79B	0.49147	0.387546	0.009959	0.026968	0.01788	0.016065	0.020335	0.025075	0.012709	0.01579	0.002446	0.002118	0.00338	0.0	0.001922	0.071367	0.032006	0.068295	0.019812	0.001912	0.002786	0.014176
CD80	0.01861	0.066377	0.022445	0.025741	0.020397	0.018919	0.012096	0.009932	0.032937	0.00572	0.067563	0.804519	0.025136	0.016273	0.028866	0.071284	0.013798	0.077	0.033201	0.122483	1.0	0.013806
CD86	0.072883	0.127826	0.306816	0.018056	0.013042	0.02957	0.001246	0.01477	0.013609	0.017777	0.164725	0.317149	0.61911	0.029628	0.039009	0.062724	0.0	0.032912	0.069882	0.380965	1.0	0.01755
CD8A	0.052605	0.030859	0.016332	0.092317	0.115514	0.05851	0.0	0.010663	0.012071	1.0	0.009539	0.000484	0.002251	0.004624	0.006207	0.000315	0.013206	0.003983	0.109238	0.013628	0.012299	0.013595
CD8B	0.003314	0.002508	0.001406	0.002924	0.002	0.005999	0.036401	0.001963	0.000855	1.0	0.001485	0.0	0.000181	0.000181	0.000446	0.003493	0.02959	0.000848	0.026946	0.001327	0.001136	0.006425
CD96	0.036021	0.050262	0.000925	0.536956	0.70441	0.019468	0.470768	0.5175	0.074244	0.566948	0.001441	0.010543	0.0	0.023679	0.003241	0.017126	0.147975	0.975287	0.999392	0.005822	0.008016	0.134533
CDA	0.0	0.000231	0.288137	0.025296	0.000194	1.0	0.000622	0.00203	0.000755	0.000729	0.094713	0.00038	0.005958	0.022482	0.020827	0.003176	0.000864	0.001151	0.044554	0.093712	0.007973	0.09457
CDC25A	0.024798	0.019186	0.026195	0.019394	0.611468	0.040111	0.020251	0.0	1.0	0.003965	0.045575	0.059676	0.026171	0.086264	0.2992	0.043406	0.102724	0.094427	0.074502	0.026412	0.017126	0.02677
CDH12	0.019065	0.058558	0.012841	0.105451	0.014357	0.093132	0.001527	0.008391	0.071144	0.004792	0.029994	0.029008	0.010978	0.4082	0.164627	0.0	0.014357	0.64878	1.0	0.137424	0.085115	0.290528
CDHR1	0.03872	0.063268	0.016139	1.0	0.098637	0.090353	0.347597	0.025812	0.089941	0.112517	0.012855	0.010895	0.074088	0.053986	0.018568	0.006229	0.066675	0.004986	0.537668	0.0	0.008358	0.007487
CDK6	0.055591	0.031797	0.025632	0.04427	0.860826	0.020479	0.040293	0.271104	0.101166	0.162721	0.033198	0.012085	0.0	0.109306	0.003987	0.0097	0.035425	0.176403	0.036178	0.196035	0.169781	0.160384
CEACAM3	0.024188	0.020983	0.107736	0.082625	0.04397	1.0	0.019944	0.017926	0.013717	0.02449	0.066346	0.050725	0.04602	0.080884	0.071371	0.041717	0.022581	0.055432	0.049292	0.06222	0.092377	0.054788
CEACAM8	0.030732	0.0345	0.000791	0.399663	0.066101	0.06096	0.001058	0.028973	0.012823	0.058421	0.000137	0.003924	0.002895	1.0	0.76901	0.007552	0.0	0.014532	0.004625	0.003958	0.006	0.096837
CEMP1	0.112921	0.099234	0.032473	0.09304	0.203601	0.119976	0.191356	0.012049	0.014523	0.01828	0.037452	0.065208	0.190223	0.026624	0.169024	0.0	0.299279	1.0	0.635717	0.001282	0.009835	0.238403
CFP	0.0	2e-05	1.0	0.007956	0.000651	0.555881	0.099315	0.012409	0.000327	0.002654	0.0061	0.058037	0.531795	0.011697	0.056878	0.000219	0.002535	0.011543	0.126167	0.000804	0.120791	0.002707
CHI3L1	0.000196	0.000316	0.000545	0.037691	0.005852	0.422676	0.000569	0.0	0.000632	0.000656	1.0	0.37848	0.228262	0.052473	0.070316	0.000312	0.000298	0.001408	0.00101	0.009226	0.052122	0.009164
CHI3L2	0.087315	0.063161	0.017664	0.040222	0.011929	0.046721	0.103747	0.038387	0.011176	0.047833	0.01409	0.309238	0.012891	0.007968	0.012099	0.039937	0.869161	0.076248	0.055522	0.014518	0.019449	0.039371
CHST15	0.077158	0.078335	0.723336	0.004728	0.0	1.0	0.00757	0.004377	0.002726	0.003434	0.312325	0.017869	0.224876	0.240067	0.190714	0.486242	0.004371	0.013362	0.069313	0.064647	0.017062	0.236776
CHST7	0.0	0.000578	0.08981	0.004731	0.00252	0.253326	0.01788	0.114672	0.071227	0.003579	0.09749	0.109293	0.132203	0.044591	0.114882	0.029329	0.125886	0.020664	0.013266	0.057954	1.0	0.003889
