Gene	A	B	C	D	E	F	G	H	I	J	K	L
C1QA	0.195165	0.172734	0.100936	0.12276	0.117383	0.154004	0.231027	0.272919	0.272756	0.063918	0.085928	0.166744
C1QB	0.089255	0.086518	0.014196	0.00658	0.021072	0.052831	0.117491	0.147913	0.154218	0.005553	0.001221	0.001603
CA4	0.274955	0.234504	0.097031	0.084904	0.207456	0.199757	1.0	0.089602	0.040274	0.113059	0.119528	0.107091
CACNA2D3	0.536106	0.544474	0.149942	0.035064	0.212263	0.306399	0.711535	0.985506	1.0	0.007165	0.03105	0.036522
CALB2	0.106876	0.087331	0.115049	0.116731	0.123267	0.086885	0.098336	0.100001	0.089882	0.130475	0.122191	0.115313
CALML4	0.612745	0.575162	0.236324	0.301923	0.286358	0.404105	0.803203	0.931285	1.0	0.273673	0.268591	0.250778
CAMK4	0.525373	0.444324	0.829481	0.761712	0.671765	0.058865	0.301577	0.112752	0.147041	0.883985	0.794702	0.829474
CASP1	0.681403	0.688577	0.369398	0.393414	0.403911	0.445181	0.772946	0.999617	1.0	0.302457	0.325152	0.395957
CCR2	0.357055	0.420104	0.376293	0.367604	0.337139	0.218969	0.405047	0.54632	0.56187	0.360493	0.356964	0.392599
CCR3	0.048993	0.050074	0.016625	0.027231	0.032928	0.038533	0.16548	0.007302	0.011067	0.007818	0.0	0.057302
CD14	0.478123	0.476858	0.142235	0.14702	0.252666	0.366214	0.848122	0.945616	1.0	0.027144	0.020889	0.064861
CD160	0.371799	0.37147	0.197803	0.216653	0.38815	1.0	0.205516	0.094652	0.080425	0.067679	0.269022	0.036254
CD163	0.473558	0.454828	0.133571	0.08981	0.205341	0.228217	0.512214	0.728372	0.758875	0.033646	0.0357	0.043822
CD19	0.316659	0.308018	0.077119	0.08425	0.097924	0.119607	0.305828	0.186625	0.173867	0.040059	0.065279	0.0
CD1D	0.543034	0.623484	0.166785	0.161405	0.249591	0.334889	0.695279	0.953949	0.928881	0.077912	0.051418	0.076283
CD1E	0.448851	0.337322	0.172354	0.242921	0.204012	0.259626	0.501734	0.624107	0.601453	0.271158	0.216385	0.174299
CD207	0.179127	0.097493	0.039099	0.076517	0.324007	0.128067	0.306548	0.070501	0.153702	0.321984	0.238537	0.261662
CD209	0.02398	0.048337	0.014744	0.005579	0.0	0.006307	0.052953	0.072353	0.073322	0.011147	0.002551	0.014364
CD38	0.067647	0.06696	0.040427	0.042445	0.050138	0.123327	0.052732	0.037027	0.042	0.039232	0.046262	0.022244
CD3D	0.306936	0.304283	0.454546	0.467401	0.453797	0.092386	0.158013	0.110224	0.108134	0.454252	0.474512	0.456976
CD3E	0.487914	0.505373	0.900577	0.837328	0.901309	0.414362	0.25461	0.177206	0.199601	0.886775	0.988255	0.865024
CD3G	0.299908	0.310186	0.512763	0.493702	0.503468	0.155679	0.151963	0.127236	0.121039	0.543753	0.60158	0.503694
CD4	0.685908	0.639725	0.777059	0.793207	0.251983	0.326753	0.785632	1.0	0.974603	0.918403	0.011053	0.953513
CD40LG	0.412474	0.411534	0.845058	0.915704	0.322476	0.104029	0.252992	0.24561	0.217045	0.803431	0.342354	1.0
CD79A	0.661164	0.671408	0.200522	0.199436	0.275296	0.242437	0.615011	0.363854	0.394749	0.155049	0.215476	0.05916
CD8A	0.289231	0.291527	0.205895	0.216426	0.592198	0.238535	0.109289	0.077908	0.081109	0.016142	0.619729	0.027925
CDC14B	0.646432	0.606383	0.96862	0.971641	0.812402	0.476019	0.461233	0.22299	0.133098	1.0	0.883816	0.893044
CDC42EP4	0.492612	0.449697	0.267347	0.255187	0.297952	0.309369	0.600222	0.745346	0.695657	0.26149	0.272585	0.225502
CDK2AP2	0.258247	0.280838	0.179673	0.214622	0.251639	0.489135	0.333278	0.305377	0.316539	0.193473	0.233331	0.211352
CDKN1C	0.395263	0.392468	0.179705	0.175185	0.221178	0.305545	0.574118	0.678758	0.695355	0.161408	0.18386	0.073977
CDR2L	0.135141	0.035285	0.078661	0.08083	0.078141	0.050147	0.047544	0.068543	0.102419	0.0511	0.228628	0.19843
CEACAM1	0.191423	0.181379	0.15297	0.136238	0.069676	0.096231	0.609241	0.086332	0.064364	0.08967	0.078276	0.253038
CEACAM3	0.255309	0.232967	0.017246	0.0	0.055568	0.1054	0.738255	0.300087	0.356027	0.017141	0.008077	0.046996
CECR1	0.625558	0.632582	0.396475	0.396509	0.422697	0.50262	0.758282	0.895446	0.899234	0.380196	0.360453	0.369786
CES1	0.615288	0.606496	0.20651	0.206011	0.348974	0.340105	0.71138	0.925322	1.0	0.153223	0.324747	0.21752
CETN1	0.457643	0.17907	0.249096	0.116161	0.472492	0.658207	0.482512	0.659367	0.19736	0.649239	1.0	0.366265
CFB	0.020311	0.054405	0.053906	0.018836	0.051889	0.023237	0.051576	0.057357	0.056945	0.026576	0.046817	0.020489
CHMP7	0.158495	0.149398	0.276446	0.277225	0.167426	0.044346	0.127851	0.063075	0.091379	0.297269	0.153032	0.200218
CHST7	0.354357	0.324637	0.291053	0.306261	0.271955	0.408545	0.417585	0.408558	0.424927	0.281334	0.257584	0.336667
CIB2	0.195115	0.127066	0.187177	0.229399	0.231208	0.209624	0.102545	0.227853	0.0854	0.210934	0.267161	0.239473
CIITA	0.336138	0.342445	0.017702	0.082591	0.07233	0.14302	0.35771	0.341629	0.379463	0.021805	0.036077	0.141598
CLCC1	0.92585	0.798081	0.662608	0.704804	0.755844	0.729322	0.999659	0.728081	0.850982	0.793333	0.745073	1.0
CLCF1	0.754822	0.698939	0.50164	0.527968	0.700456	0.708404	0.708649	0.781457	0.818085	0.516875	0.764341	0.526246
CLEC4E	0.183411	0.177359	0.120414	0.083484	0.123071	0.104368	0.25366	0.25366	0.269244	0.117646	0.061325	0.097627
CLEC5A	0.196054	0.188452	0.026486	0.046223	0.042325	0.11569	0.280175	0.334638	0.342497	0.0153	0.009359	0.073284
CLIC2	0.110736	0.095157	0.038054	0.065118	0.069091	0.059014	0.167707	0.209745	0.201282	0.04778	0.073116	0.02698
CNNM1	0.071579	0.082016	0.106909	0.036187	0.136488	0.0	0.001572	0.12354	0.016413	0.048369	0.096422	0.038192
CNOT1	0.807568	0.809642	1.0	0.997923	0.912696	0.899037	0.694453	0.574054	0.603214	0.937503	0.967753	0.913618
COL4A3	0.11197	0.067213	0.108642	0.11625	0.281753	0.09672	0.186944	0.191574	0.380172	0.675236	0.390146	0.502648
CP	0.029158	0.075981	0.0	0.07605	0.072659	0.021632	0.019585	0.082281	0.062314	0.019038	0.02426	0.023413
CRISPLD2	0.545773	0.559802	0.169415	0.182184	0.225564	0.324841	1.0	0.775032	0.859348	0.101496	0.015992	0.128653
CRLF2	0.112884	0.125289	0.058363	0.107912	0.329382	0.243283	0.315113	0.128042	0.314068	0.133618	0.133091	0.058957
CSTA	0.126236	0.120285	0.0	0.001408	0.047318	0.063089	0.164839	0.201181	0.207298	0.004228	0.001047	0.010235
CTLA4	0.359414	0.373334	0.752983	0.776116	0.354123	0.156871	0.237417	0.167293	0.168913	0.798375	0.352636	1.0
CXCL10	0.125374	0.127659	0.026944	0.022728	0.057365	0.071733	0.174163	0.226697	0.219591	0.015702	0.015	0.030126
CXCL9	0.041312	0.019597	0.010343	0.002877	0.025274	0.023974	0.05715	0.080711	0.08249	0.001892	0.016383	0.017065
CYCS	0.043009	0.043647	0.046807	0.038309	0.043647	0.054916	0.025619	0.020579	0.020248	0.04316	0.042085	0.048254
CYP2B6	0.011168	0.075371	0.04174	0.11485	0.092097	0.160731	0.152984	0.061306	0.215537	0.020374	0.266135	0.248521
CYP4F3	0.13202	0.134941	0.077252	0.061171	0.092442	0.128266	0.512145	0.017651	0.049344	0.013935	0.036896	0.055289
CYSLTR1	0.733964	0.699475	0.584837	0.571073	0.413939	0.584516	0.848	0.885242	0.84693	0.637249	0.191389	0.64402
DEFB1	0.620344	0.7818	0.277206	0.462814	0.561247	0.22743	0.819275	0.935773	0.800005	0.258843	0.269474	0.49111
DENND3	0.248426	0.266841	0.110013	0.117979	0.156074	0.32335	0.5168	0.366438	0.346924	0.033599	0.159847	0.083001
DPYD	0.514263	0.59604	0.369493	0.354053	0.385755	0.421481	0.677769	0.873661	0.918097	0.388352	0.358103	0.36377
DUSP4	0.047164	0.043097	0.109708	0.078129	0.052317	0.010239	0.0	0.032835	0.042434	0.231579	0.089757	0.27863
DYSF	0.287294	0.283208	0.114961	0.100116	0.178854	0.230435	0.740116	0.41763	0.424806	0.014129	0.129212	0.087584
EDN1	0.018659	0.061032	0.0	0.001708	0.005043	0.035524	0.014063	0.073564	0.072164	0.037197	0.033846	0.020485
EIF1	0.389443	0.388627	0.379542	0.374508	0.380101	0.412923	0.406383	0.449544	0.451837	0.385305	0.388627	0.390258
ELSPBP1	0.063837	0.035678	0.0	0.05819	0.123442	0.053011	0.157708	0.071367	0.053604	0.130266	0.111689	0.132611
EMILIN2	0.286423	0.272768	0.079956	0.08248	0.107798	0.150663	0.358171	0.483111	0.477143	0.064299	0.049008	0.078034
ESPL1	0.113856	0.044978	0.071457	0.076204	0.095827	0.090397	0.089246	0.034788	0.061959	0.066644	0.033897	0.059892
EVL	0.790685	0.761594	0.966613	0.937688	0.859277	0.885813	0.484659	0.392734	0.393936	0.941946	0.781974	1.0
FARS2	0.750426	0.697941	0.901707	0.905745	0.876694	0.776675	0.56114	0.651641	0.653829	0.918468	0.907753	1.0
FBLN1	0.307364	0.435152	0.345195	0.060544	0.630415	0.518934	0.567424	0.76938	0.188082	0.232874	0.279348	0.355302
FCHO1	0.634462	0.666406	0.674638	0.717518	0.625686	0.56199	0.921359	0.779499	0.829304	0.651884	0.563594	0.646388
FCN1	0.333177	0.317229	0.096353	0.095019	0.167252	0.228658	0.43676	0.870083	1.0	0.010325	0.010836	0.051928
FGFR3	0.542458	0.376663	0.503025	0.454754	0.420769	0.460536	0.453746	0.405742	0.446699	0.487541	0.397339	0.380444
FGR	0.541453	0.543445	0.164768	0.160588	0.313014	0.631791	0.696763	0.71573	0.696763	0.050975	0.153487	0.072124
FKBP11	0.125084	0.124404	0.146599	0.146355	0.175054	0.174739	0.077958	0.042434	0.043306	0.146272	0.178159	0.153271
FLT4	0.331421	0.426944	0.864938	0.458176	0.700935	0.84569	0.527881	0.687523	0.489337	0.920049	0.626159	0.380004
FMO5	0.666245	0.632814	0.067951	0.155429	0.250523	0.561706	0.666175	1.0	0.977602	0.088383	0.0	0.245319
FST	0.071098	0.022537	0.192657	0.098358	0.175501	0.092288	0.105416	0.103312	0.145052	0.178461	0.226851	0.280608
FSTL1	0.149059	0.12192	0.127048	0.0	0.130304	0.103192	0.195914	0.067383	0.241445	0.091416	0.039972	0.203936
FUT3	0.036944	0.044226	0.060458	0.025284	0.020096	0.039945	0.000392	0.017671	0.073025	0.040365	0.072127	0.029751
FXYD6	0.601585	0.581216	0.060504	0.084011	0.178456	0.329363	0.735471	1.0	0.997602	0.073641	0.0	0.021245
GAS7	0.596341	0.641129	0.188229	0.188791	0.349419	0.658784	0.710979	0.924448	1.0	0.114901	0.225365	0.125747
GATA2	0.012763	0.019192	0.006806	0.008458	0.01624	0.015812	0.012346	0.018664	0.0	0.011696	0.008149	0.049692
GBP1	0.101614	0.093024	0.100729	0.101441	0.089623	0.084069	0.118134	0.132943	0.130426	0.10448	0.092517	0.114803
GCH1	0.13887	0.138782	0.091799	0.091799	0.105243	0.136801	0.143321	0.228089	0.220194	0.092506	0.102023	0.101755
GFOD1	0.407998	0.411638	0.183708	0.172345	0.348804	1.0	0.285874	0.225978	0.244782	0.088943	0.173254	0.056082
GIMAP4	0.744831	0.738087	0.97352	0.944069	0.801867	0.772435	0.800376	0.602136	0.598048	0.814372	0.661955	0.875484
GJB1	0.105744	0.043058	0.025723	0.0	0.075137	0.017582	0.038114	0.065526	0.047576	0.042916	0.096355	0.065649
GLRA1	0.610147	0.816105	0.84183	1.0	0.457365	0.86724	0.719603	0.328805	0.774445	0.725811	0.699105	0.235573
GLRX2	0.067622	0.052773	0.105937	0.123285	0.0	0.114601	0.110703	0.145055	0.120694	0.085534	0.019493	0.116764
GP5	0.219549	0.177212	0.312488	0.246249	0.252885	0.106707	0.14438	0.135179	0.232096	0.267988	0.297702	0.199506
GPNMB	0.004112	0.002665	0.004765	0.00337	0.00555	0.005208	0.00804	0.014163	0.004846	0.00413	0.00371	0.00599
HAGH	0.796973	0.739896	0.765037	0.772564	0.758493	0.738252	0.814168	0.846096	0.814168	0.806672	0.78273	0.821083
HAVCR1	0.165626	0.279577	0.263369	0.299283	0.404305	0.110883	0.249911	0.232342	0.144893	0.424497	0.437898	0.251687
HBD	0.083101	0.086575	0.055919	0.058521	0.096778	0.080597	0.078532	0.083203	0.086826	0.044887	0.093765	0.040128
HCK	0.236175	0.214314	0.054473	0.052458	0.093535	0.117689	0.405909	0.36706	0.35966	0.022899	0.004528	0.036148
HDC	0.009472	0.010003	0.013366	0.011567	0.003944	0.005295	0.01044	0.005241	0.00741	0.013598	0.003161	0.027598
HGD	0.101969	0.14339	0.127057	0.14685	0.218377	0.16567	0.165888	0.11427	0.154173	0.160163	0.154213	0.145027
HIST1H2BC	0.106374	0.056924	0.06219	0.11874	0.128372	0.065713	0.341483	0.034278	0.071302	0.017853	0.02332	0.009515
HOMER2	0.229167	0.185365	0.188923	0.192694	0.082479	0.235187	0.244281	0.09667	0.282182	0.062401	0.118498	0.156711
HOXA2	0.288636	0.15755	0.227485	0.206963	0.172665	0.200631	0.17322	0.095079	0.153999	0.309742	0.105597	0.262816
HPSE	0.351027	0.374699	0.228168	0.229889	0.238212	0.209096	0.475714	0.68107	0.63809	0.208264	0.198395	0.285158
HTRA1	0.057408	0.096865	0.000432	0.0	0.117696	0.152648	0.238182	0.293611	0.267428	0.016432	0.034038	0.001081
ICOS	0.359798	0.354559	0.778271	0.779356	0.461223	0.158684	0.253396	0.194988	0.20033	0.884369	0.487117	1.0
IFI27	0.035997	0.040009	0.065199	0.072105	0.029779	0.029286	0.037757	0.030291	0.032223	0.067349	0.01674	0.080093
IFNB1	0.13096	0.180801	0.0	0.00272	0.027629	0.040651	0.161139	0.311105	0.368427	0.035501	0.025592	0.03695
IFT20	0.055949	0.055913	0.055841	0.055995	0.100859	0.06419	0.116091	0.169916	0.169535	0.046214	0.099578	0.07818
IGFBP2	0.05919	0.065791	0.043508	0.045961	0.056111	0.098009	0.059763	0.065583	0.048156	0.041456	0.07235	0.024201
IL15RA	0.292381	0.330505	0.137555	0.197786	0.227455	0.287849	0.371336	0.546921	0.532469	0.088986	0.123825	0.327737
IL1R2	0.20664	0.210778	0.105991	0.11815	0.163768	0.199315	0.534058	0.222812	0.219513	0.062454	0.151401	0.075655
IL1RAP	0.286776	0.22385	0.184425	0.110777	0.230738	0.232619	0.413299	0.136087	0.23409	0.148087	0.134163	0.218434
IL1RL1	0.217055	0.254116	0.222902	0.212408	0.245141	0.213945	0.198683	0.273687	0.222849	0.207982	0.211063	0.181091
IL2RA	0.212415	0.228551	0.352139	0.371123	0.160959	0.137435	0.158475	0.190999	0.179603	0.426723	0.13551	0.495252
IL32	0.519303	0.527326	0.902601	0.904969	0.776515	0.391368	0.220614	0.163847	0.171958	0.88247	0.865855	1.0
IL4R	0.528065	0.538031	0.46457	0.457654	0.340079	0.299526	0.622441	0.40325	0.411718	0.505659	0.354427	0.400722
IL5RA	0.357082	0.220715	0.343456	0.369972	0.394676	0.355805	0.350861	0.423333	0.430102	0.391732	0.400962	0.349612
IL6ST	0.002988	0.057718	0.085279	0.113703	0.086799	0.011593	0.006904	0.011235	0.048891	0.093437	0.105855	0.079378
ING2	0.814788	0.785898	0.741695	0.769532	0.862831	0.847705	0.998837	0.934901	0.845742	0.799187	1.0	0.815241
IRS1	0.576092	0.684128	0.736026	0.384511	0.818725	0.174229	0.547573	0.363781	0.371118	0.552121	1.0	0.141053
JRKL	0.051033	0.036848	0.228067	0.127129	0.082905	0.105109	0.0	0.10968	0.064256	0.094657	0.098987	0.209954
KCNJ15	0.152951	0.12263	0.051071	0.080125	0.093006	0.1257	0.397499	0.109666	0.076366	0.106421	0.055763	0.057393
KIF1A	0.176993	0.020437	0.106637	0.150261	0.067268	0.071028	0.040045	0.140857	0.057116	0.110412	0.062563	0.175248
KIF22	0.590045	0.547562	0.678896	0.70886	0.685109	0.531768	0.587248	0.608529	0.643397	0.743046	0.66325	0.761066
KIR3DL1	0.380937	0.368121	0.190097	0.200372	0.379599	1.0	0.207014	0.123188	0.104742	0.048832	0.211671	0.056435
KLHL18	0.426597	0.380205	0.283622	0.309965	0.287587	0.339157	0.512713	0.476031	0.630178	0.235637	0.268483	0.278309
KLRC3	0.299496	0.284059	0.207725	0.209632	0.449245	0.519044	0.135534	0.156594	0.123493	0.071132	0.502007	0.05288
KLRD1	0.435631	0.43099	0.233442	0.24059	0.576265	1.0	0.208603	0.104851	0.094942	0.076838	0.504497	0.045071
KLRF1	0.28808	0.283521	0.170699	0.183135	0.32474	0.826286	0.183084	0.082103	0.09045	0.08611	0.21631	0.077896
KRT19	0.066853	0.101335	0.071527	0.146587	0.131137	0.118751	0.074899	0.152177	0.056095	0.076475	0.032732	0.044316
KRT5	0.069805	0.063691	0.082734	0.087448	0.061661	0.047891	0.103877	0.106024	0.043116	0.070732	0.165713	0.0
KSR1	0.053226	0.084645	0.023798	0.0	0.027204	0.077854	0.072998	0.093987	0.133483	0.04285	0.018724	0.094997
LAIR1	0.617195	0.617195	0.75354	0.444318	0.984795	1.0	0.628418	0.577245	0.577245	0.405592	0.388643	0.566071
LAMP3	0.118879	0.112406	0.11546	0.121887	0.113244	0.098406	0.127209	0.122985	0.098091	0.135934	0.135639	0.120083
LGALS13	0.053875	0.231506	0.375226	0.242235	0.214105	0.426447	0.3761	0.332332	0.524399	0.408319	0.30431	0.389485
LILRA3	0.664336	0.663514	0.142994	0.149792	0.260903	0.337634	0.906574	0.990911	1.0	0.041702	0.031413	0.091661
LILRA4	0.125085	0.104598	0.059813	0.052494	0.109776	0.10822	0.135984	0.141029	0.117387	0.1558	0.036996	0.063475
LILRA5	0.725732	0.637677	0.242951	0.219825	0.290908	0.366913	0.698577	0.949918	1.0	0.089324	0.08126	0.10769
LILRB1	0.991555	0.974536	1.0	0.885752	0.909995	0.858081	0.981052	0.98909	0.972667	0.98973	0.847832	0.843148
LIMA1	0.175111	0.171515	0.268874	0.229769	0.187816	0.192896	0.046955	0.09685	0.029168	0.258072	0.166873	0.319864
LIMK2	0.070571	0.064781	0.099083	0.125394	0.034739	0.073147	0.215218	0.195169	0.20548	0.081396	0.048894	0.142154
LIPF	0.413164	0.26448	0.534873	0.649479	0.41003	0.330738	0.489194	0.370798	0.518357	0.487107	0.299642	0.290272
LRP5L	0.085354	0.081759	0.067593	0.064249	0.072628	0.06971	0.090466	0.107467	0.116609	0.070305	0.061646	0.066664
LRRC8D	0.201913	0.187981	0.221373	0.218407	0.190167	0.150645	0.177038	0.260304	0.259033	0.198076	0.187201	0.233036
LSM4	0.916258	0.844083	0.901325	0.899466	0.978351	0.865277	0.682672	0.850993	0.889385	0.999825	1.0	0.870485
MAG	0.157251	0.343512	0.079771	0.098418	0.082604	0.198553	0.144166	0.325753	0.116444	0.134442	0.325325	0.138408
MAL	0.632262	0.576573	0.999942	0.99436	0.699091	0.126455	0.325706	0.223818	0.219485	1.0	0.764024	0.947676
MAOA	0.014237	0.005244	0.003767	0.032389	0.014152	0.0	0.013516	0.025376	0.022647	0.010848	0.01443	0.009411
MAPK7	0.623578	0.663997	0.50793	0.499519	0.530842	0.759778	0.873159	1.0	0.985866	0.527974	0.529429	0.52973
MAT2B	0.242726	0.27481	0.302735	0.348127	0.300504	0.380864	0.286379	0.200527	0.218951	0.291598	0.334216	0.309828
MEST	0.021309	0.013927	0.031898	0.013605	0.032466	0.008566	0.0	0.003593	0.016605	0.00438	0.063319	0.00823
MME	0.27448	0.287598	0.077477	0.087842	0.17786	0.220519	1.0	0.033401	0.049567	0.013687	0.034926	0.015006
MMP25	0.208923	0.230498	0.0866	0.081448	0.132741	0.157608	1.0	0.175012	0.187319	0.052406	0.059016	0.097529
MMP8	0.176795	0.060366	0.040521	0.04052	0.219697	0.082513	0.119102	0.014032	0.242885	0.0	0.065181	0.954617
MMP9	0.022391	0.023295	0.010397	0.009888	0.014451	0.0205	0.080734	0.021388	0.022499	0.010295	0.008734	0.016943
MOCS3	0.264956	0.170724	0.47201	0.429815	0.636879	0.750225	0.360238	0.0	0.086572	0.14105	0.839492	0.426431
MPO	0.045216	0.047204	0.026951	0.02564	0.046628	0.034543	0.077322	0.066911	0.066767	0.030401	0.040548	0.130817
MPPED2	0.344507	0.313866	0.638048	0.26666	0.636876	0.142134	0.769131	0.356098	0.586872	0.397094	0.845323	0.542874
MRPL3	0.17465	0.181023	0.202065	0.212782	0.206751	0.174795	0.146213	0.185034	0.194251	0.197066	0.237146	0.213387
MRPL4	0.711109	0.636839	0.74171	0.746638	0.704514	0.702269	0.681643	0.720667	0.74605	0.739774	0.720183	0.780159
MS4A1	0.013629	0.02142	0.006917	0.008513	0.006848	0.012107	0.020555	0.01457	0.009551	0.012628	0.004729	0.009731
MS4A6A	0.624876	0.601326	0.119946	0.115746	0.220046	0.323564	0.699875	0.975972	1.0	0.022429	0.004822	0.076864
MT1X	0.212649	0.190256	0.299085	0.287402	0.298871	0.183127	0.124776	0.160097	0.160069	0.303763	0.328173	0.27206
MTMR11	0.585822	0.555914	0.109177	0.144456	0.216441	0.289554	0.696359	0.98694	1.0	0.041366	0.013296	0.029585
MTSS1	0.798018	0.858981	0.618106	0.628264	0.613149	1.0	0.758429	0.758217	0.805158	0.561851	0.541313	0.601429
MUC1	0.213942	0.232109	0.37054	0.387657	0.240939	0.030335	0.179065	0.208466	0.202201	0.441009	0.288952	0.498098
MYLIP	0.446461	0.440641	0.529113	0.528879	0.549949	0.49517	0.363796	0.296669	0.288797	0.520902	0.559086	0.49517
NAGA	0.197938	0.195058	0.095035	0.059252	0.096203	0.125967	0.234567	0.358667	0.348346	0.0	0.056497	0.08791
NBN	0.50893	0.544985	0.427921	0.414882	0.445162	0.509756	0.729272	0.764755	0.767682	0.393034	0.46652	0.386141
NBR1	0.25718	0.268464	0.295737	0.233872	0.259378	0.25342	0.141804	0.220139	0.193002	0.291187	0.250801	0.206783
NDRG2	0.645128	0.630932	0.765858	0.745034	0.660223	0.45184	0.482025	0.618889	0.667871	0.881772	0.695383	0.832209
NEFL	0.659369	0.654661	1.0	0.856734	0.479824	0.60961	0.550096	0.637996	0.529455	0.892708	0.730717	0.865639
NGFRAP1	0.057307	0.062918	0.102191	0.099316	0.088694	0.038752	0.048303	0.040098	0.041844	0.095303	0.107721	0.088126
NME1	0.339803	0.351865	0.351666	0.359694	0.384782	0.326943	0.26901	0.299945	0.313752	0.377104	0.427456	0.344099
NOTCH4	0.537816	0.481398	0.0	0.059774	0.219783	0.390877	0.670094	0.872898	0.918819	0.001842	0.180056	0.138672
NOV	0.073579	0.189567	0.012775	0.04592	0.027521	0.147613	0.707791	0.111592	0.105331	0.038668	0.046027	0.118613
NPEPPS	0.395799	0.393108	0.386073	0.376942	0.356063	0.375474	0.488708	0.470627	0.461958	0.381859	0.342253	0.344538
NR2E3	0.0	0.285034	0.312425	0.154172	0.056829	0.08579	0.1952	0.391429	0.086786	0.138619	0.833617	0.273209
NR4A2	0.195646	0.21789	0.159744	0.152836	0.226118	0.235878	0.213233	0.247089	0.263272	0.193644	0.335012	0.219461
NRG1	0.591352	0.580243	0.060171	0.083141	0.162579	0.21439	0.675944	1.0	0.975646	0.027105	0.047804	0.0
NRGN	0.513468	0.524293	0.114093	0.135163	0.233073	0.276298	0.692305	1.0	0.899023	0.128116	0.088685	0.153839
NUDT1	0.403506	0.389473	0.574367	0.595496	0.507647	0.462831	0.347652	0.297463	0.288158	0.595496	0.541262	0.555372
NUDT18	0.903395	0.882341	0.982982	0.989451	0.876892	0.935726	0.880083	0.790379	0.862195	0.991448	1.0	0.96966
NXT1	0.671782	0.692291	0.720262	0.736233	0.840782	0.94709	0.621126	0.647204	0.647204	0.766022	1.0	0.891096
NXT2	0.056774	0.070201	0.040949	0.068338	0.08148	0.103667	0.10521	0.113324	0.124374	0.064835	0.066281	0.086691
OLFM1	0.427427	0.332462	0.0	0.025592	0.106975	0.066549	0.62507	1.0	0.829604	0.054219	0.00227	0.03484
OR2F1	0.643613	0.010648	0.0	0.053879	0.384637	0.442372	0.053879	0.164947	0.305655	0.437374	0.360414	0.277018
OR2J2	0.50039	0.270905	0.624707	0.724269	0.264222	0.543334	0.327606	0.985628	0.536425	0.664612	0.352144	0.417989
