Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
C4ORF50	0.0	0.016698	0.000746	0.064482	0.005439	0.107849	0.007272	0.453847
CA6	0.0	0.0	0.000671	0.0	0.002394	0.03011	0.252518	0.072331
CACHD1	0.00645	0.0	0.005622	0.0	0.249089	0.003094	0.602455	0.0
CACNA1E	0.002595	0.003612	0.000722	0.0	1.0	0.001035	0.0	0.0
CAMP	0.0	0.009814	0.021325	0.0	1.0	0.0	0.000121	0.0
CAV1	0.000211	2.4e-05	2e-06	0.0	4e-06	0.0	0.000679	7e-06
CBS	0.0	0.0	0.000775	0.018605	1.0	0.0	0.009578	0.007266
CCL20	0.0	0.0	1.0	0.0	0.004801	0.00824	5e-05	0.0002
CCL22	0.0	0.006032	0.000235	0.0	0.000838	0.0	0.000168	0.0
CCR3	0.000785	0.00467	0.002433	0.001459	1.0	0.0	0.000395	0.007805
CCR4	0.000569	0.000721	0.005578	0.0	0.0014	1.0	0.014984	0.232074
CCR5	0.0	0.002306	0.059003	0.030664	0.009925	0.082363	0.00344	0.907611
CCR8	0.0	0.0	5.3e-05	0.0	0.00111	0.385538	0.012566	0.109029
CD160	0.00045	4.2e-05	0.000533	1.0	0.000213	0.000226	0.0	0.16735
CD163	0.001474	0.0	0.906212	0.000431	0.012225	0.000134	0.000111	0.0
CD1C	0.0352	0.554088	0.044607	0.000358	0.00029	0.000312	0.0	0.0
CD200	0.316793	0.014498	7.2e-05	0.000161	0.003726	0.001939	0.008258	0.0
CD300E	0.000351	0.00023	1.0	0.000251	0.005152	7.9e-05	1.5e-05	0.0
CD34	0.0	0.0	0.004624	0.001342	0.001201	0.0	0.027379	0.0
CD36	0.000465	9.5e-05	1.0	9.7e-05	0.006296	0.000394	0.000195	0.0
CD40LG	0.000924	0.0	0.002502	0.001398	0.0023	0.576808	0.220368	0.032711
CD70	0.0	1.0	0.000965	0.005696	0.002803	0.132505	0.007107	0.120975
CD8A	7.8e-05	0.0	0.002326	0.072755	0.000666	0.001436	5.3e-05	1.0
CD8B	0.0	0.0	0.001664	0.00407	0.000342	0.00183	0.002672	1.0
CDH2	0.0	0.0	0.000453	0.001686	0.277808	0.0	0.004923	0.001573
CFAP58	0.0	0.0	0.015287	0.016205	1.0	0.0	0.001106	0.0
CFH	0.0	0.0	0.010701	0.078165	0.00578	1.0	0.029905	0.32706
CHL1	0.002547	0.001394	1e-06	0.0	1.4e-05	0.0	2e-06	0.0
CHN1	0.011002	0.0	0.001291	0.013165	0.03495	0.70615	0.032931	0.133513
CHRM3-AS2	0.0	0.0	0.001371	0.008346	0.001651	0.102883	1.0	0.026913
CHSY3	0.0	0.0	6.4e-05	0.058804	0.000565	0.0	0.000255	0.0
CLDN9	0.0	0.0	0.002868	0.0	1.0	0.003065	0.000465	0.0
CLEC10A	0.001336	0.0	0.86447	0.000389	0.001654	0.002283	0.000287	0.0
CLECL1	0.02342	1.0	0.030843	0.000426	0.0	0.062167	0.003286	0.085814
CLIC3	0.000375	0.001041	0.000167	1.0	0.0	0.005866	0.000271	0.050466
CMTM2	0.0	0.0	0.009871	0.000613	1.0	0.000428	7.8e-05	0.000395
CNTNAP2	1.0	0.066221	2.2e-05	0.001253	0.002083	0.0	0.001648	0.0
CNTNAP3	0.0	0.002837	0.000434	0.0	1.0	0.000178	0.000608	0.000326
COBLL1	1.0	0.88116	0.001293	0.001094	0.002439	0.000307	0.002356	0.0
COL19A1	1.0	0.138914	5.7e-05	0.000374	0.000134	0.0	0.001	0.0
COL4A3	0.037294	1.0	0.0	0.002484	3.5e-05	0.00128	0.001974	0.001423
COL4A4	0.048503	0.848285	0.0	0.017211	0.00106	0.002335	0.005245	0.003612
COL5A3	0.0	0.0	0.002907	0.061986	0.012228	0.947575	0.014939	1.0
COL6A2	0.004393	0.0	0.001306	0.613109	0.004424	0.153104	0.155712	1.0
CORO2B	0.009325	0.000335	1.1e-05	0.0	7.3e-05	0.0	1.4e-05	0.0
CPA5	0.0	0.0	0.0	0.0	0.000924	0.162088	0.141918	0.219034
CPNE5	0.15242	0.584714	0.000446	0.0	0.006456	0.000258	0.001043	0.001031
CPNE7	0.0	0.0	0.0	0.018323	0.0176	0.413484	0.013385	0.284516
CPVL	0.000347	0.0	1.0	0.000282	0.003783	0.000491	0.001345	0.000392
CRTAM	0.000729	0.0	0.035314	0.114472	0.001675	0.008606	0.025414	0.358744
CSF3R	5.6e-05	1.6e-05	0.051186	2e-05	1.0	4e-06	2.1e-05	0.0
CTAG2	0.0	0.0	0.267167	0.0	0.002679	0.0	0.002373	0.00557
CTGF	0.001423	0.0	0.0	0.0	9.2e-05	9.7e-05	0.015555	0.0
CTLA4	0.0	0.0	0.00096	0.001877	0.000419	0.248715	0.184841	0.063458
CXCL10	0.0	0.000186	0.017169	6.8e-05	0.000321	0.0	2.5e-05	0.0
CXCL2	0.00227	0.0	1.0	0.001125	0.035421	0.0	0.000557	0.0
CXCR1	3e-05	4.8e-05	0.000912	0.017696	1.0	6.3e-05	0.0	0.000498
CXCR2	0.0	0.0	0.002071	0.01427	1.0	0.0	4e-06	0.000343
CXCR6	0.004557	0.0	0.001057	0.059146	0.002838	0.105937	0.005971	1.0
CYP1B1	0.002332	0.0	1.0	0.000557	0.042253	0.0	0.000188	0.0
CYP26B1	0.0	0.0	0.000125	0.014855	1.0	0.0	0.000802	0.004026
CYP4F22	0.0	0.0	0.04394	0.133745	0.003005	0.039214	0.008747	0.400004
CYP4F3	0.000139	0.0	0.007322	0.0	1.0	0.0	4.7e-05	0.000208
DAB1	0.006217	0.0	0.000185	0.029553	0.024374	0.511583	0.08466	0.071037
DACT1	0.086944	0.017314	0.002004	0.001723	0.019622	0.076415	1.0	0.0
DBNDD1	0.460533	0.031128	0.0	0.000485	0.000824	0.013191	0.061877	0.004271
DCLK2	0.046028	0.14015	0.001786	0.000935	0.000274	0.000309	0.0	0.000251
DDO	0.0	0.0	0.093444	0.0	0.001002	0.0	0.000602	0.001732
DKK3	0.000198	0.000554	0.0	0.000269	0.000349	0.000378	0.001475	0.00924
DLGAP1	0.0	0.183714	0.003294	0.0	0.01583	0.032086	0.000772	0.001555
DNAJC5B	0.027324	0.262555	0.00957	0.001439	0.000485	0.0	0.000174	0.0
DSC1	0.0	0.0	0.000492	0.012777	0.012261	0.060652	1.0	0.018618
DSP	0.529176	0.026489	0.000123	0.0	0.004307	0.000781	0.000198	0.0
DUSP4	4.9e-05	0.000956	0.0	4.6e-05	0.001053	0.044264	0.001635	0.008818
EBI3	0.036927	0.29627	0.005237	0.003704	0.001249	0.0	0.001	0.0
ECSCR	0.0	0.0	0.000805	0.0	0.000666	0.005986	0.032254	0.0
EDAR	0.0	0.0	0.000274	0.0	0.00092	0.077888	1.0	0.010739
EDARADD	0.0	0.0	0.001796	0.125418	0.002423	0.192154	0.014672	0.467197
ELOVL4	0.0	0.0	0.001432	0.018234	0.005046	0.6072	0.047728	0.298712
EML6	0.07898	1.0	0.002634	0.004144	0.033615	0.0	0.003592	0.003506
ENAH	0.017044	0.000692	9.7e-05	0.000287	0.000501	0.0	0.000618	0.0
EPHB1	0.000532	0.00064	0.001166	0.000266	1.0	0.000259	0.0	0.000337
EPHX2	0.007629	0.011724	0.001063	0.007814	0.0	0.257265	1.0	0.098914
EREG	0.000996	0.0	1.0	0.000505	0.007468	0.0	0.000714	0.0
ESPN	0.0	0.0	0.0	0.015083	0.001073	0.142887	0.008984	0.066329
ESPNL	0.013935	0.595869	0.0	0.004933	0.011911	0.005811	0.002094	0.002097
FAM111B	1.0	0.331321	0.0	0.013706	4e-05	0.002964	0.000404	0.008141
FAM153A	0.034782	0.006799	0.003229	0.001292	0.0	0.295171	1.0	0.024537
FAM177B	0.793758	0.17394	0.0	0.00095	0.048256	0.000924	0.002137	0.000763
FAM198B	0.0	0.0	1.0	0.000183	0.013709	0.0	0.008693	0.0
FAM69B	1.0	0.065189	0.0	0.004039	0.000771	0.003363	0.008029	0.002594
FASLG	0.001599	0.001396	0.0	1.0	0.001006	0.010941	0.001197	0.15385
FAT4	0.005848	0.0	0.0	1.0	0.002651	0.0	0.020327	0.006638
FBLN2	0.196257	0.867022	0.007583	0.027471	0.001088	0.0	0.004728	0.022623
FBLN7	0.000408	0.008481	0.0	0.00223	0.001473	0.466878	0.243684	0.01521
FCER2	0.408864	0.06245	0.002736	0.000272	0.001966	0.0	3.4e-05	2.4e-05
FCGR3B	0.0	1.3e-05	0.000293	0.00142	1.0	0.0	4e-06	6e-05
FCN1	0.000109	2.4e-05	1.0	7e-05	0.044987	9e-06	6e-06	0.0
FCRL1	1.0	0.416973	0.00017	0.001178	0.005929	0.0	0.000443	0.000107
FCRL2	1.0	0.744453	0.000359	0.00107	0.002461	0.0	0.000395	8.3e-05
FCRL5	0.467933	0.297333	0.00021	0.000485	6.9e-05	0.0	0.000613	0.0
FCRLA	0.2143	0.412672	0.000243	0.000389	0.000253	0.0	2.7e-05	0.0
FEZ1	0.0	0.001257	0.009304	0.566014	0.0026	0.003595	0.003174	0.055799
FGFBP2	0.000138	0.0	0.00034	1.0	0.000509	0.001006	0.001299	0.204173
FGFR2	0.0	0.0	0.003243	0.023961	0.017999	0.056871	0.001117	0.206644
FHIT	0.025153	0.006082	0.009896	0.015355	0.0	0.188222	1.0	0.010924
FLT4	0.0	0.0	0.010862	0.018736	0.003904	0.196654	0.217014	0.644529
FMN1	0.18645	0.002952	0.341749	0.003612	0.004822	1.0	0.0	0.001396
FN1	1.1e-05	0.000121	0.000119	1.1e-05	0.0	0.0	0.001032	1.8e-05
FPR3	0.0	0.000896	0.071496	0.0	0.000586	0.0	6.1e-05	0.0
FXYD2	0.059637	0.018017	0.041449	0.0	0.003439	0.097839	0.390271	1.0
FXYD6	0.001344	0.0	0.438667	0.0	0.00343	0.0	0.000546	0.0
GALNTL6	0.067964	1.0	0.003208	0.0035	0.006073	0.0	0.0	0.0
GDF7	0.117431	0.679862	0.0	0.001881	0.00411	0.039956	0.005091	0.002374
GFPT2	0.015924	0.0	4.7e-05	0.018245	0.000977	0.010713	0.002483	0.083635
GLP1R	0.0	0.0	0.0	0.922739	0.018834	0.0	0.000768	0.010896
GNAT2	0.0	0.0	0.006648	0.0	0.591758	0.0	0.002737	0.005078
GNG12	0.0	0.0	1.3e-05	0.0	9.7e-05	0.00034	0.001205	0.0
GNLY	0.000176	0.0	0.000617	1.0	0.000562	0.002369	0.000952	0.101931
GPM6A	0.081547	1.0	0.000133	0.001052	0.000296	0.0	7.4e-05	0.0
GPR15	0.0	0.01457	0.012599	0.049476	0.000926	1.0	0.051084	0.16376
GPRC5B	0.0	0.0	8.1e-05	0.0	0.000218	0.002257	0.011115	0.000467
GREM2	0.0	0.0	0.000556	0.033918	0.003722	0.976616	0.053688	0.037602
GRIK4	0.071118	0.0	0.000297	1.0	0.002493	0.0	0.001784	0.0
GSDMA	0.0	0.0	0.000801	0.027361	0.002296	0.031177	0.053079	0.355484
GZMB	0.000274	0.000461	0.000507	1.0	0.000226	0.0	0.000265	0.090108
GZMK	0.0	0.0	0.000791	0.014624	0.000478	0.091827	0.009681	0.574294
HBG2	0.025056	0.004397	0.033294	0.01244	0.039379	0.0	1.0	0.0
HBQ1	0.0	0.0	0.010624	0.506146	0.00474	0.0	0.003693	0.0
HCG23	0.11917	0.208868	0.0	0.0	0.001561	0.0	0.001549	0.0
HEY1	0.0	0.0	0.003744	0.001613	0.411968	0.0	0.00063	0.000534
HIST1H1T	0.0	0.0	0.002309	0.0	1.0	0.003517	0.00117	0.0
HLF	0.0	0.0	0.003968	0.012763	0.015291	1.0	0.047358	0.069587
HNMT	0.003508	0.0	1.0	0.000562	0.005507	0.0	0.000442	0.0
HPCAL4	0.0	0.004721	0.002168	0.008892	0.00691	1.0	0.761793	0.067366
HRH4	0.008786	0.012793	0.0	0.022601	0.141929	0.710935	0.03392	0.045776
HSD11B1	0.0	0.0	0.006529	0.0	0.008559	0.300899	0.005489	0.002543
IGFBP3	0.0	2.2e-05	3e-05	0.000274	1.9e-05	0.002278	0.00057	0.003691
IGFBP6	0.0	0.018135	0.008	0.00339	0.001895	0.05863	0.012106	0.309688
IGLL5	0.664393	0.266016	0.000221	0.000768	8.3e-05	0.0	0.012608	0.0
IL1A	0.005396	0.004991	1.0	0.001158	0.020292	0.0	3.6e-05	0.0
IL1B	0.000131	1e-05	1.0	8.2e-05	0.030088	1e-05	9e-06	0.0
IL1R2	0.0	0.0	0.010654	0.0	1.0	0.000319	0.0	0.000305
INHBB	0.0	0.0	0.005691	0.004217	1.0	0.0	0.000177	0.0
ISM1	0.0	0.0	0.000171	0.0	0.001101	0.404502	0.302979	0.041544
JAKMIP1	0.001079	0.001055	0.00075	0.097403	0.0	0.271659	0.009578	1.0
JCHAIN	0.01801	0.1142	0.000194	0.000125	0.000223	0.0	0.016098	1e-05
KCNG1	1.0	0.019515	0.000219	0.0	0.000281	0.0	0.0	0.0
KCNH8	1.0	0.076618	0.000643	0.000572	0.001597	0.000755	0.00089	0.0
KCNJ15	0.0	0.0	0.019913	0.0	1.0	0.000141	0.000248	0.0
KHDRBS2	1.0	0.440131	0.017482	0.001364	0.000572	0.0	0.000414	0.0
KIAA1257	0.0	0.00345	0.008972	0.003032	1.0	0.003773	0.008893	0.002771
KIAA1671	0.004817	0.0	0.001684	0.301047	0.0028	0.02889	0.063485	0.48223
KIR2DL1	0.0	0.0	0.000608	1.0	0.019759	0.0	0.000777	0.00356
KIR2DL3	0.0	0.0	0.001172	1.0	0.007809	0.0	0.0	0.021012
KIR2DL4	0.0	0.0	0.002953	0.33692	0.012734	0.0	0.000671	0.003202
KIR2DS4	0.0	0.0	0.008963	1.0	0.00716	0.012537	0.002241	0.053564
KIR3DL1	0.0	0.0	0.001607	1.0	0.026429	0.0	0.000236	0.099978
KIR3DX1	0.0	0.00975	0.001434	0.778471	0.00211	0.0	0.001384	0.028872
KLHL14	1.0	0.624002	0.000902	0.001146	0.000411	0.0	0.001394	0.0
KLRC1	0.0	0.0	0.000333	1.0	0.000462	0.0	0.002817	0.163278
KLRC2	0.0	0.001365	0.000189	1.0	0.00023	0.0	0.001753	0.106905
KLRC3	0.0	0.0	0.001686	1.0	0.002154	0.0	0.002251	0.13654
KLRF1	0.000204	0.000944	0.000664	1.0	0.000612	0.0	0.00071	0.042774
KLRG1	0.005466	0.001516	0.004695	0.466035	0.0	0.16765	0.041295	1.0
KRT1	0.0	0.0	0.003681	0.0	0.002096	1.0	0.0169	0.005375
KRT23	0.0	0.0	0.01206	0.000227	1.0	0.000216	3.4e-05	0.000326
KRT72	0.0	0.0	0.000872	0.090932	0.001847	0.088014	1.0	0.006797
KRT73	0.0	0.0	0.001493	0.126224	0.004743	0.097105	1.0	0.008489
LAG3	0.0	0.0	0.000879	0.024731	0.007487	0.010342	0.006193	0.227359
LAMC3	0.0	0.042811	0.0	0.0	0.002635	0.002317	0.174576	0.0
LARGE1	1.0	0.07296	0.001711	0.008282	0.0	0.004405	0.004399	0.001418
LDB2	0.0	0.0	0.0	0.642235	0.003864	0.0	0.044023	0.007358
LDLRAD3	0.001285	0.0	0.169215	0.000374	0.002453	0.0	0.000745	0.0
LEF1	0.001063	0.0	0.00163	0.0055	0.000248	0.196806	1.0	0.072317
LEF1-AS1	0.0	0.0	0.003444	0.003485	0.001215	0.092838	1.0	0.042385
LGALS17A	0.0	0.0	0.000212	0.0	0.002366	0.023625	0.284937	0.007193
LGALS2	0.0	0.000793	1.0	0.0	0.004966	0.000226	0.000377	0.0
LGALS9B	0.005372	0.0	0.000135	1.0	0.047344	0.001029	0.002761	0.001622
LILRA4	0.005082	0.328502	0.006907	0.00137	0.063353	0.002307	0.000601	0.0
LIM2	0.0	0.0	0.0	1.0	0.002223	0.003894	0.000473	0.026857
LINC00494	0.628826	0.514204	0.000243	0.00116	0.000416	0.0	0.000812	0.0
LINC00892	0.002659	0.0	0.005168	0.012187	0.001994	1.0	0.018192	0.222041
LINC00926	1.0	0.491165	0.002204	0.00127	0.0	6.4e-05	0.001106	6.3e-05
LINC01340	0.848765	0.12689	0.0	0.0	0.00679	0.0	0.00795	0.0
LINC01505	0.0	0.0	0.0	0.484136	0.007796	0.004729	0.000435	0.023534
LINC01550	0.001082	0.0	0.00215	0.000879	0.002031	0.232123	1.0	0.201595
LINGO2	0.002389	0.0	2.5e-05	0.325314	0.000697	0.0	0.000249	0.0008
LMF1	0.0	0.018338	0.006756	0.001097	0.001955	0.244425	1.0	0.08818
LOC100289473	0.008182	0.0	0.032815	0.001063	1.0	0.0	0.000336	0.0
LOC100507387	0.020906	0.009456	0.00169	0.0	0.000291	0.354238	1.0	0.008835
LOC100996286	0.0	0.004201	0.001733	0.027813	0.000384	1.0	0.238593	0.205155
LOC101927412	0.109458	1.0	0.000175	0.000847	9.6e-05	0.0	0.001016	0.0
LOC101927482	0.003324	0.0	0.004592	0.0	0.030088	0.464652	0.142081	0.057089
LOC101927740	0.162591	0.367134	0.006324	0.0	0.008555	0.0	0.0	0.0
LOC101928307	0.0	0.0	0.809226	0.0	0.002472	0.003261	0.000774	0.0
LOC101929633	1.0	0.247779	0.0	0.0	0.001307	0.0	0.000429	0.0
LOC102724714	0.05646	0.398083	0.001317	0.000206	0.000231	0.0	0.0	0.0
LOC105374836	0.024265	0.003187	0.001947	0.0	0.001667	0.207365	1.0	0.068118
LOC254896	0.0	0.0	0.005436	1e-05	1.0	0.0	9.2e-05	0.0
LOC283194	1.0	0.420928	0.003194	0.000702	0.001122	0.0	0.0024	0.0
LOC541472	0.346132	0.764966	0.007327	0.0	0.007358	0.0	0.001731	0.0
LOC730102	0.0	0.0	0.221888	0.002347	0.006746	0.0	0.000744	0.0
LPAR3	0.0	0.031577	0.00217	0.023274	0.00211	0.203145	0.066372	0.500849
LRIG3	0.0	0.0	0.0	0.0	0.001339	0.002793	0.033779	0.002783
LRP1	0.003403	0.00334	1.0	0.0	0.003361	0.006262	0.006812	0.005697
LRRC43	0.0	0.0	0.010429	1.0	0.026141	0.0	0.008872	0.038906
LRRC7	0.0	0.0	0.001649	0.001892	0.004513	0.001666	0.298232	0.0
LRRN3	0.008252	0.001988	0.005598	0.0	0.005059	0.105713	1.0	0.044323
LTF	0.009803	0.0	0.001377	0.003959	1.0	0.0	0.000481	0.0
LYZ	0.000117	5e-06	1.0	4.4e-05	0.027438	8.7e-05	7.4e-05	0.0
MACROD2	0.415157	0.045432	0.001605	0.006724	0.002515	0.0	0.00255	0.0
MAF	0.000741	0.0	0.023738	0.333069	0.004374	1.0	0.041114	0.322657
MAL	0.000569	0.000417	0.002265	0.0	0.001141	0.846839	1.0	0.05281
MB21D2	0.0	0.020171	0.051859	0.003865	0.00048	1.0	0.149328	0.036782
MCOLN3	0.0	0.0	0.000451	0.000442	0.001324	0.053564	0.02405	0.002797
ME1	0.00362	0.0	0.118265	0.006665	0.001641	0.012669	0.005639	0.145893
MEOX1	0.0	0.0	0.002363	0.0	0.001321	0.400205	0.10911	0.072652
MIR181A2HG	0.039831	0.0	0.000508	1.0	0.015419	0.0	0.019782	0.020064
MIR4432HG	0.336999	0.137173	0.001882	0.0	0.009886	0.0	0.0	0.0
MIR5196	0.510241	0.363692	0.000908	0.000373	0.001834	7.2e-05	0.000123	0.0
MIR663AHG	0.0	0.0	0.000897	0.0	0.004936	0.100784	0.459898	0.026005
MIR99AHG	0.0	0.0	0.001838	0.004386	0.008254	0.0013	0.11242	0.0
MITF	2.4e-05	0.0	0.006808	0.0	0.000205	1e-05	4e-06	0.0
MLC1	0.001433	2e-05	0.020744	1.0	0.009928	0.0	0.002222	0.014745
MME	0.001242	0.00014	0.000463	0.0	0.27864	0.000125	0.000116	5.8e-05
MMP1	0.0	0.005566	0.000897	0.0	0.001813	0.0	0.079102	0.0
MMP25	0.0	3.8e-05	0.005913	0.00049	1.0	0.000297	8.4e-05	0.000443
MMP9	0.0	0.0	0.00655	0.000128	1.0	0.000626	8.9e-05	0.0
MS4A4A	0.001449	0.005857	0.235449	0.0	0.003179	0.0	0.0	0.0
MS4A6A	0.00031	0.0	1.0	7.6e-05	0.055076	0.000942	0.000434	0.000331
MT1E	0.0	0.0	0.044635	0.025586	0.000736	0.04065	0.069975	1.0
MTMR11	0.0	0.0	1.0	0.007807	0.004797	0.001903	0.008866	0.00389
MYCL	0.0	0.0	1.0	0.000668	0.059072	0.001773	0.001056	0.0
MYO1B	0.066278	0.005987	0.0	0.000149	0.000308	0.001412	0.004784	0.000467
MYOF	0.0	0.000223	0.419045	0.000454	0.004404	0.001039	0.00606	0.000215
NCAM1	0.001337	0.000226	0.003147	0.869495	0.003721	0.000485	0.0	0.004628
NCR1	0.000349	0.000979	0.002872	1.0	0.053636	0.0	0.00034	0.011132
NETO1	1.0	0.060223	0.0	0.001058	0.001656	0.0	0.0	0.0
NID1	0.000284	0.0	0.064806	0.0	0.000717	0.00017	0.001616	0.0
NLGN4Y	0.0	0.0	0.000613	0.005733	0.001094	0.0	0.000387	0.155306
NMUR1	0.000809	0.0	0.000305	1.0	0.002477	0.004897	0.001101	0.078889
NOG	0.0	0.0	0.00097	0.0	0.000935	0.018332	1.0	0.008988
NPAS2	0.0	0.0	0.000133	0.0	0.000121	0.001468	0.016988	0.000369
NPDC1	0.0	0.0	0.011917	0.000652	0.00768	1.0	0.069078	0.192766
NRCAM	0.001734	0.000773	0.000183	0.0	0.003259	0.0	0.044773	0.001753
NRG1	0.003257	0.0	1.0	0.0	0.016253	0.0	0.002584	0.0
NSG1	9e-06	0.000108	0.0	0.004252	8.4e-05	0.083495	0.005137	0.087905
NTN4	0.0	0.0	0.00054	0.001858	0.008936	0.330466	0.043757	0.155874
NTNG1	0.008743	0.048593	9e-05	0.002316	0.000356	0.0	0.000147	0.0
NXPH4	0.004561	0.036416	0.0	0.000532	0.000179	0.0	0.000304	0.0
OLFM1	0.002381	0.0	0.456991	0.0	0.004845	0.0	0.000239	0.0
OLFM4	0.007201	0.010023	0.001226	0.005474	1.0	0.0	0.0	0.0
OSBPL10	0.795825	1.0	0.001315	0.002	0.0	0.00041	0.000562	0.000199
OTX1	0.011307	0.020526	0.0	0.002701	1.0	0.0	0.000165	0.0
PACSIN1	0.0	0.011428	0.001548	0.007133	0.001636	0.019206	0.012491	0.121729
PANX2	0.0	0.0	0.025353	0.000664	1.0	0.000585	0.00048	0.0
PAQR5	0.0	0.0	0.000274	0.002567	0.157699	0.0	0.000479	0.0
PARM1	0.360952	0.078277	0.006815	0.000489	0.000489	0.0	0.001761	0.0
PAX5	0.806003	0.548042	0.000335	0.001217	9e-05	0.0	2e-05	0.0
PCDH1	0.0	0.0	0.000128	0.635175	0.000672	0.0	0.005489	0.046403
PCDH9	1.0	0.086314	0.0	0.010786	0.000485	0.000119	0.006365	9e-06
PCSK1N	0.0	0.0	0.002031	0.0	0.018871	1.0	0.167235	0.626181
PDCD1	0.0	0.021401	0.004825	0.00865	0.00413	0.421844	0.014362	0.987721
PDGFB	0.0	0.0	0.016282	0.013298	0.004546	0.14958	0.083556	0.375109
PDGFD	0.000269	0.000533	0.0	0.218544	0.000845	0.000815	0.000262	0.026375
PHOSPHO1	0.00058	0.000991	0.001936	0.003452	1.0	0.000283	0.000172	0.001172
PI16	0.059888	0.015732	0.0	0.00963	0.011813	1.0	0.062604	0.075581
PI3	0.0	0.0	0.000741	0.001014	1.0	0.0	0.000106	0.0
PID1	0.00162	0.0	1.0	0.001424	0.003999	0.0	0.0	0.0
PLA2G7	0.001787	0.0	0.852063	0.0	0.009239	0.0	0.000189	0.0
PLD4	0.199299	1.0	0.057639	0.000881	0.002834	0.00027	0.000626	0.0
PLEKHG7	0.01995	0.232104	4.9e-05	0.003234	0.001356	0.0	0.000866	0.001556
PLIN4	0.003264	0.002417	0.003841	0.000594	1.0	0.000784	0.0	0.000811
PLXDC1	0.001279	0.0	0.006441	0.060008	0.004682	0.124376	1.0	0.130178
PLXNB2	0.000807	0.016651	1.0	0.0	0.003938	0.000338	0.000973	0.000286
PNOC	0.769903	1.0	0.029927	0.001134	0.001129	0.000422	0.000848	0.0
PPP1R14A	0.396725	1.0	0.005083	0.007524	0.002121	0.0	0.003071	0.0
PPP1R14C	0.0	0.0	0.006274	0.001393	0.001395	0.002702	0.000588	0.039777
PPP1R2P9	0.0	0.223434	0.0	0.022061	0.001107	0.37637	0.012983	0.006251
