Gene	LAU125	LAU355	LAU1255	LAU1314
CYBB	0.002069	0.469235	0.190244	0.432341
CYP1B1	0.015989	0.024549	0.023492	0.010068
CYP4F3	0.001873	0.001431	0.000806	0.0
CYYR1	0.023335	0.073707	0.037323	0.062152
DBN1	0.198039	0.050857	0.237092	0.07641
DEFA4	0.009576	0.046713	0.009197	0.0
DMD	1.0	0.168997	0.14943	0.177534
DPP4	0.044971	0.367865	0.095115	0.249713
DPYSL2	0.039272	0.004928	0.026138	0.003596
DSE	0.015093	0.075471	0.036616	0.047351
DSP	0.076582	0.264813	0.061669	0.58283
DST	1.0	0.057807	0.459426	0.044639
DUSP6	1.0	0.165757	1.0	0.085193
EBF1	0.065573	0.22206	0.047703	0.197573
EGR3	0.069831	0.078823	0.117962	0.066557
EHF	0.125436	0.143115	0.113152	0.124617
EMILIN2	0.02051	0.054607	0.056866	0.019596
EMP1	0.454586	0.009621	1.0	0.012558
ENC1	0.409112	0.079363	0.055171	0.061969
ENPP1	1.0	0.167509	0.14898	0.155634
ENPP2	1.0	0.228724	0.117202	0.031362
EOMES	0.031808	0.079893	0.069412	0.127321
EPB41L3	0.861686	0.124505	1.0	0.089772
EPHA2	0.326238	0.085142	0.106347	0.103497
EPHA4	0.017549	0.141083	0.210831	0.149785
EREG	0.150941	0.303581	0.349381	0.184554
ETS1	0.419642	1.0	0.348842	0.936433
F13A1	0.019993	0.107487	0.007639	0.032259
FAM102A	0.033653	0.607967	0.115582	0.590316
FAM129C	0.0	0.155783	0.022504	0.197924
FAM135A	0.124254	0.113387	0.064495	0.111322
FAM198B	0.115486	0.027864	0.046037	0.019312
FAM20B	0.058555	0.037879	0.042578	0.031046
FBN2	0.157548	0.111954	0.130818	0.073753
FBXL16	0.0	0.022406	0.008569	0.020429
FCER1A	0.005382	0.032243	0.004939	0.041486
FCER1G	0.01805	0.54254	0.719265	0.350026
FCER2	0.007831	0.806653	0.021352	1.0
FCGR2A	0.076184	0.057126	0.483821	0.020621
FCGR2B	0.078126	0.444876	0.121214	0.618809
FCGR3B	0.0	0.001513	0.002353	0.001409
FCN1	0.003582	0.032283	0.033007	0.006348
FCRL1	0.029591	0.995078	0.078978	1.0
FCRL3	0.016731	1.0	0.094836	0.60312
FCRLA	0.030008	0.936673	0.241112	1.0
FFAR2	0.001363	0.0	0.013275	0.007965
FGFBP2	0.010009	0.011399	0.015664	0.010714
FKBP1B	0.027202	0.015186	0.02346	0.016926
FLT3	0.0	0.019959	0.004883	0.014171
FMNL2	1.0	0.045029	0.600501	0.038451
FPR2	0.000806	0.005677	0.007046	0.00307
FPR3	0.137674	0.361761	1.0	0.177425
FZD2	0.027216	0.034029	0.024446	0.027024
G0S2	0.001934	0.001265	0.021682	0.0
GATA3	0.003741	0.025304	0.033056	0.022832
GEM	0.264103	0.265762	0.514193	0.249443
GIMAP1	0.0	0.044847	0.011323	0.052377
GIMAP4	0.00835	0.401082	0.163241	0.416808
GIMAP5	0.003339	0.376616	0.135488	0.414088
GIMAP6	0.01134	0.134011	0.044992	0.187728
GIMAP7	0.009913	0.316427	0.069189	0.349707
GIMAP8	0.011544	0.103814	0.044687	0.088159
GK	0.080284	0.085768	0.166763	0.107899
GNAL	0.18956	0.210566	0.177814	0.217374
GNLY	0.004234	0.052414	0.024787	0.082111
GPM6B	1.0	0.018357	0.235233	0.031191
GPR171	0.022347	0.313751	0.144382	0.164372
GPR18	0.010323	0.893678	0.10475	1.0
GPRASP1	0.105729	0.11224	0.056771	0.114583
GRIP1	0.406175	0.196657	0.121575	0.175591
GZMA	0.008287	0.190755	0.3175	0.242561
GZMB	0.002036	0.112346	0.128521	0.101134
GZMH	0.004926	0.073978	0.126721	0.059133
GZMK	0.011311	0.496536	0.683759	1.0
GZMM	0.0	0.021481	0.009608	0.020182
HBEGF	0.08397	0.027073	0.249911	0.009209
HK3	0.0	0.032213	0.060855	0.003506
HLA-DOB	0.0	0.434079	0.036821	0.594586
HLA-DPB2	0.031708	0.203371	0.059481	0.162221
HLA-DQA1	0.02749	0.808032	0.450182	1.0
HLA-DQB1	0.000312	0.649345	0.48424	0.899413
HLA-DQB2	0.0	0.875422	0.204862	0.487877
HMOX1	0.025932	0.439682	0.269544	0.054239
HNMT	0.543477	0.140462	0.718837	0.062604
HOPX	0.009589	0.101736	0.026038	0.119745
HOXA9	0.083738	0.043262	0.019771	0.057232
HS3ST3B1	0.008284	0.034437	0.022946	0.036108
ICOS	0.046601	0.659346	1.0	0.666944
ID3	0.027819	0.258456	0.062132	0.259236
IDO1	0.0	0.01799	0.031955	0.020897
IDO2	0.012857	0.040956	0.027172	0.039628
IFNG	0.036097	0.205048	1.0	0.092269
IGFBP3	1.0	0.007484	0.023221	0.012353
IKZF3	0.059163	1.0	0.264792	0.88772
IL18	0.086582	0.388737	0.436495	0.251095
IL1R2	0.001706	0.008119	0.010348	0.006585
IL22RA2	0.024346	0.127646	0.033001	0.07229
IL2RB	0.0	0.083266	0.05659	0.109471
IL32	0.010528	0.797477	0.550754	0.599428
IL3RA	0.0	0.037957	0.00777	0.031578
IL7	0.427513	1.0	0.545645	0.945477
IL7R	0.000577	0.35988	0.059145	0.192798
INSR	0.020937	0.0	0.02016	0.004532
ITGA6	0.24963	0.421349	0.644355	0.19202
ITK	0.00831	0.197889	0.064671	0.080445
ITM2A	0.023989	0.763488	0.433167	0.909779
ITM2C	0.166306	0.213948	0.069301	0.317132
ITPRIPL2	0.061064	0.012878	0.031931	0.020094
KANK1	0.829156	0.157614	0.481247	0.176314
KCND3	0.023731	0.062119	0.079992	0.035584
KCNJ15	0.0	0.002644	0.007318	0.003774
KCNJ2	0.018563	0.005268	0.008855	0.006554
KCNK17	0.0	0.033951	0.016802	0.034211
KCTD12	0.116693	0.023356	0.035428	0.013786
KIAA1324	0.006375	0.031295	0.015647	0.033677
KIF16B	0.605519	0.205424	0.200684	0.211459
KIF21A	0.43661	0.245032	0.357731	0.259816
KIT	0.050138	0.032268	0.007965	0.048567
KLF4	0.252871	0.426387	0.844997	0.144245
KLRB1	0.005528	0.093978	0.012499	0.046624
KLRC3	0.035636	0.059816	0.075128	0.061216
KLRC4	0.083403	0.235254	0.235254	0.213293
KLRD1	0.012219	0.0625	0.15276	0.055112
KLRF1	0.003976	0.023687	0.007605	0.022016
KLRG1	0.0	0.043303	0.03401	0.100483
KLRK1	0.004271	0.206405	0.360028	0.117146
KRT23	0.0	0.001056	0.012522	0.000971
KRT5	0.0	0.098678	0.02607	0.070552
LAMP3	0.010741	0.112438	0.023663	0.107858
LBH	0.162465	0.789507	0.195939	1.0
LCK	0.006661	0.322914	0.111941	0.31885
LDLRAP1	0.519667	0.182233	0.095862	0.085435
LGALS2	0.0	0.060281	0.020912	0.027832
LGMN	0.220086	0.665835	0.922185	0.096769
LILRA4	0.0	0.063473	0.006819	0.048913
LOC643733	0.38786	1.0	0.509576	0.933162
LPAR6	0.312165	0.189691	0.124426	0.115477
LRRN3	0.034687	0.052735	0.015814	0.026145
LTF	0.0	0.034576	0.065754	0.036325
LY86	0.0	0.398812	0.073588	0.520791
LYRM2	0.645362	0.362958	0.205238	0.268115
MAFB	0.008598	0.013229	0.01891	0.001584
MAFF	0.02197	0.011666	0.131838	0.009453
MAK	0.028334	0.016442	0.020398	0.024814
MAL	0.017511	0.251426	0.194265	0.152663
MANSC1	0.078599	0.042426	0.103757	0.048452
MEGF9	0.225025	0.072758	0.051777	0.066189
METTL8	0.230546	0.998132	0.397784	0.706952
MFHAS1	0.098908	0.460222	0.145192	0.343768
MGST1	0.015351	0.008657	0.00701	0.006747
MME	0.10478	0.009742	1.0	0.02675
MPHOSPH6	1.0	0.65665	0.905088	0.969354
MS4A1	0.016161	0.724258	0.118049	0.943528
MS4A6A	0.008092	0.348602	0.358852	0.079818
MS4A7	0.032908	0.259313	0.167392	0.134427
MTSS1	0.640682	0.194344	0.190557	0.134
MXD1	0.009919	0.014438	0.021209	0.011443
MYBL1	0.04992	0.047473	0.032995	0.113137
MYC	0.512072	0.626234	0.728053	0.385308
MYOF	0.230655	0.078677	0.507715	0.049022
NAP1L5	0.348011	0.111469	0.17393	0.117613
NAPSB	0.011032	0.607559	0.076773	0.536122
NAV1	0.10104	0.023909	0.034242	0.021619
NCALD	0.09338	0.106797	0.534202	0.11134
NCAM1	0.748161	0.066773	0.028699	0.06026
NELL2	0.01387	0.164321	0.048056	0.101004
NFE2	0.008096	0.009895	0.006805	0.01241
NKG7	0.0	0.104987	0.240922	0.153057
NLRC3	0.021948	0.116362	0.046421	0.174001
NLRC4	0.053965	0.105481	0.078121	0.090181
NLRP7	0.0	0.068671	0.040091	0.050633
NOG	0.112238	0.118725	0.053945	0.101118
NPC1	0.04913	0.020854	0.135052	0.013591
NRP1	0.058766	0.16849	0.146782	0.127185
NT5E	0.075173	0.684151	0.19023	1.0
OASL	0.029391	0.029431	0.09878	0.041282
OCIAD2	0.0	0.655072	0.117989	0.714474
ODF2L	0.599897	0.697189	0.609695	0.574779
OLFM4	0.028293	0.66919	0.329239	0.517638
OLIG1	0.020342	0.023801	0.033977	0.022761
OXNAD1	0.014656	0.187631	0.110366	0.087305
P2RX5	0.0	0.255028	0.023654	0.373883
P2RY10	0.014466	1.0	0.307445	0.782425
PACSIN1	0.002937	0.028238	0.014405	0.043444
PADI4	0.062505	0.130986	0.062505	0.090861
PAK1	0.479579	0.313098	1.0	0.216293
PAPD5	0.0	0.008666	0.000913	0.005841
PDGFC	0.481591	0.118146	0.120733	0.116006
PDK4	0.138776	0.093119	1.0	0.075288
PDLIM1	0.008541	0.84766	0.073163	1.0
PFKFB2	0.124019	0.056725	0.090281	0.040537
PFN2	0.493242	0.018123	1.0	0.022879
PGAP1	1.0	0.122337	0.322656	0.1345
PHLDA2	0.111035	0.098698	0.120174	0.074023
PI3	0.001494	6.6e-05	0.0	0.011318
PIK3IP1	0.0	0.375365	0.062873	0.197189
PKHD1L1	0.189705	0.563601	0.181693	1.0
PKIB	0.768073	0.265692	0.22713	0.4143
PKIG	0.597322	0.800574	0.324806	1.0
PKP2	0.212341	0.447822	0.259528	0.344102
PLA2G7	0.096196	0.457449	0.346757	0.151954
PLCB1	0.109164	0.072802	0.19027	0.147415
PLS3	1.0	0.011173	0.175226	0.012705
PNOC	0.013727	0.157506	0.027577	0.234079
PON2	1.0	0.036262	0.361201	0.074583
POU2AF1	0.021094	0.726339	0.069401	1.0
PPBP	0.023109	0.0	0.007009	0.00295
PPM1J	0.008828	0.018529	0.002719	0.015982
PPP1R14A	0.074083	0.114525	0.0	0.116901
PRKCQ	0.020291	0.28672	0.147684	0.224107
PROK2	0.00644	0.005223	0.003557	0.004628
PRSS23	1.0	0.01512	0.893086	0.01942
PTGDS	0.024681	0.125803	0.168906	0.03012
PTGS1	0.0	0.073708	0.021526	0.101832
PTGS2	0.014853	0.034492	0.029955	0.019221
PVRIG	0.000844	0.035059	0.013304	0.047284
PYHIN1	0.076307	0.951292	0.476991	0.771816
RAB30	0.081283	1.0	0.395192	0.834048
RARRES3	0.052174	0.448466	0.496146	0.360747
RASD1	0.0	0.004285	0.013208	0.002712
RASGRP1	0.014099	0.125087	0.059986	0.131597
RASGRP3	0.058675	0.72998	0.209413	1.0
RASSF4	0.037384	0.049805	0.147506	0.031624
RBMS3	1.0	0.077259	0.185911	0.083369
RBP7	0.238993	0.017937	0.043032	0.01175
RGS7	0.051691	0.173851	0.086456	0.182945
RHOH	0.002674	1.0	0.265967	0.809238
RIN2	0.108677	0.049254	0.097642	0.029073
RNASE2	0.027701	0.04149	0.08611	0.016883
RNF165	0.056657	0.113732	0.068771	0.107675
ROBO1	1.0	0.099685	0.575822	0.099535
RORA	0.023293	0.056595	0.041349	0.040795
RPL36	0.426448	0.820561	0.482686	0.773425
RRAS2	0.156348	0.865407	0.22197	1.0
RTN1	0.009095	0.023421	0.019721	0.01732
S100A12	0.003879	0.004867	0.004994	0.001461
S100A8	0.0	0.004796	0.019269	0.000377
S100A9	0.000665	0.036121	0.026544	0.00133
S100B	1.0	0.03531	0.895069	0.106169
S100P	0.001338	0.001348	0.000784	0.0
S1PR1	0.031006	0.926487	0.146835	1.0
S1PR5	0.0	0.010259	0.003585	0.013914
SCML1	0.166458	0.080157	0.044098	0.073939
SCML4	0.030589	0.130247	0.147212	0.100738
SCN3A	0.190108	0.343103	0.166924	0.529289
SCN9A	0.089939	0.157937	0.088227	0.154756
SERPINF1	0.33193	0.030278	0.479815	0.014164
SH2D1A	0.0	0.230171	0.182836	0.308149
SIRPG	0.036133	0.995834	0.948601	1.0
SIRT2	0.428259	0.263562	0.387208	0.238014
SKAP1	0.023665	0.905385	0.284066	0.693162
SKI	0.187428	0.122922	0.101269	0.140221
SLAMF1	0.174275	0.831987	0.351838	1.0
SLAMF6	0.0	0.951637	0.137544	1.0
SLAMF8	0.028346	0.131544	0.420616	0.06356
SLC22A4	0.020882	0.016098	0.019782	0.016098
SLC41A2	0.140231	0.151879	0.164826	0.174866
SLC46A2	0.008505	0.044011	0.031851	0.034519
SLC7A7	0.0	0.078254	0.056667	0.022132
SLFN13	0.258914	0.877781	0.44158	1.0
SLFN5	0.323793	0.784426	0.399711	0.937808
SMPD3	0.007629	0.062224	0.022103	0.056072
SMPDL3A	0.305267	0.225009	0.425433	0.152395
SNHG9	0.059004	0.073778	0.146829	0.087929
SPATS2L	0.349039	0.103027	0.710511	0.0398
SPOCK2	0.0	0.345308	0.073429	0.359233
SPON2	0.0	0.002188	0.008729	0.002926
SRPX	0.39283	0.028495	1.0	0.045919
SSPN	1.0	0.432866	0.804825	0.416708
ST8SIA1	0.895403	1.0	0.746332	0.93267
STAB1	0.005654	0.071888	0.108236	0.013757
STAP1	0.018749	0.768379	0.055569	1.0
STAT4	0.010414	0.103363	0.060677	0.118216
STEAP4	0.02931	0.042378	0.02931	0.046727
STMN3	0.063221	0.021574	0.002702	0.007526
SWAP70	0.56863	0.838089	0.181541	1.0
TACSTD2	0.003738	0.018839	0.007624	0.011097
TBC1D12	0.1387	0.147578	0.129751	0.123156
TBC1D4	0.107146	0.233879	0.228856	0.305254
TBX21	0.003336	0.042528	0.035951	0.035465
TCF4	0.0	0.070604	0.005143	0.049272
TCL1A	0.000646	0.162348	0.014035	0.375812
TGFBR3	0.037471	0.012312	0.039434	0.019003
THEMIS	0.068827	0.691839	0.262524	0.349338
THRB	0.136014	0.301342	0.095808	0.27541
TIGIT	0.032559	0.712454	0.8894	1.0
TJP2	0.061274	0.066371	0.09541	0.092592
TKT	0.275964	0.129888	0.494574	0.097156
TKTL1	0.025064	0.033779	0.029882	0.033663
TLE1	0.038924	0.040122	0.071404	0.030937
TLR10	0.023585	0.968032	0.029245	1.0
TLR3	0.502317	0.243103	0.603265	0.283175
TLR4	0.027969	0.050548	0.088471	0.041841
TLR7	0.02131	0.085328	0.054374	0.097205
TMEM14A	0.09539	0.048028	0.115242	0.069231
TMEM170B	0.075329	0.070094	0.058969	0.065879
TMEM176B	0.098558	0.136437	0.327046	0.020449
TNFAIP6	0.015932	0.007221	0.009384	0.005816
TNFRSF17	0.006311	0.13324	0.057352	0.259093
TNFRSF21	0.480227	0.031407	0.038264	0.017893
TOB1	0.297021	0.339961	0.493403	0.098309
TOX2	0.070992	0.320368	0.183847	0.324067
TPM2	0.011942	0.023814	0.098858	0.014884
TRAT1	0.021769	0.242455	0.153157	0.200125
TREM1	0.021834	0.005041	0.017719	0.006379
TRIB2	0.660314	0.130821	0.654296	0.144169
TSPAN13	0.003701	0.090196	0.010618	0.137295
TSPAN33	0.010099	0.435398	0.027135	0.400401
TST	0.00697	0.02427	0.027943	0.023821
TTC39A	0.092488	0.070359	0.820016	0.067216
TXK	0.043707	0.237619	0.07124	0.133394
UBASH3A	0.061191	0.354998	0.179749	0.330927
UGCG	0.110668	0.129922	0.074587	0.087308
VASH2	0.156629	0.287931	0.163776	0.269673
VCAM1	0.420838	0.394058	1.0	0.209298
VCAN	0.05449	0.010385	0.011925	0.008296
VEGFA	1.0	0.009433	0.058185	0.008294
VNN2	0.0	0.050321	0.006373	0.099076
VNN3	0.0	0.002228	0.00123	0.003009
VPREB3	0.011702	0.776397	0.028169	1.0
VPS37B	0.072243	0.146375	0.134063	0.085884
VSTM1	0.079572	0.207424	0.163862	0.0
XCL1	0.003539	0.015268	0.021712	0.036238
YES1	0.148687	0.038645	0.105227	0.03655
YPEL1	0.059219	0.142505	0.096915	0.13875
ZAK	0.123038	0.074818	0.053608	0.088704
ZAP70	0.007442	0.097965	0.051312	0.093532
ZBTB16	0.021008	0.070228	0.031663	0.064076
ZBTB46	0.069796	0.080956	0.049666	0.065163
ZEB1	0.382295	0.97909	0.485734	1.0
ZNF430	0.010268	0.128623	0.0	0.210389
ZNF503	0.15302	0.09038	0.102685	0.055034
ZNF675	0.359088	1.0	0.309394	0.967325
ZNF711	0.050947	0.175039	0.065605	0.176466
ZNF827	0.038039	0.06729	0.028043	0.060414
ZNF836	0.092997	0.164771	0.092043	0.176455
