Gene	A	B	C	D	E	F	G	H	I	J	K	L
C12ORF57	0.601966	0.578643	0.905721	1.0	0.838831	0.497613	0.337707	0.212668	0.21683	0.933166	0.8866	0.827112
C15ORF48	0.386112	0.359451	0.056083	0.067306	0.127167	0.191895	0.700946	0.893162	1.0	0.020922	0.032543	0.045761
C1ORF54	0.044273	0.044178	0.035233	0.035765	0.02883	0.020623	0.065923	0.085624	0.084144	0.03716	0.026847	0.059449
C20ORF103	0.017459	0.007185	0.0	0.000417	0.000794	0.003082	0.012211	0.019734	0.011761	0.004221	0.001043	0.003983
C2ORF89	0.259134	0.261864	0.651183	0.647512	0.480857	0.042651	0.13699	0.08141	0.085244	0.698603	0.568984	0.406577
C5AR1	0.140047	0.147373	0.021512	0.022832	0.048933	0.073194	0.291957	0.25002	0.272391	0.006468	0.001898	0.011604
C5ORF13	0.073995	0.078381	0.048491	0.047786	0.05271	0.075527	0.099659	0.132844	0.137455	0.03125	0.045856	0.056124
C6ORF105	0.345957	0.295887	0.914312	0.880354	0.228638	0.047304	0.089954	0.110036	0.083955	1.0	0.266004	0.38824
C8ORF47	0.508081	0.138138	0.258195	0.090622	0.200701	0.129886	0.134264	0.671867	0.326906	0.139562	0.218931	0.396319
CACNA2D3	0.169904	0.173545	0.03475	0.002931	0.053072	0.08211	0.254672	0.389215	0.397435	0.0	0.002382	0.003252
CADM1	0.022726	0.040559	0.047677	0.041266	0.037922	0.042456	0.014516	0.003045	0.0	0.041103	0.047736	0.076007
CAMK2N1	0.387835	0.424408	0.66808	0.660426	0.805148	0.408248	0.286199	0.162874	0.199577	0.781653	1.0	0.66703
CAMK4	0.477344	0.385661	0.893836	0.785656	0.668676	0.020284	0.242593	0.061933	0.095469	0.98616	0.838655	0.893836
CAPZA1	0.470797	0.525053	0.67051	0.574056	0.477602	0.680828	0.820043	0.877687	0.822896	0.269283	0.514985	0.468327
CCDC50	0.070607	0.077493	0.037171	0.040669	0.033891	0.057021	0.085906	0.096337	0.100917	0.041342	0.031339	0.053368
CCDC88A	0.041135	0.0791	0.008583	0.004425	0.006959	0.042913	0.1074	0.133537	0.159186	0.006804	0.0	0.027836
CCL5	0.463811	0.439273	0.399085	0.382352	0.729651	1.0	0.21211	0.115435	0.117589	0.319621	0.718144	0.38172
CCR2	0.063688	0.079583	0.069378	0.066845	0.058867	0.034369	0.075662	0.116057	0.120928	0.0645	0.063532	0.073437
CCR3	0.064987	0.06645	0.016895	0.032672	0.04081	0.04842	0.319533	0.004584	0.008946	0.005159	0.0	0.077809
CCR6	0.900996	0.889639	1.0	0.895507	0.880465	0.924103	0.907266	0.758617	0.684267	0.929455	0.90956	0.921436
CCR7	0.335736	0.343631	0.606005	0.581517	0.47154	0.054748	0.188764	0.109892	0.10065	0.593564	0.49043	0.408492
CD14	0.478465	0.465376	0.102684	0.10782	0.201027	0.304349	0.929721	0.974152	1.0	0.010262	0.006878	0.038744
CD160	0.31713	0.316905	0.139406	0.155937	0.333394	1.0	0.146999	0.053076	0.042717	0.034803	0.207668	0.016792
CD163	0.285877	0.273613	0.045075	0.024681	0.086605	0.102643	0.319892	0.523673	0.539841	0.0	0.000912	0.004765
CD1C	0.034616	0.02738	0.006674	0.008899	0.008932	0.012331	0.036808	0.046135	0.046706	0.0	0.001043	0.001695
CD1D	0.365657	0.436125	0.069649	0.067439	0.12215	0.189269	0.500033	0.770956	0.759513	0.024388	0.01085	0.023604
CD2	0.325593	0.313309	0.612475	0.623906	0.510394	0.219285	0.124441	0.078621	0.083663	0.616583	0.494436	0.637783
CD200	0.062257	0.042615	0.078339	0.027944	0.081206	0.057417	0.045046	0.051769	0.047231	0.017279	0.077679	0.039793
CD207	0.030913	0.010076	0.0	0.005792	0.072438	0.017189	0.068067	0.004751	0.023585	0.071409	0.048526	0.056085
CD22	0.178594	0.171885	0.037891	0.059105	0.049201	0.07393	0.182907	0.104018	0.099281	0.042013	0.044202	0.009945
CD24	0.19173	0.190194	0.041131	0.034572	0.051374	0.056152	0.221212	0.086541	0.088918	0.025365	0.039413	0.261179
CD247	0.384169	0.388924	0.399322	0.402904	0.399322	1.0	0.200271	0.085694	0.084493	0.3706	0.331307	0.380954
CD27	0.345889	0.371832	0.724062	0.771535	0.655875	0.079879	0.191365	0.100742	0.114233	0.699641	0.745619	0.66902
CD300LF	0.320749	0.313268	0.048664	0.052871	0.103334	0.12364	0.454191	0.572904	0.605444	0.0	0.001895	0.000628
CD33	0.550581	0.53668	0.075407	0.069717	0.143539	0.234904	0.709426	0.975146	0.996606	0.0	0.012476	0.062734
CD36	0.394112	0.440253	0.050385	0.046697	0.110901	0.173848	0.475514	0.727783	0.795312	0.0	3.1e-05	0.03512
CD3D	0.523011	0.515504	0.851362	0.879733	0.82231	0.124406	0.248315	0.15858	0.153796	0.832864	0.89021	0.861178
CD3E	0.238748	0.250095	0.517078	0.482441	0.517969	0.191917	0.100063	0.05696	0.068346	0.507773	0.564984	0.500873
CD3G	0.43165	0.451806	0.857505	0.822685	0.841966	0.185247	0.179394	0.138167	0.130239	0.907823	1.0	0.842381
CD79A	0.988325	1.0	0.26262	0.260303	0.388262	0.347552	0.929151	0.522055	0.575805	0.191897	0.294491	0.057579
CD79B	1.0	0.95026	0.305047	0.340634	0.311639	0.424365	0.942715	0.514721	0.53435	0.25254	0.196677	0.268142
CD8A	0.392032	0.397035	0.269996	0.284934	0.940604	0.324119	0.125571	0.081056	0.085461	0.009732	1.0	0.020068
CD8B	0.208511	0.198031	0.151759	0.123711	0.831381	0.019019	0.050775	0.0367	0.04083	0.0	1.0	0.003141
CD96	0.605708	0.591505	0.93966	0.889254	0.959084	0.726219	0.270682	0.157467	0.14552	0.904732	1.0	0.872206
CEACAM8	0.126161	0.06187	0.00682	0.054556	0.032615	0.091915	0.51275	0.007314	0.0	0.010872	0.011267	1.0
CENPK	0.327417	0.365531	0.529669	0.487639	0.476665	0.466732	0.345028	0.276422	0.173644	0.556104	0.46384	0.513258
CEP78	0.136322	0.15162	0.140031	0.156556	0.181217	0.410517	0.084896	0.035467	0.053211	0.115191	0.163775	0.157332
CFP	0.104256	0.109725	0.030835	0.03108	0.036184	0.046098	0.188705	0.227192	0.230244	0.018338	0.013594	0.019718
CHI3L1	0.036604	0.037877	0.016554	0.018893	0.025705	0.034282	0.183967	0.027135	0.019118	0.020686	0.01946	0.030509
CHN2	0.456799	0.432722	0.235072	0.21034	0.44144	0.580779	0.480966	0.692432	0.59062	0.150142	0.415874	0.227337
CLC	0.044544	0.042798	0.044737	0.046152	0.011784	0.018671	0.057225	0.031993	0.034113	0.043404	0.008381	0.165339
CLEC10A	0.013801	0.01746	0.009327	0.000681	0.008564	0.010461	0.013703	0.025769	0.025895	0.005253	0.007052	0.007335
CLEC2D	0.794431	0.886194	0.975943	1.0	0.945177	0.71905	0.639487	0.609344	0.650659	0.990787	0.958415	0.962114
CLEC4A	0.559906	0.526294	0.073052	0.078441	0.154076	0.22464	0.896426	0.981906	1.0	0.032931	0.028319	0.04142
CLEC4C	0.015143	0.002589	0.003896	0.012128	0.001488	0.006364	0.027132	0.008154	0.016648	0.001294	0.0	0.007119
CLIC2	0.066823	0.053844	0.005878	0.026606	0.030096	0.021204	0.115654	0.155302	0.146367	0.012403	0.033623	0.0
CLIC3	0.369864	0.326238	0.167511	0.170449	0.348339	1.0	0.198363	0.053067	0.050213	0.060153	0.167609	0.065443
CLLU1	0.00622	0.049224	0.030408	0.026088	0.008293	0.072909	0.021812	0.006393	0.106634	0.073877	0.047728	0.020068
CMTM2	0.118971	0.126796	0.02894	0.032189	0.060021	0.087776	0.707281	0.07753	0.076873	0.0	0.001861	0.0026
CNTNAP3	0.151938	0.107573	0.052972	0.060465	0.143669	0.086822	0.464599	0.064341	0.092713	0.150388	0.074137	0.1
CNTNAP3B	0.079625	0.031786	0.027211	0.004816	0.223464	0.108842	0.096321	0.057471	0.087652	0.232284	0.1322	0.1041
COCH	0.186448	0.180513	0.013801	0.087497	0.084598	0.110268	0.183274	0.118824	0.138835	0.08584	0.063559	0.057135
COIL	0.419938	0.457238	0.480354	0.56342	0.466447	0.522792	0.385221	0.385824	0.3753	0.457802	0.434123	0.462496
COL24A1	0.223952	0.173748	0.219828	0.155943	0.105615	0.205129	0.125898	0.262772	0.224886	0.118536	0.135613	0.269449
CPNE5	0.319568	0.338999	0.031841	0.027053	0.085707	0.037826	0.292685	0.059133	0.230788	0.009968	0.0	0.004383
CPVL	0.315268	0.32096	0.044472	0.046284	0.1057	0.159837	0.379528	0.528895	0.546433	0.003268	0.001332	0.078948
CR2	0.632312	0.689054	0.430427	0.479406	0.405937	0.161781	0.568089	0.32987	0.276476	0.437848	0.470872	0.330135
CRISP3	0.056221	0.142715	0.008649	0.010222	0.014154	0.027279	0.108117	0.181637	0.043247	0.055828	0.403637	0.015569
CRISPLD2	0.273805	0.284762	0.056686	0.062942	0.085652	0.13871	0.569569	0.437325	0.490863	0.030467	0.000386	0.039997
CRTAM	0.015786	0.145845	0.053873	0.0	0.228774	0.129045	0.04385	0.111004	0.116517	0.049363	0.071558	0.074358
CSF3R	0.206001	0.198581	0.033099	0.027995	0.070455	0.0974	0.517975	0.291536	0.289651	0.0	0.000344	0.017137
CST3	0.516508	0.506769	0.105362	0.108558	0.217642	0.322094	0.815136	1.0	0.977751	0.029961	0.028645	0.157614
CST7	0.418773	0.408511	0.272912	0.277541	0.563561	1.0	0.236188	0.067607	0.066998	0.149698	0.492284	0.208556
CSTA	0.027892	0.025964	0.0	0.000144	0.008467	0.011709	0.039931	0.050506	0.052365	0.000522	0.00011	0.001466
CTNND1	0.065849	0.087849	0.04929	0.067075	0.062353	0.072065	0.063332	0.093941	0.082047	0.047611	0.100596	0.071067
CTSW	0.39251	0.392084	0.252555	0.262667	0.616767	0.875529	0.141144	0.058155	0.047663	0.155917	0.572996	0.154092
CUX2	0.006967	0.012981	0.043853	0.016246	0.019081	0.00164	0.014012	0.042262	0.0086	0.0086	0.015361	0.0
CXCL1	0.06265	0.047588	0.021484	0.027921	0.031869	0.037504	0.18929	0.087024	0.085533	0.011472	0.017708	0.030124
CXCL10	0.440198	0.453608	0.053237	0.041731	0.146191	0.203215	0.687399	1.0	0.956338	0.023011	0.021076	0.061414
CXCL9	0.043696	0.014634	0.004606	0.000383	0.022366	0.020559	0.0644	0.098217	0.102051	0.0	0.010799	0.011566
CYBB	0.182715	0.190568	0.016966	0.019715	0.039006	0.0705	0.235519	0.317209	0.324874	0.005008	0.005024	0.011442
CYFIP1	0.115697	0.117256	0.03041	0.038497	0.040196	0.052814	0.163705	0.231863	0.247737	0.012563	0.003941	0.037919
CYP1B1	0.253714	0.24225	0.033093	0.015159	0.077577	0.117375	0.343388	0.526847	0.550825	0.0264	0.0	0.041893
CYP4F3	0.055586	0.057418	0.029172	0.022243	0.035964	0.053636	0.351257	0.00406	0.017287	0.00273	0.012341	0.019856
CYYR1	0.015474	0.034786	0.009407	0.007132	0.013661	0.020914	0.042311	0.0	0.048598	0.095707	0.01765	0.042522
DEFA4	0.092749	0.085347	0.052597	0.057182	0.114954	0.072378	0.411279	0.005096	0.013952	0.078975	0.0955	1.0
DEPDC6	0.064173	0.095859	0.121422	0.092664	0.090108	0.014246	0.045034	0.061325	0.048075	0.082779	0.096733	0.181782
DMD	0.424715	0.305158	0.458139	0.670069	0.455568	0.565631	0.183673	0.584286	0.231882	0.605978	0.501848	0.186245
DPP4	0.106207	0.118534	0.205603	0.222878	0.187457	0.037069	0.05431	0.010672	0.042565	0.127241	0.234248	0.198276
DPYSL2	0.311486	0.308166	0.149319	0.149319	0.149775	0.229891	0.349631	0.483972	0.481823	0.120932	0.089927	0.173392
DSE	0.151654	0.181565	0.048199	0.053015	0.067515	0.080036	0.277498	0.35282	0.36738	0.030049	0.039889	0.050947
DSP	0.163985	0.286764	0.242644	0.154869	0.215236	0.211608	0.222249	0.109734	0.145888	0.050786	0.181896	0.016022
DST	0.043165	0.024815	0.045809	0.0	0.030715	0.029505	0.005137	0.008223	0.007715	0.001899	0.039512	0.021286
DUSP6	0.065585	0.081921	0.008915	0.006241	0.020463	0.04736	0.14481	0.192549	0.200244	0.00707	0.003219	0.01619
EBF1	0.215437	0.23455	0.010745	0.011322	0.021734	0.03066	0.155382	0.105957	0.110833	0.003057	0.02223	0.004631
EGR3	0.047584	0.050893	0.007501	0.00998	0.019084	0.045506	0.094949	0.118585	0.118628	0.004331	0.0	0.011006
EHF	0.063346	0.012453	0.010828	0.051164	0.0	0.084461	0.033568	0.035192	0.024364	0.059211	0.061316	0.092853
EMILIN2	0.558393	0.520147	0.098212	0.102764	0.151803	0.232329	0.70162	0.989344	0.973451	0.07159	0.049861	0.094279
EMP1	0.364479	0.374701	0.301879	0.176466	0.188498	0.291172	0.629039	0.852186	0.838109	0.208617	0.257021	0.255457
EMR3	0.042876	0.035542	0.018361	0.0	0.022105	0.027144	0.157183	0.052891	0.055556	0.012426	0.004803	0.004975
ENC1	0.312303	0.343458	0.222359	0.251932	0.528202	0.864887	0.19199	0.143294	0.158054	0.251865	0.527044	0.260769
ENPP1	0.075013	0.025652	0.007777	0.003826	0.116458	0.0	0.047102	0.061214	0.06573	0.067988	0.037381	0.052935
ENPP2	0.007316	0.014593	0.050463	0.039004	0.017311	0.013622	0.036091	0.006196	0.006388	0.048355	0.047445	0.014628
EOMES	0.463178	0.464546	0.366121	0.385305	0.929693	1.0	0.18315	0.09184	0.094174	0.253976	0.916049	0.235287
EPB41L3	0.447334	0.463268	0.059829	0.073906	0.165143	0.230399	0.582568	0.895789	1.0	0.0	0.036513	0.010558
EPHA2	0.083695	0.058917	0.055433	0.072052	0.046373	0.043741	0.121868	0.076444	0.051794	0.070785	0.027647	0.0
EPHA4	0.36836	0.379303	0.732463	0.791307	0.364953	0.374267	0.265781	0.161909	0.158115	0.82783	0.376682	0.922732
EREG	0.410594	0.43512	0.182689	0.214602	0.248665	0.272555	0.596833	0.960057	1.0	0.080677	0.094303	0.038904
ETS1	0.683488	0.746941	1.0	0.866438	0.893164	0.748825	0.36207	0.264267	0.255917	0.936865	0.830899	0.862553
F13A1	0.147315	0.156227	0.016807	0.011299	0.049961	0.076973	0.17782	0.332613	0.34739	0.002281	0.0	0.008594
FAIM3	0.80449	0.78868	0.979972	0.997271	0.878848	0.64611	0.536358	0.265301	0.286611	0.966124	0.896943	0.860834
FAM102A	0.389107	0.406506	0.821749	0.802821	0.676296	0.084892	0.185579	0.12207	0.118281	0.874686	0.771579	0.730832
FAM129C	0.174107	0.174039	0.021903	0.01985	0.060721	0.046724	0.17516	0.102711	0.118276	0.032727	0.009399	0.027904
FAM135A	0.054065	0.072231	0.083893	0.076141	0.061262	0.051249	0.038797	0.095654	0.080869	0.072421	0.034667	0.08869
FAM20B	0.127754	0.124005	0.123919	0.134368	0.140491	0.15091	0.100116	0.126418	0.131045	0.129141	0.14886	0.145696
FBN2	0.490919	0.46473	0.081182	0.103005	0.162113	0.234636	0.676782	1.0	0.99034	0.024459	0.049734	0.097838
FBXL16	0.087945	0.10473	0.250469	0.267566	0.139497	0.024612	0.056393	0.044023	0.066669	0.270864	0.168316	0.24308
FCER1A	0.098667	0.104792	0.067544	0.062234	0.032276	0.044912	0.122594	0.157044	0.16086	0.06676	0.028998	0.237721
FCER1G	0.609554	0.599461	0.140415	0.137792	0.27928	0.634834	0.741334	0.911644	1.0	0.026751	0.066222	0.029301
FCGR2A	0.149127	0.154124	0.023625	0.024696	0.047974	0.066172	0.261573	0.221481	0.216835	4.2e-05	0.009991	0.010811
FCGR2B	0.189009	0.172191	0.088827	0.079454	0.096433	0.103686	0.226448	0.189735	0.187551	0.094736	0.096898	0.090885
FCGR3B	0.054253	0.054367	0.012596	0.011237	0.024019	0.035448	0.237352	0.009905	0.007862	0.001272	0.002531	1.6e-05
FCN1	0.477589	0.44229	0.09744	0.096044	0.18098	0.259259	0.695204	0.90255	1.0	0.004308	0.004789	0.046049
FCRL1	0.046086	0.047196	0.029914	0.006802	0.0335	0.006385	0.049417	0.027258	0.028688	0.000833	0.024431	0.029891
FCRL3	0.640274	0.664854	0.388582	0.393266	0.53313	1.0	0.486815	0.280824	0.251163	0.292252	0.470568	0.303409
FCRLA	1.0	0.910202	0.144379	0.168561	0.193971	0.2376	0.752784	0.446739	0.41611	0.108478	0.102393	0.014903
FFAR2	0.165326	0.18185	0.020006	0.029298	0.065822	0.077861	0.355939	0.319106	0.295477	0.000779	0.001442	0.0
FGFBP2	0.423005	0.428087	0.250498	0.244827	0.478233	1.0	0.171166	0.059629	0.055508	0.099448	0.363909	0.154547
FKBP1B	0.040125	0.064982	0.07325	0.018399	0.05176	0.034302	0.08266	0.084024	0.062463	0.057832	0.062157	0.045518
FLT3	0.02072	0.020478	0.004823	0.00735	0.0	0.0011	0.030948	0.043464	0.044565	0.000825	0.000641	0.013623
FMNL2	0.042583	0.035624	0.021615	0.115751	0.028768	0.047009	0.135286	0.044447	0.022488	0.042633	0.120146	0.072308
FPR2	0.078113	0.078503	0.020609	0.012612	0.029361	0.040865	0.20222	0.124941	0.132338	0.0	0.011094	0.007068
FPR3	0.082475	0.056388	0.024617	0.00616	0.043284	0.021822	0.11101	0.199031	0.169303	0.0	0.016311	0.009302
FZD2	0.266072	0.246975	0.039209	0.008274	0.084658	0.168204	0.38033	0.476737	0.511934	0.0	0.021959	0.009419
GATA3	0.027881	0.030633	0.062597	0.06269	0.044768	0.035712	0.015665	0.009035	0.005785	0.067053	0.044359	0.070538
GEM	0.305426	0.26572	0.111391	0.369745	0.292902	0.520661	0.026949	0.132003	0.18304	0.238951	0.193123	0.341718
GIMAP1	0.042932	0.055049	0.077768	0.086856	0.062361	0.033739	0.0422	0.058029	0.040738	0.071746	0.062087	0.079178
GIMAP5	0.337408	0.338281	0.819412	0.806162	0.480733	0.183242	0.133544	0.081751	0.086385	0.661809	0.384563	0.531632
GIMAP6	0.330111	0.308021	0.557648	0.527876	0.379923	0.299659	0.1932	0.180873	0.198311	0.499099	0.334305	0.387843
GIMAP7	0.388487	0.408953	0.702867	0.738159	0.41605	0.385953	0.144648	0.109165	0.111993	0.589202	0.370833	0.516344
GIMAP8	0.526561	0.589577	0.983126	0.996139	0.707522	0.425918	0.407191	0.439321	0.432614	0.919604	0.647573	0.660724
GK	0.132857	0.13292	0.080095	0.066574	0.072767	0.101049	0.288935	0.193183	0.204924	0.040231	0.029792	0.058991
GNAL	0.022431	0.165987	0.216033	0.14478	0.121126	0.58279	0.288336	0.235412	0.044046	0.107519	0.041701	0.356933
GNLY	0.488104	0.546922	0.302638	0.304362	0.499691	1.0	0.278676	0.085316	0.09229	0.164969	0.386899	0.209804
GPM6B	0.007713	0.03814	0.015747	0.017858	0.000955	0.001321	0.003674	0.011855	0.003779	0.023004	0.028572	0.024702
GPR109B	0.022787	0.024459	0.002678	0.001249	0.009692	0.013987	0.037704	0.05566	0.053929	0.0	0.00241	0.00333
GPR171	0.005787	0.022003	0.048674	0.029433	0.078957	0.007906	0.016574	0.001524	0.0	0.026671	0.02119	0.016955
GPR18	0.567982	0.600916	0.502123	0.468692	0.526397	0.283727	0.375109	0.381631	0.348266	0.368207	0.446479	0.2768
GPR56	0.453137	0.437452	0.250254	0.242031	0.512288	1.0	0.206135	0.052786	0.05609	0.091731	0.376265	0.150745
GPR97	0.053439	0.028397	0.0	0.008558	0.036226	0.057038	0.175626	0.039834	0.009239	0.023194	0.015862	0.006613
GPRASP1	0.096875	0.142969	0.086094	0.134766	0.155208	0.234512	0.043066	0.055171	0.086198	0.127344	0.107344	0.08821
GRIP1	0.317638	0.108838	0.1868	0.100733	0.243535	0.342725	0.327962	0.452721	0.319568	0.382092	0.138171	0.402161
GZMA	0.458211	0.457188	0.364998	0.39074	0.587718	1.0	0.226476	0.087896	0.084441	0.279194	0.523322	0.34112
GZMB	0.269507	0.271264	0.153214	0.159294	0.293713	0.58962	0.141961	0.038533	0.038653	0.045508	0.216148	0.06465
GZMH	0.482349	0.481304	0.370064	0.418275	0.674968	0.961265	0.205869	0.080764	0.082168	0.290267	0.628606	0.412062
GZMK	0.445053	0.4321	0.549077	0.551091	0.956168	0.345089	0.169075	0.096513	0.10939	0.523184	1.0	0.593574
GZMM	0.399345	0.401555	0.411346	0.434749	0.688657	0.966364	0.139644	0.057733	0.061836	0.323163	0.662624	0.327911
HBEGF	0.38582	0.408686	0.050308	0.047824	0.121395	0.202973	0.634525	0.963666	1.0	0.028263	0.0	0.044576
HK3	0.430321	0.460786	0.078883	0.092235	0.139707	0.209619	0.808385	0.952165	0.959079	0.052508	0.0	0.069607
HLA-DOB	0.085465	0.075459	0.014444	0.018972	0.018056	0.018813	0.05833	0.032421	0.031773	0.015144	0.013255	0.011164
HLA-DPB2	0.040729	0.054232	0.078741	0.102323	0.001572	0.000219	0.043189	0.0249	0.016401	0.016182	0.030342	0.084191
HLA-DQA1	0.712654	0.697692	0.108559	0.108901	0.158049	0.194926	0.550975	0.744782	0.762366	0.081593	0.077824	0.211081
HLA-DQB1	0.037366	0.036154	0.002652	0.001535	0.003628	0.00647	0.043004	0.042451	0.041277	0.000399	0.0	0.006859
HLA-DQB2	0.00381	0.0	0.043804	0.016421	0.020106	0.004743	0.019957	0.030699	0.008164	0.00891	0.033202	0.046417
HMOX1	0.437539	0.400845	0.073242	0.091223	0.128272	0.275811	0.618291	0.771492	0.848078	0.023121	0.027865	0.0246
HNMT	0.519957	0.5377	0.092347	0.086248	0.147502	0.231156	0.727235	0.975166	1.0	0.025513	0.032209	0.053035
HOPX	0.417452	0.47106	0.325315	0.35544	0.473623	1.0	0.197248	0.080053	0.071797	0.237772	0.429907	0.271798
HOXA9	0.080071	0.104288	0.008268	0.09087	0.055945	0.168989	0.160166	0.171526	0.000802	0.039402	0.010314	0.169725
HSPC159	0.012192	0.009606	0.020414	0.008085	0.014933	0.008446	0.025148	0.005198	0.004347	0.0	0.013893	0.009477
ICOS	0.269297	0.262966	0.758253	0.761646	0.381066	0.082589	0.168019	0.113571	0.11779	0.86709	0.408856	1.0
IDO1	0.002939	0.011311	0.003376	0.004539	0.0	0.000257	0.015128	0.006933	0.01771	0.001369	0.000811	0.023035
IDO2	0.057321	0.102859	0.095759	0.099501	0.132557	0.102955	0.117444	0.125983	0.10094	0.088198	0.113417	0.08991
IFNG	0.191771	0.265271	0.29294	0.347559	0.432209	0.472954	0.043555	0.029505	0.044433	0.364512	0.635484	0.571479
IGJ	0.394578	0.399766	0.238315	0.234586	0.307801	0.219002	0.316236	0.174951	0.169247	0.241226	0.316769	0.006352
IGLL3	0.144543	0.144455	0.057221	0.084768	0.085917	0.075505	0.165794	0.072446	0.071135	0.081498	0.106545	0.02377
