Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
BLK	0.015157	0.01739	0.012486	0.016611	0.018725	0.016762
BMP2K	1.0	0.935916	0.369643	0.378145	0.25982	0.294809
BPI	0.059385	0.075322	0.022846	0.039	0.071828	0.060155
BRAF	0.076697	0.062787	0.035525	0.041459	0.087721	0.078538
BRSK2	0.547801	0.556659	0.676111	0.613922	0.470973	0.543064
BST1	0.999508	1.0	0.226688	0.29969	0.186749	0.334681
BTNL8	0.101183	0.099857	0.087988	0.093278	0.129957	0.154466
C11ORF80	0.079126	0.071247	0.076307	0.090626	0.082167	0.073192
C1ORF54	0.293819	0.3141	0.071302	0.062852	0.040825	0.066758
C3AR1	0.559725	0.545411	0.348254	0.409208	0.165434	0.286395
C5AR1	0.206985	0.244226	0.205617	0.226244	0.245203	0.238146
C5AR2	0.320926	0.317741	0.243767	0.287064	0.261839	0.267295
CA8	0.272078	0.350742	0.26044	0.242827	0.155279	0.262448
CAMP	0.006762	0.012457	0.002176	0.017608	0.007072	0.02406
CASP5	0.275056	0.242597	0.144859	0.161602	0.12499	0.166364
CCDC102B	0.531948	0.443497	0.359295	0.344763	0.362248	0.377425
CCL1	0.009672	0.009481	0.007282	0.008452	0.008129	0.007301
CCL13	0.011144	0.012776	0.007727	0.006739	0.006186	0.006344
CCL14	0.005104	0.0	0.000104	0.00499	0.007706	0.006258
CCL17	0.000101	0.000411	0.000188	0.004948	0.0	0.005147
CCL18	0.002165	0.002189	0.001138	0.002467	0.002371	0.002239
CCL19	0.000757	0.000473	0.000472	0.001126	0.000727	0.001011
CCL20	0.038638	0.027083	0.0434	0.048773	0.058827	0.063548
CCL22	0.001748	0.001507	0.00145	0.00144	0.001923	0.001568
CCL23	0.020083	0.023442	0.012933	0.016809	0.01397	0.01996
CCL4	0.0	2.3e-05	0.000198	0.00047	0.002432	0.005188
CCL5	0.007207	0.008328	0.004481	0.00628	0.005687	0.009223
CCL7	0.211494	0.196626	0.271635	0.343819	0.541786	1.0
CCL8	0.021083	0.018075	0.011064	0.012202	0.007468	0.013601
CCND2	0.052002	0.047679	0.021987	0.028248	0.04145	0.034462
CCR10	0.01211	0.0	0.01458	0.031251	0.019751	0.013035
CCR2	0.52062	0.500102	0.105195	0.132743	0.067214	0.090516
CCR3	0.014361	0.016447	0.016795	0.012067	0.013146	0.013217
CCR5	0.232516	0.223299	0.099405	0.129637	0.065969	0.083758
CCR6	0.144085	0.164984	0.146498	0.16507	0.151321	0.165653
CCR7	0.004927	0.006726	0.006304	0.010266	0.015878	0.01472
CD160	0.037624	0.019648	0.013997	0.016014	0.01124	0.014864
CD180	0.195051	0.175103	0.066211	0.069105	0.044865	0.052504
CD19	0.001185	0.000764	0.002253	0.002343	0.001667	0.0
CD1A	0.002279	0.002092	0.000201	0.001115	0.0	0.001402
CD1B	0.003473	0.00383	0.002154	0.002744	0.000897	0.002412
CD1C	0.03414	0.037302	0.014736	0.02019	0.018362	0.025667
CD1D	0.101489	0.093952	0.044295	0.049111	0.042831	0.050068
CD1E	0.010993	0.009093	0.006238	0.007352	0.00638	0.007427
CD2	0.037482	0.048972	0.024722	0.045159	0.039471	0.062263
CD209	0.032854	0.032145	0.022903	0.023723	0.023873	0.019791
CD22	0.031662	0.031525	0.02992	0.026932	0.023779	0.025179
CD244	0.066888	0.063946	0.039088	0.041188	0.035824	0.038216
CD247	0.012268	0.014738	0.01304	0.017893	0.015164	0.01725
CD27	0.00083	0.0047	0.001823	0.003832	0.0024	0.003502
CD28	1.0	0.820106	0.335589	0.396412	0.146783	0.264389
CD300A	0.447994	0.595069	0.307091	0.371969	0.169683	0.241588
CD33	1.0	0.855535	0.253924	0.249913	0.116002	0.176881
CD37	0.041696	0.067067	0.050007	0.032712	0.073927	0.058964
CD38	0.027944	0.030844	0.007991	0.008051	0.008722	0.009077
CD3D	0.028562	0.048197	0.025952	0.041384	0.046664	0.053348
CD3E	0.004342	0.006574	0.0	0.002501	0.025606	0.006369
CD3G	0.066265	0.061824	0.042462	0.046938	0.067224	0.060459
CD4	0.297218	0.342785	0.131532	0.145762	0.192097	0.14814
CD40	0.008629	0.010492	0.002925	0.00557	0.001117	0.005592
CD40LG	0.082306	0.077946	0.067583	0.0764	0.077412	0.070272
CD5	0.0	0.004928	0.001237	0.013598	0.035743	0.022588
CD6	0.065827	0.084323	0.064716	0.085956	0.127975	0.130951
CD68	0.787595	1.0	0.729138	0.74165	0.540438	0.66447
CD69	0.056028	0.052851	0.037696	0.050608	0.07604	0.092209
CD7	0.005528	0.007819	0.012742	0.014225	0.014459	0.014821
CD70	0.0	0.007519	0.015781	0.02392	0.022244	0.028928
CD72	0.110322	0.107244	0.081769	0.084998	0.076685	0.090295
CD79A	0.000565	0.001212	0.0	0.001072	0.002115	0.002385
CD79B	0.010297	0.012482	0.005652	0.01061	0.009387	0.010482
CD80	0.008573	0.008764	0.001986	0.00498	0.001287	0.002648
CD86	0.782532	0.728006	0.184968	0.263396	0.175229	0.313422
CD8A	0.011906	0.012251	0.010673	0.015285	0.020239	0.018326
CD8B	0.030674	0.033373	0.029333	0.032615	0.036536	0.035486
CD96	0.11597	0.126107	0.062341	0.088281	0.104469	0.13115
CDA	0.028951	0.032829	0.022504	0.024745	0.030171	0.031945
CDC25A	0.857664	0.635855	0.854745	0.821018	0.757384	0.754052
CDH12	0.302271	0.257336	0.351304	0.25679	0.347121	0.276774
CDHR1	0.276773	0.282519	0.286152	0.240395	0.178809	0.289555
CDK6	0.997796	0.879041	0.65971	0.733978	0.611098	0.640528
CEACAM3	0.053533	0.056646	0.045131	0.055716	0.081957	0.077353
CEACAM8	0.028883	0.023545	0.021978	0.019407	0.027425	0.028661
CEMP1	0.098698	0.010249	0.009963	0.009208	0.005929	0.07752
CFP	0.079318	0.105883	0.085053	0.092119	0.094455	0.127852
CHI3L1	0.010962	0.010517	0.007702	0.009114	0.012366	0.011956
CHI3L2	0.005877	0.006047	0.0	0.001568	0.004559	0.006318
CHST15	0.390578	0.466034	0.273068	0.251574	0.33841	0.322038
CHST7	0.021539	0.020582	0.016023	0.020447	0.018414	0.020678
CLC	0.041115	0.050033	0.013931	0.019122	0.015098	0.021425
CLCA3P	0.852317	0.778423	0.753443	0.857279	0.787761	1.0
CLEC10A	0.106813	0.158866	0.07703	0.096304	0.05766	0.083021
CLEC2D	0.209804	0.18706	0.109389	0.129711	0.202865	0.235095
CLEC4A	0.099274	0.085575	0.025889	0.034046	0.02499	0.042884
CLEC7A	1.0	0.936211	0.482133	0.498658	0.453123	0.572685
CLIC2	0.12863	0.109628	0.041293	0.058693	0.037619	0.061253
CMA1	0.000363	0.0	0.011822	0.000864	0.009743	0.0105
COL8A2	0.068772	0.076617	0.046305	0.054842	0.043654	0.051116
COLQ	0.178558	0.125815	0.109369	0.106642	0.14896	0.11772
CPA3	0.003253	0.002876	0.001802	0.002131	0.002008	0.002298
CR2	0.16321	0.124504	0.154341	0.173844	0.16965	0.135881
CREB5	0.232286	0.20482	0.164141	0.204365	0.380009	0.260338
CRISP3	0.059043	0.038632	0.046462	0.053151	0.066259	0.070216
CRTAM	0.092514	0.079949	0.057851	0.066034	0.047476	0.058275
CRYBB1	0.805671	1.0	0.690779	0.712409	0.453641	0.612559
CSF1	0.200673	0.18747	0.224846	0.215404	0.336216	0.265758
CSF2	0.014937	0.014858	0.013665	0.017517	0.0	0.009284
CSF3R	0.320912	0.470412	0.248405	0.226294	0.539707	0.456197
CST7	0.013087	0.015976	0.012992	0.021692	0.021559	0.024431
CTLA4	0.021952	0.022648	0.018577	0.024303	0.022543	0.027762
CTSG	0.003002	0.004011	0.000648	0.005422	0.0	0.006931
CTSW	0.014447	0.020181	0.019223	0.021969	0.023515	0.020045
CXCL10	0.001628	0.001272	9.7e-05	0.0	0.001088	0.005574
CXCL11	0.007764	0.00683	0.003804	0.004743	0.003876	0.007682
CXCL13	0.004788	0.002861	0.003287	0.003454	0.006095	0.003347
CXCL3	0.037979	0.024904	0.044273	0.049158	0.038686	0.059317
CXCL5	0.019793	0.018979	0.025988	0.029759	0.039151	0.048313
CXCL9	0.000891	0.000597	0.0	0.000229	8e-06	0.0004
CXCR1	0.013715	0.015089	0.010378	0.016632	0.01011	0.010115
CXCR2	0.018383	0.021938	0.008685	0.01125	0.010977	0.011701
CXCR5	0.005603	0.007125	0.007781	0.010622	0.009082	0.009997
CXCR6	0.097861	0.110999	0.112404	0.15062	0.082226	0.090504
CXORF57	0.246931	0.210754	0.254327	0.226075	0.214928	0.224024
CYP27A1	0.07983	0.127391	0.060952	0.057197	0.045969	0.069959
CYP27B1	0.002586	0.0	0.002424	0.00323	0.003541	0.003731
DACH1	0.323814	0.323217	0.279736	0.336227	0.344438	0.296793
DAPK2	0.118239	0.134437	0.109264	0.089693	0.120826	0.124886
DCSTAMP	0.019854	0.012534	0.048631	0.011546	0.015278	0.015866
DEFA4	0.017656	0.0	0.008433	0.010692	0.013514	0.005519
DENND5B	0.413102	0.380361	0.360264	0.394608	0.432807	0.369968
DEPDC5	0.997257	0.763784	0.951711	0.439752	0.429538	0.673448
DGKA	0.217083	0.226367	0.248671	0.179812	0.511219	0.263345
DHRS11	0.101681	0.110797	0.095683	0.103777	0.091675	0.102401
DHX58	0.107538	0.138524	0.076823	0.092733	0.081568	0.103302
DPEP2	0.038526	0.044338	0.032477	0.033651	0.0272	0.032916
DPP4	0.280875	0.262524	0.18833	0.243352	0.343112	0.401387
DSC1	0.031751	0.027954	0.027507	0.033321	0.033141	0.033886
DUSP2	0.031766	0.039008	0.070629	0.071495	0.080668	0.088397
EAF2	0.105077	0.095307	0.013105	0.019946	0.001943	0.012025
EBI3	0.001403	0.001563	0.001676	0.001989	0.001693	0.002303
EFNA5	0.462784	0.4623	0.478102	0.58783	0.624546	0.577575
EGR2	0.038964	0.039519	0.040014	0.042072	0.024435	0.027718
ELANE	0.005067	0.004922	0.0	0.000278	0.00413	0.004146
EPB41	0.668733	0.711187	0.680498	0.515235	1.0	0.792786
EPHA1	0.435794	0.525496	0.99622	0.995699	0.954844	0.923253
EPN2	0.409822	0.364132	0.574681	0.54074	0.679935	0.433699
ETS1	0.484343	0.575129	0.585795	0.619679	1.0	0.853433
ETV3	0.110563	0.102627	0.103865	0.098626	0.106773	0.105582
FAM124B	0.24833	0.251098	0.177674	0.194325	0.146349	0.157365
FAM174B	0.325747	0.271131	0.355659	0.304694	0.378534	0.425567
FAM198B	1.0	0.905777	0.553855	0.687637	0.586297	0.549798
FAM212B	0.263191	0.262966	0.176531	0.191033	0.248901	0.213262
FAM65B	0.044982	0.060744	0.023082	0.029433	0.037167	0.039323
FASLG	0.003699	0.005276	0.003017	0.004844	0.0	0.000858
FBXL8	0.398583	0.428902	0.469887	0.443115	0.45866	0.42153
FCER1A	0.113693	0.122539	0.03265	0.041944	0.037926	0.056814
FCER2	0.032787	0.037481	0.0268	0.024333	0.021522	0.019807
FCGR2B	0.726698	0.922578	0.257578	0.378824	0.24599	0.36385
FCGR3B	0.184439	0.198786	0.07803	0.108646	0.117585	0.149103
FCN1	0.300208	0.367412	0.259123	0.308203	0.264848	0.285046
FCRL2	0.011478	0.012923	0.010534	0.01186	0.013458	0.013842
FES	0.118786	0.13905	0.180231	0.130475	0.105378	0.115003
FFAR2	0.109498	0.107368	0.076236	0.062527	0.07415	0.078353
FLT3LG	0.056301	0.06847	0.056398	0.068513	0.060242	0.085712
FLVCR2	0.923391	1.0	0.321588	0.325834	0.21552	0.342999
FOSB	0.050756	0.049779	0.048894	0.047199	0.072546	0.03965
FOXP3	0.006873	0.009227	0.017235	0.018764	0.027603	0.012321
FPR1	0.281365	0.320213	0.20552	0.267241	0.271789	0.308685
FPR2	0.138734	0.176838	0.116142	0.173565	0.151612	0.205353
FPR3	0.711803	0.713227	0.250919	0.302687	0.076109	0.170162
FRK	0.631671	0.570545	0.596751	0.627561	1.0	0.746594
FRMD4A	0.142172	0.147216	0.121794	0.093121	0.093104	0.094811
FRMD8	0.145923	0.169107	0.169143	0.196201	0.195531	0.18548
FZD2	0.035694	0.059611	0.076393	0.082098	0.054806	0.063248
FZD3	0.261311	0.242466	0.226403	0.2705	0.222329	0.200355
GAL3ST4	0.138008	0.147707	0.090201	0.090835	0.078803	0.07637
GALR1	1.0	0.965176	0.733745	0.792041	0.878789	0.900204
GFI1	0.075292	0.083505	0.056398	0.077185	0.080062	0.08744
GGT5	0.139365	0.149021	0.091375	0.124803	0.108487	0.115675
GIPR	0.801075	0.878011	0.870021	0.84404	0.889196	0.912417
GNG7	0.009359	0.01127	0.002557	0.007646	0.004557	0.006027
GNLY	0.037696	0.072931	0.08393	0.073718	0.068114	0.07733
GPC4	0.009879	0.0045	0.024033	0.0	0.011737	0.001358
GPR1	0.927955	0.995923	0.708214	0.911506	0.920406	1.0
GPR171	0.057096	0.057438	0.047617	0.058365	0.062454	0.095147
GPR18	0.032401	0.032182	0.026535	0.029135	0.028203	0.025357
GPR183	0.347696	0.336015	0.143797	0.196012	0.070357	0.127306
GPR19	0.165638	0.220939	0.211763	0.201974	0.208481	0.203992
GPR25	0.129987	0.119055	0.121057	0.119101	0.084811	0.081785
GPR65	0.113418	0.101669	0.02893	0.044802	0.01529	0.032518
GRAP2	0.363975	0.354695	0.341326	0.376672	0.371034	0.368553
GYPE	0.855785	0.826808	0.695676	0.824502	0.800887	0.570575
GZMA	0.059766	0.065955	0.031108	0.051854	0.027814	0.040665
GZMB	0.067144	0.104637	0.046378	0.059626	0.074764	0.107719
GZMH	0.013132	0.01407	0.009194	0.011367	0.00991	0.009935
GZMK	0.034749	0.04186	0.02434	0.043701	0.030721	0.041997
GZMM	0.00567	0.012383	0.018872	0.021345	0.021107	0.020315
HAL	0.036855	0.032804	0.022577	0.018725	0.046928	0.051483
HCK	0.296182	0.48338	0.27422	0.314844	0.216704	0.268132
HDC	0.010498	0.012486	0.009034	0.0085	0.010852	0.009851
HESX1	0.040331	0.036728	0.027369	0.030648	0.024434	0.022597
HHEX	0.209117	0.215274	0.048127	0.04547	0.036021	0.050876
HIC1	0.790001	0.806637	0.800174	0.76582	0.857957	1.0
HIST1H2AE	0.436891	0.659426	0.813954	0.956164	0.895828	1.0
HIST1H2BG	0.612027	0.73054	0.813676	0.930574	0.950675	1.0
HK3	0.343367	0.630876	0.425167	0.255815	0.108159	0.161815
HLA-DOB	0.010346	0.009583	0.005024	0.000385	0.00639	0.0
HLA-DQA1	0.615133	0.680435	0.277883	0.376179	0.414527	0.507725
HMGB3P30	0.017981	0.015682	0.185273	0.017486	0.013738	0.020976
HNMT	1.0	0.951974	0.483552	0.497357	0.206541	0.417734
HOXA1	0.096072	0.101125	0.084075	0.096119	0.092988	0.098743
HPGDS	0.012654	0.014737	0.004262	0.004273	0.001911	0.002036
HPSE	0.442268	0.410446	0.184102	0.197033	0.167188	0.224615
HRH1	0.036745	0.036811	0.033543	0.039299	0.038202	0.043742
HSPA6	0.056709	0.065482	0.06384	0.070752	0.036261	0.038758
HTR2B	0.202307	0.187387	0.09551	0.145914	0.152642	0.112795
ICA1	0.123539	0.099423	0.087543	0.099835	0.082242	0.07245
ICOS	0.016535	0.016489	0.010912	0.013581	0.01444	0.016523
IDO1	0.005722	0.004417	0.004138	0.00701	0.003934	0.007405
IFI44L	0.16343	0.133951	0.041784	0.042469	0.030569	0.050591
IFNA10	0.099618	0.086212	0.077595	0.087542	0.067422	0.070244
IFNG	0.010243	0.008663	0.0	0.002811	0.005441	0.006538
IGHD	0.0	0.000981	0.000895	0.001285	0.001366	0.001525
IGHE	0.000431	0.000358	0.001585	0.000295	0.001285	0.001429
IGHM	0.000122	0.001619	0.002239	0.00081	0.001229	0.001614
IGKC	0.135616	0.168781	0.089328	0.116253	0.108988	0.115219
IGLL3P	1.3e-05	7e-06	1e-06	0.0	0.000125	0.000114
IGSF6	0.175144	0.189399	0.050434	0.071809	0.036902	0.072038
IL12B	0.005381	0.009355	0.003338	0.003662	0.00559	0.004542
IL12RB2	0.093309	0.068322	0.065093	0.076292	0.078165	0.076854
IL17A	0.051827	0.044267	0.036058	0.046871	0.050411	0.001574
IL18R1	0.089207	0.081602	0.063353	0.066279	0.112781	0.126874
IL18RAP	0.028373	0.026218	0.020965	0.024874	0.039394	0.034516
IL1A	0.01157	0.013138	0.017052	0.021648	0.027786	0.031399
IL1B	0.005635	0.00446	0.02133	0.02898	0.056758	0.060671
IL1RL1	0.082802	0.066729	0.040843	0.059056	0.073661	0.075949
IL21	0.0	0.020353	0.014322	0.02749	0.02748	0.033653
IL26	0.143372	0.132238	0.081592	0.141608	0.110103	0.120339
IL2RA	0.035497	0.031852	0.016943	0.024326	0.019975	0.022563
IL2RB	0.0	0.001949	0.002192	0.003292	0.007461	0.000971
IL3	0.015111	0.014871	0.018258	0.002367	0.012086	0.015341
IL4	0.281437	0.174053	0.124822	0.017597	0.014592	0.248862
IL4R	0.027962	0.069589	0.015913	0.016225	0.041749	0.063639
IL5	0.072767	0.066802	0.011814	0.147434	0.149586	0.156925
IL5RA	0.034767	0.035369	0.007582	0.047553	0.043019	0.033003
IL7	0.150888	0.15632	0.099618	0.108076	0.119412	0.132204
IL7R	0.089943	0.095048	0.11504	0.115562	0.193516	0.169315
IL9	0.000975	0.00463	0.000321	0.000994	0.0	0.000108
IRF8	0.3719	0.391519	0.189453	0.208697	0.178839	0.252365
ITK	0.031874	0.031468	0.019825	0.027012	0.064529	0.049453
KCNA3	0.094456	0.100155	0.078902	0.092207	0.107195	0.105674
KCNG2	0.090351	0.08715	0.009275	0.175127	0.120602	0.101464
KIAA0226L	0.057754	0.068899	0.034715	0.042265	0.055921	0.060658
KIR2DL1	0.018361	0.017772	0.016529	0.018406	0.026956	0.026249
KIR2DL4	0.020228	0.009053	0.0	0.012155	0.006545	0.006111
KIR2DS4	0.00031	0.0	0.005574	0.000106	0.004775	0.00043
KIR3DL2	0.005395	0.005125	0.004551	0.005414	0.009017	0.008956
KIRREL	0.758379	0.691941	0.884549	0.982217	1.0	0.891469
KLRB1	0.040153	0.045343	0.01856	0.031852	0.028881	0.039134
KLRC3	0.065205	0.051501	0.038537	0.049994	0.046343	0.052057
KLRC4	0.378544	0.450901	0.306311	0.365259	0.349951	0.284847
KLRD1	0.038739	0.041512	0.026032	0.044522	0.027789	0.035607
KLRF1	0.020357	0.020027	0.012847	0.016324	0.013137	0.0166
KLRG1	0.017848	0.013174	0.0	0.00722	0.006704	0.008361
KLRK1	0.039929	0.044451	0.021358	0.032315	0.022477	0.033419
KRT18P50	0.089484	0.00393	0.114379	0.005333	0.007655	0.0
KYNU	0.139959	0.12886	0.048639	0.058129	0.044493	0.081113
LAG3	0.034589	0.028821	0.028727	0.028041	0.033635	0.024504
LAIR2	0.010025	0.009535	0.011782	0.000571	0.005837	0.0
LAMP3	0.002185	0.001618	0.001533	0.001795	0.002326	0.00198
LAT	0.001137	0.00466	0.005456	0.004856	0.005472	0.004284
LCK	0.02286	0.027545	0.022915	0.031056	0.033862	0.036236
LEF1	0.153455	0.17525	0.091248	0.118175	0.208781	0.143902
LHCGR	0.099373	0.093251	0.098271	0.114866	0.099881	0.120237
LILRA2	0.050616	0.043416	0.026829	0.033588	0.038685	0.03323
LILRA4	0.217659	0.244535	0.190491	0.18066	0.185581	0.212228
LILRB2	0.017993	0.0251	0.009162	0.017376	0.012074	0.016454
LIME1	0.003134	0.016984	0.023518	0.037507	0.031952	0.029763
LRMP	0.098851	0.101861	0.029321	0.029177	0.054052	0.054385
LST1	0.114626	0.19897	0.063362	0.11602	0.055607	0.103442
LTA	0.006608	0.000843	0.007305	0.001302	0.0	0.00883
LTB	0.001508	0.001251	0.000817	0.001759	0.001553	0.001856
LTC4S	0.020618	0.028474	0.000974	0.054279	0.0	0.000207
LY86	0.30082	0.319172	0.049458	0.083531	0.02032	0.042972
LY9	0.065818	0.065695	0.046345	0.048316	0.052105	0.050251
MAGEA11	0.270939	0.420271	0.337296	0.495266	0.361736	0.433017
MAK	0.0794	0.069505	0.071179	0.079452	0.081552	0.081487
MAN1A1	0.520167	0.485271	0.096595	0.125883	0.115323	0.167702
MANEA	0.312892	0.306662	0.19775	0.223981	0.19011	0.209611
MAP3K13	0.803654	0.555946	0.741308	0.980346	0.83967	1.0
MAP4K1	0.073488	0.075271	0.063075	0.069558	0.094047	0.080493
MAP4K2	0.592803	0.782834	1.0	0.943014	0.994545	0.965274
MAP9	0.884488	0.909687	0.849187	0.976554	1.0	0.936509
MARCO	0.84573	1.0	0.692925	0.699382	0.616291	0.815016
MAST1	0.092961	0.121641	0.103482	0.108914	0.116808	0.108615
MBL2	0.035753	0.028885	0.171458	0.031322	0.033043	0.038895
MEFV	0.150304	0.151785	0.116743	0.127544	0.149982	0.141393
MEP1A	0.000581	0.0	0.016937	0.017397	0.015821	0.00141
MGAM	0.025622	0.028706	0.021384	0.022943	0.036844	0.029164
MICAL3	0.466912	0.382955	0.606897	0.669998	1.0	0.494497
MMP12	0.001106	0.000939	0.001666	0.001898	0.001802	0.002648
MMP25	0.000301	0.000349	0.003141	0.0	0.005121	0.003701
MMP9	0.0	0.000287	0.002949	0.000535	0.000774	0.000763
MNDA	0.328181	0.325813	0.089849	0.115581	0.04081	0.080041
MROH7	0.184015	0.177597	0.144458	0.113385	0.145792	0.16942
MS4A1	0.001669	0.001269	0.000556	0.001132	0.00131	0.001519
MS4A2	0.009353	0.009366	0.008119	0.004008	0.005289	0.005184
MS4A3	0.0519	0.053575	0.036052	0.040631	0.036766	0.035065
MS4A6A	1.0	0.97033	0.481044	0.494337	0.319229	0.457923
MSC	0.02566	0.016891	0.021453	0.03336	0.040476	0.04146
MXD1	0.624678	0.597433	0.209403	0.200927	0.48006	0.533396
MYB	0.007254	0.004117	0.005204	0.005654	0.004882	0.004714
MZB1	0.004288	0.005319	0.005045	0.005739	0.005389	0.005314
NAALADL1	0.245443	0.330444	0.259177	0.307809	0.26795	0.286172
NCF2	0.290764	0.327901	0.202587	0.218778	0.205748	0.223108
NCR3	0.000157	0.000229	0.000643	0.004429	0.001682	0.002088
NFE2	0.024696	0.024475	0.018103	0.023928	0.022597	0.023553
NIPSNAP3B	0.045256	0.047447	0.017789	0.025237	0.022907	0.031541
NKG7	0.058145	0.10699	0.097374	0.116775	0.06198	0.084863
NLRP3	0.504048	0.546293	0.316407	0.344927	0.375755	0.452207
NMBR	0.067537	0.078014	0.074848	0.112331	0.056616	0.035373
NME8	0.306161	0.307313	0.182202	0.182256	0.328423	0.240477
NOD2	0.071255	0.083643	0.051184	0.05507	0.054323	0.056007
NOX3	0.071851	0.058249	0.052226	0.063444	0.003453	0.069894
NPAS1	0.215192	0.137443	0.191029	0.259823	0.179284	0.154568
NPIPB15	0.050868	0.050702	0.04287	0.038295	0.041325	0.041669
NPL	1.0	0.946027	0.384287	0.362508	0.17537	0.305426
NR4A3	0.003239	0.000403	0.0	0.00165	0.009385	0.003789
NTN3	0.039918	0.039496	0.153753	0.120908	0.104059	0.039417
NTRK1	0.026525	0.029501	0.028896	0.037413	0.027252	0.038135
ORC1	0.203263	0.189337	0.189337	0.224014	0.20766	0.208086
OSM	0.057819	0.06575	0.075384	0.082068	0.072197	0.082305
P2RX1	0.040369	0.053061	0.0363	0.036631	0.043471	0.044146
P2RX5	0.008499	0.009369	0.006413	0.00876	0.007407	0.008305
P2RY10	0.100747	0.09483	0.083494	0.099881	0.117473	0.14545
P2RY13	0.03883	0.034602	0.01732	0.021051	0.018582	0.019684
P2RY14	0.016006	0.014658	0.008334	0.010465	0.010783	0.012136
P2RY2	0.084145	0.06947	0.072005	0.085771	0.081212	0.074441
PADI4	0.08733	0.094929	0.064112	0.070592	0.08691	0.080678
PAQR5	0.383681	0.347436	0.297177	0.423003	0.30201	0.334313
PASK	0.01777	0.007307	0.007937	0.017192	0.020153	0.017332
PAX7	0.054161	0.053257	0.058056	0.044245	0.0	0.049697
PBXIP1	0.102617	0.172786	0.243041	0.278846	0.308037	0.301483
PCDHA5	0.287184	0.251434	0.17583	0.203127	0.190434	0.227407
PDCD1	0.0	0.002002	0.007825	0.006394	0.006343	0.008502
PDCD1LG2	0.130252	0.117375	0.063496	0.089431	0.073492	0.086601
PDE6C	1.0	0.75119	0.514565	0.573735	0.500111	0.702394
PDK1	0.352308	0.310726	0.390216	0.420675	0.291666	0.242623
PGLYRP1	0.012852	0.019911	0.011362	0.027565	0.024331	0.033073
PIK3IP1	0.060133	0.118494	0.083208	0.108143	0.320968	0.277008
PKD2L2	0.384491	0.379274	0.349886	0.313348	0.390193	0.340985
PLA1A	0.015477	0.018343	0.016299	0.023877	0.025113	0.028663
PLA2G7	0.110439	0.104616	0.042768	0.053298	0.032133	0.047739
PLCH2	0.035303	0.049542	0.071889	0.057495	0.061463	0.066969
PLEKHF1	0.038193	0.049584	0.102219	0.109704	0.097694	0.104703
PLEKHG3	0.220406	0.2698	0.537532	0.541304	0.697533	0.554635
PMCH	0.00516	0.003783	0.007181	0.004625	0.00456	0.006362
