Gene	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
AOC2	0.254608	0.144093	0.147489	0.263481	0.223805	0.220468	1.0	0.204624	0.114383	0.192074	0.181217	0.141327	0.239394	0.25076	0.219438	0.190352	0.0	0.137775	0.237553	0.235358
APOBEC3A	0.004842	0.0	0.417917	0.446597	0.077644	0.047939	1.0	0.052393	0.020106	0.116089	0.555614	0.053539	0.005602	0.220731	0.241308	0.025468	0.036873	0.037516	0.006224	0.014176
APOBEC3G	0.355256	0.258609	0.134874	0.309707	0.418347	0.294014	0.129127	0.146757	0.371873	0.056274	0.263816	0.049519	0.057755	0.091051	0.0	0.269104	0.18827	0.209246	0.091896	0.243859
APOE	0.008081	0.008867	0.004145	0.0017	0.01916	0.007694	0.007636	0.009175	0.006788	0.478756	0.689412	0.415345	0.015788	0.0	0.008606	0.002067	0.031807	0.017837	0.009358	0.027442
ARID4A	0.173069	0.115497	0.07698	0.128835	1.0	0.115294	0.305325	0.127372	0.180708	0.019532	0.090987	0.138182	0.032512	0.191763	0.522651	0.129217	0.168081	0.17213	0.0035	0.0
ASGR1	0.026043	0.020499	0.50078	1.0	0.065148	0.033583	0.068311	0.10842	0.065596	0.171072	0.278836	0.33421	0.065248	0.050927	0.016374	0.0	0.075264	0.189896	0.022987	0.050023
ASGR2	0.021865	0.013829	1.0	0.298104	0.103208	0.055215	0.111167	0.143966	0.068889	0.035496	0.140928	0.414515	0.104609	0.033375	0.00388	0.0	0.148148	0.366952	0.048216	0.011677
ASRGL1	0.013738	0.039143	0.413698	0.368352	0.048663	0.0	0.2545	0.00535	0.012289	1.0	0.062746	0.176461	0.366259	0.614693	0.748283	0.035753	0.671581	0.023006	0.35342	0.012057
ATP2A1	0.122773	0.177503	0.070558	0.027305	0.036452	0.172263	0.148088	0.122717	0.135467	0.125464	0.07044	0.052555	0.167644	0.035707	0.0202	0.096716	0.0	0.094878	0.206842	1.0
ATP2B1	0.169142	0.356181	0.230889	0.306556	1.0	0.102328	0.610277	0.160134	0.188349	0.004821	0.058605	0.140246	0.096572	0.140357	0.262396	0.207199	0.207944	0.279803	0.019143	0.0
BEX1	0.018408	0.007755	0.014688	0.009419	0.000474	0.02089	0.099067	0.03241	0.029052	0.018336	0.003294	0.0	0.152897	0.070683	0.035837	0.021746	1.0	0.013541	0.035699	0.003635
BMX	0.125439	0.051114	0.1041	0.103073	0.017278	0.103072	1.0	0.060417	0.039497	0.180136	0.081177	0.063715	0.081044	0.32959	0.125938	0.0	0.095646	0.106027	0.152616	0.282352
C1QA	0.00417	0.003294	0.047109	0.35183	0.015199	0.007288	0.010624	0.013623	0.003913	0.402887	0.335376	0.317544	0.031201	0.026228	0.00167	0.0	0.104419	0.071743	0.052497	0.057905
C1QB	0.009027	0.006324	0.030977	0.163443	0.01409	0.0125	0.016849	0.01749	0.006256	0.260428	1.0	0.540457	0.019041	0.0	0.014865	0.011874	0.078667	0.054838	0.03383	0.017414
CA4	0.020912	0.044501	0.053263	0.083311	0.073417	0.054199	1.0	0.060148	0.061599	0.162601	0.077832	0.082406	0.0	0.14245	0.12376	0.029132	0.015302	0.06526	0.017324	0.146318
CACNA2D3	0.033138	0.026192	1.0	0.382308	0.135598	0.132633	0.081708	0.164284	0.053713	0.226989	0.075364	0.092634	0.036522	0.000347	0.078315	0.086246	0.144023	0.44665	0.0	0.140366
CALB2	0.010676	0.01117	0.022044	0.015573	0.015322	0.033237	0.050432	0.016514	0.019126	0.00976	0.019214	0.014849	1.0	0.01953	0.0	0.033282	0.01154	0.035964	0.040861	0.024522
CALML4	0.078601	0.148678	0.660569	1.0	0.214621	0.22246	0.263154	0.326678	0.16983	0.247182	0.463915	0.559488	0.085134	0.345899	0.0	0.140776	0.171447	0.334847	0.324395	0.141072
CAMK4	0.127494	0.153111	0.055049	0.061627	0.126401	0.149557	0.207023	0.934869	1.0	0.123566	0.022579	0.010793	0.042129	0.047361	0.065845	0.52738	0.0	0.068986	0.104182	0.034902
CASP1	0.17238	0.20202	0.825051	0.674734	0.348624	0.22128	0.47053	0.15445	0.235043	0.03299	0.405945	0.216987	0.046041	0.26386	0.268942	0.315868	0.192878	0.349247	0.118636	0.0
CCR2	0.029907	0.249127	1.0	0.104789	0.0	0.080804	0.153514	0.150223	0.125125	0.042749	0.029951	0.078108	0.028046	0.275592	0.169145	0.319417	0.061704	0.12453	0.908715	0.080799
CCR3	0.001802	0.001391	0.009234	0.002082	0.0	0.00929	0.237433	0.010508	0.007719	0.023171	0.001597	0.003547	0.007773	0.260645	1.0	0.009127	0.00156	0.002315	0.004356	0.01739
CD14	0.003273	0.002739	0.928418	0.348778	0.01284	0.033623	0.382516	0.054135	0.011674	0.268585	1.0	0.410731	0.019439	0.019485	0.002997	0.0	0.042961	0.089626	0.011546	0.011652
CD160	0.087171	0.049811	0.017081	0.01988	1.0	0.661621	0.061307	0.044532	0.292095	0.010054	0.010475	0.016553	0.0	0.009953	0.035082	0.21247	0.001598	0.006441	0.03054	0.026937
CD163	0.02053	0.016366	0.485525	0.133525	0.009598	0.061183	0.072376	0.06359	0.018615	0.879341	0.991071	1.0	0.037548	0.023254	0.025299	0.0	0.134024	0.166452	0.035753	0.029313
CD19	1.0	0.566864	0.021409	0.011788	0.016122	0.014435	0.032671	0.027364	0.016033	0.059036	0.028149	0.028719	0.040635	0.0	0.011198	0.000961	0.03192	0.007738	0.055703	0.007056
CD1D	0.281976	0.227635	1.0	0.747212	0.199949	0.059233	0.149319	0.146144	0.037386	0.04702	0.102607	0.06325	0.003501	0.031063	0.028569	0.0	0.043759	0.13987	0.231828	0.039366
CD1E	0.041306	0.003293	0.156496	0.16443	0.060615	0.071701	0.106994	0.090742	0.031692	0.108717	0.129808	0.835007	0.156644	0.154519	0.013287	0.0	0.030445	1.0	0.007429	0.252318
CD207	0.09726	0.105757	0.136486	0.187101	0.045909	0.076	0.344247	0.135925	0.102316	0.252348	0.032247	0.094451	0.145122	0.127665	0.0	0.087584	0.040305	1.0	0.176681	0.215202
CD209	0.015293	0.013044	0.022575	0.02029	0.013133	0.020847	0.032496	0.015212	0.012049	0.202147	0.26731	1.0	0.023903	0.0	0.012222	0.009642	0.008636	0.02733	0.028234	0.018311
CD38	0.022041	0.014347	0.01401	0.029028	0.096499	0.107934	0.009159	0.027923	0.024326	0.006098	0.341323	0.005933	0.007086	0.000835	0.003442	0.0633	0.120086	0.034065	1.0	0.061894
CD3D	0.004913	0.005259	0.013579	0.007799	0.026949	0.03	0.025117	0.280967	0.567958	0.0	0.005566	0.003944	0.002061	0.00347	0.010048	1.0	0.009625	0.007281	0.012547	0.015702
CD3E	0.021212	0.015628	0.02011	0.012304	0.056132	0.108504	0.031006	0.399101	0.421762	0.023437	0.005573	0.006902	0.014214	0.002074	0.008189	0.412384	0.011913	0.0	0.069354	0.019266
CD3G	0.006115	0.009333	0.015004	0.00964	0.080605	0.069303	0.03142	0.56082	1.0	0.015821	0.000484	0.00363	0.000873	0.009219	0.0	0.462572	0.005109	0.010335	0.015969	0.018659
CD4	0.021279	0.011	0.181402	0.226581	0.030814	0.057549	0.054154	0.313625	0.028147	0.3021	0.270385	0.406392	0.009765	0.003935	0.034392	0.0	0.045396	0.072191	0.02067	0.067459
CD40LG	0.05699	0.040951	0.106671	0.128434	0.0	0.204451	0.114951	0.916219	0.160839	0.061906	0.035258	0.040134	0.120341	0.014665	0.043211	0.338506	0.189706	0.042564	0.114929	0.327737
CD79A	0.865771	0.491402	0.017949	0.009707	0.005981	0.012165	0.025513	0.028304	0.022221	0.031227	0.012111	0.013999	0.0	0.004231	0.010803	0.00521	0.029179	0.002885	0.191518	0.000619
CD8A	0.003837	0.002541	0.009427	0.0	0.069446	0.142826	0.033881	0.01291	1.0	0.004461	0.000526	0.001129	0.008957	0.000648	0.005124	0.039369	0.004513	0.007237	0.008934	0.002651
CDC14B	0.086541	0.235386	0.200936	0.0027	0.226944	0.489643	0.316459	0.469956	0.356885	0.740153	0.082474	0.0	0.03661	1.0	0.484203	0.188756	0.189145	0.180353	0.18686	0.119139
CDC42EP4	0.0	0.019695	0.237448	0.90674	0.121012	0.080155	0.200694	0.102475	0.054472	0.300417	0.581676	0.401991	0.088135	1.0	0.080407	0.021141	0.129563	0.37441	0.07257	0.328958
CDK2AP2	0.214712	0.233503	0.209575	0.525497	0.287195	0.324085	0.128429	0.286544	0.297049	0.255428	0.021261	0.042579	0.052547	0.359118	0.137884	0.599871	0.08853	0.455586	1.0	0.418597
CDKN1C	0.000456	0.013209	0.161539	1.0	0.240088	0.050085	0.125	0.099067	0.048027	0.028368	0.048646	0.04253	0.054831	0.127228	0.021534	0.0	0.110298	0.052305	0.025196	0.001636
CDR2L	0.175873	0.131158	0.136989	0.130854	0.077144	0.185614	0.117188	0.118102	0.199623	0.240613	0.216834	1.0	0.155677	0.090341	0.008764	0.033082	0.123888	0.30798	0.059978	0.276562
CEACAM1	0.06309	0.071205	0.040289	0.123297	0.014152	0.067506	0.548686	0.11056	0.059151	0.138131	0.081709	0.042345	0.154256	1.0	0.297512	0.095866	0.032796	0.0	0.123791	0.115534
CEACAM3	0.109689	0.061735	0.131383	0.399532	0.177719	0.023844	1.0	0.041618	0.047492	0.050858	0.047858	0.043766	0.05058	0.044529	0.013012	0.073975	0.035787	0.032598	0.181284	0.061599
CECR1	0.273375	0.211445	0.625808	0.492739	0.274086	0.136708	0.040867	0.162959	0.170036	0.137682	0.146271	0.187708	0.0	0.044324	0.121791	0.214322	0.20971	0.185557	1.0	0.144778
CES1	0.0	0.011475	1.0	0.21747	0.372533	0.071235	0.116237	0.132088	0.088051	0.317572	0.53716	0.230409	0.091064	0.00905	0.122939	0.032889	0.048446	0.343436	0.020934	0.162992
CETN1	0.46593	0.307081	0.364299	0.461107	0.0	0.431417	0.697351	0.297019	0.285342	0.458391	0.140905	0.18998	0.461626	0.260792	0.238193	0.36392	0.212625	0.224829	1.0	0.634464
CFB	0.00253	0.010691	0.038774	0.038893	0.014603	0.014613	0.016969	0.013647	0.009363	0.063497	1.0	0.11698	0.002828	0.016941	0.007321	0.0	0.019747	0.059623	0.021577	0.020274
CHMP7	0.894861	0.611983	0.167448	0.161797	0.080371	0.045467	0.106816	0.419	0.32092	0.22379	0.010857	0.0	0.039165	0.071786	0.120914	0.296585	0.470381	0.069691	0.071965	0.007635
CHST7	0.0	0.0166	0.264298	1.0	0.245738	0.076343	0.617472	0.171044	0.112005	0.476798	0.415312	0.471379	0.029788	0.084794	0.001876	0.131356	0.035374	0.590528	0.031673	0.316388
CIB2	0.078938	0.108257	0.093296	0.10154	0.0	0.077117	0.091293	0.108008	0.118827	0.079878	0.109688	0.07779	0.097494	0.095741	0.046368	0.069675	0.151292	0.092589	0.163756	1.0
CIITA	0.528027	0.394884	0.088913	0.231039	0.038056	0.022914	0.045074	0.032838	0.030217	0.251584	0.130137	0.19705	0.028658	0.023681	0.055885	0.033956	0.102833	0.67434	0.0	0.251849
CLCC1	0.020795	0.202999	0.123442	0.112408	0.400587	0.18228	0.0	0.184526	0.083027	0.358677	0.112364	0.085611	0.164209	0.147791	0.133393	0.180306	0.325475	0.324118	0.198958	0.170734
CLCF1	0.384465	0.193724	0.247537	1.0	0.452947	0.203277	0.346166	0.133428	0.198914	0.212941	0.522914	0.236388	0.178711	0.173123	0.358033	0.190496	0.193101	0.365694	0.244317	0.008078
CLEC4E	0.035582	0.027702	0.325125	0.141342	0.0	0.050591	1.0	0.037124	0.022825	0.167008	0.176294	0.033586	0.026895	0.062335	0.100778	0.030925	0.031164	0.075573	0.045486	0.045949
CLIC2	0.0	0.005848	0.129338	0.183413	0.036144	0.053507	0.096563	0.045708	0.016683	0.287392	0.335633	0.596696	0.016934	0.075158	0.017743	0.054156	0.283146	1.0	0.217331	0.183789
CNNM1	0.047335	0.026255	0.03852	0.025657	0.057063	0.100409	0.16369	0.071756	0.074519	0.023964	0.138507	0.155175	0.0	0.075452	0.150789	0.046508	0.003824	0.012755	0.079767	1.0
CNOT1	1.0	0.845212	0.372763	0.073417	0.833803	0.059963	0.173676	0.364006	0.303342	0.204168	0.064624	0.129403	0.360682	0.277788	0.321102	0.559132	0.210185	0.160199	0.788521	0.0
COL4A3	0.319671	1.0	0.082826	0.041947	0.313743	0.25745	0.250329	0.210585	0.135965	0.282741	0.051665	0.047182	0.024757	0.073612	0.022839	0.049311	0.0	0.11199	0.219509	0.504866
CP	0.102629	0.147667	0.056447	0.030213	0.06712	0.155339	0.116144	0.064146	0.034157	0.120873	0.222068	0.056258	0.0	0.022406	0.157253	0.059866	0.069068	0.064058	0.159476	1.0
CRISPLD2	0.033512	0.058632	0.919422	0.219643	0.041239	0.078216	0.68822	0.105564	0.024796	0.2015	0.360717	0.053983	0.084436	1.0	0.114829	0.009242	0.054509	0.051292	0.102703	0.0
CRLF2	0.054028	0.02644	0.185032	0.096575	0.0	0.090473	0.200816	0.077914	0.075367	0.300425	0.07173	0.0462	0.21146	0.534973	0.14894	0.035108	0.104376	1.0	0.197561	0.219973
CSTA	0.003397	0.0	1.0	0.690831	0.081796	0.038298	0.497672	0.025251	0.016334	0.034488	0.146344	0.12552	0.032265	0.004943	0.124834	0.002682	0.340075	0.268451	0.023094	0.000148
CTLA4	0.012399	0.020291	0.023892	0.028118	0.013904	0.032007	0.031516	0.474022	0.112767	0.044129	0.018964	0.021556	0.010238	0.0005	0.0	0.107227	0.010176	0.062638	0.028509	0.012751
CXCL10	0.011002	0.009415	0.082263	0.111558	0.0	0.040614	0.034876	0.022445	0.013814	0.018899	1.0	0.014986	0.01813	0.018727	0.011673	0.026909	0.029852	0.082811	0.023548	0.089523
CXCL9	0.023778	0.019429	0.046248	0.046326	0.009351	0.052069	0.04016	0.020698	0.021512	0.019783	0.959575	0.031536	0.00721	0.0	0.020189	0.026733	0.033086	0.039102	0.038838	0.057489
CYCS	0.196899	0.192338	0.069424	0.047641	0.397956	0.042818	0.0	0.094522	0.214139	0.016589	0.028748	0.04871	0.664971	0.041145	0.043648	0.294401	0.190701	0.077197	1.0	0.03341
CYP2B6	0.181683	0.149971	0.050577	0.047931	0.071224	0.17749	0.172111	0.071977	0.074659	0.039656	0.027429	0.025362	0.044284	0.040294	0.285795	0.091323	0.0	0.089758	0.064075	1.0
CYP4F3	0.006935	0.004724	0.029544	0.013858	0.009289	0.014075	1.0	0.015956	0.005398	0.048598	0.010922	0.000964	0.015426	0.027804	0.047644	0.027011	0.0	0.01243	0.013755	0.056988
CYSLTR1	0.319674	0.366549	0.204653	0.596711	0.204792	0.257162	0.622771	0.314895	0.057358	0.143672	0.231682	0.258639	0.0	0.298946	0.573798	0.065694	0.213772	0.204526	0.032071	0.25694
DEFB1	0.183654	0.161027	0.498562	0.247124	0.0	0.332338	0.42525	0.205901	0.253923	0.251177	1.0	0.19939	0.242366	0.163437	0.181467	0.160559	0.228666	0.308856	0.240259	0.401835
DENND3	0.482506	0.29913	0.34398	0.869215	0.374058	0.308627	0.979124	0.12784	0.113471	0.27488	0.26716	0.154327	0.008556	1.0	0.558415	0.242909	0.187012	0.322149	0.39284	0.0
DPYD	0.189537	0.098951	1.0	0.580609	0.650765	0.369685	0.444774	0.429397	0.254639	0.299492	0.815621	0.972404	0.080541	0.570626	0.115434	0.320664	0.158993	0.296442	0.070094	0.0
DUSP4	0.031202	0.108624	0.028811	0.001926	0.061936	0.080434	0.018081	0.143543	0.110795	0.058012	0.012875	0.013662	0.541745	0.0	0.020316	0.614411	0.016135	0.105321	0.067675	0.040355
DYSF	0.002933	0.0	0.507461	0.252058	0.03137	0.129545	1.0	0.040681	0.045239	0.097828	0.177633	0.126737	0.045147	0.036044	0.025395	0.043806	0.102777	0.051273	0.047527	0.033026
EDN1	0.004234	0.001962	0.03504	0.055733	0.000957	0.01864	0.232636	0.015108	0.003731	0.053463	1.0	0.111404	0.029594	0.029281	0.014401	0.0	0.019392	0.021864	0.032558	0.145922
EIF1	0.318022	0.27642	0.206652	0.613506	0.667554	0.091205	0.125316	0.372523	0.449026	0.261746	0.499874	0.50975	0.066296	1.0	0.169547	0.177732	0.25594	0.449669	0.327576	0.0
ELSPBP1	0.233358	0.175323	0.29291	0.272827	0.107442	0.193768	0.346509	0.226995	0.161783	0.577493	0.068951	0.014074	1.0	0.0	0.244234	0.283277	0.154197	0.088647	0.447097	0.537276
EMILIN2	0.010212	0.011904	0.16447	0.462927	0.043541	0.028281	0.06841	0.056585	0.030902	0.449777	0.745046	0.797179	0.0	1.0	0.015251	7.2e-05	0.057811	0.486312	0.003797	0.161361
ESPL1	0.143073	0.182086	0.15078	0.090332	0.0	0.114891	0.21258	0.136471	0.132337	0.284233	0.277688	0.261878	0.475347	0.11412	0.03796	1.0	0.667634	0.130048	0.21609	0.526349
EVL	0.359718	0.173682	0.088662	0.711952	0.365802	0.403131	0.043604	0.588124	0.577606	0.210456	0.376842	1.0	0.0618	0.517843	0.171268	0.382068	0.10805	0.306548	0.0	0.046902
FARS2	0.649031	0.52619	0.349185	1.0	0.26874	0.61986	0.17175	0.697599	0.541717	0.572801	0.733362	0.605859	0.222724	0.476977	0.0	0.298712	0.899362	0.691417	0.348187	0.520219
FBLN1	0.039721	0.065951	0.058036	0.077514	0.045676	0.019063	0.117221	0.046497	0.029841	0.075666	0.00389	0.0	0.071776	0.001446	0.002937	0.02099	0.057311	0.108204	0.163225	0.726757
FCHO1	0.644941	0.427897	0.279133	1.0	0.133308	0.314061	0.754066	0.629728	0.418472	0.256374	0.390819	0.594661	0.211405	0.310357	0.051781	0.267036	0.266152	0.176443	0.005533	0.328528
FCN1	0.001434	0.000785	0.611221	1.0	0.024583	0.014126	0.089567	0.028284	0.006133	0.053137	0.146147	0.101487	0.002129	0.014631	0.003543	0.000354	0.022522	0.053765	0.006814	0.0
FGFR3	0.01889	0.022553	0.030487	0.0	0.206954	0.072535	0.110214	0.069228	0.070659	0.111079	0.134637	0.130806	0.104312	0.11905	0.343638	0.026231	0.07094	0.157865	0.077655	1.0
FGR	0.071602	0.071475	0.754529	1.0	0.263171	0.192133	0.475245	0.038867	0.054855	0.085444	0.183225	0.177208	0.022219	0.077837	0.359178	0.037896	0.050299	0.188497	0.0	0.011128
FKBP11	0.019356	0.050553	0.018617	0.027663	0.183488	0.146527	0.027444	0.082474	0.134995	0.005649	0.020196	0.015483	0.009325	0.048828	0.0	0.231054	0.078445	0.036446	1.0	0.022016
FLT4	0.798903	0.635018	0.482901	0.38265	0.870708	0.682928	0.661896	0.820882	0.924991	0.752672	0.0	0.070268	0.233191	0.103879	0.391378	0.589043	0.403978	0.381345	0.184009	1.0
FMO5	0.374017	0.198778	0.934668	0.69934	0.1671	0.575324	0.388911	0.245023	0.088802	0.26832	0.41621	0.381257	0.60268	0.928421	0.328474	0.02382	0.24896	0.171747	0.0	0.296388
FST	0.073283	0.084187	0.136483	0.0	0.106111	0.10801	0.137642	0.130458	0.118548	0.092851	0.385	0.3306	1.0	0.037561	0.219635	0.085206	0.110007	0.106208	0.206448	0.5953
FSTL1	0.00815	0.006663	0.009946	0.0	0.00591	0.004708	0.017655	0.007794	0.007695	0.007249	0.008421	0.005869	0.017247	0.002429	0.013445	0.009564	0.04065	0.015101	0.018854	0.014143
FUT3	0.069647	0.051171	0.063852	0.049702	0.040618	0.053944	0.097538	0.042088	0.035278	0.133275	0.018608	0.028788	0.021589	0.0	0.039347	0.037884	0.032223	0.032337	0.123353	1.0
FXYD6	0.109738	0.067316	0.956741	0.409273	0.28753	0.14058	0.170002	0.173525	0.096921	0.724956	0.785428	0.336434	0.070064	0.0	0.034437	0.026432	0.583274	0.219981	0.171469	0.61648
GAS7	0.027151	0.017376	0.193951	0.118269	0.088564	0.05425	0.143451	0.008429	0.010856	0.085081	0.038031	0.061891	0.050208	0.0	0.023814	0.021415	0.019792	0.06307	0.011231	0.027746
GATA2	0.017083	0.016104	0.02839	0.012955	0.012345	0.013064	0.035566	0.014216	0.01661	0.033288	0.002094	0.0	0.08125	1.0	0.041441	0.020314	0.122247	0.00614	0.034234	0.016742
GBP1	0.044229	0.050349	0.154975	0.141866	0.141019	0.132426	0.213343	0.134254	0.176313	0.018328	1.0	0.065858	0.046532	0.024815	0.028825	0.139824	0.04473	0.141938	0.01132	0.0
GCH1	0.226648	0.248025	0.315514	0.344385	0.878176	0.246751	0.157515	0.141446	0.221468	0.000144	0.147846	0.0	0.066712	0.06401	0.064555	1.0	0.256211	0.067426	0.025181	0.025132
GFOD1	0.266096	0.367351	0.259041	0.838405	0.350901	1.0	0.503766	0.121707	0.218837	0.572916	0.376397	0.602078	0.494008	0.20397	0.842412	0.326387	0.460657	0.261348	0.421512	0.096448
GIMAP4	0.00558	0.007082	0.977302	1.0	0.624181	0.82891	0.483009	0.658595	0.607871	0.6958	0.737601	0.29648	0.0	0.023645	0.021589	0.23286	0.090921	0.10768	0.001558	0.01039
GJB1	0.022183	0.040542	0.06806	0.055916	0.016481	0.015581	0.118138	0.021709	0.049092	0.064831	0.029317	0.037726	0.031739	0.0	0.036729	0.02976	0.084483	0.026421	0.077094	1.0
GLRA1	0.238385	0.265375	0.354178	0.716514	0.136225	0.672401	0.938666	0.498088	0.283355	1.0	0.0	0.014021	0.656019	0.328108	0.848718	0.35175	0.042579	0.323089	0.314247	0.644549
GLRX2	0.0	0.174307	0.291256	0.294887	0.080744	0.185767	0.24491	0.110137	0.131746	0.119133	0.232609	0.219549	0.491877	0.105453	0.136066	1.0	0.510966	0.265785	0.349897	0.025508
GP5	0.015654	0.011398	0.033187	0.034644	0.088506	0.070559	0.074394	0.102356	0.075923	0.096087	0.037165	0.025686	0.060793	0.06243	0.101644	0.009806	0.034711	0.048961	0.0	1.0
GPNMB	0.001615	0.002857	0.007733	0.004154	0.0	0.003455	0.003638	0.002113	0.001019	1.0	0.545687	0.59369	0.022316	0.001575	0.012181	0.002016	0.005872	0.030365	0.01471	0.025735
HAGH	0.002489	0.132624	0.194676	1.0	0.219301	0.149697	0.024916	0.349895	0.225836	0.685298	0.584708	0.57782	0.034328	0.481008	0.048355	0.262833	0.449753	0.505733	0.207467	0.531367
HAVCR1	0.172434	0.10741	0.101344	0.091996	0.68989	0.666811	0.249884	0.294419	0.186831	0.305016	0.014395	0.002709	0.140389	0.117151	0.165403	0.272066	0.0	0.146204	0.113288	1.0
HBD	0.012086	0.010567	0.014131	0.032133	0.014385	0.020217	0.044574	0.019204	0.017257	0.016834	0.006303	0.006098	0.06974	0.058182	0.01725	0.009011	1.0	0.012637	0.079459	0.015778
HCK	0.017783	0.059202	0.722646	1.0	0.029296	0.042998	0.505054	0.036025	0.002128	0.112007	0.525847	0.397466	0.021821	0.025863	0.309637	0.0	0.070923	0.354981	0.006144	0.018115
HDC	0.003732	0.001984	0.006158	0.002431	0.00154	0.004765	0.010308	0.004082	0.003994	0.019706	0.0	0.000582	0.138927	1.0	0.01094	0.004069	0.02805	0.002289	0.006734	0.00576
HGD	0.018341	0.028167	0.061674	0.072466	0.01702	0.05111	0.091433	0.051245	0.050227	0.085265	0.044116	0.047752	0.09189	0.131163	0.048113	0.02021	0.035237	0.079297	0.008553	1.0
HIST1H2BC	0.466897	0.122513	0.033036	0.203653	0.187231	0.043656	1.0	0.071013	0.03785	0.068056	0.082686	0.0	0.031278	0.162751	0.143572	0.023064	0.028797	0.07153	0.237351	0.085464
HOMER2	0.085439	0.056875	0.04014	0.005954	0.110805	0.43891	0.089554	0.074506	0.02638	0.116436	0.0	0.996034	0.290622	0.095732	0.160527	0.02006	0.070753	1.0	0.371677	0.331883
HOXA2	0.050618	0.028211	0.035364	0.101746	0.187958	0.095007	0.116702	0.065484	0.033719	0.087358	0.063359	0.074684	0.030199	0.173213	0.135666	0.040401	0.039198	0.080894	0.0	1.0
HPSE	0.018659	0.020874	0.826844	0.499784	0.029207	0.095355	1.0	0.166722	0.053042	0.140761	0.19729	0.089878	0.057986	0.017626	0.0	0.124358	0.093283	0.054311	0.004651	0.037961
HTRA1	0.021963	0.005238	0.217752	0.011122	0.038938	0.068882	0.09772	0.06098	0.035313	1.0	0.168388	0.147291	0.118604	0.0	0.010008	0.031143	0.107535	0.055498	0.133381	0.131978
ICOS	0.006769	0.017466	0.033212	0.049222	0.032394	0.094223	0.040861	1.0	0.473557	0.059162	0.05865	0.040349	0.016998	0.076963	0.017929	0.756868	0.020484	0.059156	0.0	0.110635
IFI27	0.007515	0.012221	0.015023	0.01863	0.023777	0.014785	0.021312	0.033923	0.025463	0.026307	0.866245	0.035891	0.035424	0.0	0.003983	0.007087	0.07832	0.054445	0.096531	0.188829
