Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells
CD1C	0.050749	1.0	0.121592	0.001754	0.004037	0.001441	0.012172	0.0	0.129543
CD1D	1.0	0.860133	0.101033	0.0	0.002771	0.000244	0.017783	0.021847	0.072719
CD2	0.0	0.127891	0.023607	0.012327	1.0	0.604856	0.185048	0.012441	0.006355
CD200	0.006828	0.009665	0.012522	0.004202	0.007992	0.013136	0.0	0.009211	1.0
CD207	0.018765	1.0	0.625732	0.006244	0.011945	0.019313	0.0	0.012385	0.027449
CD22	0.018171	0.093291	0.111022	0.061022	0.001147	0.020742	0.0	0.038466	1.0
CD24	0.004552	0.033573	0.023641	0.012211	0.030728	0.081139	0.0	0.17842	1.0
CD247	0.001413	0.0	0.000304	0.01691	0.338475	0.095213	1.0	0.011847	0.001939
CD27	0.005371	0.004166	0.001399	0.0	1.0	0.20585	0.004944	0.012997	0.097599
CD300LF	1.0	0.71995	0.230073	0.136417	0.003364	0.00556	0.0	0.93872	0.012778
CD33	0.817121	1.0	0.341812	0.010552	0.0	0.006353	0.007055	0.087232	0.012327
CD36	1.0	0.259196	0.086762	0.628553	0.001396	0.0	0.008106	0.018845	0.004302
CD3D	0.007287	0.002198	0.00147	0.0	0.732311	1.0	0.024329	0.025866	0.037108
CD3E	0.008217	0.0	0.00056	0.002676	0.56048	0.113963	0.017003	0.020673	0.010199
CD3G	0.010425	0.000624	0.0	0.000567	0.74112	1.0	0.05594	0.031249	0.037955
CD79A	0.014714	0.03309	0.023286	0.031655	0.006666	0.024022	0.0	0.019436	1.0
CD79B	0.015929	0.054326	0.010299	0.012377	0.04216	0.01566	0.031189	0.0	1.0
CD8A	0.005188	0.001277	0.002255	0.0	0.003541	1.0	0.153426	0.018768	0.010156
CD8B	0.027842	0.001628	0.001724	0.0	0.012153	1.0	0.014077	0.068448	0.079767
CD96	0.001999	0.000239	0.0	0.0	0.13102	0.15468	0.12796	0.003915	0.024112
CDA	0.53302	0.001637	0.004734	0.005746	0.004966	0.004853	0.0	1.0	0.010926
CEACAM8	0.015335	0.002844	0.006906	0.0	0.539614	1.0	0.009749	0.436935	0.007718
CENPK	0.001143	0.031175	0.025392	0.064558	1.0	0.304245	0.18705	0.0	0.049049
CEP78	0.006646	0.048483	0.068371	0.103906	0.056118	0.115163	1.0	0.0	0.0031
CFP	0.933218	1.0	0.340253	0.026921	0.025934	0.001797	0.007467	0.554401	0.0
CHI3L1	0.006528	0.003542	0.004292	0.002157	0.004754	0.00694	0.0	1.0	0.001998
CHN2	0.325526	0.675739	1.0	0.031769	0.00607	0.10754	0.327195	0.002428	0.0
CLC	0.006729	0.002735	0.002357	0.099443	0.042713	0.025348	0.0	1.0	0.016165
CLEC10A	0.043795	1.0	0.254716	0.046019	0.001569	0.0	0.0238	0.004553	0.003774
CLEC2D	0.0	0.022993	0.010567	0.023604	0.520928	1.0	0.074427	0.017371	0.875477
CLEC4A	1.0	0.254619	0.117675	0.078132	0.003374	0.0	0.01356	0.82502	0.062939
CLEC4C	0.000843	0.003805	0.136283	1.0	0.002169	0.0	0.001431	0.019112	0.003546
CLIC2	0.067619	1.0	0.966958	0.080009	0.003669	0.001416	0.011329	0.01232	0.0
CLIC3	0.0	0.005477	0.081801	1.0	0.013019	0.021775	0.797929	0.003357	0.000106
CLLU1	0.001728	0.012612	0.002246	0.068072	0.00022	0.00412	0.0	0.00546	1.0
CMTM2	0.074017	0.00023	0.0	0.0	0.001638	0.001959	0.000561	1.0	0.004032
CNTNAP3	0.012597	0.0	0.002067	0.002584	0.010853	0.014908	0.010078	1.0	0.013178
COCH	0.025911	0.007866	0.004002	0.003864	0.007176	0.020935	0.0	0.017775	1.0
COIL	0.287677	0.0	0.002631	0.016914	0.160631	1.0	0.576105	0.033151	0.773528
COL24A1	0.00349	0.002377	0.03437	1.0	0.0	0.002206	0.016287	0.004158	0.011836
CPNE5	0.057003	0.012528	0.024555	0.0	0.02533	0.048764	0.004009	0.049411	1.0
CPVL	0.53906	0.625508	1.0	0.054323	0.006274	0.0	0.016205	0.006214	0.010969
CR2	0.020408	0.212245	0.008905	0.005937	0.122921	0.091566	0.0	0.033544	1.0
CREB5	0.190473	0.138854	0.01279	0.00351	0.0	0.001469	0.001496	1.0	0.002065
CRISP3	0.025948	0.037481	0.057662	0.040364	0.738341	1.0	0.0	0.472255	0.038922
CRISPLD2	0.328971	0.0	0.000422	0.0022	0.007487	0.008366	0.00877	1.0	0.005424
CRTAM	0.376278	0.151598	0.310017	0.0	0.058939	1.0	0.452014	0.016575	0.005053
CSF3R	0.16321	0.062279	0.01137	0.002388	0.0	0.000349	0.000774	1.0	2.7e-05
CST3	0.907193	0.817688	0.921176	0.341231	0.014619	0.0	0.053523	0.082886	0.004663
CST7	0.006046	0.074725	0.040825	0.0	0.047164	0.55648	1.0	0.246665	0.00986
CSTA	1.0	0.500791	0.118476	0.002805	0.017826	0.0	0.02169	0.329905	0.037049
CTNND1	0.276871	1.0	0.566393	0.207147	0.02969	0.0288	0.025735	0.0	0.034885
CTSW	0.007877	0.041341	0.0	0.005748	0.110242	0.96148	0.875354	0.018503	0.041502
CUX2	0.002361	0.005257	0.043909	1.0	0.001358	0.000934	0.002231	0.0	0.009235
CXCL1	0.033639	0.0034	0.005057	0.001371	0.001402	0.003718	0.004857	1.0	0.005914
CXCL10	0.396797	1.0	0.470844	0.026137	0.011554	0.025019	0.0	0.018739	0.043876
CXCL11	0.085032	1.0	0.262382	0.017815	0.0	0.0148	0.017031	0.014366	0.009193
CXCL9	0.051527	1.0	0.738821	0.033942	0.013358	0.020294	0.006993	0.020919	0.031557
CXCR2	0.026357	0.003241	0.00293	0.002942	0.0	0.001146	0.008184	1.0	0.000453
CYBB	1.0	0.118118	0.040084	0.345828	0.001831	0.0	0.012186	0.111069	0.270254
CYFIP1	0.53831	1.0	0.809011	0.266046	0.043405	0.009001	0.022018	0.0	0.014067
CYP1B1	1.0	0.0	0.001057	0.001616	0.005447	0.010565	0.014232	0.067022	0.011871
CYP4F3	0.008523	0.004736	0.000208	0.0	0.003033	0.005169	0.000208	1.0	0.001067
CYYR1	0.017228	0.010695	0.348566	1.0	0.018363	0.044538	0.0	0.012543	0.040107
DEFA4	0.036199	0.027727	0.021345	0.016064	0.420799	1.0	0.0	0.528344	0.04247
DMD	0.0	0.078258	1.0	0.174032	0.002936	0.001075	0.012052	0.009738	0.052547
DPP4	0.00431	0.074138	1.0	0.709483	0.457837	0.084947	0.024713	0.014828	0.0
DPYSL2	0.516625	0.980428	1.0	0.876933	0.071161	0.007621	0.041341	0.0	0.015059
DSE	0.266735	0.755174	1.0	0.315444	0.010874	0.017188	0.0	0.223565	0.064705
DSP	0.016626	0.007255	0.295848	0.008464	0.002968	0.04474	0.0	0.020073	1.0
DST	0.069126	0.621979	1.0	0.407744	0.017584	0.002951	0.073117	0.00037	0.0
DUSP6	1.0	0.083864	0.063382	0.124522	0.014731	0.00195	0.087428	0.760913	0.0
EBF1	0.004284	0.01797	0.001297	0.001389	0.001423	0.009227	0.0	0.002242	1.0
EGR3	0.046126	0.036222	0.02548	0.001719	0.003875	0.004892	0.0	1.0	0.007777
EHF	0.007858	0.490656	1.0	0.009155	0.000767	0.0	0.001239	0.011666	0.002331
EMILIN2	0.746146	1.0	0.434071	0.278087	0.034536	0.002814	0.015807	0.081832	0.0
EMP1	0.187025	1.0	0.343572	0.098258	0.0	0.015598	0.033345	0.01786	0.006754
ENC1	0.037766	0.008333	0.005578	0.0	0.004741	0.074705	1.0	0.162839	0.009139
ENPP1	0.003658	0.009892	1.0	0.002336	0.0	0.002801	0.013166	0.00294	0.004602
ENPP2	0.007298	0.58237	0.711721	1.0	0.013165	0.006314	0.0	0.009262	0.001022
EOMES	0.003354	0.0	0.000711	0.00231	0.085796	0.672262	1.0	0.014216	0.008618
EPB41L3	0.919432	1.0	0.442437	0.035957	0.027003	0.000834	0.000699	0.0	0.002448
EPHA2	0.004119	0.012628	0.111255	1.0	0.000784	0.0	0.004238	0.022665	0.011362
EPHA4	0.029967	0.008451	0.0	0.110728	0.399981	1.0	0.352363	0.046499	0.122973
EPPK1	0.029529	0.0	0.012619	0.015143	1.0	0.077813	0.007572	0.047247	0.04543
EREG	0.724173	1.0	0.149114	0.010364	0.002097	0.003781	0.127048	0.342828	0.0
ETS1	0.0	0.001288	0.00226	0.043885	0.381542	0.097437	0.126205	0.02009	0.018884
F13A1	1.0	0.423097	0.0	0.163247	0.010772	0.015241	0.00233	0.160364	0.043399
FAM102A	0.0	0.019015	0.077931	0.017405	1.0	0.46172	0.020246	0.038035	0.059034
FAM129C	0.003544	0.008093	0.041218	1.0	0.0	0.001245	0.009866	0.007421	0.232322
FAM135A	0.124619	0.483334	1.0	0.190897	0.069652	0.02374	0.026115	0.0	0.038421
FAM198B	1.0	0.155759	0.039844	0.031135	0.000826	0.001787	0.002567	0.018075	0.0
FAM20B	0.005269	0.002168	0.001901	0.00183	0.001569	0.021827	0.0	0.002086	1.0
FBN2	1.0	0.134509	0.013943	0.0	0.004325	0.019432	0.009022	0.060201	0.025015
FBXL16	0.06215	0.008627	0.009008	0.0	1.0	0.106296	0.007549	0.021111	0.052206
FCER1A	0.083519	1.0	0.058547	0.25336	0.028146	0.0	0.028769	0.023819	0.000613
FCER1G	0.985105	0.050823	0.013772	0.060202	0.018048	0.0	0.122813	0.438721	0.073502
FCER2	0.112293	0.040111	0.00242	0.011757	0.026971	0.051069	0.0	0.024066	1.0
FCGR2A	0.261037	0.081136	0.005617	0.000504	0.0	0.000658	0.006436	1.0	0.005421
FCGR2B	0.076017	0.331109	0.025249	0.003172	0.0	0.011527	0.015252	0.560675	1.0
FCGR3B	0.063214	0.002791	0.001884	0.003343	0.001484	0.007067	0.009506	1.0	0.005971
FCN1	0.730841	0.272893	0.008494	0.0	0.014784	0.00297	0.013887	0.150184	0.015459
FCRL1	0.002707	0.020081	0.001203	0.0	0.001817	0.012002	0.002499	0.006774	1.0
FCRL3	0.0024	0.008534	0.010668	0.00128	0.019435	0.047562	0.063153	0.0	0.432682
FCRLA	0.000451	0.002971	0.00116	0.037069	0.0	0.001087	0.00116	0.001065	1.0
FFAR2	0.101048	0.001816	0.002141	0.000879	0.0	0.001323	0.001239	1.0	0.005351
FGFBP2	0.000584	0.000581	0.000774	0.0	0.005568	0.226275	1.0	0.006011	0.003705
FKBP1B	0.036482	0.126865	1.0	0.001466	0.00033	0.003634	0.039398	0.005546	0.0
FLT3	0.022611	0.546566	1.0	0.307091	0.000432	0.0	0.005171	0.001488	0.001185
FMNL2	0.119833	0.268757	1.0	0.372684	0.012369	0.012978	0.0	0.017261	0.011663
FPR2	0.158734	0.00043	0.000292	0.0	0.001541	0.001977	0.001796	1.0	0.003131
FPR3	0.190467	1.0	0.468143	0.014022	0.033121	0.051452	0.0	0.036261	0.084379
FZD2	0.329897	1.0	0.682692	0.265971	0.003911	0.0	0.01972	0.0	0.01369
G0S2	0.103311	0.09434	0.048601	0.004978	0.00258	0.003567	0.035784	1.0	0.002893
GATA3	0.004068	0.000742	0.000757	0.0	0.629363	0.289759	1.0	0.011617	0.008863
GEM	0.048114	1.0	0.863274	0.118034	0.060575	0.076071	0.036691	0.070128	0.058498
GIMAP1	0.296953	0.036697	0.010631	0.0	0.814159	0.131642	0.04737	0.001242	0.00017
GIMAP4	0.972443	0.022793	0.004658	0.0	1.0	0.564215	0.095705	0.877202	0.064742
GIMAP5	0.18786	0.00603	0.00384	0.0	1.0	0.545206	0.042526	0.023446	0.061472
GIMAP6	0.432477	0.029954	0.007096	0.0	1.0	0.504843	0.136079	0.017131	0.006989
GIMAP7	0.325629	0.013046	0.005549	0.0	1.0	0.595112	0.185617	0.01672	0.025152
GIMAP8	1.0	0.050621	0.01599	0.16734	0.713537	0.24656	0.012313	0.092093	0.0
GK	0.06057	0.06919	0.031179	0.007729	0.003214	0.0	0.001552	1.0	0.001993
GNAL	0.012949	0.0	0.006933	0.002447	0.003411	0.03156	1.0	0.008483	0.023654
GNLY	0.003737	0.000987	0.000414	0.0	0.016397	0.36029	1.0	0.008598	0.031677
GPM6B	0.0	0.009376	0.146418	1.0	0.023285	0.008905	0.000327	0.000808	0.001373
GPR171	0.0	0.113753	0.141213	0.109144	1.0	0.802693	0.068242	0.038094	0.013322
GPR18	0.0	0.054205	0.110701	0.17674	0.190356	0.266498	0.15796	0.0071	1.0
GPRASP1	0.014844	0.003776	0.0	0.064583	1.0	0.626082	0.26276	0.018281	0.133594
GRIP1	0.019105	1.0	0.158626	0.068699	0.039157	0.005166	0.068699	0.005095	0.0
GZMA	0.002781	0.002312	0.002163	0.0	0.243862	0.562188	1.0	0.019859	0.023251
GZMB	0.0	0.001402	0.11927	1.0	0.007537	0.093302	0.561786	0.00298	0.004057
GZMH	0.001188	0.001222	0.0	0.005886	0.011556	0.351524	1.0	0.008859	0.010774
GZMK	0.00975	0.001379	0.001818	0.0	0.382287	1.0	0.401881	0.034335	0.020472
GZMM	0.00014	0.005456	0.007175	0.009043	0.063716	0.029871	1.0	0.00704	0.0
HBEGF	0.48708	1.0	0.042091	0.024932	0.022491	0.0314	0.150449	0.110588	0.051025
HK3	0.551216	0.063122	0.02168	0.020684	0.011058	0.01069	0.0	0.229357	0.005125
HLA-DOB	0.0	0.370033	1.0	0.059525	0.004428	0.012672	0.002201	0.002878	0.864172
HLA-DPB2	0.010661	0.748428	1.0	0.366469	0.00164	0.005383	0.006651	0.0	0.048929
HLA-DQA1	0.024815	1.0	0.56423	0.208899	0.001562	0.001283	0.01289	0.0	0.149576
HLA-DQB1	0.200052	1.0	0.797617	0.345499	0.0	0.019602	0.019877	0.004573	0.247323
HLA-DQB2	0.024054	1.0	0.882571	0.048428	0.006552	0.009731	0.010797	0.015257	0.041017
HMOX1	1.0	0.102671	0.12174	0.0	0.021199	0.019247	0.061299	0.152502	0.031276
HNMT	1.0	0.109213	0.013983	0.0	0.005662	0.002787	0.00233	0.011949	0.020656
HOPX	0.003842	0.003875	0.002511	0.0	0.119198	0.186235	1.0	0.015317	0.084787
HOXA9	0.016104	0.427428	1.0	0.171379	0.0	0.021757	0.160534	0.002126	0.013485
HS3ST3B1	0.0	0.023802	0.110477	1.0	0.317789	0.10506	0.098519	0.070504	0.000342
ICOS	0.013979	0.017424	0.01479	0.0	1.0	0.459872	0.040925	0.069776	0.031606
ID3	0.016544	0.347426	0.101593	0.004902	0.213035	0.3	0.0	0.023824	1.0
IDO1	0.008358	0.286865	1.0	0.004237	0.003277	0.003761	0.003786	0.054254	0.002197
IDO2	0.005517	0.294857	1.0	0.005277	0.001684	0.0042	0.0	0.003358	0.006813
IFNG	0.011416	0.0	0.00843	0.000878	0.043315	0.848329	1.0	0.016473	0.010362
IGFBP3	0.008295	0.0	0.053172	1.0	0.112642	0.174089	0.036853	0.014763	0.014374
IKZF3	0.006704	0.003028	0.0	0.004325	0.072114	0.42148	0.024654	0.010208	1.0
IL18	0.17543	1.0	0.640468	0.184462	0.0	0.00272	0.226059	0.012527	0.000692
IL1R2	0.017841	0.37557	0.075116	0.001975	0.000471	0.000613	0.0	1.0	0.000341
IL22RA2	0.011597	0.785181	1.0	0.055417	0.005632	0.011687	0.0	0.014259	0.017902
IL2RB	0.007079	0.001222	0.000446	0.0	0.153617	0.254404	1.0	0.02241	0.020471
IL32	0.006098	0.001919	0.000462	0.0	0.880132	0.281279	0.040147	0.025765	0.010001
IL3RA	0.020548	0.022394	0.062856	1.0	0.0	0.003102	0.001967	0.031191	0.046737
IL7	0.027577	0.263809	0.090398	0.017341	0.055877	0.05847	0.007707	0.0	1.0
IL7R	0.0	0.045559	0.029572	0.003987	1.0	0.415543	0.034831	0.031154	0.009876
INSR	0.253455	1.0	0.939434	0.62352	0.005334	0.0	0.022266	0.020141	0.0227
ITGA6	0.003923	0.0	0.035245	0.001715	1.0	0.225757	0.170565	0.113607	0.001544
ITK	0.002804	0.000263	6.6e-05	0.0	1.0	0.616188	0.350617	0.017099	0.006881
ITM2A	0.003188	0.0	0.00064	0.016788	1.0	0.614837	0.474378	0.037093	0.104725
ITM2C	0.0	0.081449	0.152202	1.0	0.015088	0.019206	0.003191	0.008573	0.019763
ITPRIPL2	0.40064	1.0	0.859407	0.294041	0.005491	0.005895	0.0	0.0001	0.010546
KANK1	0.017456	0.022729	0.041391	1.0	0.203159	0.024958	0.01317	0.0	0.050798
KCND3	0.034879	0.02867	1.0	0.022064	0.019133	0.032714	0.019421	0.032739	0.043995
KCNJ15	0.033184	0.0	0.002922	0.000473	0.004466	0.00944	0.00206	1.0	0.014
KCNJ2	0.104688	0.024788	0.026437	0.0	0.003349	0.011963	0.000711	1.0	0.016385
KCNK17	0.020784	0.053501	0.115919	1.0	0.016236	0.019871	0.015561	0.009599	0.020194
KCTD12	1.0	0.922484	0.891298	0.454695	0.03846	0.005554	0.008072	0.151562	0.0
KIAA1324	0.022626	0.001191	0.003992	0.0	0.03363	0.017193	0.004636	1.0	0.009176
KIF16B	0.091954	0.248798	1.0	0.092904	0.155269	0.038867	0.048603	0.0	0.011898
KIF21A	0.004787	0.018824	0.020439	0.006302	0.431102	1.0	0.825901	0.0	0.017208
KIT	0.00427	0.357905	1.0	0.04667	0.011342	0.04606	0.227656	0.138302	0.008236
KLF4	1.0	0.552236	0.282197	0.134286	0.007865	0.001353	0.054008	0.095308	0.0
KLRB1	0.005349	0.000777	0.000472	0.0	0.472537	0.691142	1.0	0.024777	0.033469
KLRC3	0.000711	0.000583	0.000292	0.000583	0.0	0.275268	1.0	0.001399	0.003717
KLRC4	0.000701	0.0	0.0	0.001274	0.001691	0.814609	0.3922	0.005556	0.001274
KLRD1	0.006049	0.000313	0.000439	0.0	0.012914	0.747319	1.0	0.008475	0.04197
KLRF1	0.000704	0.003491	0.002126	0.00911	0.0	0.11114	1.0	0.002489	0.008069
KLRG1	0.021898	0.007144	0.017208	0.0	0.321436	1.0	0.137106	0.012077	0.061502
KLRK1	0.008432	0.003913	0.0	0.010801	0.018742	0.93919	1.0	0.024071	0.037694
KRT23	0.016866	0.00296	0.00283	0.002277	0.002206	0.004259	0.0	1.0	0.005009
KRT5	0.015595	0.008136	0.130398	1.0	0.009804	0.022241	0.009849	0.013175	0.015916
LAMP3	0.002598	1.0	0.683126	0.059047	0.015943	0.008061	0.0	0.022715	0.004518
LBH	0.0	0.011763	0.001058	0.06731	1.0	0.525859	0.33063	0.01912	0.773652
LCK	0.003847	0.002362	0.000371	0.0	1.0	0.44629	0.220647	0.023546	0.0247
LDLRAP1	0.030801	0.036538	0.013396	0.0	0.748535	0.177155	0.059952	0.020905	0.012658
LGALS2	0.468629	0.988494	1.0	0.020881	0.005222	0.0	0.008076	0.00694	0.009906
LGMN	0.008083	0.376519	0.868881	1.0	0.029495	0.005123	0.016484	0.0	0.010166
LILRA4	0.0061	0.013795	0.148041	1.0	0.00668	0.005838	0.0	0.011739	0.032193
LPAR6	0.921291	0.219384	0.056353	0.0	1.0	0.407402	0.074925	0.024129	0.034598
LRRN3	0.018541	0.00733	0.005252	0.007099	1.0	0.648322	0.0	0.024437	0.043518
LTF	0.046646	0.0	0.710277	0.008401	0.698915	0.909139	0.006301	0.456621	0.018203
LY86	0.840918	1.0	0.995447	0.054855	0.007172	0.005813	0.0124	0.0	0.846776
LYRM2	0.479101	0.003459	0.0	0.009554	0.251269	0.786298	0.500988	0.035019	1.0
MAFB	1.0	0.172992	0.056086	0.00193	0.008329	0.006513	0.059251	0.121162	0.0
MAFF	0.022493	0.193101	0.201107	0.004241	0.011671	0.031504	1.0	0.236232	0.0
MAK	0.02661	0.010879	0.003091	0.00445	0.005192	0.006904	0.000989	1.0	0.0
MAL	0.005042	0.002012	0.000958	0.009341	1.0	0.115344	0.0	0.012522	0.010107
MANSC1	0.02473	0.001786	0.001042	0.0	0.011043	0.002199	0.001116	1.0	0.00268
METTL8	0.04115	0.095775	0.104568	0.234591	0.124481	0.047288	0.11435	0.0	1.0
MFHAS1	0.06364	0.050722	0.049295	0.0	1.0	0.108979	0.564281	0.031828	0.017753
MGAM	0.014869	0.001404	0.000558	0.000832	0.0	0.000973	0.064365	1.0	0.000434
MGST1	1.0	0.131932	0.158114	0.102991	0.013699	0.022781	0.0	0.008546	0.036452
MME	0.023337	0.005306	0.009458	0.048837	0.009456	0.013779	0.004152	1.0	0.018916
MMP12	0.009169	1.0	0.816992	0.0	0.003351	0.011795	0.004607	0.003833	0.014007
MPHOSPH6	0.131543	0.202674	0.108266	0.018189	0.002835	0.718753	0.698532	0.0	0.011693
MS4A1	0.004581	0.027026	0.00018	0.0	0.003948	0.049913	0.001651	0.004005	1.0
MS4A6A	1.0	0.478626	0.234974	0.659978	0.012501	0.001255	0.0	0.153468	0.02946
MS4A7	1.0	0.540554	0.255227	0.033554	0.021539	0.01348	0.0	0.023922	0.034114
MXD1	0.073594	0.030204	0.015419	0.019266	0.00458	0.00588	0.033538	1.0	0.0
MYBL1	0.001336	0.008483	0.008035	0.0	0.191977	0.258305	1.0	0.009723	0.000693
MYC	0.103298	0.016656	0.055169	0.0	1.0	0.349694	0.114939	0.016638	0.173835
MYOF	0.719303	1.0	0.69975	0.361412	0.019983	0.01363	0.0	0.005597	0.027894
NAP1L5	0.001073	0.044355	0.025898	0.095293	0.069382	0.069538	1.0	0.021462	0.0
NAPSB	0.076531	0.580236	1.0	0.60766	0.000812	0.0	0.007716	0.000259	0.099054
NAV1	0.042562	0.591124	1.0	0.065314	0.019037	0.022175	0.0	0.009399	0.050566
NCALD	0.007675	0.064483	1.0	0.0	0.149717	0.18354	0.518067	0.012103	0.017039
NCAM1	0.003928	0.001451	0.033378	0.006772	0.0	0.012376	1.0	0.002662	0.008057
NELL2	0.006023	0.000748	0.003085	0.0	0.894747	1.0	0.053042	0.024146	0.015021
NFE2	0.389945	0.015722	0.002542	0.003403	0.001504	0.002265	0.0	1.0	0.006218
