TissueNames	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
ADRA1D	0.007352	7.8e-05	0.023117	0.266434	0.00405	0.0	0.077139	0.0	0.01219	0.029877	0.023428	0.0	1.0	0.061063	0.006418	0.0	0.0	0.26335	0.093246	0.371737	0.002804	0.058259	0.573291	0.061063	0.0	0.0	0.022369	0.163437
ADRA2A	0.0	0.000256	0.056647	0.002024	0.017544	0.022604	0.049893	0.429402	0.002191	0.0	0.211004	0.004321	0.0	0.0	0.032474	0.011632	0.0	0.0	0.030677	0.106336	0.031018	0.004071	0.0	0.058933	0.0	0.0	0.003275	0.054896
ADRA2C	0.0	0.007359	0.002511	0.033472	0.002733	0.003386	0.007719	0.006148	0.001548	0.009577	0.033945	0.0	1.0	0.019433	0.0	0.011205	0.007095	0.003149	0.007382	0.004096	0.000323	0.008164	0.002748	0.156271	0.005065	0.002044	0.004146	0.055316
ADRB1	0.027265	0.146298	0.002881	0.0	0.012617	0.360496	0.022571	0.0	1.0	0.08442	0.001921	0.110297	0.0	0.007061	0.0	0.0	0.0	0.011292	0.0	0.0	0.0	0.014044	0.161953	0.0	0.0	0.0	0.002289	0.0
AFP	0.07215	0.027887	0.13133	0.024832	0.0	0.009972	0.0	0.004953	0.00019	0.0	0.147081	0.0	0.13511	0.0	0.041257	0.0	0.0	0.446979	0.139847	0.009842	0.0	0.158965	0.0	0.042495	0.267418	0.005312	0.065176	0.009646
AIM1	0.738598	0.468883	0.0	0.066471	0.187282	0.281346	0.304737	0.020434	0.16443	0.684543	0.080467	0.51801	0.18338	0.025389	1.0	0.116703	0.408141	0.092373	0.059458	0.379462	0.236824	0.069889	0.254365	0.021611	0.880942	0.004952	0.110103	0.086252
AIM1L	1.0	0.411135	0.261455	0.001614	0.002665	0.0	0.001314	0.0	0.005141	0.060376	0.0	0.000418	0.0	0.112963	0.0	0.0	0.0	0.014357	8e-05	0.0	0.0	0.072493	0.0	0.0	0.0	0.0	0.004577	0.0
AIM2	0.0	0.0	0.001533	0.00905	0.0	0.0	0.0	0.0	0.0	0.005093	0.0	0.048083	0.105763	0.0	0.060788	0.009378	0.0	0.0	0.000835	0.000767	0.002916	0.006134	0.0	0.0	0.0	0.009365	0.002944	0.002026
AJAP1	0.04963	0.203029	0.004678	0.071719	0.0	0.0	0.052605	0.0	0.001634	0.689761	0.016099	0.0	0.0	0.040336	0.0	0.024103	0.0	0.034419	0.00236	0.012764	0.003067	0.094583	0.056787	0.0	0.0	0.008907	0.0	0.011834
AKR1B10	1.0	0.304538	0.0	0.005741	0.006027	0.001217	0.0	0.016452	0.001055	0.018563	0.08684	0.0	0.011991	0.0	0.014679	0.019983	0.020301	0.005296	0.094195	0.001916	0.008015	0.0	0.017104	0.020285	0.036327	0.001789	0.023847	0.001829
AKR1C1	0.126654	0.195919	0.001291	0.019467	0.022021	0.009744	0.000819	0.446077	0.078901	0.078911	0.486051	0.005592	0.020777	0.001733	1.0	0.253993	0.005481	0.070213	0.449406	0.126659	0.006247	0.002785	0.001467	0.162476	0.479805	0.002756	0.01271	0.01492
ALDH1A1	0.001721	0.014149	9.6e-05	0.001067	0.194891	0.097269	0.041023	2e-05	1.0	0.0	0.004861	0.003387	0.340139	0.000943	0.00019	7e-05	0.069895	0.000113	0.052117	8.6e-05	0.037009	0.000655	0.033434	0.916639	0.006698	0.008406	0.040224	0.169347
ALDH1L1	0.094923	0.154043	0.009916	0.013832	0.0	0.0	0.0	0.0	0.000154	0.008165	1.0	0.0	0.07805	0.016552	0.0	0.0	0.0	0.014262	0.012238	0.00058	0.000466	0.006496	0.0	0.00229	0.0	0.003564	0.000922	0.033078
ALDH3A1	1.0	0.54894	0.000973	0.0	0.038073	0.008009	0.000999	0.0996	0.008298	0.05049	0.022071	0.0	0.0	0.005585	0.000895	0.0	0.006645	0.0	0.025791	0.134485	0.021252	0.027119	0.014537	0.036327	0.003735	0.005898	0.022342	0.0
ALOX15B	1.0	0.537163	0.003662	0.0	0.0	0.0	0.0	0.000963	0.0	0.947472	0.011565	0.0005	0.011434	0.002062	0.014756	0.0	0.0	0.0	0.001418	0.0	0.0	0.011071	0.0	0.362358	0.028905	0.000451	0.0	0.0
ALOX5AP	0.000256	0.001398	0.001118	0.002448	0.000213	0.000341	0.000318	0.0	0.000522	0.006167	0.000837	0.061701	0.0	0.107041	0.0	6.5e-05	0.0	0.000838	0.001079	9.3e-05	2.8e-05	0.002768	0.003215	0.016747	0.000265	0.0	0.001378	0.000233
ALPK2	0.001136	0.050616	0.398954	0.04955	0.0	0.000274	0.016945	0.073755	0.000299	0.000319	0.043679	0.008498	0.028121	0.025149	0.005713	0.688874	0.0	0.007989	0.053792	1.0	0.0	0.013389	0.001245	0.111312	0.010931	0.001104	0.164235	0.508535
ALPK3	0.008553	0.139383	0.004132	0.013018	0.216186	1.0	0.933198	0.013731	0.526954	0.002053	0.025856	0.000423	0.005858	0.648731	0.000661	0.002858	0.154546	0.01828	0.045099	0.001546	0.262979	0.369725	0.23052	0.529962	0.024138	0.001302	0.007857	0.009297
ALPL	0.000238	0.004355	0.0	0.007814	0.000334	0.000801	0.013744	0.038711	0.001033	0.0	0.205048	0.000383	0.016819	0.01839	0.016682	0.025181	0.000839	0.041745	0.013713	0.032437	0.0	0.001238	0.001059	0.893645	0.02915	0.000915	0.0	0.004287
ALS2CR11	0.037812	0.036735	0.0557	0.113672	0.022999	0.003739	0.081066	0.138115	0.000912	0.022692	0.245587	0.003123	0.437509	0.01822	0.093796	1.0	0.011689	0.146373	0.144286	0.172401	0.006483	0.025082	0.044898	0.120723	0.118452	0.312385	0.02139	0.110927
ALX1	0.0	0.006918	0.0	0.002014	0.0	0.012367	0.005368	0.0	0.004344	0.0	0.03653	0.0	0.088204	0.007354	0.185325	0.0	0.0	0.01837	0.010186	0.00063	0.005559	0.0	0.0	0.0	0.02318	1.0	0.057124	0.014077
AMDHD1	0.006324	0.00824	0.041321	0.013666	0.003859	0.012219	0.0	0.068653	0.009798	0.105767	0.005868	0.042017	0.0	0.046841	0.013827	0.014577	0.0	0.020446	0.015721	0.0	0.010236	0.019669	0.0	0.089447	0.023045	0.097272	0.119915	0.012326
AMN	0.065227	0.097486	0.046722	0.001711	0.002088	0.00333	0.004242	0.000675	0.002041	0.019423	0.064548	0.011887	0.0	0.013876	0.0	0.001093	0.004871	1.0	0.002234	0.002392	0.000464	0.001845	0.0	0.001598	0.0	0.0	0.002216	0.002371
ANGPT2	0.0	0.000354	0.0	0.001684	0.182835	0.270181	0.527671	0.000235	1.0	0.0	0.066543	9.5e-05	0.0	0.001059	0.0	0.000223	0.23237	0.0	0.002451	0.000388	0.140932	0.000521	0.334572	4.7e-05	0.000138	0.000437	0.000431	0.000879
ANGPTL1	0.0	0.000741	0.0	0.175361	0.0	0.0	0.0	0.196761	0.000662	0.0	1.0	0.000646	0.11065	0.0	0.048149	0.238083	0.047361	0.013648	0.216801	0.009467	0.0	0.0	0.0	0.79963	0.064364	0.000582	0.104777	0.050026
ANKK1	0.602345	0.434338	0.502617	0.09246	0.033921	0.0	0.022291	0.0063	0.002537	0.868967	0.035278	0.062803	0.0	0.188409	0.0	0.0	0.0	0.0	0.008916	0.0	0.008723	0.062221	0.027525	0.0	0.0	0.0	0.069587	0.0
ANKRD20A1	0.0	0.001819	0.0	0.0	0.022125	0.023091	0.005089	0.000431	0.039053	0.0	0.000899	0.001077	0.0	0.001167	0.0	0.0	0.012255	0.0	0.000937	0.0	0.068066	0.004823	0.003721	0.0	0.0	0.004313	0.00132	0.0
ANKRD20A3	0.034499	0.006129	0.006616	0.0	0.070121	0.082969	0.032963	0.00192	0.093347	0.0	0.011519	0.0	0.0	0.028533	0.006085	0.0	0.077328	0.0	0.001181	0.0	0.280866	0.015832	0.008388	0.0	0.0	0.003515	0.005258	0.0
ANKRD20A4	0.0	0.012681	0.0	0.0	0.501593	0.170107	0.211867	0.015454	0.763199	0.0	0.0	0.015572	0.0	0.022178	0.024301	0.025009	0.224372	0.0	0.004404	0.05568	0.598561	0.0	0.0	0.0	0.0	0.073139	0.0	0.054264
ANKRD33	0.0	0.0	0.0	0.00088	0.001818	0.002502	0.022159	0.0	0.001632	0.0	0.001238	0.00035	0.0	0.000429	0.011623	0.0	0.003813	0.0	0.000356	0.0	0.005096	0.0	0.008484	0.0	0.014599	0.0	0.001139	0.0
ANKS1B	0.0	0.075896	0.282542	0.020481	0.010448	0.0247	0.007675	0.22568	0.010253	0.0	0.270973	0.00509	0.0	0.004045	0.614471	0.083156	0.015672	0.0	0.077405	0.221366	0.031559	0.015458	0.006965	0.019342	0.240535	0.063198	0.210141	0.02462
ANO1	0.377801	0.182647	1.0	0.012364	0.009518	0.005183	0.046024	0.003656	0.004062	0.856784	0.00932	0.0	0.0	0.019271	0.0	0.006163	0.003225	0.0	0.077658	0.005105	0.002572	0.01713	0.014045	0.0	0.0	0.0	0.00188	0.0
ANO2	0.001055	0.017676	0.00135	0.0	0.202096	0.856615	0.357198	0.001958	1.0	0.0	0.003728	0.002897	0.0	0.012937	0.0	0.000948	0.370771	0.008896	0.000469	0.005856	0.432968	0.026358	0.202183	0.061509	0.0	0.0	0.001287	0.002056
ANO3	0.018644	0.0	0.0	0.014062	0.005846	0.0	0.01817	0.005135	0.0	0.0	0.23632	0.0	0.0	0.0	1.0	0.0	0.0	0.175541	0.567902	0.036657	0.0	0.0	0.0	0.02449	0.970611	0.012877	0.0	0.023384
ANO4	0.06414	0.1275	0.429311	0.08193	0.006788	0.003888	0.023096	0.002024	0.054546	0.392975	0.134776	0.0	1.0	0.005489	0.144389	0.0	0.0	0.069868	0.087963	0.0	0.001466	0.016507	0.04555	0.353795	0.283719	0.093223	0.026943	0.384857
ANPEP	0.002937	0.0188	0.025533	0.242927	0.049539	0.033777	0.437128	0.06388	0.015621	0.07178	0.224265	0.137004	0.339493	0.011367	1.0	0.130207	0.011826	0.196767	0.126545	0.38676	0.049907	0.036301	0.136897	0.081009	0.536271	0.004937	0.094844	0.070787
ANXA10	0.025735	0.016958	0.0	0.552057	0.002094	0.0	0.048377	0.0	0.016221	0.0	0.183166	0.0	0.428569	0.0	0.003317	0.043385	0.013399	0.053499	0.951094	0.0	0.0	0.050439	0.0	0.070054	0.465207	0.007263	1.0	0.004767
ANXA8	0.257564	0.201828	1.0	0.013446	0.0	0.0	7.1e-05	0.000145	2e-06	0.28202	0.005175	0.000199	0.005803	0.003167	6.3e-05	0.000422	0.000256	0.00041	0.001062	0.000846	0.0	0.004827	0.0	0.000136	0.000573	3.7e-05	0.00317	0.006076
ANXA9	0.860385	0.26061	0.436695	0.039248	0.0	0.0	0.095992	0.055799	0.0	0.516846	0.171888	0.015605	1.0	0.267289	0.089136	0.0	0.0	0.26126	0.07692	0.01324	0.0	0.404067	0.0	0.0	0.193758	0.019269	0.021043	0.161958
AOAH	0.0	0.00224	0.001764	0.0	0.0	0.0019	0.001476	0.000582	0.001388	0.0	0.0	0.823123	0.0	0.0152	0.0	0.0	0.004051	0.0	0.0	0.0	0.000769	0.00585	0.000571	0.0	0.0	0.000184	0.000275	0.0
AOX1	0.035565	0.065605	0.05007	0.023511	0.039601	0.032333	0.01854	0.503659	0.013996	0.09616	0.399849	0.0	0.485969	0.002395	1.0	0.336189	0.005881	0.166542	0.119079	0.259744	0.025863	0.0488	0.088976	0.490334	0.851721	0.009163	0.008621	0.141773
APCDD1	0.001508	0.000194	0.00327	0.003993	0.000376	0.000298	0.000482	0.020589	0.000205	0.011025	0.081672	0.0	0.000726	0.001739	0.000772	0.004321	0.0	0.010489	0.003676	1.0	0.000812	0.000851	0.000462	0.039326	0.00266	0.006127	0.000551	0.009511
APLN	0.00147	8.3e-05	3.7e-05	9.1e-05	0.095819	0.167716	1.0	0.003362	0.050792	0.005673	0.024308	0.0	0.0	0.000125	0.000408	0.000171	0.063425	0.000466	0.002866	0.000458	0.085881	0.000747	0.278639	0.001398	0.004202	6.7e-05	0.0	0.0
APOA1	0.0	0.015015	0.007215	0.0	0.00344	0.003775	0.003775	0.001553	0.002259	0.0	0.741204	0.015481	0.042238	0.0	0.0	0.005065	0.0	0.0	0.218146	0.006976	0.004396	0.0	0.0	0.041235	0.031296	0.005662	0.017201	0.0
APOBEC3H	0.004524	0.012928	0.006813	0.001836	0.004623	0.00522	0.002295	0.000841	0.002437	0.008716	0.004708	0.034165	0.071604	0.00214	0.007654	0.0	0.005226	0.007366	0.007071	0.0	0.010043	0.0	0.063113	0.00104	0.0	0.008348	0.0	0.0
APOE	0.006675	0.013789	0.001921	0.001755	0.000211	0.000104	0.000888	1.6e-05	0.000518	0.021427	1.0	9.8e-05	0.002736	0.013182	0.01467	0.006557	0.000398	0.004455	0.003587	0.000247	5.9e-05	0.003911	0.000408	0.025211	0.010604	0.026195	0.000119	0.001728
AQP1	0.0	0.087761	0.012315	0.05171	0.095395	0.0521	0.05505	0.006624	0.323862	0.0	0.514569	0.003735	0.033636	0.023462	0.124862	0.005513	0.118877	0.01314	1.0	0.671989	0.044273	0.022734	0.043434	0.323974	0.032219	0.000954	0.016649	0.283822
AQP3	1.0	0.119795	0.001733	0.004616	0.000683	0.0	0.000388	0.001404	0.000532	0.038032	0.013624	0.029795	0.002808	0.000808	0.00048	0.000217	0.000199	0.004913	0.006626	9.6e-05	4.6e-05	0.003405	0.001888	0.023187	0.00094	0.000146	0.000415	0.000648
AQP5	0.490836	0.30707	0.0	0.0	0.06312	0.018091	0.006268	0.002618	0.032604	0.0	1.0	0.0	0.0	0.006427	0.0	0.0	0.334365	0.0	0.01017	0.0	0.003571	0.013171	0.0	0.007459	0.0	0.0	0.007062	0.0
AQP7	0.0	0.005211	0.0	0.075582	0.0	0.029804	0.0	0.043051	0.013034	0.0	0.542743	0.037012	0.0	0.0	0.28168	0.054446	0.0	0.0	0.111523	0.0	0.026688	0.0	0.03594	0.175709	0.159638	0.0	0.017337	0.0
ARC	0.0	0.002508	0.010147	0.006405	0.033297	0.012462	0.01414	0.078477	0.011845	0.012346	0.002469	0.030249	0.042904	0.020603	0.346162	0.044138	0.083435	0.016938	0.010919	0.015086	0.050447	0.0	0.020082	0.093235	0.266547	0.0	0.0	0.0
AREG	0.228333	0.217251	0.011161	0.005058	0.000225	8e-05	0.004211	0.0	0.000126	1.0	0.005882	0.016245	0.002233	0.065162	0.001815	5.8e-05	0.000165	0.013545	0.000632	0.000168	0.000127	0.121572	0.001266	0.009596	0.005816	0.000524	0.000224	0.0
ARHGAP22	0.062515	0.117049	0.004538	0.453376	0.564561	0.321466	0.407767	0.322536	0.103529	0.09783	0.081855	0.005787	0.226719	0.026821	0.655734	0.321139	0.235806	0.26941	0.561234	0.357294	0.400811	0.127291	0.34868	0.535187	1.0	0.013746	0.164376	0.179794
ARHGAP29	0.053961	0.243856	0.432899	0.065031	0.504602	0.845107	0.612946	0.299187	0.766692	0.202337	0.169707	0.000103	0.216158	0.240807	0.184969	0.042605	0.557737	0.106262	0.118355	0.662167	1.0	0.392139	0.501528	0.105067	0.160065	0.015598	0.039641	0.204787
ARHGAP9	0.0	0.0	0.0	0.000942	4.8e-05	0.000318	0.000815	0.000142	0.000102	0.0	0.001826	0.206974	0.000776	0.003639	0.0	0.000355	0.0	0.0	0.000188	0.000303	0.00012	0.002462	0.0	0.011145	0.000296	0.0	0.001122	0.0
