Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
BLNK	0.000957	0.006362	0.000591	0.001399	1.0	0.838623	0.020788	0.0	0.0
BMX	0.013798	0.004282	0.867001	0.000981	0.0	0.0	0.002532	0.0	0.0
BNC2	0.001504	6.8e-05	0.002808	0.605966	0.002106	0.0	0.009962	0.001413	0.008699
BOK	0.000958	0.000163	0.000365	0.327157	0.002628	0.0	0.005915	0.0	0.001175
BTNL9	0.000764	0.003239	0.014157	0.009765	1.0	0.891823	0.0	0.0	0.0
C11ORF45	0.002306	0.004827	0.000183	0.000387	0.001553	0.00189	1.0	0.002898	0.009866
C1ORF186	0.004199	0.001416	0.000517	0.0	1.0	0.092571	4.7e-05	0.019313	0.0
C4BPB	0.114752	0.002084	0.003767	0.0	0.008005	0.013959	0.0	0.012993	0.0
C4ORF50	0.001362	0.00014	0.001018	0.012073	0.003126	0.0	0.0	0.020193	0.084975
CA6	0.089052	0.000237	0.000844	0.0	0.0	0.0	0.0	0.010618	0.025508
CACHD1	0.232149	0.002166	0.095984	0.0	0.0	0.002485	0.001537	0.001192	0.0
CACNA1E	0.0	0.000722	1.0	0.0	0.003612	0.002595	0.000666	0.001035	0.0
CACNA1I	0.079922	0.000237	0.000688	0.0	0.0	0.000399	0.0	0.03863	0.012684
CAMK4	1.0	0.004056	0.001389	0.001128	0.004537	0.002388	0.0	0.341435	0.225104
CAPN11	0.000548	0.000625	0.000953	0.0	0.0	0.0	0.145179	0.001668	0.0
CAV1	0.15071	0.00036	0.000909	0.0	0.005392	0.046873	0.007962	0.0	0.00149
CCL20	2.9e-05	0.574167	0.002757	0.0	0.0	0.0	0.000468	0.004731	0.000115
CCL22	2e-05	2.8e-05	0.0001	0.0	0.00072	0.0	1.0	0.0	0.0
CCL3	0.0	0.511504	0.00159	0.009206	2.5e-05	0.00031	0.005752	1.4e-05	9.4e-05
CCL3L3	0.0	0.09118	0.003422	0.000122	0.0	0.000102	0.000856	0.00016	3.3e-05
CCL4	0.000187	1.0	0.012032	0.127629	0.000111	0.000305	0.002731	0.00088	0.040352
CCL4L2	0.0	0.133711	0.009236	0.008039	7.1e-05	6.4e-05	0.002163	0.000113	0.001353
CCL5	0.000266	0.00046	0.0	0.042636	5.6e-05	6e-06	1.6e-05	0.005473	0.043962
CCNA1	0.00011	0.000297	0.013551	0.0	0.0	0.008881	1.0	0.0	0.0
CCR3	0.000554	0.001827	0.625048	0.001219	0.003224	0.000797	0.000657	0.000307	0.005183
CCR4	0.014984	0.005578	0.0014	0.0	0.000721	0.000569	0.00151	1.0	0.232074
CCR5	0.003791	0.06501	0.010935	0.033785	0.00254	0.0	0.345375	0.090747	1.0
CCR8	0.017884	7.5e-05	0.001579	0.0	0.0	0.0	0.0	0.548706	0.155173
CD160	0.000183	0.000459	0.000293	0.518331	0.000204	0.000416	0.0	0.0003	0.086895
CD19	0.000729	0.000909	0.00544	0.001166	0.917461	1.0	0.000453	0.000254	0.0
CD1C	0.0	0.080506	0.000524	0.000646	1.0	0.063528	0.001198	0.000563	0.0
CD200	0.026488	0.000661	0.012188	0.000941	0.046177	1.0	0.0	0.006551	0.000433
CD24	0.000947	0.000888	0.06654	0.002659	1.0	0.266292	0.000488	0.0	0.0
CD300E	1.5e-05	1.0	0.005152	0.000251	0.00023	0.000351	0.000297	7.9e-05	0.0
CD34	0.010102	0.001706	0.000443	0.000495	0.0	0.0	0.000149	0.0	0.0
CD3D	0.202924	0.000767	0.000207	0.009324	0.0	0.0	7e-06	0.220217	0.251763
CD3G	0.453417	0.00297	0.001037	0.034492	0.0	0.0	0.0	0.608609	0.723373
CD40LG	0.156718	0.001779	0.001636	0.000994	0.0	0.000657	0.0	0.410206	0.023263
CD5	0.445292	0.004484	0.002109	0.002464	0.003958	0.007041	0.0	0.670118	0.313758
CD70	0.006123	0.000832	0.002415	0.004907	0.861463	0.0	0.000636	0.114148	0.104215
CD79A	0.001886	0.000292	0.001314	0.001848	0.731129	0.831412	0.000668	0.0	0.000413
CD8A	8e-06	0.000348	0.0001	0.010888	0.0	1.2e-05	4e-06	0.000215	0.149653
CD8B	0.002672	0.001664	0.000342	0.00407	0.0	0.0	0.0	0.00183	1.0
CD9	0.000877	0.00957	0.01048	0.0	0.001045	0.005943	1.0	0.000743	0.00044
CDH2	0.005659	0.00052	0.319331	0.001939	0.0	0.0	0.0	0.0	0.001808
CDO1	0.005933	0.0	0.006377	0.0	0.014703	0.016442	0.0	0.085212	0.002197
CFH	0.019806	0.007088	0.003828	0.05177	0.0	0.0	0.000356	0.662316	0.216617
CHIT1	0.000116	0.001525	0.01223	2.4e-05	0.000571	0.000867	1.0	2e-05	0.0
CHL1	0.000681	0.00026	0.004729	0.0	0.487226	0.890093	0.0	0.0	0.0
CHN1	0.030735	0.004711	0.032396	0.014477	0.003648	0.012698	0.002453	0.584488	0.113468
CHSY3	0.000336	8.4e-05	0.000745	0.077596	0.0	0.0	0.003121	0.0	0.0
CLDN9	0.00031	0.00191	0.666125	0.0	0.0	0.0	0.010428	0.002042	0.0
CLEC10A	0.000332	1.0	0.001913	0.00045	0.0	0.001546	0.025866	0.002641	0.0
CLEC17A	7.8e-05	0.015021	0.007533	0.00059	0.994551	1.0	0.000453	0.0	0.0
CLECL1	0.003286	0.030843	0.0	0.000426	1.0	0.02342	0.078834	0.062167	0.085814
CLIC3	0.000129	8e-05	0.0	0.475156	0.000494	0.000178	0.000289	0.002787	0.023979
CMTM2	7.8e-05	0.009871	1.0	0.000613	0.0	0.0	5.5e-05	0.000428	0.000395
CNTNAP2	0.000549	7e-06	0.000694	0.000417	0.022062	0.333155	0.0	0.0	0.0
CNTNAP3	0.000608	0.000434	1.0	0.0	0.002837	0.0	7e-06	0.000178	0.000326
COBLL1	0.002356	0.001293	0.002439	0.001094	0.88116	1.0	0.001548	0.000307	0.0
COL19A1	0.001	5.7e-05	0.000134	0.000374	0.138914	1.0	0.0	0.0	0.0
COL4A3	0.002239	0.000265	0.0003	0.002749	1.0	0.037549	0.0	0.001544	0.001688
COL4A4	0.006534	0.000353	0.001603	0.020635	1.0	0.057511	0.0	0.003105	0.00461
COL5A3	0.005004	0.000974	0.004096	0.020762	0.0	0.0	0.01432	0.317393	0.334953
CORO2B	0.00027	0.000213	0.001377	0.0	0.006362	0.177067	7.2e-05	0.0	0.0
CPA5	0.067827	0.0	0.000441	0.0	0.0	0.0	0.000461	0.077468	0.104684
CPNE5	0.004447	0.003429	0.01368	0.002668	1.0	0.262647	0.000179	0.003108	0.004427
CPNE7	0.006015	0.0	0.007909	0.008234	0.0	0.0	0.002077	0.185801	0.127849
CPVL	0.000332	0.24653	0.000933	7e-05	0.0	8.6e-05	0.070198	0.000121	9.7e-05
CRABP2	0.00034	0.00074	0.00901	0.000151	0.000202	0.000406	1.0	0.000102	0.0
CSF3R	2.1e-05	0.051186	1.0	2e-05	1.6e-05	5.6e-05	0.007453	4e-06	0.0
CSPG4	0.003233	0.001372	0.004745	0.0	0.0	0.0	1.0	0.005021	0.0
CTAG2	0.001473	0.165887	0.001663	0.0	0.0	0.0	0.019634	0.0	0.003458
CTLA4	0.152896	0.000794	0.000347	0.001552	0.0	0.0	1.1e-05	0.205732	0.052491
CXCL10	7.3e-05	0.049315	0.000922	0.000194	0.000535	0.0	0.000774	0.0	0.0
CXCL2	0.000557	1.0	0.035421	0.001125	0.0	0.00227	0.011244	0.0	0.0
CXCR1	0.0	0.000912	1.0	0.017696	4.8e-05	3e-05	0.000309	6.3e-05	0.000498
CXCR3	0.004284	0.000879	0.00079	0.055892	0.073497	0.003039	0.0	0.196047	0.438186
CXCR6	0.005556	0.000984	0.002641	0.055038	0.0	0.004241	0.000521	0.098579	0.930539
CYP26B1	0.000267	4.2e-05	0.333127	0.004949	0.0	0.0	0.0	0.0	0.001341
CYP4F22	0.001717	0.008624	0.00059	0.026251	0.0	0.0	0.013937	0.007697	0.078513
CYP4F3	4.7e-05	0.007322	1.0	0.0	0.0	0.000139	0.000136	0.0	0.000208
DAB1	0.165486	0.000361	0.047643	0.057768	0.0	0.012153	0.000287	1.0	0.138857
DACT1	1.0	0.00225	0.019864	0.00197	0.017557	0.087169	0.012893	0.076642	0.000247
DGKK	0.0	0.000355	0.011394	1.0	0.01218	0.0	0.0	0.0	0.074026
DKK3	0.009485	0.0	0.002242	0.00173	0.00356	0.001275	0.0	0.002429	0.059415
DNAJC5B	0.000661	0.03645	0.001848	0.005482	1.0	0.104071	0.241557	0.0	0.0
DOK7	1.7e-05	0.000293	0.00326	0.190406	0.724325	0.099434	0.0	0.001845	0.003146
DPP4	0.826639	0.004934	0.001091	0.002247	0.009615	0.0	0.046799	1.0	0.503529
DSC1	0.236194	0.000116	0.002896	0.003018	0.0	0.0	0.0	0.014326	0.004397
DSP	0.000365	0.000227	0.007942	0.0	0.048851	0.975929	0.159598	0.00144	0.0
DUSP4	0.016234	0.002184	0.011233	0.002583	0.010398	0.002604	0.007405	0.382558	0.077959
EBF1	0.001914	0.003005	0.006718	0.002516	0.816603	1.0	0.0	0.001195	0.00173
EBI3	0.000639	0.003349	0.000799	0.002369	0.189465	0.023615	0.001041	0.0	0.0
ECSCR	0.058453	0.00146	0.001206	0.0	0.0	0.0	0.004831	0.010849	0.0
EDAR	0.406709	0.000112	0.000374	0.0	0.0	0.0	0.0	0.031678	0.004368
EDARADD	0.00565	0.000692	0.000933	0.048292	0.0	0.0	0.000192	0.073989	0.179894
EGR1	0.0	0.248891	0.011859	0.000278	0.011234	0.000968	0.000203	3.9e-05	5.6e-05
ELOVL4	0.004978	0.000149	0.000526	0.001902	0.0	0.0	4.7e-05	0.063326	0.031153
EMP1	0.001887	0.008509	0.000383	0.00028	0.0	0.0	1.0	0.002669	0.00077
ENAH	0.01107	0.001734	0.008973	0.005136	0.012397	0.305182	0.012126	0.0	0.0
ENHO	0.001857	0.080204	0.002844	0.001219	0.0	0.0	0.000959	0.001983	0.002768
EPB41L1	0.002549	0.001633	0.006828	0.004407	0.002354	0.0	1.0	0.001352	0.001112
EPHB1	0.0	0.001166	1.0	0.000266	0.00064	0.000532	0.007359	0.000259	0.000337
EPHX2	0.745736	0.002837	0.002047	0.007858	0.010766	0.00772	0.0	0.193372	0.075608
ERBB2	0.01442	0.0	0.014727	1.0	0.008617	0.020513	0.001425	0.00495	0.035355
EREG	0.000714	1.0	0.007468	0.000505	0.0	0.000996	0.002295	0.0	0.0
ESM1	0.036106	0.0	0.000926	0.024794	0.0	0.0	0.0	0.045212	0.094068
ESPN	0.009354	0.0	0.001117	0.015703	0.0	0.0	0.010403	0.148762	0.069056
ESPNL	0.001264	0.000141	0.006529	0.002787	0.319692	0.007614	0.0	0.003258	0.001266
ESR2	0.002317	0.000559	0.030534	0.010665	0.657545	0.211356	0.0	0.00225	0.006271
F13A1	0.003426	1.0	0.046188	0.00196	0.003561	0.006042	0.010463	0.01132	0.000885
FABP3	0.0	2.2e-05	0.000361	0.000317	0.0	0.0	1.0	0.000283	0.0
FAM111B	0.000553	0.000149	0.000189	0.013853	0.331421	1.0	0.044595	0.003113	0.008289
FAM129C	0.00026	0.001687	0.011597	0.001109	0.97485	1.0	0.0	0.000207	0.000272
FAM153A	1.0	0.003466	0.000238	0.00153	0.007035	0.035012	0.0	0.295338	0.024769
FAM177B	0.003292	0.000602	0.061359	0.001798	0.219604	1.0	0.0	0.001764	0.001562
FAM184A	0.41232	0.000132	0.003281	0.003181	0.008303	0.013226	0.0	0.069635	0.039084
FAM19A1	0.086019	0.000213	0.000981	0.02244	0.0	0.003555	0.0	0.100169	0.172621
FAM30A	0.006957	0.000886	0.001053	0.000366	0.977146	1.0	0.0	0.000571	0.000501
FAM69B	0.003813	0.000206	0.000553	0.002021	0.029493	0.449458	0.0	0.001717	0.001372
FASLG	0.000679	0.000152	0.000595	0.44063	0.000767	0.000856	0.0	0.004971	0.067919
FAT4	0.007461	0.0	0.000973	0.367032	0.0	0.002146	0.0	0.0	0.002436
FBLN2	0.001319	0.002115	0.000303	0.007661	0.241799	0.054733	0.000444	0.0	0.006309
FBLN7	0.087433	0.000733	0.001257	0.001526	0.00375	0.000878	0.0	0.166843	0.006144
FBN2	0.000317	0.143396	0.037501	0.0	0.0	0.000381	0.001742	0.0	0.0
FCER1A	0.001219	0.08188	0.001768	0.001315	0.000852	0.0	0.00017	0.000265	0.0
FCER2	8.3e-05	0.006692	0.004809	0.000665	0.15274	1.0	0.0029	0.0	5.9e-05
FCGR3B	4e-06	0.000293	1.0	0.00142	1.3e-05	0.0	1.2e-05	0.0	6e-05
FCN1	0.0	0.009973	0.000449	1e-06	0.0	1e-06	2e-05	0.0	0.0
FCRL1	0.000547	0.000274	0.006032	0.001282	0.417033	1.0	0.0	0.000104	0.000211
FCRL2	0.000395	0.000359	0.002461	0.00107	0.744453	1.0	1.7e-05	0.0	8.3e-05
FCRL5	0.00131	0.000449	0.000146	0.001037	0.635417	1.0	0.0	0.0	0.0
FCRL6	0.002207	0.002193	0.00207	1.0	0.000638	0.000437	0.0	0.006057	0.483078
FCRLA	6.6e-05	0.000589	0.000613	0.000943	1.0	0.519299	0.002312	0.0	0.0
FEZ1	0.001531	0.004487	0.001254	0.272993	0.000606	0.0	0.000421	0.001734	0.026912
FGFBP2	0.000359	0.000181	0.000212	0.185541	0.000118	0.000143	0.0	0.000304	0.037976
FGFR2	0.005406	0.015692	0.087103	0.115952	0.0	0.0	0.0	0.275213	1.0
FHIT	1.0	0.009896	0.0	0.015355	0.006082	0.025153	0.032993	0.188222	0.010924
FLT4	0.233062	0.011666	0.004193	0.020121	0.0	0.0	0.000969	0.211196	0.692189
FRMD7	0.000705	0.1185	0.007378	0.001927	0.0	0.0	9e-05	0.0	0.0
GALNTL6	0.0	0.003208	0.006073	0.0035	1.0	0.067964	0.005268	0.0	0.0
GCNT4	1.0	0.003464	0.0046	0.018059	0.0	0.0	0.023369	0.524411	0.256374
GDF15	0.000516	0.004269	0.02054	0.000715	0.000723	0.0	1.0	0.000207	0.0
GDF7	0.005612	0.0	0.00453	0.002073	0.749354	0.129435	0.00017	0.04404	0.002617
GFPT2	0.002078	3.9e-05	0.000818	0.015274	0.0	0.01333	0.003192	0.008968	0.070015
GNAT2	0.004625	0.011235	1.0	0.0	0.0	0.0	0.015877	0.0	0.008582
GNLY	2e-05	1.5e-05	1.4e-05	0.014734	6e-06	9e-06	0.0	4.1e-05	0.001507
GPC4	0.0	0.000918	0.00827	0.0	0.000418	0.00573	1.0	0.0	0.0
GPM6A	7.4e-05	0.000133	0.000296	0.001052	1.0	0.081547	0.0	0.0	0.0
GPNMB	1e-06	0.000341	8e-06	0.0	2.7e-05	6.5e-05	1.0	1.6e-05	8e-06
GPR15	0.051084	0.012599	0.000926	0.049476	0.01457	0.0	0.0	1.0	0.16376
GPR171	0.444486	0.002937	0.022728	0.102233	0.001791	0.013961	0.0	0.87103	1.0
GPRC5B	0.08633	0.000631	0.00169	0.0	0.0	0.0	0.012873	0.017526	0.003628
GREM2	0.041589	0.000431	0.002883	0.026275	0.0	0.0	0.0	0.756539	0.029129
GRIK4	0.001784	0.000297	0.002493	1.0	0.0	0.071118	0.001505	0.0	0.0
GSDMA	0.026592	0.000401	0.00115	0.013708	0.0	0.0	0.001363	0.015619	0.178095
GZMB	0.00017	0.000261	0.000155	0.376241	0.000244	0.000174	0.0	7.1e-05	0.033966
GZMK	0.005244	0.000428	0.000259	0.007921	0.0	0.0	2e-06	0.049738	0.311068
HBG2	0.112698	0.003752	0.004438	0.001402	0.000496	0.002824	9.8e-05	0.0	0.0
HEY1	0.000685	0.004067	0.447456	0.001752	0.0	0.0	0.002115	0.0	0.00058
HIST1H1T	0.00117	0.002309	1.0	0.0	0.0	0.0	0.001816	0.003517	0.0
HKDC1	0.223255	0.000151	0.000619	0.00131	0.0	0.0	0.000812	0.17804	0.080519
HLF	0.013659	0.001144	0.00441	0.003681	0.0	0.0	0.000115	0.288418	0.02007
HMSD	0.0	0.237496	0.01019	0.005742	0.0	0.0	0.002833	0.0	0.004938
HPCAL4	0.178182	0.000507	0.001616	0.00208	0.001104	0.0	0.0	0.233898	0.015757
HRH4	0.025996	0.0	0.108773	0.017322	0.009804	0.006734	0.010016	0.544854	0.035082
HSD3B7	0.000559	0.00525	0.019761	0.000109	0.001211	0.001589	1.0	0.0	0.000129
ICOS	0.218424	0.001042	0.00029	0.00178	0.0	0.000148	0.0	0.185153	0.052636
IER3	0.001601	0.44648	0.058083	0.001085	0.0	0.000366	0.018081	0.000753	0.000924
IFNG	0.005623	0.000652	0.000366	0.167351	0.0	0.008612	0.0	0.077106	0.182525
IGFBP3	0.048672	0.002539	0.001589	0.023388	0.001914	0.0	0.0	0.194637	0.315338
IGFBP6	0.004896	0.003235	0.000767	0.001371	0.007334	0.0	0.104486	0.02371	0.12524
IGSF9B	0.235179	0.00163	0.001739	0.013257	0.004332	0.0	0.0	0.277784	0.079018
IL1A	7e-06	0.193803	0.003933	0.000225	0.000967	0.001046	0.000781	0.0	0.0
IL1B	0.0	0.02687	0.000808	2e-06	0.0	4e-06	1e-06	0.0	0.0
IL1R2	0.0	0.010654	1.0	0.0	0.0	0.0	0.002846	0.000319	0.000305
IL2RB	0.001005	6e-05	0.000146	0.059365	3.7e-05	5.1e-05	0.0	0.002537	0.011325
IL32	0.137678	0.003468	0.013764	0.184496	0.000191	0.0	0.000302	0.509164	0.617157
IL6	3.9e-05	0.019632	3.5e-05	0.000103	0.060516	0.011026	0.0	9.2e-05	0.0
IL6ST	1.0	0.101025	0.040266	0.00931	0.012316	0.027558	0.034812	0.119328	0.015434
IL7R	0.686439	0.002888	0.000595	0.00166	3e-05	0.000454	0.0	0.415409	0.335812
INHBB	4.4e-05	0.001402	0.246413	0.001039	0.0	0.0	0.000263	0.0	0.0
INPP4B	1.0	0.007382	0.001004	0.002235	0.0	0.002179	0.000357	0.7603	0.335186
IQGAP3	0.001825	0.004299	0.009912	0.003208	0.0	0.0	0.744313	0.0	0.001554
ISM1	0.242648	0.000137	0.000882	0.0	0.0	0.0	0.024328	0.323956	0.033272
ITGB5	0.001238	0.007607	0.000101	0.0	0.000317	0.000308	1.0	0.00255	0.002681
JAKMIP1	0.010258	0.001435	0.000686	0.098022	0.00174	0.001764	0.0	0.272158	1.0
KCNG1	0.0	0.000219	0.000281	0.0	0.019515	1.0	0.00317	0.0	0.0
KCNH8	0.00089	0.000643	0.001597	0.000572	0.076618	1.0	8.1e-05	0.000755	0.0
KCNJ1	0.0	0.001766	0.005965	0.002601	0.004267	0.004744	1.0	0.003045	0.002312
KCNJ15	0.000248	0.019913	1.0	0.0	0.0	0.0	0.000352	0.000141	0.0
KHDRBS2	0.000414	0.017482	0.000572	0.001364	0.440131	1.0	0.000243	0.0	0.0
KIAA1257	0.008893	0.008972	1.0	0.003032	0.00345	0.0	0.000896	0.003773	0.002771
KIAA1671	0.012891	0.000342	0.000569	0.061128	0.0	0.000978	0.00336	0.005866	0.097917
KIR2DL1	4.7e-05	3.6e-05	0.001185	0.059965	0.0	0.0	0.0	0.0	0.000213
KIR2DL4	1.5e-05	6.5e-05	0.000282	0.007458	0.0	0.0	2.1e-05	0.0	7.1e-05
KIR2DS4	0.000168	0.000674	0.000538	0.075156	0.0	0.0	0.0	0.000942	0.004026
KIR3DL1	9e-06	5.8e-05	0.000961	0.036355	0.0	0.0	0.0	0.0	0.003635
KIR3DL2	0.001189	0.00024	0.000761	0.076833	0.0	0.0	1.9e-05	0.004311	0.004184
KIR3DX1	0.001094	0.001133	0.001668	0.615243	0.007706	0.0	0.000472	0.0	0.022819
KLF4	0.0	0.894158	0.08914	0.000553	0.004849	0.015385	0.008534	0.006096	8.5e-05
KLHL14	0.001394	0.000902	0.000411	0.001146	0.624002	1.0	0.0	0.0	0.0
KLRC1	0.002817	0.000333	0.000462	1.0	0.0	0.0	0.0	0.0	0.163278
KLRC2	0.001753	0.000189	0.00023	1.0	0.001365	0.0	0.0	0.0	0.106905
KLRC3	0.00127	0.000951	0.001215	0.56401	0.0	0.0	0.0	0.0	0.07701
KLRD1	0.000581	0.001152	0.004479	0.701785	0.000804	2.7e-05	0.0	0.000436	0.296851
KLRF1	0.000621	0.000587	0.000548	0.74896	0.000797	0.000242	0.0	9e-05	0.032121
KLRG1	0.041295	0.004695	0.0	0.466035	0.001516	0.005466	0.010139	0.16765	1.0
KRT1	0.005229	0.001139	0.000649	0.0	0.0	0.0	0.000292	0.3094	0.001663
KRT23	3.4e-05	0.01206	1.0	0.000227	0.0	0.0	0.000105	0.000216	0.000326
KRT72	0.300131	0.000262	0.000554	0.027291	0.0	0.0	0.0	0.026416	0.00204
KRT73	0.316933	0.000473	0.001503	0.040005	0.0	0.0	6.2e-05	0.030776	0.002691
LAG3	0.003248	0.000461	0.003927	0.012972	0.0	0.0	0.000252	0.005425	0.11926
LCN10	0.015364	0.000676	0.000625	0.001118	0.603526	1.0	0.0	0.003357	0.004056
LCN2	0.000308	0.0023	0.112326	0.0	0.000886	0.00133	0.0	0.000383	0.0
LDLRAD3	0.001937	0.440292	0.006383	0.000974	0.0	0.003343	0.056283	0.0	0.0
LEF1	1.0	0.001675	0.000292	0.005544	4.5e-05	0.001108	0.0	0.196842	0.072359
LGALS9B	0.0015	7.3e-05	0.025715	0.543155	0.0	0.002918	0.004364	0.000559	0.000881
LGR6	0.001853	0.000558	0.001724	0.301443	0.001463	0.002362	0.0	0.002288	0.069307
LILRA4	0.001829	0.021026	0.192855	0.00417	1.0	0.01547	0.033586	0.007024	0.0
LIM2	0.000135	0.0	0.000632	0.284382	0.0	0.0	0.0	0.001107	0.007638
LINGO2	0.000215	2.1e-05	0.000601	0.280291	0.0	0.002059	0.0	0.0	0.000689
LMF1	0.705847	0.004769	0.00138	0.000774	0.012944	0.0	0.032426	0.172527	0.062241
LOC541472	0.000923	0.003909	0.003925	0.0	0.408085	0.184651	4.1e-05	0.0	0.0
LPL	2.5e-05	0.000947	9.2e-05	0.0	0.0	3.6e-05	1.0	0.0	7e-05
LRG1	7e-05	0.076931	1.0	0.0	0.001205	0.000278	0.001486	0.0	0.0
LRRC4	0.000608	0.035879	1.0	0.002486	0.005036	0.003604	0.000984	0.00119	0.001751
LRRC43	0.002314	0.00272	0.006818	0.260796	0.0	0.0	0.0034	0.0	0.010147
LRRC7	0.369175	0.002041	0.005586	0.002342	0.0	0.0	0.001031	0.002062	0.0
LRRN3	0.237544	0.00133	0.001202	0.0	0.000472	0.00196	6.3e-05	0.025112	0.010529
LTF	0.000178	0.00051	0.370245	0.001466	0.0	0.003629	0.001104	0.0	0.0
LTK	0.019053	0.003113	0.002481	0.006469	0.129468	0.018914	0.000926	0.603065	0.421552
LYVE1	0.005985	0.008002	0.729902	0.0	0.008255	0.014394	0.0	0.0	0.0
LYZ	3e-06	0.042846	0.001176	2e-06	0.0	5e-06	0.005239	4e-06	0.0
MACROD2	0.006143	0.003865	0.006058	0.016196	0.109432	1.0	0.009531	0.0	0.0
MAK	0.000661	0.035376	0.729927	0.001021	0.001481	0.001654	0.00051	0.002099	0.001388
MAL	0.13025	0.000295	0.000149	0.0	5.4e-05	7.4e-05	0.0	0.1103	0.006878
MANSC1	0.011345	0.016805	1.0	0.0	0.001079	0.004098	0.003189	0.002701	0.001356
MEOX1	0.051226	0.001109	0.00062	0.0	0.0	0.0	8.8e-05	0.187894	0.03411
METTL7B	0.0	0.007626	0.001021	0.0	0.004717	0.01301	1.0	0.0	0.0
MGAM	0.000122	0.01187	1.0	0.049684	0.000186	0.0	0.000115	0.0	0.000458
MLC1	0.002565	0.02108	0.010268	1.0	0.000364	0.001776	0.0	0.000344	0.015084
MMP1	0.062556	0.000709	0.001434	0.0	0.004402	0.0	0.007474	0.0	0.0
MMP19	0.000103	0.014624	0.000285	0.001011	0.001317	0.0	1.0	0.0	0.000274
MMP25	8.4e-05	0.005913	1.0	0.00049	3.8e-05	0.0	5.6e-05	0.000297	0.000443
MMP28	0.487916	0.00077	0.000569	0.0	0.007886	0.0	0.000962	0.017829	0.007789
MMP9	4e-06	0.000264	0.040288	5e-06	0.0	0.0	1.0	2.5e-05	0.0
