Gene	LAU125	LAU355	LAU1255	LAU1314
FXYD6	0.199296	0.281128	1.0	0.256493
GAS7	1.0	0.018796	0.077183	0.025973
GATA2	0.007565	0.009036	0.008975	0.006887
GBP1	0.285563	0.132632	0.559323	0.126322
GCH1	0.008625	0.061817	0.062792	0.06481
GFOD1	0.0	0.055316	0.030418	0.060879
GIMAP4	0.033664	0.499605	0.251353	0.521468
GJB1	0.444953	0.008994	0.423377	0.061638
GLRA1	0.570027	0.767877	0.604559	0.565612
GLRX2	0.067252	0.02673	0.159199	0.050234
GP5	0.027018	0.124987	0.061448	0.111218
GPNMB	0.803275	0.131425	0.573866	0.041315
HAGH	0.0	0.082985	0.173709	0.089296
HAVCR1	0.058126	0.324816	0.358154	0.311148
HBD	0.0	0.02235	0.004324	0.016955
HCK	0.011293	0.088377	0.063009	0.037275
HDC	0.001294	0.000903	0.002751	0.000275
HGD	0.0	0.092621	0.011	0.051881
HIST1H2BC	0.12884	0.117145	0.164032	0.154115
HOMER2	0.315556	0.194891	0.431108	0.185643
HOXA2	0.154019	0.116396	0.092725	0.10348
HPSE	0.087214	0.128117	0.194912	0.122082
HTRA1	0.678369	0.068123	0.102775	0.088872
ICOS	0.078829	0.485998	0.659313	0.488856
IFI27	0.088144	0.051984	1.0	0.022982
IFNB1	0.01926	0.055779	0.056495	0.088326
IFT20	0.079305	0.063134	0.005889	0.089329
IGFBP2	1.0	0.035049	0.054943	0.052437
IL15RA	0.074261	0.375607	0.353729	0.311647
IL1R2	0.032872	0.080693	0.094775	0.068574
IL1RAP	1.0	0.147227	0.882222	0.156927
IL1RL1	0.040178	0.05485	0.042595	0.08194
IL2RA	0.05095	0.74196	0.223966	0.416493
IL32	0.035792	1.0	0.71416	0.769019
IL4R	0.0	0.991937	0.108527	1.0
IL5RA	0.046716	0.133784	0.061883	0.112887
IL6ST	1.0	0.561072	0.755198	0.434648
ING2	0.452062	0.585511	0.54535	0.478686
IRS1	1.0	0.677479	0.756082	0.727237
JRKL	0.48466	0.397888	1.0	0.570031
KCNJ15	0.035064	0.046689	0.068157	0.051476
KIF1A	0.139702	0.046914	0.121032	0.031924
KIF22	0.260885	0.311892	0.352792	0.454301
KIR3DL1	0.026123	0.053446	0.039739	0.057434
KLHL18	0.113958	0.285181	0.227422	0.269821
KLRC3	0.084679	0.122885	0.14673	0.124903
KLRD1	0.050178	0.170514	0.326524	0.156189
KLRF1	0.023294	0.065602	0.031791	0.063367
KRT19	0.08843	0.070757	0.062972	0.063054
KRT5	0.148454	0.668246	0.288446	0.526466
KSR1	0.103752	0.127189	0.081114	0.112775
LAIR1	0.0	0.437159	0.214871	0.448038
LAMP3	0.035917	0.227438	0.067822	0.220626
LGALS13	0.118127	0.506309	0.492621	0.125134
LILRA4	0.053759	0.548322	0.126231	0.451506
LILRA5	0.107511	0.226807	0.189537	0.148673
LILRB1	0.019589	0.265289	0.123821	0.266243
LIMA1	0.959486	0.244388	0.577818	0.331244
LIMK2	0.08785	0.496853	0.366447	0.312764
LIPF	0.164499	0.0	0.269858	0.158244
LRP5L	0.007709	0.017054	0.011541	0.017584
LRRC8D	0.166544	0.372943	0.357952	0.324252
LSM4	0.667071	0.442491	0.531416	0.511564
MAG	0.116435	0.136428	0.104703	0.249723
MAL	0.041032	0.353035	0.285755	0.238533
MAOA	0.025619	0.026684	0.029424	0.028673
MAPK7	0.264257	0.241885	0.188562	0.26871
MAT2B	0.034161	0.254729	0.091507	0.275411
MEST	0.053068	0.0839	0.049777	0.097087
MME	0.156179	0.03582	1.0	0.064604
MMP25	0.0	0.04584	0.034708	0.038199
MMP8	0.524699	0.305148	0.65223	0.441109
MMP9	0.007285	0.009767	0.004679	0.005742
MOCS3	0.727326	0.710684	0.64929	0.789889
MPO	0.005499	0.010398	0.006258	0.006775
MPPED2	1.0	0.458267	0.752241	0.588982
MRPL3	0.282069	0.225959	0.271028	0.18478
MRPL4	0.48436	0.597265	0.515345	0.598695
MS4A1	0.031742	0.652133	0.137112	0.741755
MS4A6A	0.061411	0.57294	0.590064	0.187673
MT1X	0.049482	0.00434	0.053038	0.009233
MTMR11	0.24681	0.04296	0.077423	0.025489
MTSS1	1.0	0.386623	0.381478	0.290764
MUC1	0.038789	0.070075	0.110842	0.06652
MYLIP	0.132957	0.190986	0.221064	0.090432
NAGA	0.383536	0.198436	0.381898	0.136901
NBN	1.0	0.662778	0.704246	0.934715
NBR1	1.0	0.601902	0.695666	0.601294
NME1	0.486227	0.199883	0.392029	0.193939
NOTCH4	0.204661	0.321493	0.22972	0.343933
NOV	0.158962	0.079146	0.281615	0.098374
NPEPPS	0.922022	0.529557	0.507064	0.579388
NR4A2	0.080807	0.39402	0.492523	0.13269
NRG1	0.483318	0.489533	0.3702	0.481969
NRGN	0.047224	0.046558	0.039991	0.059299
NUDT1	0.186713	0.197977	0.1755	0.234
NXT1	0.143467	0.211533	0.259073	0.141043
NXT2	0.173635	0.205957	0.112798	0.209324
OLFM1	0.667079	0.357359	0.362727	0.311238
OR2F1	0.645182	0.04864	0.168533	0.206528
OR2J2	0.237089	0.313271	0.104559	0.279921
ORM1	0.017529	0.10628	0.049122	0.019202
OSBPL10	0.366724	0.97429	0.91756	1.0
PALLD	0.106002	0.034616	0.033545	0.038013
PANX1	0.393035	0.308509	1.0	0.326526
PAX5	0.06463	1.0	0.116816	0.984399
PDGFB	0.059284	0.105719	0.103965	0.126823
PDK4	0.225742	0.161599	1.0	0.135844
PGLYRP1	0.04133	0.067054	0.043017	0.041587
PHEX	0.11882	0.243733	0.189923	0.21714
PI3	0.006564	0.000273	0.0	0.025566
PIK3CG	0.0	0.393679	0.120238	0.493748
PLAT	1.0	0.045466	0.100951	0.056018
POU2AF1	0.018112	0.256249	0.043704	0.344119
PPA1	0.07901	0.235143	0.155661	0.180485
PRKCDBP	0.334961	0.123343	0.525778	0.181365
PROM1	0.036401	0.029367	0.047632	0.02943
PRR5	0.233017	0.254776	0.19918	0.252759
PSAT1	0.986601	0.124205	0.429802	0.172266
PTPN13	1.0	0.507562	0.728391	0.512024
PTPRK	0.234329	0.803611	0.377033	0.876692
PTPRS	0.331753	0.281412	0.299312	0.288719
PTTG2	0.193519	0.345319	0.28155	0.19825
QPRT	0.24877	0.039334	0.09151	0.050745
RAB9A	0.038005	0.001382	0.040447	0.002099
RAMP1	0.0	0.055843	0.357111	0.070595
RARRES2	0.119119	0.057338	0.048191	0.068794
RETN	0.085908	0.054773	0.103262	0.132916
RNASE1	1.0	0.065961	0.240385	0.048874
RNF122	0.045265	0.212729	0.066714	0.183968
RPL7	1.0	0.445846	0.658795	0.487773
RRAS	0.071436	0.069289	0.175327	0.067687
S100A12	0.026746	0.031593	0.032037	0.015118
S100B	1.0	0.051369	0.733697	0.124577
S100P	0.003349	0.00337	0.002061	0.0
SCRN1	0.0	0.584529	0.091967	0.546249
SDC1	0.014997	0.010852	0.013643	0.011842
SEC63	1.0	0.520648	0.481277	0.642074
SERPINF2	0.067162	0.121547	0.088539	0.10585
SETBP1	0.180787	0.398867	0.186146	0.385167
SF3A3	0.984728	0.901971	0.717988	1.0
SFTPD	0.081322	0.142886	0.095948	0.123864
SFXN3	0.629342	0.183806	0.781099	0.146943
SH3BP2	0.385159	0.723009	0.401916	1.0
SIDT1	0.074133	0.72767	0.166091	0.539695
SIGLEC6	0.039679	0.208815	0.076449	0.151545
SLC12A3	0.133767	0.392804	0.251305	0.343521
SLC15A3	0.014444	0.047301	0.027357	0.039379
SLC17A5	0.115525	0.093508	0.152281	0.099597
SLC1A4	0.028101	0.058468	0.475836	0.127012
SLC38A1	0.019111	0.767284	0.411306	0.767542
SLC4A1AP	0.264808	0.143959	0.217249	0.171035
SLC6A13	0.000239	0.059384	0.043883	0.000588
SLC7A7	0.015095	0.073178	0.058071	0.035264
SLCO2B1	0.031294	0.127111	0.21454	0.050395
SMARCD3	0.832622	0.34603	0.514082	0.292452
SOCS2	0.028411	0.010453	0.009626	0.010678
SPAG4	0.137547	0.050666	0.050791	0.039699
STAB2	0.573907	0.527109	0.509114	0.133613
STEAP4	0.09494	0.120198	0.09494	0.128561
SYNE1	0.320824	0.947898	0.393174	0.931579
TAGLN	0.108988	0.231779	0.104237	0.294029
TBC1D8	0.083626	0.192141	0.12214	0.128296
TCL1A	0.011089	0.283387	0.04929	0.63181
TFEC	0.178227	0.885695	0.643448	0.498079
TGM3	0.066239	0.0	0.069819	0.023102
TLL1	0.145632	0.115301	0.110527	0.145581
TLR5	0.066063	0.149727	0.116059	0.127793
TLR8	0.048185	0.1091	0.128946	0.076292
TM4SF5	0.102206	0.168166	0.154702	0.125227
TMC6	0.015891	0.504824	0.023773	0.432142
TMEM9B	0.13239	0.21282	0.126281	0.213434
TMF1	0.346959	0.428758	0.423636	0.445149
TNFRSF13B	0.049359	0.317985	0.084006	0.303198
TNFRSF25	0.076368	0.173802	0.113625	0.179347
TNNI2	0.169038	0.35821	0.213145	0.308168
TOMM22	0.459834	1.0	0.798887	0.88536
TOMM34	0.146941	0.078255	0.116092	0.10914
TRAF3IP2	1.0	0.456848	0.301534	0.484831
TRAK1	0.488656	0.897325	0.71531	0.785977
TRAT1	0.081904	0.523068	0.367244	0.452634
TREM1	0.081788	0.028067	0.071056	0.033496
TREML2	0.030267	0.324256	0.05107	0.485471
TRIB1	0.39921	0.055998	0.304721	0.061659
TSPAN7	0.507726	0.108788	1.0	0.181631
TUBB6	0.21438	0.045746	0.357498	0.033524
TULP2	0.445911	0.650691	0.40064	0.547022
TYRO3	0.965879	0.161195	1.0	0.292079
UBE2J1	0.038438	0.272326	0.049899	0.420275
ULK2	0.407629	0.240263	0.16253	0.181544
WEE1	0.677015	0.449264	0.679436	0.561756
YTHDF3	0.360411	0.183272	0.266547	0.188707
ZDHHC13	0.169763	0.362082	0.162594	0.400064
ZNF180	0.549805	0.864182	0.462555	0.748186
ZNF189	0.095069	0.247384	0.043136	0.290638
ZNF34	0.562328	0.536426	0.542891	0.509087
ZNF552	0.060652	0.116581	0.089458	0.108575
ZNF593	0.136353	0.116655	0.120161	0.118981
