Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
BANK1	0.000198	0.004822	0.000191	0.001204	0.866827	1.0	0.0	0.000274	0.000269
BCORP1	1.0	0.000454	0.00316	0.154098	0.0	0.0	0.0	0.0	0.532168
BEND7	0.004334	0.03724	1.0	0.0	0.015906	0.0	0.003582	0.0	0.0
BLK	0.004448	0.000633	5.4e-05	0.001065	1.0	0.912972	0.0	0.001973	0.005731
BLNK	0.000957	0.006362	0.000591	0.001399	1.0	0.838623	0.020788	0.0	0.0
BMX	0.015915	0.004939	1.0	0.001132	0.0	0.0	0.002921	0.0	0.0
BNC2	0.002482	0.000112	0.004633	1.0	0.003475	0.0	0.016441	0.002332	0.014355
BOK	0.002171	0.00037	0.000828	0.741472	0.005957	0.0	0.013406	0.0	0.002664
BTNL9	0.000488	0.002066	0.00903	0.006228	0.637838	0.568839	0.0	0.0	0.0
C11ORF45	0.002124	0.004645	0.0	0.000204	0.00137	0.001708	1.0	0.002716	0.009685
C1ORF186	0.001268	0.000427	0.000156	0.0	0.301908	0.027948	1.4e-05	0.005831	0.0
C4BPB	0.091478	0.001661	0.003003	0.0	0.006381	0.011128	0.0	0.010358	0.0
C4ORF50	0.006006	0.000616	0.004492	0.053258	0.013792	0.0	0.0	0.089077	0.374851
CA6	0.154859	0.000411	0.001468	0.0	0.0	0.0	0.0	0.018465	0.044358
CACHD1	0.244361	0.00228	0.101033	0.0	0.0	0.002616	0.001617	0.001255	0.0
CACNA1E	0.0	0.000722	1.0	0.0	0.003612	0.002595	0.000666	0.001035	0.0
CACNA1I	1.0	0.002971	0.008606	0.0	0.0	0.004997	0.0	0.483347	0.158707
CAMK4	1.0	0.004056	0.001389	0.001128	0.004537	0.002388	0.0	0.341435	0.225104
CAPN11	0.002829	0.003227	0.004921	0.0	0.0	0.0	0.750001	0.008618	0.0
CAV1	0.019203	4.6e-05	0.000116	0.0	0.000687	0.005972	0.001015	0.0	0.00019
CCL20	5e-05	1.0	0.004801	0.0	0.0	0.0	0.000815	0.00824	0.0002
CCL22	2e-05	2.8e-05	0.0001	0.0	0.00072	0.0	1.0	0.0	0.0
CCL3	0.0	1.0	0.003108	0.017998	5e-05	0.000606	0.011245	2.8e-05	0.000184
CCL3L3	0.0	1.0	0.037533	0.001333	0.0	0.001123	0.009388	0.001758	0.000358
CCL4	7.5e-05	1.0	0.011922	0.127532	0.0	0.000194	0.00262	0.000769	0.040245
CCL4L2	0.0	1.0	0.069078	0.06012	0.00053	0.00048	0.016179	0.000842	0.010122
CCL5	0.006053	0.01047	0.0	0.96982	0.001266	0.000129	0.000356	0.124488	1.0
CCNA1	5.7e-05	0.000155	0.007055	0.0	0.0	0.004624	0.52061	0.0	0.0
CCR3	0.000395	0.002433	1.0	0.001459	0.00467	0.000785	0.00056	0.0	0.007805
CCR4	0.014984	0.005578	0.0014	0.0	0.000721	0.000569	0.00151	1.0	0.232074
CCR5	0.002989	0.051257	0.008622	0.026638	0.002003	0.0	0.272314	0.07155	0.788459
CCR8	0.030366	0.000128	0.002681	0.0	0.0	0.0	0.0	0.931667	0.263473
CD160	0.000352	0.000885	0.000565	1.0	0.000394	0.000802	0.0	0.000578	0.167643
CD19	0.000729	0.000909	0.00544	0.001166	0.917461	1.0	0.000453	0.000254	0.0
CD1C	0.0	0.080506	0.000524	0.000646	1.0	0.063528	0.001198	0.000563	0.0
CD200	0.026488	0.000661	0.012188	0.000941	0.046177	1.0	0.0	0.006551	0.000433
CD24	2.5e-05	2.4e-05	0.001777	7.1e-05	0.026705	0.007111	1.3e-05	0.0	0.0
CD300E	1.5e-05	1.0	0.005152	0.000251	0.00023	0.000351	0.000297	7.9e-05	0.0
CD34	0.078493	0.013257	0.003442	0.003848	0.0	0.0	0.001154	0.0	0.0
CD3D	0.80601	0.003048	0.000824	0.037036	0.0	0.0	2.9e-05	0.8747	1.0
CD3G	0.626809	0.004106	0.001433	0.047682	0.0	0.0	0.0	0.841348	1.0
CD40LG	0.382047	0.004337	0.003988	0.002424	0.0	0.001602	0.0	1.0	0.05671
CD5	0.664497	0.006692	0.003147	0.003677	0.005906	0.010507	0.0	1.0	0.468214
CD70	0.007107	0.000965	0.002803	0.005696	1.0	0.0	0.000739	0.132505	0.120975
CD79A	0.002268	0.000351	0.00158	0.002223	0.879383	1.0	0.000803	0.0	0.000497
CD8A	5.3e-05	0.002326	0.000666	0.072755	0.0	7.8e-05	2.9e-05	0.001436	1.0
CD8B	0.002672	0.001664	0.000342	0.00407	0.0	0.0	0.0	0.00183	1.0
CD9	0.000877	0.00957	0.01048	0.0	0.001045	0.005943	1.0	0.000743	0.00044
CDH2	0.007856	0.000722	0.443289	0.002691	0.0	0.0	0.0	0.0	0.00251
CDO1	0.01185	0.0	0.012738	0.0	0.029365	0.032838	0.0	0.170192	0.004389
CFH	0.016394	0.005867	0.003169	0.042851	0.0	0.0	0.000295	0.548211	0.179298
CHIT1	0.000116	0.001525	0.01223	2.4e-05	0.000571	0.000867	1.0	2e-05	0.0
CHL1	0.000762	0.000291	0.005292	0.0	0.545216	0.996034	0.0	0.0	0.0
CHN1	0.048593	0.003879	0.051446	0.02066	0.002054	0.017603	0.0	1.0	0.190737
CHSY3	0.001751	0.000439	0.00388	0.403908	0.0	0.0	0.016247	0.0	0.0
CLDN9	0.000288	0.001774	0.618703	0.0	0.0	0.0	0.009685	0.001896	0.0
CLEC10A	0.000188	0.566772	0.001084	0.000255	0.0	0.000876	0.01466	0.001497	0.0
CLEC17A	7.8e-05	0.015021	0.007533	0.00059	0.994551	1.0	0.000453	0.0	0.0
CLECL1	0.003286	0.030843	0.0	0.000426	1.0	0.02342	0.078834	0.062167	0.085814
CLIC3	0.000271	0.000167	0.0	1.0	0.001041	0.000375	0.000607	0.005866	0.050466
CMTM2	7.8e-05	0.009871	1.0	0.000613	0.0	0.0	5.5e-05	0.000428	0.000395
CNTNAP2	0.001648	2.2e-05	0.002083	0.001253	0.066221	1.0	0.0	0.0	0.0
CNTNAP3	0.000608	0.000434	1.0	0.0	0.002837	0.0	7e-06	0.000178	0.000326
COBLL1	0.002356	0.001293	0.002439	0.001094	0.88116	1.0	0.001548	0.000307	0.0
COL19A1	0.001	5.7e-05	0.000134	0.000374	0.138914	1.0	0.0	0.0	0.0
COL4A3	0.002239	0.000265	0.0003	0.002749	1.0	0.037549	0.0	0.001544	0.001688
COL4A4	0.006534	0.000353	0.001603	0.020635	1.0	0.057511	0.0	0.003105	0.00461
COL5A3	0.014939	0.002907	0.012228	0.061986	0.0	0.0	0.042754	0.947575	1.0
CORO2B	0.000541	0.000428	0.002761	0.0	0.012756	0.355016	0.000144	0.0	0.0
CPA5	0.303901	0.0	0.001978	0.0	0.0	0.0	0.002063	0.347094	0.469036
CPNE5	0.004269	0.00325	0.013503	0.002489	1.0	0.262514	0.0	0.002929	0.004249
CPNE7	0.00904	0.0	0.011887	0.012376	0.0	0.0	0.003122	0.279268	0.192163
CPVL	0.000433	0.322236	0.001219	9.1e-05	0.0	0.000112	0.091755	0.000158	0.000126
CRABP2	0.00034	0.00074	0.00901	0.000151	0.000202	0.000406	1.0	0.000102	0.0
CSF3R	2.1e-05	0.051186	1.0	2e-05	1.6e-05	5.6e-05	0.007453	4e-06	0.0
CSPG4	0.003233	0.001372	0.004745	0.0	0.0	0.0	1.0	0.005021	0.0
CTAG2	0.008881	1.0	0.010027	0.0	0.0	0.0	0.118357	0.0	0.020847
CTLA4	0.743183	0.00386	0.001686	0.007545	0.0	0.0	5.5e-05	1.0	0.255145
CXCL10	0.000362	0.245509	0.004589	0.000966	0.002661	0.0	0.003853	0.0	0.0
CXCL2	0.000557	1.0	0.035421	0.001125	0.0	0.00227	0.011244	0.0	0.0
CXCR1	0.0	0.000912	1.0	0.017696	4.8e-05	3e-05	0.000309	6.3e-05	0.000498
CXCR2	4e-06	0.002071	1.0	0.01427	0.0	0.0	9.6e-05	0.0	0.000343
CXCR3	0.009778	0.002005	0.001802	0.127554	0.167729	0.006934	0.0	0.447404	1.0
CXCR6	0.005971	0.001057	0.002838	0.059146	0.0	0.004557	0.00056	0.105937	1.0
CYP26B1	0.000664	0.000103	0.827087	0.012286	0.0	0.0	0.0	0.0	0.00333
CYP4F3	4.7e-05	0.007322	1.0	0.0	0.0	0.000139	0.000136	0.0	0.000208
DAB1	0.057809	0.000126	0.016643	0.02018	0.0	0.004245	0.0001	0.349327	0.048507
DACT1	1.0	0.002004	0.019622	0.001723	0.017314	0.086944	0.01265	0.076415	0.0
DGKK	0.0	0.000355	0.011394	1.0	0.01218	0.0	0.0	0.0	0.074026
DKK3	0.025618	0.0	0.006054	0.004673	0.009616	0.003445	0.0	0.00656	0.160469
DNAAF1	0.0	1.0	0.043463	0.006088	0.006519	0.003652	0.001379	0.001668	0.004182
DNAJC5B	0.000479	0.026396	0.001339	0.00397	0.724173	0.075366	0.174929	0.0	0.0
DOK7	2.4e-05	0.000399	0.004435	0.259093	0.985619	0.135304	0.0	0.002511	0.004281
DSC1	1.0	0.000492	0.012261	0.012777	0.0	0.0	0.0	0.060652	0.018618
DSP	1.7e-05	1.1e-05	0.000371	0.0	0.002279	0.045537	0.007447	6.7e-05	0.0
DUSP4	0.015789	0.0	0.010169	0.000448	0.00923	0.000471	0.005867	0.427453	0.085154
EBF1	0.001914	0.003005	0.006718	0.002516	0.816603	1.0	0.0	0.001195	0.00173
EBI3	0.00234	0.012258	0.002923	0.008668	0.69339	0.086423	0.003812	0.0	0.0
ECSCR	0.260067	0.006495	0.005367	0.0	0.0	0.0	0.021495	0.048269	0.0
EDAR	1.0	0.000274	0.00092	0.0	0.0	0.0	0.0	0.077888	0.010739
EDARADD	0.014749	0.001806	0.002436	0.126079	0.0	0.0	0.0005	0.193166	0.469658
EGR1	0.0	1.0	0.047649	0.001117	0.045136	0.003891	0.000814	0.000156	0.000224
ELOVL4	0.034092	0.001023	0.003604	0.013024	0.0	0.0	0.00032	0.433718	0.213367
EML6	0.008419	0.007466	0.038297	0.008969	1.0	0.083443	0.0	0.004845	0.008333
EMP1	0.001887	0.008509	0.000383	0.00028	0.0	0.0	1.0	0.002669	0.00077
ENAH	0.000863	0.000135	0.000699	0.0004	0.000966	0.023788	0.000945	0.0	0.0
ENHO	0.004138	0.178681	0.006336	0.002716	0.0	0.0	0.002136	0.004417	0.006167
EPB41L1	0.002549	0.001633	0.006828	0.004407	0.002354	0.0	1.0	0.001352	0.001112
EPHB1	0.0	0.001166	1.0	0.000266	0.00064	0.000532	0.007359	0.000259	0.000337
EPHX2	1.0	0.003804	0.002745	0.010537	0.014437	0.010353	0.0	0.259304	0.101387
ERBB2	0.01442	0.0	0.014727	1.0	0.008617	0.020513	0.001425	0.00495	0.035355
EREG	0.000714	1.0	0.007468	0.000505	0.0	0.000996	0.002295	0.0	0.0
ESPN	0.011264	0.0	0.001346	0.01891	0.0	0.0	0.012528	0.179147	0.083161
ESPNL	0.003955	0.000442	0.020422	0.008716	1.0	0.023817	0.0	0.01019	0.003959
ESR2	0.003409	0.000823	0.044926	0.015693	0.967496	0.310985	0.0	0.00331	0.009227
F13A1	0.001133	0.4454	0.020196	0.00048	0.001193	0.002299	0.00427	0.004652	0.0
FABP3	0.0	2.2e-05	0.000361	0.000317	0.0	0.0	1.0	0.000283	0.0
FAM111B	0.000404	0.0	4e-05	0.013706	0.331321	1.0	0.044452	0.002964	0.008141
FAM129C	0.00026	0.001687	0.011597	0.001109	0.97485	1.0	0.0	0.000207	0.000272
FAM153A	1.0	0.003466	0.000238	0.00153	0.007035	0.035012	0.0	0.295338	0.024769
FAM177B	0.003292	0.000602	0.061359	0.001798	0.219604	1.0	0.0	0.001764	0.001562
FAM184A	1.0	0.000321	0.007956	0.007715	0.020137	0.032078	0.0	0.168887	0.09479
FAM19A1	0.498313	0.001231	0.005685	0.129996	0.0	0.020596	0.0	0.580286	1.0
FAM69B	0.008484	0.000459	0.00123	0.004496	0.065618	1.0	0.0	0.00382	0.003051
FASLG	0.001541	0.000345	0.00135	1.0	0.00174	0.001943	0.0	0.011282	0.154142
FAT4	0.019868	0.0	0.002591	0.977413	0.0	0.005716	0.0	0.0	0.006488
FBLN2	0.005454	0.008746	0.001255	0.031685	1.0	0.226358	0.001838	0.0	0.026092
FBLN7	0.524043	0.004392	0.007533	0.009148	0.022477	0.005263	0.0	1.0	0.036827
FBN2	0.001521	0.688965	0.180176	0.0	0.0	0.001829	0.008367	0.0	0.0
FCER1A	0.004272	0.28693	0.006197	0.00461	0.002986	0.0	0.000597	0.00093	0.0
FCER2	8.3e-05	0.006692	0.004809	0.000665	0.15274	1.0	0.0029	0.0	5.9e-05
FCGR3B	4e-06	0.000293	1.0	0.00142	1.3e-05	0.0	1.2e-05	0.0	6e-05
FCN1	6e-06	1.0	0.044987	7e-05	2.4e-05	0.000109	0.002011	9e-06	0.0
FCRL1	0.000547	0.000274	0.006032	0.001282	0.417033	1.0	0.0	0.000104	0.000211
FCRL2	0.000395	0.000359	0.002461	0.00107	0.744453	1.0	1.7e-05	0.0	8.3e-05
FCRL5	0.00131	0.000449	0.000146	0.001037	0.635417	1.0	0.0	0.0	0.0
FCRLA	6.6e-05	0.000589	0.000613	0.000943	1.0	0.519299	0.002312	0.0	0.0
FEZ1	0.005607	0.016437	0.004593	1.0	0.002221	0.0	0.001542	0.006351	0.098583
FGFBP2	0.001934	0.000974	0.001144	1.0	0.000635	0.000773	0.0	0.001641	0.204678
FGFR2	0.00036	0.001045	0.005799	0.007719	0.0	0.0	0.0	0.018322	0.066574
FHIT	1.0	0.009896	0.0	0.015355	0.006082	0.025153	0.032993	0.188222	0.010924
FLT4	0.305584	0.015296	0.005497	0.026383	0.0	0.0	0.00127	0.276914	0.907579
FRMD7	0.004707	0.791682	0.049289	0.012871	0.0	0.0	0.000601	0.0	0.0
GALNTL6	0.0	0.003208	0.006073	0.0035	1.0	0.067964	0.005268	0.0	0.0
GDF15	0.000516	0.004269	0.02054	0.000715	0.000723	0.0	1.0	0.000207	0.0
GDF7	0.007489	0.0	0.006045	0.002766	1.0	0.172728	0.000227	0.05877	0.003492
GFPT2	0.003685	6.9e-05	0.00145	0.02708	0.0	0.023635	0.00566	0.0159	0.124136
GNAT2	0.002592	0.006296	0.56045	0.0	0.0	0.0	0.008898	0.0	0.00481
GNLY	0.001358	0.001023	0.000968	1.0	0.000407	0.000583	0.0	0.002775	0.102297
GPC4	0.0	0.000918	0.00827	0.0	0.000418	0.00573	1.0	0.0	0.0
GPM6A	7.4e-05	0.000133	0.000296	0.001052	1.0	0.081547	0.0	0.0	0.0
GPNMB	0.0	0.000297	7e-06	0.0	2.3e-05	5.6e-05	0.869741	1.4e-05	7e-06
GPR15	0.051084	0.012599	0.000926	0.049476	0.01457	0.0	0.0	1.0	0.16376
GPR171	0.444486	0.002937	0.022728	0.102233	0.001791	0.013961	0.0	0.87103	1.0
GPRC5B	0.049589	0.000362	0.000971	0.0	0.0	0.0	0.007394	0.010068	0.002084
GREM2	0.049904	0.000517	0.00346	0.031528	0.0	0.0	0.0	0.907796	0.034952
GRIK4	0.001784	0.000297	0.002493	1.0	0.0	0.071118	0.001505	0.0	0.0
GSDMA	0.031126	0.00047	0.001347	0.016045	0.0	0.0	0.001595	0.018282	0.208462
GZMB	0.000452	0.000694	0.000413	1.0	0.000648	0.000461	0.0	0.000187	0.090278
GZMK	0.016857	0.001377	0.000833	0.025464	0.0	0.0	5e-06	0.159895	1.0
HBG2	1.0	0.033294	0.039379	0.01244	0.004397	0.025056	0.000867	0.0	0.0
HEATR9	0.007081	0.015315	0.002709	0.158415	0.0	0.0	0.0	0.016449	0.243546
HEY1	0.001451	0.008624	0.948833	0.003714	0.0	0.0	0.004485	0.0	0.00123
HIST1H1T	0.00117	0.002309	1.0	0.0	0.0	0.0	0.001816	0.003517	0.0
HKDC1	0.390695	0.000265	0.001083	0.002292	0.0	0.0	0.001421	0.311569	0.140908
HLF	0.03191	0.002674	0.010303	0.0086	0.0	0.0	0.00027	0.67379	0.046887
HMSD	0.0	0.178867	0.007675	0.004325	0.0	0.0	0.002133	0.0	0.003719
HPCAL4	0.761793	0.002168	0.00691	0.008892	0.004721	0.0	0.0	1.0	0.067366
HRH4	0.020302	0.0	0.084947	0.013527	0.007657	0.005259	0.007822	0.425509	0.027398
HSD3B7	0.000559	0.00525	0.019761	0.000109	0.001211	0.001589	1.0	0.0	0.000129
ICOS	1.0	0.004772	0.001328	0.008148	0.0	0.000675	0.0	0.847677	0.24098
IER3	0.003586	1.0	0.130091	0.002431	0.0	0.000819	0.040497	0.001687	0.002068
IFNG	0.019416	0.002251	0.001263	0.577843	0.0	0.029735	0.0	0.266239	0.630236
IGFBP3	0.009065	0.000473	0.000296	0.004356	0.000357	0.0	0.0	0.036252	0.058734
IGFBP6	0.002296	0.001517	0.00036	0.000643	0.00344	0.0	0.049008	0.011121	0.058743
IGLL5	0.018977	0.000333	0.000124	0.001155	0.400389	1.0	0.0	0.0	0.0
IGSF9B	0.531525	0.003685	0.003931	0.029962	0.00979	0.0	0.0	0.627817	0.178589
IL1A	3.6e-05	1.0	0.020292	0.001158	0.004991	0.005396	0.004031	0.0	0.0
IL1B	9e-06	1.0	0.030088	8.2e-05	1e-05	0.000131	5.5e-05	1e-05	0.0
IL1R2	0.0	0.010654	1.0	0.0	0.0	0.0	0.002846	0.000319	0.000305
IL6ST	1.0	0.092576	0.031246	0.0	0.003034	0.01842	0.025742	0.111052	0.006181
INHBB	3.5e-05	0.001138	0.199937	0.000843	0.0	0.0	0.000214	0.0	0.0
INPP4B	1.0	0.007382	0.001004	0.002235	0.0	0.002179	0.000357	0.7603	0.335186
IQGAP3	0.001167	0.002749	0.006339	0.002052	0.0	0.0	0.476035	0.0	0.000994
ISM1	0.749017	0.000422	0.002722	0.0	0.0	0.0	0.075096	1.0	0.102704
ITGB5	0.000775	0.004763	6.3e-05	0.0	0.000198	0.000193	0.626198	0.001597	0.001679
JAKMIP1	0.010258	0.001435	0.000686	0.098022	0.00174	0.001764	0.0	0.272158	1.0
JCHAIN	0.140961	0.001697	0.001957	0.001091	1.0	0.157708	8e-06	0.0	8.8e-05
KCNG1	0.0	0.000219	0.000281	0.0	0.019515	1.0	0.00317	0.0	0.0
KCNH8	0.00089	0.000643	0.001597	0.000572	0.076618	1.0	8.1e-05	0.000755	0.0
KCNJ15	0.000248	0.019913	1.0	0.0	0.0	0.0	0.000352	0.000141	0.0
KHDRBS2	0.000414	0.017482	0.000572	0.001364	0.440131	1.0	0.000243	0.0	0.0
KIAA1257	0.008893	0.008972	1.0	0.003032	0.00345	0.0	0.000896	0.003773	0.002771
KIAA1671	0.031	0.000822	0.001367	0.147	0.0	0.002352	0.008081	0.014107	0.235471
KIR2DL1	0.000777	0.000608	0.019759	1.0	0.0	0.0	0.0	0.0	0.00356
KIR2DL4	0.001751	0.007704	0.033221	0.878966	0.0	0.0	0.002494	0.0	0.008353
KIR2DS4	0.002241	0.008963	0.00716	1.0	0.0	0.0	0.0	0.012537	0.053564
KIR3DL1	0.000236	0.001607	0.026429	1.0	0.0	0.0	0.0	0.0	0.099978
KIR3DL2	0.01548	0.003122	0.009899	1.0	0.0	0.0	0.00025	0.056114	0.054456
KIR3DX1	0.001306	0.001353	0.001991	0.734595	0.0092	0.0	0.000564	0.0	0.027245
KLF4	0.0	1.0	0.099691	0.000618	0.005423	0.017207	0.009544	0.006818	9.5e-05
KLHL14	0.001394	0.000902	0.000411	0.001146	0.624002	1.0	0.0	0.0	0.0
KLRC1	0.002817	0.000333	0.000462	1.0	0.0	0.0	0.0	0.0	0.163278
KLRC2	0.001753	0.000189	0.00023	1.0	0.001365	0.0	0.0	0.0	0.106905
KLRC3	0.002251	0.001686	0.002154	1.0	0.0	0.0	0.0	0.0	0.13654
KLRD1	0.000828	0.001641	0.006382	1.0	0.001145	3.8e-05	0.0	0.000621	0.422995
KLRF1	0.00083	0.000784	0.000732	1.0	0.001064	0.000323	0.0	0.00012	0.042888
KLRG1	0.041295	0.004695	0.0	0.466035	0.001516	0.005466	0.010139	0.16765	1.0
KRT1	0.0169	0.003681	0.002096	0.0	0.0	0.0	0.000943	1.0	0.005375
KRT23	3.4e-05	0.01206	1.0	0.000227	0.0	0.0	0.000105	0.000216	0.000326
KRT72	1.0	0.000872	0.001847	0.090932	0.0	0.0	0.0	0.088014	0.006797
KRT73	1.0	0.001493	0.004743	0.126224	0.0	0.0	0.000196	0.097105	0.008489
LAG3	0.027238	0.003865	0.032929	0.108775	0.0	0.0	0.002113	0.04549	1.0
LCN10	0.015364	0.000676	0.000625	0.001118	0.603526	1.0	0.0	0.003357	0.004056
LCN2	0.00047	0.003509	0.171374	0.0	0.001352	0.002029	0.0	0.000584	0.0
LDLRAD3	0.001749	0.397465	0.005762	0.000879	0.0	0.003018	0.050808	0.0	0.0
LEF1	1.0	0.001675	0.000292	0.005544	4.5e-05	0.001108	0.0	0.196842	0.072359
LGALS9B	0.002761	0.000135	0.047344	1.0	0.0	0.005372	0.008035	0.001029	0.001622
LGR6	0.006148	0.00185	0.005721	1.0	0.004852	0.007835	0.0	0.007589	0.229917
LILRA4	0.001829	0.021026	0.192855	0.00417	1.0	0.01547	0.033586	0.007024	0.0
LIM2	0.000473	0.0	0.002223	1.0	0.0	0.0	0.0	0.003894	0.026857
LINGO2	0.000543	5.4e-05	0.001517	0.708064	0.0	0.005201	0.0	0.0	0.001741
LMF1	1.0	0.006756	0.001955	0.001097	0.018338	0.0	0.04594	0.244425	0.08818
LPL	2.5e-05	0.000947	9.2e-05	0.0	0.0	3.6e-05	1.0	0.0	7e-05
LRRC4	0.0	0.035292	1.0	0.001879	0.004431	0.002998	0.000376	0.000582	0.001144
LRRC43	0.007398	0.008697	0.021799	0.833914	0.0	0.0	0.010871	0.0	0.032444
LRRC7	0.175385	0.00097	0.002654	0.001113	0.0	0.0	0.00049	0.00098	0.0
LRRN3	1.0	0.005598	0.005059	0.0	0.001988	0.008252	0.000265	0.105713	0.044323
LTF	0.000481	0.001377	1.0	0.003959	0.0	0.009803	0.002982	0.0	0.0
LTK	0.030105	0.003633	0.002583	0.009206	0.213476	0.029873	0.0	1.0	0.698553
LYVE1	3.4e-05	4.6e-05	0.004171	0.0	4.7e-05	8.2e-05	0.0	0.0	0.0
LYZ	7.4e-05	1.0	0.027438	4.4e-05	5e-06	0.000117	0.122283	8.7e-05	0.0
MACROD2	0.00135	0.000849	0.001331	0.003559	0.024047	0.219747	0.002094	0.0	0.0
MAK	0.000207	0.0478	1.0	0.0007	0.001331	0.001567	0.0	0.002178	0.001203
MAL	1.0	0.002265	0.001141	0.0	0.000417	0.000569	0.0	0.846839	0.05281
MANSC1	0.011345	0.016805	1.0	0.0	0.001079	0.004098	0.003189	0.002701	0.001356
MB21D2	0.149328	0.051859	0.00048	0.003865	0.020171	0.0	0.050157	1.0	0.036782
MEOX1	0.135272	0.002929	0.001638	0.0	0.0	0.0	0.000232	0.496167	0.090072
METTL7B	0.0	0.006871	0.00092	0.0	0.00425	0.011722	0.901003	0.0	0.0
MGAM	0.000122	0.01187	1.0	0.049684	0.000186	0.0	0.000115	0.0	0.000458
MLC1	0.002565	0.02108	0.010268	1.0	0.000364	0.001776	0.0	0.000344	0.015084
MMP1	0.128759	0.00146	0.002951	0.0	0.009061	0.0	0.015383	0.0	0.0
MMP19	0.000103	0.014624	0.000285	0.001011	0.001317	0.0	1.0	0.0	0.000274
MMP25	8.4e-05	0.005913	1.0	0.00049	3.8e-05	0.0	5.6e-05	0.000297	0.000443
MMP28	1.0	0.001578	0.001166	0.0	0.016163	0.0	0.001973	0.036541	0.015963
MMP9	4e-06	0.000264	0.040288	5e-06	0.0	0.0	1.0	2.5e-05	0.0
MOXD1	0.002143	2.4e-05	0.001582	0.000762	0.04824	0.134717	0.000879	0.0	0.000783
MS4A1	0.000113	0.00132	0.000183	0.001177	0.81396	1.0	0.0	0.000671	0.010007
MS4A3	0.004933	0.01743	0.586202	0.002178	0.0	0.0	0.002226	0.0	0.0
MS4A4E	0.0	0.507703	0.019755	0.0	0.004314	0.003404	0.003382	0.0	0.001756
