Gene	LAU125	LAU355	LAU1255	LAU1314
FASLG	0.099321	0.455146	0.635557	0.474882
FAT4	0.938009	0.281153	0.387834	0.242916
FBLN2	1.0	0.624626	0.341261	0.764386
FBLN7	0.860429	0.591752	1.0	0.667016
FCER2	0.007933	0.617649	0.017589	1.0
FCGR3B	0.000445	0.001055	0.001386	0.001012
FCN1	0.003461	0.011828	0.012013	0.004503
FCRL1	0.009624	0.265601	0.02615	0.266714
FCRL2	0.019768	0.303849	0.033469	0.155135
FCRL5	0.020451	1.0	0.056075	0.276865
FCRLA	0.02105	0.872219	0.128738	1.0
FEZ1	1.0	0.114827	0.273595	0.176172
FGFBP2	0.014705	0.016789	0.022937	0.015756
FGFR2	0.243124	0.856564	0.481806	1.0
FHIT	0.091364	0.134092	0.103518	0.075014
FLT4	0.275724	1.0	0.45177	0.921379
FMN1	0.214296	0.33194	0.19473	0.300079
FN1	0.188882	0.002815	1.0	0.003227
FPR3	0.177604	0.441298	1.0	0.231168
FXYD2	0.025518	0.467572	0.301859	0.447693
FXYD6	0.140372	0.237074	1.0	0.209002
GALNTL6	0.484385	0.505647	0.395012	0.526056
GDF7	0.133062	0.895805	0.26932	1.0
GFPT2	0.89791	0.219176	1.0	0.291726
GLP1R	0.0	0.83453	0.023489	1.0
GNAT2	1.0	0.775789	0.580875	0.41505
GNG12	1.0	0.025006	0.906169	0.055817
GNLY	0.002983	0.025926	0.013255	0.040563
GPM6A	0.038947	0.262193	0.0999	0.222231
GPR15	0.053578	0.551696	0.270893	0.317148
GPRC5B	1.0	0.05671	0.545212	0.076753
GREM2	0.002332	1.0	0.35524	0.755047
GRIK4	0.236094	0.576116	0.234725	0.455115
GSDMA	0.40663	0.964154	0.85798	1.0
GZMB	0.004577	0.103029	0.121476	0.090909
GZMK	0.010192	0.282558	0.460918	1.0
HBG2	0.107302	0.084371	0.010544	0.065901
HBQ1	1.0	0.196723	0.137077	0.255139
HCG23	0.350974	1.0	0.404127	0.811806
HEY1	0.456199	0.177183	1.0	0.312992
HIST1H1T	0.030603	0.008978	0.230027	0.001553
HLF	0.377298	0.714511	0.522535	0.433707
HNMT	0.758898	0.269872	0.961232	0.143136
HPCAL4	0.452364	0.718493	0.557412	0.645312
HRH4	0.489367	1.0	0.32179	0.728818
HSD11B1	0.122825	0.461182	1.0	0.964927
IGFBP3	1.0	0.003165	0.007847	0.004807
IGFBP6	1.0	0.587116	0.468005	0.245499
IGLL5	0.034908	0.615965	0.266764	1.0
IL1A	0.046276	0.220803	0.126023	0.287826
IL1B	0.002068	0.013327	0.006987	0.005844
IL1R2	0.011437	0.04173	0.050694	0.0351
INHBB	0.571719	0.54019	0.299257	0.948857
ISM1	0.261064	0.531153	1.0	0.454302
JAKMIP1	0.031839	0.239977	0.443973	0.284358
JCHAIN	0.005032	0.375908	0.22587	1.0
KCNG1	0.046552	0.222647	0.040365	0.233371
KCNH8	0.157989	0.455029	0.22735	0.425564
KCNJ15	0.013645	0.021719	0.036489	0.025427
KHDRBS2	0.0	0.405662	0.122585	0.368493
KIAA1257	0.236301	0.308066	0.229732	0.250108
KIAA1671	0.885664	0.838249	1.0	0.888759
KIR2DL1	0.008112	0.512511	0.311218	0.749957
KIR2DL3	0.322863	0.645712	0.370296	0.549006
KIR2DL4	0.053441	0.65714	0.927122	1.0
KIR2DS4	0.771066	0.012004	0.0	0.055538
KIR3DL1	0.226082	0.683869	0.442854	0.74323
KIR3DX1	0.513714	1.0	0.706212	0.999352
KLHL14	0.511448	0.462104	0.134307	0.401833
KLRC1	0.029332	0.099305	0.064343	0.098011
KLRC2	0.081383	0.14816	0.127962	0.142556
KLRC3	0.167425	0.319032	0.40517	0.327225
KLRF1	0.010249	0.041091	0.016968	0.039069
KLRG1	0.017241	0.060289	0.05189	0.103706
KRT1	0.059871	0.55724	0.372077	0.115996
KRT23	0.0	0.000135	0.033925	0.000119
KRT72	0.055499	0.305301	0.146688	0.135747
KRT73	0.019527	0.411524	0.143327	0.121143
LAG3	0.069203	0.263153	1.0	0.315834
LAMC3	1.0	0.438673	0.586886	0.279302
LARGE1	0.183546	0.17064	0.500613	0.200059
LDB2	0.204868	0.502912	0.515214	1.0
LDLRAD3	1.0	0.143451	0.903099	0.147622
LEF1	0.408085	0.288011	0.13515	0.13515
LEF1-AS1	0.225271	0.211001	0.067762	0.208802
LGALS17A	0.309106	0.781774	1.0	0.517379
LGALS2	0.022392	0.278021	0.131703	0.159371
LGALS9B	0.062179	0.26041	0.053127	0.208614
LILRA4	0.052959	1.0	0.204365	0.811463
LIM2	0.002223	0.132414	0.107827	0.210866
LINC00494	0.161491	1.0	0.197885	0.480261
LINC00892	0.138903	0.500598	0.190958	0.469913
LINC00926	0.009987	0.10568	0.015937	0.132036
LINC01340	1.0	0.128482	0.397841	0.714792
LINC01505	0.827067	0.193505	1.0	0.152865
LINC01550	0.092386	0.366117	0.152845	0.284674
LINGO2	1.0	0.113428	0.067293	0.010431
LMF1	0.525876	0.632828	0.496644	0.539427
LOC100289473	0.059068	0.030336	0.01577	0.0
LOC100507387	0.030328	0.153156	0.093885	0.078072
LOC100996286	0.096461	0.880989	0.090567	0.458673
LOC101927412	0.061893	0.725682	0.112188	0.767056
LOC101927482	0.297061	0.973453	0.488275	1.0
LOC101927740	0.444167	0.945972	0.421111	1.0
LOC101928307	1.0	0.153283	0.136681	0.0
LOC101929633	0.72128	0.581297	0.328963	0.82817
LOC102724714	0.019062	1.0	0.068471	0.566117
LOC105374836	0.015089	0.142186	0.092569	0.074264
LOC254896	0.002885	0.002024	0.00194	0.002121
LOC283194	0.100899	0.413504	0.144417	0.541117
LOC541472	0.290472	0.895381	0.369089	1.0
LOC730102	1.0	0.265087	0.698907	0.309668
LPAR3	0.144676	0.302725	1.0	0.660748
LRIG3	0.915533	0.200474	1.0	0.204752
LRP1	0.24878	0.083521	0.156934	0.047047
LRRC43	0.140737	0.0	0.670027	0.17781
LRRC7	1.0	0.308033	0.074523	0.065512
LRRN3	0.420066	0.605982	0.193	0.319351
LTF	0.019623	0.224086	0.458135	0.23798
LYZ	0.001064	0.125876	0.081091	0.037301
MACROD2	0.461525	0.759012	0.27084	1.0
MAF	0.828848	0.4347	0.336319	0.476082
MAL	0.025719	0.26408	0.212021	0.174516
MB21D2	0.082944	0.251469	0.236481	0.218407
MCOLN3	1.0	0.108534	0.492003	0.33018
ME1	0.848428	1.0	0.737661	0.512948
MEOX1	0.13813	0.733035	0.400027	1.0
MIR181A2HG	0.588808	0.458364	0.490651	0.870706
MIR4432HG	0.15904	0.799203	0.496815	1.0
MIR5196	0.008876	1.0	0.035195	0.892732
MIR663AHG	0.004936	1.0	0.013176	0.457428
MIR99AHG	1.0	0.350684	0.5649	0.016701
MITF	0.974069	0.006644	1.0	0.006007
MLC1	0.1204	0.119359	0.054418	0.119519
MME	0.035738	0.006738	1.0	0.012947
MMP1	1.0	0.643184	0.475193	0.400795
MMP25	0.000273	0.005429	0.004012	0.004521
MMP9	0.124517	0.163975	0.080597	0.098722
MS4A4A	0.266746	0.977326	1.0	0.294868
MS4A6A	0.030822	0.448287	0.464725	0.099424
MT1E	0.546865	0.322008	0.986292	0.589278
MTMR11	0.6338	0.119195	0.22004	0.064123
MYCL	0.092808	0.446304	0.19516	0.459207
MYO1B	1.0	0.064688	0.26033	0.092184
MYOF	0.529771	0.215837	1.0	0.135637
NCAM1	1.0	0.135851	0.059232	0.123899
NCR1	0.010982	0.044876	0.030521	0.038306
NETO1	0.058533	0.405013	0.119267	0.40671
NID1	1.0	0.061382	0.092431	0.068069
NLGN4Y	1.0	0.068566	0.376982	0.71895
NMUR1	0.036351	0.102566	0.064264	0.094525
NOG	0.381122	0.407195	0.130911	0.333456
NPAS2	0.190375	0.07117	1.0	0.070713
NPDC1	0.093391	0.164846	0.283579	0.210592
NRCAM	1.0	0.119442	0.139094	0.133607
NRG1	0.215283	0.219287	0.128183	0.214658
NSG1	0.131793	0.027903	1.0	0.027354
NTN4	0.557959	0.371008	1.0	0.334234
NTNG1	0.057341	0.255694	1.0	0.425531
NXPH4	1.0	0.069063	0.064354	0.062503
OLFM1	1.0	0.458709	0.46901	0.377583
OLFM4	0.0	0.917924	0.245721	0.594159
OSBPL10	0.14931	0.419216	0.389151	0.433633
OTX1	0.556176	0.24141	0.757364	0.019165
PACSIN1	0.182449	0.728304	0.446524	1.0
PANX2	0.080875	0.074531	0.083352	0.053168
PAQR5	1.0	0.007051	0.731907	0.177157
PARM1	0.107286	0.718542	0.58299	1.0
PAX5	0.034885	1.0	0.079995	0.973447
PCDH1	1.0	0.057438	0.336829	0.075823
PCDH9	0.513675	0.584283	0.272302	0.736031
PCSK1N	0.359647	0.489602	0.437238	0.342258
PDCD1	0.076463	0.942345	0.627356	1.0
PDGFB	0.366567	0.808893	0.791839	1.0
PDGFD	1.0	0.069308	0.260997	0.104518
PHOSPHO1	0.0	0.02799	0.013536	0.028294
PI16	0.097441	0.196445	0.133309	0.217338
PI3	0.00062	0.0	0.0	0.031287
PID1	0.07419	0.209056	0.106655	0.171887
PLA2G7	0.236139	1.0	0.804099	0.385291
PLD4	0.047562	0.36339	0.10386	0.48389
PLEKHG7	0.2725	1.0	0.395372	0.935029
PLIN4	0.048429	0.09991	0.055029	0.065604
PLXDC1	0.399484	0.419185	0.236714	0.382101
PLXNB2	0.217734	0.125678	0.28634	0.131603
PNOC	0.092571	0.654921	0.165715	0.877845
PPP1R14A	0.369063	0.674719	0.014857	0.693747
PPP1R14C	1.0	0.253219	0.348106	0.42561
PPP1R2P9	0.049379	1.0	0.064939	0.04676
PRAMENP	0.137055	0.771628	0.318548	1.0
PRSS23	1.0	0.019332	0.836825	0.024527
PRSS30P	0.027981	0.041455	0.043133	0.005796
PRSS35	1.0	0.120736	0.007783	0.204264
PRSS57	0.037458	0.025949	0.012241	0.276514
PTPN13	1.0	0.392738	0.674206	0.399923
RAPGEF5	1.0	0.275847	0.145406	0.414099
RASGRF1	0.185412	1.0	0.413801	0.511109
RCAN2	1.0	0.098651	0.109306	0.185995
RFPL2	0.027823	0.671913	0.277072	1.0
RGS7	0.106076	0.934069	0.302596	1.0
RNF165	0.118287	0.441083	0.175023	0.402449
RNF175	1.0	0.245162	0.135201	0.278717
RORC	0.128341	0.478361	0.788624	0.454263
S100P	0.001201	0.001212	0.000705	0.000225
S1PR5	0.006341	0.02164	0.011557	0.026934
SCGB3A1	0.021867	0.0	0.030332	0.029055
SCN3A	0.088339	0.207025	0.070855	0.333461
SEMA3A	1.0	0.563706	0.88214	0.886252
SEMA3D	1.0	0.526864	0.138759	0.67251
SERPINB2	0.061718	0.013508	0.027291	0.0
SGCD	1.0	0.013107	0.178235	0.028665
SH2D1B	0.010615	0.041137	0.026772	0.040731
SHTN1	0.248024	0.328258	1.0	0.193186
SIGLEC6	0.135018	1.0	0.350478	0.736513
SLC16A10	1.0	0.336506	0.315424	0.299218
SLC35G2	1.0	0.790808	0.909995	0.848279
SLC38A11	0.060189	0.334155	0.109696	0.366008
SLC4A10	0.141007	0.430091	0.290614	0.448025
SLC9A7P1	0.256643	0.20356	0.254359	0.0
SLC9A9-AS1	0.639459	0.21465	0.197827	1.0
SORCS3	0.368355	0.879107	0.434897	0.952785
SOX5	1.0	0.182935	0.379664	0.256485
SPON2	0.013296	0.015532	0.021653	0.016275
ST6GALNAC1	0.010931	0.432777	0.340995	0.291536
ST8SIA1	0.90638	1.0	0.76389	0.941378
STAB1	0.035226	0.09893	0.128218	0.043635
STEAP1B	0.868921	0.718928	0.583123	0.920759
STYK1	0.043518	0.847804	0.58417	0.988612
SYBU	0.197792	0.809745	0.347224	1.0
SYN3	0.371659	0.371981	0.245433	0.492365
SYT17	0.315225	0.461784	0.24312	0.657047
TCEA3	1.0	0.245055	0.596268	0.154529
TCL1A	0.004625	0.216075	0.029366	0.726211
TCL1B	0.011519	0.488643	0.00195	0.83866
TCL6	0.148429	0.231896	0.139645	0.334272
TEK	1.0	0.0	0.253787	0.033761
TFPI	1.0	0.037278	0.033034	0.04156
TGFBI	0.080908	0.18462	0.721231	0.0847
TGM3	0.139301	0.0	0.165942	0.004675
THBS1	0.009689	0.012706	0.056817	0.012259
THEMIS	0.041699	0.404748	0.182867	0.231331
THRB	0.396391	1.0	0.250207	0.9123
TIGIT	0.04528	0.721566	0.894585	1.0
TJP1	1.0	0.035158	0.570832	0.106108
TMEM176A	0.30107	0.360575	0.542948	0.139152
TMEM176B	0.17185	0.223372	0.488397	0.05459
TNF	0.00964	0.151569	0.022656	0.093472
TNFRSF13B	0.083123	0.736718	0.172268	0.702005
TNFRSF4	0.126473	0.163404	0.103043	0.253861
TNIP3	0.12532	0.804203	0.921136	1.0
TPO	0.021676	0.454073	0.599413	0.751312
TPRG1	0.079652	0.179713	0.209743	0.246133
TSHZ2	0.041182	0.305369	0.16014	0.257689
TSPAN13	0.039112	0.656302	0.111178	1.0
TSPAN15	0.701873	0.71824	1.0	0.566571
TTC16	0.146046	0.389285	0.341474	0.430382
TUSC3	1.0	0.007081	0.137745	0.071969
UGT2B17	0.070765	0.663814	0.182781	0.0
UTS2B	1.0	0.980543	0.74398	0.982148
VCAM1	0.499491	0.474513	1.0	0.274246
VCAN	0.020755	0.005691	0.006395	0.004709
VIT	0.346345	0.0509	0.785632	1.0
VNN3	0.00272	0.005151	0.003976	0.006076
VPREB3	0.013299	0.585482	0.025766	1.0
WDR86-AS1	0.037671	0.192632	0.115073	0.123874
WNT16	0.20213	0.840729	0.275698	1.0
WNT7A	0.0	0.744145	0.2425	0.716624
WSCD2	0.215249	1.0	0.093364	0.527324
XCL1	0.160669	0.513412	0.679455	1.0
XCL2	0.022216	0.212929	0.410634	0.184501
ZBTB32	0.21719	0.801015	0.493508	0.581593
ZNF462	1.0	0.164591	0.517485	0.230416
ZNF662	1.0	0.529161	0.373841	0.501922
ZNF683	0.301808	0.776839	0.766423	0.561835
ZNF860	0.336053	0.886641	0.332985	1.0
