Symbol	A	B	C	D	E	F	G	H	I	J	K	L
APOL6	0.12843	0.145266	0.155103	0.122863	0.132835	0.163627	0.033367	0.104687	0.075454	0.118547	0.141328	0.119762
AQP9	0.312198	0.329268	0.034913	0.039986	0.10388	0.171702	0.832749	0.479302	0.467669	0.000976	0.001919	0.006172
ARHGAP22	0.019633	0.047294	0.0	0.004257	0.021179	0.024911	0.049171	0.070815	0.070668	0.002142	0.000772	0.030847
ARRB1	0.485809	0.474421	0.16878	0.182313	0.243865	0.543908	0.749009	0.982732	1.0	0.135846	0.175946	0.124876
ASGR1	0.591303	0.591913	0.040068	0.051803	0.105975	0.182096	0.784911	1.0	1.0	0.001142	0.000584	0.025262
ASGR2	0.328877	0.361673	0.016195	0.031146	0.08493	0.123274	0.509485	1.0	0.985543	0.000766	0.0	0.002602
ATHL1	0.146141	0.151745	0.220522	0.240367	0.301634	0.189944	0.190306	0.070862	0.068147	0.369344	0.361584	0.152362
ATP8B4	0.169705	0.189568	0.074278	0.076023	0.122822	0.525464	0.234984	0.269073	0.266163	0.025458	0.067514	0.083073
ATXN8OS	0.039502	0.0	0.078298	0.035134	0.001461	0.004036	0.065313	0.014093	0.005433	0.11124	0.019532	0.025816
AZU1	0.130066	0.147903	0.055114	0.111079	0.146144	0.055658	0.303577	0.175513	0.214846	0.082148	0.103401	0.671172
BACH2	0.103733	0.104316	0.133052	0.140109	0.11838	0.048021	0.067485	0.039769	0.038049	0.132613	0.142106	0.053343
BANK1	0.034797	0.043061	0.009056	0.003504	0.017664	0.012005	0.038371	0.022446	0.022241	0.009425	0.007564	0.00505
BARX2	0.060649	0.044525	0.014527	0.004643	0.032506	0.009901	0.036657	0.0	0.020172	0.01078	0.051361	0.009913
BCL11B	0.560883	0.552447	1.0	0.980574	0.833804	0.286312	0.213628	0.108366	0.107271	0.979481	0.908349	0.93388
BCL2A1	0.00816	0.009865	0.007075	0.00803	0.0	0.007831	0.019214	0.019236	0.019468	0.005631	0.009269	0.009491
BCL7A	0.201261	0.159594	0.087102	0.090168	0.111883	0.072793	0.211376	0.11597	0.094502	0.122442	0.023585	0.086156
BEND5	0.551341	0.533047	0.405429	0.48234	0.480563	0.305981	0.490715	0.211702	0.27033	0.39743	0.479787	0.313496
BFSP1	0.299898	0.373684	0.295275	0.278444	0.607033	1.0	0.370631	0.0	0.112451	0.091032	0.717619	0.028973
BIRC3	0.367643	0.347809	0.476873	0.450733	0.213701	0.108032	0.276144	0.279265	0.281321	0.487515	0.208445	0.434217
BLK	0.320109	0.332243	0.07871	0.093726	0.149889	0.077727	0.355834	0.154838	0.161393	0.065004	0.130723	0.066936
BMP2K	0.070281	0.065552	0.01472	0.01419	0.041807	0.040166	0.096311	0.093266	0.10495	0.000666	0.0	0.015358
BPI	0.226028	0.217934	0.056641	0.06696	0.073415	0.132336	0.374745	0.289222	0.337363	0.012748	0.073944	0.513533
BRAF	0.002317	0.004193	0.005738	0.002043	0.017473	0.021842	0.007132	0.009672	0.006121	0.0	0.014382	0.014159
BRSK2	0.519588	0.500987	1.0	0.315521	0.30639	0.061934	0.106804	0.402355	0.675085	0.730034	0.15264	0.13894
BST1	0.304562	0.316554	0.040241	0.041181	0.104046	0.13729	0.600541	0.86524	0.852737	0.002587	0.0	0.036666
BTNL8	0.00712	0.109386	0.082387	0.001843	0.060343	0.078992	0.413278	0.0	0.00908	0.00524	0.001813	0.01163
C11ORF80	0.125517	0.130756	0.129039	0.129179	0.106922	0.103779	0.10516	0.050081	0.050145	0.141985	0.1182	0.141051
C1ORF54	0.118009	0.117785	0.091705	0.093394	0.076093	0.056705	0.190964	0.26358	0.256204	0.096934	0.071333	0.168468
C3AR1	0.060204	0.058496	0.008348	0.007252	0.022246	0.034842	0.09918	0.189412	0.199225	0.00049	0.006898	0.004103
C5AR1	0.310795	0.32564	0.028189	0.030151	0.080685	0.136896	0.653483	0.553562	0.602881	0.00819	0.002265	0.014603
CA8	0.012971	0.026699	0.03412	0.016326	0.010188	0.009602	0.043951	0.035805	0.02411	0.015724	0.0	0.021877
CAMP	0.087872	0.082676	0.036541	0.034367	0.051488	0.069849	0.990738	0.0652	0.065585	0.000569	0.0	1.0
CASP5	0.227265	0.289249	0.017432	0.006082	0.094003	0.077094	0.55453	0.508144	0.430454	0.0	0.012198	0.008236
CCDC102B	0.01862	0.010655	0.052068	0.045144	0.019751	0.034079	0.030907	0.041158	0.030052	0.024703	0.054633	0.006213
CCL1	0.025239	0.026241	0.051261	0.037437	0.048706	0.046899	0.027679	0.058684	0.071207	0.048546	0.085628	0.095534
CCL13	0.001885	0.008437	0.003818	0.010867	0.00405	0.009011	0.008597	0.00338	0.013186	0.007584	0.012989	0.010658
CCL14	0.07334	0.067728	0.002275	0.014219	0.000793	0.019517	0.089506	0.129233	0.14096	0.011932	0.0	0.007695
CCL17	0.000839	2.7e-05	0.000137	9.6e-05	0.0	0.001085	0.000359	0.000637	0.0017	0.000222	0.001565	6.5e-05
CCL18	0.003437	0.002647	0.002484	0.0	0.0009	0.00218	0.003683	0.002714	0.003687	0.001114	0.002452	0.000896
CCL19	0.002396	0.000441	0.001009	0.00018	0.0	0.001163	0.0005	0.001579	0.003877	0.000464	0.000374	4e-05
CCL20	0.494911	0.546104	0.042985	0.05005	0.096901	0.17119	0.715701	0.964865	1.0	0.023693	0.033376	0.048738
CCL22	0.000129	0.000171	0.0001	6.2e-05	1.5e-05	1e-06	1.9e-05	0.000233	0.000218	0.000255	0.000201	0.0
CCL23	0.043188	0.037373	0.027932	0.026181	0.017712	0.037269	0.046281	0.061258	0.060502	0.01594	0.011531	0.02382
CCL4	0.00112	0.0	0.000128	0.000921	0.001157	0.002372	0.000488	0.002854	0.0026	0.001107	0.000279	0.000267
CCL5	0.587483	0.546128	0.51645	0.49926	0.816379	1.0	0.298513	0.15996	0.163704	0.43425	0.786572	0.49926
CCL7	0.010183	0.02377	0.005338	0.004392	0.007276	0.0	0.100857	0.032332	0.026276	0.006842	0.005232	0.001777
CCL8	0.027558	0.023004	0.004619	0.0	0.00634	0.01234	0.030786	0.052404	0.050757	0.006027	0.007455	0.011346
CCND2	0.629464	0.622392	0.892405	0.877407	0.906079	1.0	0.339904	0.227794	0.231338	0.851984	0.903182	0.927648
CCR10	0.154824	0.070945	0.23419	0.191304	0.121123	0.123107	0.166882	0.065175	0.125997	0.13374	0.091664	0.258342
CCR2	0.082194	0.109103	0.090876	0.087452	0.075046	0.036582	0.102224	0.17935	0.19036	0.083746	0.081925	0.098359
CCR3	0.024115	0.024657	0.004936	0.011447	0.014836	0.017787	0.16435	0.001276	0.002384	0.001399	0.0	0.029438
CCR5	0.00463	0.02021	0.005053	0.012195	0.007136	0.001639	0.004144	0.00726	0.002602	0.016637	0.012279	0.0
CCR6	0.931241	0.919241	1.0	0.927163	0.911302	0.950073	0.935096	0.794549	0.736061	0.954982	0.937399	0.947913
CCR7	0.306703	0.313513	0.553153	0.530656	0.441571	0.033384	0.166981	0.083829	0.076025	0.546054	0.460691	0.371689
CD160	0.274311	0.273378	0.086804	0.102484	0.292243	1.0	0.092581	0.026139	0.019828	0.015512	0.152828	0.005045
CD180	0.027549	0.037374	0.041787	0.020244	0.005471	0.030597	0.03503	0.0189	0.044419	0.038875	0.022066	0.014977
CD19	0.319375	0.300336	0.03076	0.034036	0.04258	0.058654	0.293086	0.123477	0.108486	0.014015	0.02479	0.0
CD1A	0.013666	0.014639	0.001073	0.007217	0.003366	0.007532	0.017355	0.026546	0.025735	0.002043	0.0	0.00273
CD1B	0.010162	0.009608	0.001229	0.000321	0.005781	0.002949	0.010365	0.016797	0.018554	0.003858	0.0	0.002653
CD1C	0.049588	0.039437	0.012624	0.015189	0.015213	0.019415	0.052975	0.069228	0.07037	0.004527	0.005825	0.006599
CD1D	0.393036	0.494236	0.055608	0.053298	0.098216	0.16188	0.605564	1.0	0.982725	0.019765	0.00858	0.01915
CD1E	0.015778	0.010556	0.003089	0.00634	0.004468	0.00719	0.018657	0.025431	0.024148	0.007688	0.00512	0.003196
CD2	0.294731	0.282064	0.550786	0.565214	0.447475	0.19261	0.094774	0.053035	0.057344	0.55665	0.435763	0.579745
CD209	0.01603	0.044436	0.006278	0.001591	0.0	0.001818	0.04969	0.075877	0.077217	0.003964	0.000717	0.005969
CD22	0.101381	0.097587	0.027337	0.037955	0.033144	0.045032	0.10414	0.060812	0.058403	0.029471	0.030371	0.012823
CD244	0.186415	0.194822	0.084312	0.081123	0.180199	0.446904	0.108304	0.201472	0.195516	0.011705	0.105373	0.021091
CD247	0.456008	0.456367	0.464288	0.471246	0.464288	1.0	0.261762	0.105694	0.10507	0.447811	0.419829	0.45309
CD27	0.320527	0.356556	0.733736	0.774279	0.666785	0.042825	0.144263	0.057664	0.069322	0.710886	0.746967	0.680011
CD28	0.14942	0.173341	0.609423	0.498415	0.263455	0.0	0.082423	0.056457	0.040856	0.641737	0.369777	0.728417
CD300A	0.395583	0.407536	0.138863	0.120006	0.299225	0.873234	0.498555	0.417917	0.387405	0.075258	0.19744	0.113784
CD33	0.506683	0.4922	0.042296	0.03915	0.086127	0.161421	0.679339	0.984526	1.0	0.0	0.005054	0.034512
CD37	0.53794	0.546066	0.386531	0.391836	0.358474	0.335308	0.461491	0.48045	0.518529	0.412038	0.395522	0.363608
CD38	0.035625	0.035109	0.016775	0.017886	0.02285	0.092933	0.024215	0.015146	0.017772	0.016241	0.020253	0.008474
CD3D	0.435163	0.431059	0.635609	0.640201	0.627942	0.087499	0.206763	0.120034	0.116498	0.629441	0.650221	0.640009
CD3E	0.221804	0.236312	0.612985	0.556473	0.613156	0.162181	0.061148	0.026173	0.034754	0.597851	0.664534	0.584318
CD3G	0.353554	0.375617	0.85856	0.785751	0.829205	0.113804	0.109974	0.080823	0.075456	0.92063	1.0	0.832927
CD4	0.086873	0.076569	0.109744	0.113432	0.018381	0.025568	0.111478	0.171748	0.162261	0.147438	0.0	0.157215
CD40	0.023757	0.028844	0.006625	0.00717	0.009671	0.012904	0.027551	0.026105	0.029164	0.0	0.005283	0.005769
CD40LG	0.204459	0.202997	0.725918	0.841455	0.142597	0.02579	0.101922	0.098865	0.083322	0.654646	0.154166	1.0
CD5	0.204387	0.215883	0.754102	0.740326	0.472097	0.0	0.081301	0.038899	0.042386	0.822008	0.577463	1.0
CD6	0.511921	0.48876	0.936744	0.932291	0.771797	0.376191	0.231455	0.103612	0.095762	0.961304	0.819924	1.0
CD68	0.597792	0.608542	0.062983	0.064686	0.218781	0.302983	0.796831	1.0	0.973171	0.016239	0.019787	0.033346
CD69	0.941291	0.93777	0.799803	0.822894	0.847485	0.862471	0.632486	0.404895	0.404322	0.805094	0.820899	1.0
CD7	0.548847	0.509852	0.594427	0.605791	0.739951	1.0	0.20195	0.071862	0.070643	0.596793	0.660253	0.446898
CD70	0.043245	0.031358	0.037567	0.043504	0.04008	0.007187	0.023095	0.017447	0.030863	0.028142	0.055238	0.08193
CD72	0.265945	0.238424	0.097731	0.092707	0.108947	0.180756	0.222736	0.138132	0.148182	0.060135	0.087043	0.06418
CD79A	0.741782	0.751724	0.179058	0.176874	0.28626	0.249198	0.721529	0.390965	0.434252	0.118009	0.204478	0.023376
CD79B	1.0	0.949063	0.265655	0.314767	0.275133	0.404371	0.943438	0.503802	0.523694	0.211783	0.154369	0.230375
CD80	0.015406	0.012267	0.010567	0.015324	0.001076	0.019223	0.0	0.012611	0.016565	0.012967	0.003256	0.006829
CD86	0.610834	0.538198	0.058447	0.061383	0.127268	0.161304	0.717037	0.999852	0.956459	0.031248	0.028262	0.049029
CD8A	0.438089	0.445004	0.30644	0.318429	0.947507	0.365855	0.12432	0.070228	0.074984	0.006559	1.0	0.013412
CD8B	0.140207	0.131708	0.098847	0.079288	0.792703	0.018768	0.036466	0.02881	0.031074	0.007275	1.0	0.009058
CD96	0.609298	0.595432	0.933292	0.888802	0.954955	0.729511	0.21404	0.099774	0.088598	0.901108	1.0	0.882005
CDA	0.191427	0.214868	0.020957	0.015991	0.061554	0.084445	0.724972	0.452797	0.493755	0.014196	0.023638	0.038701
CDC25A	0.121784	0.104756	0.163639	0.235858	0.246334	0.335623	0.099597	0.175378	0.03177	0.306318	0.058642	0.253425
CDH12	0.044958	0.048239	0.203498	0.058566	0.082062	0.03619	0.194732	0.010629	0.045813	0.106963	0.0	0.083239
CDK6	0.473867	0.531419	0.854002	0.849802	0.825237	0.594943	0.276304	0.225493	0.21846	0.989297	1.0	0.95522
CEACAM3	0.075666	0.068214	0.001471	0.0	0.007535	0.02418	0.373894	0.092843	0.11552	0.001463	0.000697	0.005729
CEACAM8	0.031965	0.012913	0.002092	0.011182	0.006577	0.021614	0.144434	0.002204	0.0	0.002874	0.002972	0.337719
CEMP1	0.475049	0.644448	0.570754	0.084869	0.413294	0.455537	0.448867	0.458769	0.41832	0.328987	0.421918	0.520856
CFP	0.282228	0.300425	0.077458	0.077966	0.088441	0.11104	0.591797	0.751581	0.758281	0.052863	0.043435	0.05548
CHI3L1	0.023355	0.024202	0.010362	0.01187	0.016197	0.021871	0.171309	0.01705	0.012019	0.013022	0.012237	0.019495
CHI3L2	0.068438	0.057429	0.058302	0.078665	0.055272	0.126792	0.026039	0.012841	0.010645	0.061392	0.052421	0.022018
CHST15	0.370938	0.346844	0.044313	0.043255	0.080299	0.136713	0.893631	0.698381	0.700119	0.015888	0.007197	0.005021
CHST7	0.241433	0.208484	0.174646	0.190471	0.155387	0.312681	0.327659	0.312249	0.337881	0.164595	0.139972	0.22194
CLC	0.017152	0.016242	0.01728	0.017931	0.003872	0.006447	0.023824	0.011554	0.012496	0.016546	0.002625	0.10178
CLEC10A	0.021895	0.0282	0.014765	0.0	0.013467	0.016609	0.021763	0.042541	0.042752	0.007894	0.011036	0.011556
CLEC2D	0.874492	0.931347	0.982915	1.0	0.974078	0.790571	0.714469	0.691222	0.722377	0.987547	0.981652	0.982143
CLEC4A	0.562978	0.531981	0.049117	0.052603	0.115886	0.188998	0.875356	0.990315	1.0	0.024509	0.021979	0.029486
CLEC7A	0.070034	0.07512	0.002553	0.0	0.021961	0.033736	0.161985	0.203972	0.178181	0.000556	0.00231	0.006183
CLIC2	0.013616	0.010727	0.00152	0.004728	0.005299	0.003727	0.024245	0.032398	0.03054	0.002361	0.006012	0.000776
CMA1	0.04251	0.015001	0.02632	0.006893	0.019738	0.0	0.056439	0.034435	0.000903	0.005723	0.03008	0.014534
COL8A2	0.19776	0.197067	0.20837	0.221374	0.178514	0.222636	0.255143	0.324095	0.334381	0.179606	0.23126	0.188105
COLQ	0.270361	0.25828	0.259881	0.256113	0.434905	1.0	0.183738	0.132121	0.129421	0.192689	0.37702	0.185942
CPA3	0.006154	0.005514	0.006922	0.007058	0.004332	0.003592	0.006934	0.003567	0.004797	0.007907	0.004873	0.027404
CR2	0.145164	0.159604	0.094687	0.106194	0.089171	0.028071	0.128753	0.070186	0.05774	0.096239	0.103724	0.070251
CREB5	0.244718	0.235745	0.035276	0.072571	0.109539	0.170736	1.0	0.540925	0.491856	0.025479	0.01899	0.041462
CRISP3	0.006858	0.014449	0.000719	0.000889	0.001597	0.003625	0.011467	0.017686	0.005483	0.00685	0.041165	0.001772
CRTAM	0.003467	0.048159	0.0132	0.0	0.078866	0.041637	0.010328	0.034426	0.037007	0.011873	0.019108	0.020066
CRYBB1	0.020904	0.04069	0.120423	0.020601	0.001831	0.004054	0.0	0.018346	0.033711	0.05354	0.107278	0.021924
CSF1	0.080286	0.030665	0.027395	0.019067	0.019926	0.071335	0.028183	0.0	0.022751	0.020098	0.015546	0.071458
CSF2	0.011588	0.001007	0.003411	0.004851	0.006242	0.001564	0.023335	0.008536	0.019174	0.010257	0.044103	0.011739
CSF3R	0.417851	0.399184	0.041631	0.034325	0.114677	0.176667	1.0	0.60348	0.594312	0.0	0.000262	0.020002
CST7	0.439814	0.431099	0.275211	0.283041	0.605866	0.982678	0.23867	0.046903	0.046422	0.132733	0.513993	0.20363
CTLA4	0.190493	0.202859	0.704128	0.73921	0.185125	0.053875	0.096226	0.057656	0.058584	0.756462	0.184854	1.0
CTSG	0.023029	0.02652	0.014739	0.004864	0.041312	0.021307	0.107701	0.007428	0.013082	0.033444	0.02294	0.394565
CTSW	0.303005	0.303005	0.187178	0.196182	0.488776	0.694746	0.093497	0.036945	0.031517	0.104132	0.455453	0.102676
CXCL10	0.029758	0.031293	0.001812	0.001187	0.006932	0.010445	0.054582	0.089882	0.086246	0.000116	0.0	0.00226
CXCL11	0.000171	0.006778	0.00504	0.00151	0.008726	0.002378	0.010476	0.000636	0.006302	0.004786	0.001756	0.002804
CXCL13	0.003939	0.000598	0.004351	0.003652	0.006159	0.000405	0.001377	0.011562	0.001815	0.000617	0.000141	0.000387
CXCL3	0.009109	0.015361	0.008423	0.007692	0.005312	0.010061	0.003471	0.020031	0.006487	0.009258	0.011176	0.013447
CXCL5	0.000464	0.011818	0.006585	0.009293	0.007499	0.002813	0.004618	0.004079	0.004374	0.001003	3.3e-05	0.003183
CXCL9	0.002105	0.000527	0.000175	2e-05	0.00089	0.0008	0.003211	0.005002	0.005207	0.0	0.000383	0.000411
CXCR1	0.044452	0.048771	0.019073	0.022467	0.028543	0.052572	0.466961	0.013349	0.010524	0.01297	0.012604	0.0
CXCR5	1.0	0.994919	0.430373	0.480672	0.216292	0.187066	0.918334	0.401672	0.429001	0.591782	0.213158	0.963497
CXCR6	0.181689	0.209018	0.281764	0.315942	0.51578	0.104694	0.043456	0.0	0.002061	0.197342	0.536212	0.317029
CXORF57	0.577159	0.608063	0.799696	1.0	0.627167	0.554269	0.475101	0.243791	0.201661	0.798249	0.665154	0.834917
CYP27A1	0.081068	0.086515	0.016911	0.015983	0.020929	0.028533	0.134733	0.243871	0.235687	0.008476	0.006205	0.010377
CYP27B1	0.000634	0.005509	0.000153	0.002479	0.00488	0.00197	0.000676	0.000551	0.0	0.0015	0.00198	0.004647
DACH1	0.117835	0.226764	0.070497	0.373845	0.047342	0.587977	0.417571	0.434893	0.14873	0.063492	0.063884	0.268211
DAPK2	0.023855	0.067236	0.038488	0.006036	0.058627	0.009941	0.127746	0.004794	0.0	0.002107	0.031518	0.017774
DEFA4	0.053214	0.048734	0.029257	0.031674	0.066943	0.04057	0.325867	0.0	0.005546	0.045113	0.05472	1.0
DENND5B	0.50008	0.499169	0.100457	0.069457	0.034187	0.112562	0.475471	0.162103	0.219044	0.010826	0.057661	0.024828
DEPDC5	0.414865	0.29485	0.365883	0.313635	0.396806	0.434526	0.385593	0.39857	0.453206	0.486177	0.378201	0.355025
DGKA	0.405808	0.426074	1.0	0.953716	0.642119	0.094591	0.198854	0.118753	0.162164	0.961022	0.661178	0.925635
DHRS11	0.225979	0.173833	0.260081	0.275512	0.221741	0.211154	0.183167	0.223511	0.20944	0.310165	0.249616	0.280294
DHX58	0.283718	0.259149	0.334745	0.346689	0.283617	0.235276	0.303628	0.321909	0.305607	0.335723	0.298392	0.276882
DPEP2	0.519023	0.519735	0.503817	0.46497	0.335835	0.360178	0.907978	0.667736	0.6705	0.549671	0.291118	0.426602
DPP4	0.104939	0.116259	0.194422	0.209998	0.178273	0.0415	0.057717	0.017725	0.046877	0.123295	0.222261	0.187428
DSC1	0.224296	0.250532	0.406362	0.395046	0.462042	0.094824	0.128457	0.08996	0.100821	0.410434	0.538812	0.130761
DUSP2	0.698126	0.721134	0.544858	0.547674	1.0	0.831873	0.70734	0.870625	0.697016	0.63473	0.837673	0.626419
EAF2	0.160128	0.161779	0.045036	0.041371	0.053954	0.04933	0.194662	0.16205	0.159408	0.030352	0.036623	0.030105
EBI3	0.004063	0.004255	0.001122	0.000306	0.007719	0.004465	0.007593	0.008752	0.006442	0.00012	0.00039	0.000918
EFNA5	0.082597	0.110027	0.01065	0.008297	0.023227	0.249832	0.026858	0.075706	0.033517	0.019954	0.027941	0.003281
EGR2	0.280527	0.312592	0.064224	0.050013	0.083073	0.163929	0.524863	0.791713	0.843765	0.044263	0.040986	0.046648
ELANE	0.054574	0.053434	0.023509	0.033388	0.071788	0.037454	0.19743	0.043085	0.040534	0.06007	0.041756	0.643288
EMR1	0.02023	0.01908	0.013673	0.012215	0.004391	0.008542	0.035166	0.053151	0.054784	0.014459	0.0	0.011895
EMR2	0.402921	0.39441	0.056155	0.053223	0.091061	0.141104	0.808137	0.904246	0.843631	0.041175	0.023156	0.050569
EMR3	0.04234	0.034635	0.017653	0.000702	0.021489	0.026532	0.202793	0.052971	0.055836	0.011439	0.003832	0.003952
EPB41	0.626286	0.607757	0.905124	0.847059	0.712755	0.568612	0.430703	0.446438	0.408746	1.0	0.724754	0.946024
EPHA1	0.201477	0.20718	0.41121	0.45551	0.322863	0.040355	0.062709	0.094097	0.032236	0.432637	0.382115	0.288035
EPN2	0.220918	0.108193	0.233674	0.130808	0.183634	0.149469	0.258182	0.098659	0.01425	0.183247	0.214534	0.252664
ETS1	0.738869	0.787865	1.0	0.909558	0.929486	0.791869	0.378004	0.263785	0.254051	0.958959	0.857758	0.901332
ETV3	0.133784	0.128864	0.097795	0.098135	0.127957	0.110518	0.112408	0.197279	0.201014	0.152309	0.143154	0.172636
FAIM3	0.661582	0.654296	0.794947	0.802307	0.730718	0.516988	0.439068	0.201043	0.219341	0.787493	0.744234	0.713178
FAM124B	0.090662	0.052473	0.072825	0.220573	0.0	0.226473	0.260482	0.096353	0.271763	0.106896	0.060796	0.29696
FAM174B	0.006351	0.059543	0.182772	0.22937	0.079349	0.000111	0.064263	0.011107	0.0	0.218353	0.012234	0.237208
FAM65B	0.828671	0.824295	0.940873	0.877874	0.824094	0.652241	1.0	0.577361	0.540051	0.894357	0.745814	0.85275
FASLG	0.123919	0.12167	0.05708	0.077721	0.134889	0.43607	0.046716	0.008358	0.0	0.041618	0.079483	0.034584
FBXL8	0.440632	0.357949	0.704074	0.771615	0.397588	0.264337	0.301346	0.088581	0.229135	0.774354	0.308097	1.0
FCER1A	0.243485	0.259243	0.145546	0.132145	0.062414	0.089229	0.326501	0.449986	0.463357	0.143387	0.055779	0.731134
FCER2	1.0	0.895736	0.117695	0.159007	0.1743	0.212556	0.923254	0.366711	0.434303	0.10972	0.106922	0.001043
FCGR2B	0.122615	0.109075	0.054651	0.049166	0.059204	0.063188	0.153669	0.123409	0.121534	0.058021	0.059522	0.055673
FCGR3B	0.066324	0.067048	0.01073	0.009454	0.022669	0.038136	0.324768	0.008344	0.00668	0.001453	0.002438	0.000423
FCN1	0.480845	0.453766	0.12266	0.121192	0.228455	0.304808	0.679066	0.919878	1.0	0.003369	0.0037	0.053187
FCRL2	0.110465	0.107796	0.034073	0.022792	0.027465	0.040173	0.113973	0.068702	0.05956	0.020411	0.024317	0.005847
FES	0.535332	0.531994	0.086318	0.085549	0.166444	0.45373	0.91791	0.965446	1.0	0.058254	0.058014	0.08511
FFAR2	0.181246	0.206917	0.019015	0.027441	0.061417	0.073571	0.506282	0.434738	0.392578	0.001689	0.00212	0.00115
FLJ13197	0.164763	0.014021	0.246615	0.349774	0.311272	0.079208	0.062695	0.030946	0.0	0.396739	0.239524	0.090815
FLT3LG	0.388006	0.400704	0.932969	0.934315	0.771442	0.145715	0.196186	0.114908	0.109804	1.0	0.854478	0.932969
FLVCR2	0.349339	0.33489	0.176095	0.156801	0.179449	0.210913	0.356399	0.653355	0.643248	0.180501	0.184006	0.183793
FOSB	0.579529	0.551175	0.066764	0.064014	0.195263	0.271606	0.798727	0.999728	1.0	0.053087	0.05713	0.196654
FOXP3	0.048407	0.031069	0.079988	0.047694	0.048831	0.001928	0.038659	0.048881	0.059937	0.069496	0.012007	0.053095
FPR1	0.25731	0.234896	0.022403	0.022172	0.075727	0.107664	0.386287	0.397316	0.389801	0.001024	0.0	0.008464
FPR2	0.217834	0.219509	0.045084	0.026827	0.065688	0.09464	0.764718	0.409327	0.438843	0.0	0.023544	0.013881
FPR3	0.005972	0.003858	0.001884	0.000706	0.002992	0.001719	0.008835	0.017671	0.014724	0.0	0.001404	0.000963
FRK	0.130845	0.468168	0.235365	0.435031	0.079272	0.15495	0.082952	0.294812	0.140877	0.195274	0.728393	0.054688
FRMD4A	0.010317	0.001814	0.084858	0.037843	0.021556	0.0	0.000457	0.001075	0.001148	0.004081	0.002644	0.035248
FRMD8	0.695679	0.596585	0.807229	0.770671	0.707145	1.0	0.739306	0.533696	0.498277	0.690328	0.708753	0.714968
FZD2	0.257317	0.238229	0.027652	0.007301	0.073777	0.158825	0.379492	0.492516	0.534329	0.0	0.01534	0.007949
FZD3	0.238094	0.238094	0.386243	0.294357	0.335745	0.268398	0.0974	0.086939	0.030372	0.355685	0.359976	0.309128
GAL3ST4	0.157741	0.163647	0.344829	0.312823	0.247115	0.093631	0.099122	0.091596	0.0	0.387789	0.28282	0.236935
GALR1	0.748814	0.672761	0.238547	0.306162	0.085938	0.384371	0.982827	0.285582	1.0	0.355507	0.149174	0.101028
GFI1	0.382051	0.390408	0.489907	0.494201	0.756541	1.0	0.200874	0.137771	0.109174	0.463888	0.791279	0.552072
GGT5	0.0	0.024059	0.001895	0.012948	0.011216	0.010743	0.001562	0.010743	0.012161	0.014483	0.007334	0.012758
GIPR	0.02812	0.044248	0.0057	0.148054	0.037095	0.043002	0.082839	0.026713	0.047595	0.053142	0.042791	0.001535
