Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
BFSP1	0.010074	0.026975	0.016001	0.063778	0.601975	0.011507	0.026961	0.256578	0.038836	0.509644	0.136453	0.062748	0.072114	0.044424	0.147811	0.117923	0.062479	0.027501	0.133577	0.209709	0.032446	0.060973
BIRC3	0.161326	0.095493	0.02791	0.028589	0.057881	0.100185	0.268781	0.031606	0.226869	0.015995	0.020266	0.105197	0.008462	0.015217	0.181244	0.01586	0.035438	1.0	0.0	0.179379	0.144145	0.005876
BLK	0.543413	1.0	0.01034	0.039141	0.018264	0.003358	0.000689	0.024936	0.000432	0.003831	0.000577	0.001249	0.007927	0.002246	0.001116	0.001908	0.002174	0.002619	0.00073	0.0	0.009321	0.000519
BMP2K	0.091031	0.067461	0.027538	0.032158	0.029132	0.005074	0.042503	0.07028	0.017688	0.032535	0.028322	0.031956	0.115462	0.1058	0.224533	0.337729	0.143043	0.212021	1.0	0.874834	0.312123	0.200729
BPI	0.004226	0.007908	0.009166	0.059714	0.0361	0.006333	0.0	0.009112	0.004546	0.013497	0.858978	0.165092	0.282893	0.008932	0.010495	0.020241	0.007341	0.00882	1.0	0.851285	0.397228	0.056262
BRAF	1.0	0.377353	0.189391	0.067248	0.036976	0.058228	0.067115	0.037405	0.228856	0.169497	0.11403	0.097839	0.10084	0.119569	0.141723	0.072048	0.087282	0.13794	0.057421	0.115248	0.358336	0.278729
BRSK2	0.030708	0.0	0.153135	0.030792	0.017778	0.060163	0.184829	0.257777	0.052851	0.293082	0.070828	0.065443	0.03744	0.027646	0.03112	0.022713	0.015596	0.12487	0.214221	0.056531	0.019461	0.037968
BST1	0.032194	0.033554	0.01413	0.034283	0.06904	0.033619	0.035987	0.030512	0.020181	0.179944	0.081699	0.044208	0.894885	0.219045	0.037104	0.115043	0.083346	0.060202	0.240274	0.249847	0.000571	1.0
BTNL8	0.008416	0.006565	0.003349	0.006781	0.015941	0.010543	0.014093	0.009761	0.027279	0.035743	0.004938	0.006991	0.013043	0.018358	0.011651	0.004144	0.009573	0.011976	0.006435	0.009798	0.088284	1.0
C11ORF80	0.23045	0.166472	1.0	0.059353	0.026409	0.057467	0.04842	0.04748	0.026664	0.053219	0.030581	0.049356	0.023716	0.030046	0.0	0.024952	0.032099	0.049752	0.052411	0.050232	0.056797	0.031123
C1ORF54	0.0	0.000549	0.015085	0.042754	0.05301	0.052101	0.014397	0.009612	0.00203	0.017745	0.025559	0.006635	0.074662	0.290836	0.235841	0.421532	1.0	0.231013	0.049779	0.055683	0.080478	0.001606
C3AR1	0.003578	0.0	0.014796	0.01289	0.000309	0.010778	0.001221	0.001361	0.045357	0.061036	0.070242	0.040204	0.132734	0.07516	0.444372	0.284463	0.083666	0.017302	0.480734	0.510476	1.0	0.069421
C5AR1	0.00546	0.00327	0.000125	0.003781	0.001224	6.2e-05	0.0	0.000283	0.001474	0.031727	0.024784	0.011713	0.3354	0.395292	0.019024	0.150984	0.093299	0.068943	0.04084	0.058352	0.208855	1.0
CA8	0.087639	0.090376	0.081999	0.064264	0.095351	0.079774	0.074302	1.0	0.21525	0.309071	0.06846	0.070016	0.067721	0.060292	0.154946	0.06393	0.055252	0.158683	0.358512	0.720281	0.075207	0.125583
CAMP	0.00774	0.007051	0.013043	0.01945	0.038769	0.026278	0.007842	0.031506	0.007965	0.009857	0.440709	0.033906	0.032797	0.049118	0.02092	0.027265	0.024433	0.010215	0.058688	0.045862	0.140379	0.401255
CASP5	0.029328	0.047089	0.012424	0.038019	0.02042	0.015489	0.012332	0.084344	0.225885	0.024603	0.065949	0.108481	0.230384	0.095449	1.0	0.059312	0.03939	0.099528	0.015597	0.134051	0.112438	0.933133
CCDC102B	0.029116	0.022508	0.0226	0.07871	0.037516	0.057261	0.001087	0.022353	0.020847	0.075632	0.096183	0.008381	0.020121	1.0	0.0	0.004952	0.706009	0.034211	0.172217	0.024147	0.142141	0.023728
CCL1	0.001502	0.002508	0.002222	0.002799	0.012169	0.001914	0.006917	0.004254	0.001465	0.003169	0.003394	0.017744	0.003068	0.00401	0.00487	0.002341	0.002576	0.284998	0.0	1.0	0.002085	0.001706
CCL13	0.027805	0.024163	0.013496	0.016478	0.004408	0.016091	0.00812	0.0	0.009561	0.009078	0.012531	0.012782	0.011323	0.023479	0.025816	1.0	0.564005	0.837466	0.013446	0.100958	0.016635	0.014099
CCL14	0.024051	0.019517	0.058175	0.024479	0.008198	0.032937	0.027152	0.008965	0.057558	0.057945	0.023041	0.025267	0.03837	0.063268	0.499205	1.0	0.11106	0.065986	0.035605	0.056448	0.044063	0.096888
CCL17	0.006145	0.008761	0.012372	0.011804	0.002599	0.004287	0.026126	0.005492	0.060996	0.008882	0.011259	0.005607	0.010128	0.017471	0.008202	0.096286	0.395907	1.0	0.003712	0.006727	0.013897	0.004908
CCL18	0.000895	0.001037	0.00387	0.002143	0.001253	0.000318	0.005865	0.001815	0.000946	0.008161	0.002453	0.005728	0.002578	0.228073	0.100898	1.0	0.137037	0.141242	0.033605	0.074794	0.003157	0.003296
CCL19	0.002256	0.004137	0.007774	0.002229	0.000977	0.001716	0.002602	0.001349	0.000919	0.000495	0.003221	0.004344	0.003394	0.003358	1.0	0.004055	0.005093	0.093515	0.001013	0.000432	0.004538	0.003447
CCL20	0.004889	0.002719	0.000417	0.008708	0.000307	0.003136	0.268864	0.030749	0.000184	0.001182	0.001235	0.001562	0.001307	0.0	0.123664	0.000259	0.000557	0.259786	0.00046	0.946959	0.003436	0.00193
CCL22	0.00143	0.000953	0.000582	0.000718	0.001215	0.000842	0.000851	0.000727	0.018042	0.000685	0.000811	0.002428	0.001011	0.084096	0.014965	0.028382	0.133165	1.0	0.000733	0.003622	0.002995	0.001877
CCL23	0.002504	0.001931	0.008627	0.0017	0.002496	0.003943	0.0	0.001358	0.011763	0.003095	0.010664	0.006894	0.005822	0.043371	0.110852	1.0	0.057428	0.067567	0.119421	0.098043	0.096054	0.009586
CCL4	0.04253	0.020855	0.007766	0.065716	0.006817	0.011225	0.287273	0.009016	0.012221	0.213278	0.287565	1.0	0.076928	0.050416	0.305088	0.080475	0.053077	0.109853	0.028971	0.907435	0.16856	0.068689
CCL5	0.0	0.002958	0.000463	0.491708	0.007319	0.134581	0.078845	0.002162	0.006523	0.821051	0.741698	0.505043	0.003587	0.003475	0.725481	0.009958	0.001711	0.27945	0.001147	0.02759	0.012098	0.004902
CCL7	0.083286	0.047072	0.059799	0.05581	0.049475	0.039283	0.023011	0.054818	0.057035	0.07696	0.034086	0.021305	0.036876	0.680708	0.251284	0.088726	0.024356	0.075335	0.143147	1.0	0.112088	0.100856
CCL8	0.045988	0.016675	0.018605	0.002945	0.002141	0.009408	0.013565	0.004184	0.012438	0.018634	0.006172	0.006045	0.023264	0.028925	1.0	0.62195	0.014108	0.332701	0.008366	0.290523	0.000539	0.016139
CCND2	0.024918	0.04193	0.068278	0.068792	0.032321	0.123797	0.261957	0.043421	0.118802	0.028554	0.112672	0.679624	0.013208	0.034052	0.0	0.003064	0.039704	0.025988	0.029276	0.044114	0.04214	0.026638
CCR10	0.004047	0.058384	1.0	0.11148	0.019679	0.321741	0.024236	0.070014	0.006055	0.000974	0.043881	0.0	0.026042	0.018056	0.010397	0.032707	0.00654	0.036171	0.00112	0.031854	0.123382	0.0656
CCR2	0.12521	0.104114	0.578757	0.087452	0.000393	0.243497	0.082012	0.011125	0.068568	0.382201	0.009944	0.011662	1.0	0.020719	0.006023	0.003759	0.018252	0.018739	0.017991	0.0	0.052781	0.06306
CCR3	0.019919	0.004112	0.007358	0.007166	0.00121	0.012852	0.007588	0.002489	0.039085	0.005078	0.018881	0.01171	0.012064	0.011432	0.008486	0.005321	0.012108	0.009431	0.004421	0.010395	1.0	0.217776
CCR5	0.03662	0.034256	0.015284	0.403535	0.027025	0.185882	0.169963	0.21395	0.202667	1.0	0.233665	0.581689	0.197315	0.896393	0.609446	0.319436	0.618585	0.252593	0.057408	0.103075	0.049487	0.03132
CCR6	0.018999	0.019219	0.001392	0.009521	0.003135	0.02875	0.008452	0.008171	0.005157	0.015032	0.001747	0.006443	0.000713	0.0	0.000467	0.000733	0.00074	0.001486	0.000592	0.000843	0.001044	0.001698
CCR7	0.216452	0.108229	0.007877	0.289449	0.504151	0.151842	0.162915	0.103575	0.362613	0.024517	0.035017	0.024033	0.005698	0.015117	1.0	0.0033	0.01294	0.818283	0.0	0.000843	0.033601	0.01789
CD160	0.060107	0.035971	0.013605	0.162821	0.01146	0.012982	0.017955	0.005392	0.031167	0.476866	0.361746	0.09571	0.008359	0.007706	0.004561	0.0	0.005142	0.006157	0.003988	0.008612	0.019546	0.028644
CD180	0.535004	0.804753	0.397963	0.020121	0.0	0.005357	0.021684	0.009299	0.056452	0.039157	0.005026	0.00282	0.200143	0.064464	0.035061	1.0	0.030876	0.025362	0.014831	0.010703	0.030759	0.03161
CD19	1.0	0.723615	0.237491	0.017008	0.016456	0.006522	0.011697	0.019282	0.028682	0.019136	0.011294	0.012378	0.021478	0.012437	0.013478	0.018976	0.015743	0.020989	0.015489	0.016789	0.052714	0.034203
CD1A	0.085639	0.053388	0.032033	0.011979	0.007025	0.010826	0.00732	0.008457	0.032564	0.015839	0.008189	0.007741	0.019009	0.013104	0.00876	0.008488	1.0	0.087067	0.005359	0.009694	0.015521	0.02632
CD1B	0.083889	0.020416	0.020752	0.002703	0.00061	0.011281	0.002065	0.000563	0.002531	0.015032	0.008796	0.006081	0.01164	0.009614	0.003982	0.0075	1.0	0.146459	0.006987	0.009171	0.006615	0.021579
CD1C	0.140155	0.303194	0.00152	0.002871	0.006352	0.01974	0.00176	0.002532	0.0	0.00358	0.002048	0.001454	0.053646	0.001368	0.000632	0.015847	1.0	0.103706	0.001683	0.001902	0.000819	0.025389
CD1D	0.074055	0.127977	0.06093	0.003298	0.007443	0.001384	0.0	0.013193	0.014381	0.088121	0.003088	0.00344	0.867516	0.013423	0.114477	0.010349	0.026371	0.014034	0.019861	0.005483	0.014106	0.04076
CD1E	0.002318	0.001944	0.001865	0.00224	0.005443	0.002616	2.8e-05	0.003311	0.004884	0.0	0.00237	0.000138	0.006622	0.001786	0.000866	0.009066	1.0	0.157896	0.001943	0.002149	0.001907	0.000976
CD2	0.022003	0.021297	0.019023	0.578734	0.56581	0.678842	0.556036	1.0	0.797005	0.414834	0.43997	0.214048	0.007871	0.002676	0.0	0.005421	0.005379	0.002464	0.015778	0.001863	0.036021	0.03329
CD209	0.023648	0.008372	0.007153	0.006513	0.034823	0.00467	0.006511	0.007433	0.05487	0.041031	0.014135	0.010237	0.029225	0.1131	0.067986	1.0	0.892129	0.081578	0.022983	0.061588	0.031927	0.046182
CD22	1.0	0.544835	0.0	0.00563	0.010489	0.010792	0.006615	0.008055	0.033146	0.018804	0.006996	0.004118	0.0037	0.041125	0.013231	0.061901	0.041465	0.005425	0.082054	0.05707	0.02618	0.016273
CD244	0.016886	0.008224	0.004268	0.247357	0.06377	0.020728	0.001989	0.042904	0.027295	0.448336	0.737672	0.688317	0.331022	0.001609	0.011594	0.031831	0.002233	0.0	0.035516	0.008153	1.0	0.013681
CD247	0.0	0.001133	0.00158	0.206966	0.2647	0.199804	0.080476	0.199198	0.366788	0.343598	0.606606	0.569204	0.000438	1e-05	0.000123	0.002195	0.000755	0.000333	0.003954	0.003084	0.016432	0.001365
CD27	0.041226	0.557644	1.0	0.746007	0.544394	0.564473	0.142745	0.774193	0.948925	0.302816	0.014736	0.005214	0.006464	0.000191	0.006606	0.006468	0.004915	0.003101	0.004743	0.0	0.0522	0.029008
CD28	0.05054	0.056473	0.039412	0.209995	0.181209	0.404146	1.0	0.56726	0.695761	0.208543	0.009108	0.006348	0.00964	0.002076	0.003083	0.066902	0.013315	0.003779	0.002165	0.00786	0.014124	0.053618
CD300A	0.000847	0.009737	0.014584	0.133937	0.031441	0.073038	0.005308	0.003881	0.010895	0.421927	1.0	0.873458	0.406723	0.125145	0.034792	0.321946	0.006264	0.0	0.141407	0.197426	0.447953	0.772323
CD33	0.003791	0.001889	0.004694	0.002904	0.002135	0.000785	0.000521	0.001733	0.010399	0.030395	0.001145	0.001337	0.326545	0.083471	0.051351	0.121717	0.158974	0.001617	0.176475	0.189544	0.006211	0.006289
CD37	1.0	0.875472	0.05346	0.332599	0.220458	0.318537	0.058266	0.266423	0.359932	0.131114	0.151441	0.114483	0.335313	0.102993	0.018307	0.170249	0.023482	0.0	0.052052	0.076467	0.137578	0.236171
CD38	0.043352	0.0493	1.0	0.021001	0.019127	0.011577	0.035417	0.089576	0.052333	0.013129	0.112219	0.066498	0.014265	0.002081	0.990991	0.047861	0.0	0.274295	0.062138	0.107962	0.019327	0.027772
CD3D	0.004813	0.008577	0.004027	0.760719	0.788216	0.634459	0.393698	1.0	0.672097	0.628376	0.012621	0.01225	0.003541	0.003284	0.000729	0.0	0.00497	0.006364	0.00151	5.2e-05	0.041398	0.012628
CD3E	0.176838	0.100504	0.165635	0.906578	0.5488	1.0	0.436048	0.45893	0.828904	0.259477	0.053219	0.034056	0.015333	0.00942	0.006881	0.007327	0.010553	0.023493	0.002372	0.0	0.047475	0.108886
CD3G	0.009478	0.016881	0.003715	0.780205	0.665704	0.714122	0.265561	0.561967	0.300214	0.258898	0.055576	0.023864	0.003858	0.003741	0.00166	0.0	0.003358	0.005319	0.000969	0.000564	0.023291	0.033848
CD4	0.012698	0.010706	0.033754	0.015322	0.24616	0.366526	0.169899	0.431175	0.546248	0.03856	0.007014	0.006508	0.330224	0.053693	0.154934	1.0	0.131795	0.068432	0.020168	0.02749	0.015192	0.035095
CD40	0.112656	0.099888	0.062001	0.012864	0.006426	0.010227	0.010255	0.007176	0.023352	0.017996	0.009856	0.013	0.020252	0.085838	1.0	0.046939	0.120781	0.379476	0.005799	0.029338	0.012942	0.018474
CD40LG	0.034291	0.024938	0.013074	0.117953	0.309777	0.577793	0.445558	0.548282	0.01058	0.299823	0.009375	0.025231	0.006231	0.00976	0.007363	0.011283	0.003062	0.0008	0.0	0.003939	0.014296	0.024568
CD5	0.095338	0.026464	0.08937	0.213675	0.25273	0.413934	0.206372	0.345286	0.866883	0.101824	0.044553	0.023784	0.052105	0.038439	0.045019	0.02037	0.041323	0.038535	0.018796	0.028329	0.048035	0.0294
CD6	0.004034	0.005865	0.029938	0.198331	0.082304	0.367155	0.317898	0.211973	0.242315	0.03553	0.068782	0.036242	0.00582	0.006263	0.011275	0.005579	0.00651	0.005729	2.8e-05	0.0	0.034033	0.013461
CD68	0.0	0.000497	0.000571	0.004634	0.001732	0.00121	0.002677	0.002295	0.001991	0.009103	0.008775	0.001031	0.077819	0.164953	0.072226	0.268204	0.109946	0.066331	0.016393	0.021593	0.0041	0.00319
CD69	0.692999	0.422323	0.00863	0.317873	0.368353	0.46045	0.087958	0.510367	0.043055	0.383134	0.147776	0.458974	0.003145	0.000239	0.002547	0.0	0.000885	0.003427	0.034707	0.122763	0.534146	0.034372
CD7	0.000361	0.000534	0.000611	0.232318	0.211172	0.156333	0.13167	0.221638	0.826382	0.042194	0.172943	0.218952	0.000869	0.000401	0.000125	0.007154	0.001557	0.001028	0.0	0.000823	0.003805	0.001361
CD70	0.095268	0.282691	0.219134	0.070314	0.000777	0.080222	0.144937	0.052602	1.0	0.098862	0.059185	0.037872	0.039566	0.024937	0.132774	0.000927	0.025694	0.313292	0.048227	0.0	0.087727	0.103059
CD72	1.0	0.131289	0.001187	0.00851	0.025488	0.001072	0.00635	0.002498	0.021706	0.003376	0.042512	0.010067	0.001703	0.001969	0.002047	0.082171	0.012335	0.000976	0.0	0.006226	0.004702	0.001826
CD79A	1.0	0.810715	0.315081	0.030153	0.010075	0.008269	0.00298	0.031116	0.030044	0.011185	0.007264	0.006411	0.009378	0.005197	0.00389	0.000138	0.006387	0.010594	0.0	0.004716	0.037284	0.016593
CD79B	0.982541	0.774777	0.142676	0.031568	0.040653	0.050129	0.025408	0.063985	0.136535	0.039608	0.053915	0.035745	0.01991	0.00489	0.004234	0.006757	0.003823	0.00557	0.0	0.003843	0.028341	0.032117
CD80	0.024505	0.071985	0.076863	0.011692	0.018031	0.015879	0.038746	0.019722	0.082544	0.039008	0.031593	0.026281	0.028317	0.073164	0.805693	0.030992	0.127754	1.0	0.022182	0.034699	0.01973	0.024812
CD86	0.072883	0.127826	0.062724	0.017777	0.001246	0.01477	0.013609	0.0	0.032912	0.069882	0.018056	0.013042	0.306816	0.164725	0.317149	0.61911	0.380965	1.0	0.029628	0.039009	0.01755	0.02957
CD8A	0.035961	0.021095	0.000216	0.683595	0.0	0.007289	0.008252	0.009028	0.002723	0.074674	0.063107	0.078965	0.011165	0.006521	0.000331	0.001539	0.009316	0.008407	0.003161	0.004243	0.009294	0.039997
CD8B	0.003032	0.002295	0.003196	0.914888	0.033303	0.001796	0.000782	0.027072	0.000776	0.024652	0.002675	0.00183	0.001287	0.001359	0.0	0.000165	0.001214	0.00104	0.000165	0.000408	0.005878	0.005488
CD96	0.017426	0.024315	0.008285	0.274273	0.227744	0.250352	0.035917	0.071586	0.471816	0.483478	0.259764	0.340773	0.000447	0.000697	0.005101	0.0	0.002816	0.003878	0.011455	0.001568	0.065083	0.009418
CDA	0.0	0.000231	0.003176	0.000729	0.000622	0.00203	0.000755	0.000864	0.001151	0.044554	0.025296	0.000194	0.288137	0.094713	0.00038	0.005958	0.093712	0.007973	0.022482	0.020827	0.09457	1.0
CDC25A	0.024798	0.019186	0.043406	0.003965	0.020251	0.0	1.0	0.102724	0.094427	0.074502	0.019394	0.611468	0.026195	0.045575	0.059676	0.026171	0.026412	0.017126	0.086264	0.2992	0.02677	0.040111
CDH12	0.036553	0.075342	0.017828	0.022534	0.019328	0.026069	0.087703	0.031929	0.655042	1.0	0.121399	0.031929	0.03044	0.047287	0.046319	0.02861	0.152802	0.101425	0.41875	0.179519	0.303176	0.109299
CDK6	0.00722	0.00413	0.00126	0.021135	0.005233	0.035212	0.01314	0.004601	0.022912	0.004699	0.00575	0.111806	0.003329	0.004312	0.00157	0.0	0.025461	0.022051	0.014197	0.000518	0.020831	0.00266
CEACAM3	0.030019	0.026833	0.047443	0.030319	0.0258	0.023795	0.01961	0.028421	0.061076	0.054973	0.088107	0.049683	0.113067	0.071925	0.056398	0.05172	0.067823	0.0978	0.086376	0.07692	0.060436	1.0
CEACAM8	0.031997	0.03576	0.008848	0.05965	0.002362	0.030241	0.014111	0.001305	0.015818	0.005924	0.400446	0.06732	0.002095	0.001442	0.005224	0.004196	0.005258	0.007298	1.0	0.769311	0.098016	0.062185
CEMP1	0.112921	0.099234	0.0	0.01828	0.191356	0.012049	0.014523	0.299279	1.0	0.635717	0.09304	0.203601	0.032473	0.037452	0.065208	0.190223	0.001282	0.009835	0.026624	0.169024	0.238403	0.119976
CFP	0.0	2e-05	0.000219	0.002654	0.099315	0.012409	0.000327	0.002535	0.011543	0.126167	0.007956	0.000651	1.0	0.0061	0.058037	0.531795	0.000804	0.120791	0.011697	0.056878	0.002707	0.555881
