AGENE	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
CD68	0.247444	0.007513	0.000803	0.000933	0.000287	0.001454	0.001698	0.001515	0.00159
CD72	0.001227	0.184355	0.001339	0.001633	0.000574	0.001322	0.019406	0.002921	0.001423
CD79A	0.003272	3.320892	0.014102	0.005481	0.014838	0.028156	0.007398	0.074335	0.10647
CD79B	0.019632	2.705223	0.078633	0.074752	0.046238	0.067812	0.107702	0.035598	0.033063
CD8B	0.0	0.0	0.007408	0.001166	0.012828	0.003833	0.006186	1.33813	1.475768
CDT1	0.001227	0.000119	0.004909	0.000233	0.000479	0.001586	0.002183	0.001515	0.000335
CENPA	0.0	0.0	0.001071	0.000117	9.6e-05	0.000661	0.000364	0.000216	0.0
CES1	0.022495	0.0	0.000179	0.00035	0.0	0.000264	0.000485	0.000541	0.0
CFD	1.180777	0.000596	0.004373	0.001633	0.004595	0.003701	0.000243	0.006167	0.008956
CFH	0.0	0.0	0.005266	0.00758	0.0	0.003833	0.004124	0.001731	0.000419
CHDH	0.0	0.000119	0.000357	0.00035	9.6e-05	0.001983	0.000121	0.0	8.4e-05
CHN1	0.0	0.000238	0.005623	0.005248	0.000287	0.004891	0.0	0.001515	0.000251
CHRNA1	0.0	0.001073	0.002231	0.009329	0.0	0.001851	0.0	0.002056	0.000167
CLEC11A	0.046217	0.005366	0.017137	0.003382	0.039728	0.006345	0.043784	0.108526	0.156022
CLIC3	0.002863	0.001073	0.01196	0.02519	0.001532	0.013483	2.632141	0.122376	0.04001
CLIC4	0.002454	0.02218	0.000357	0.00035	0.0	0.000132	0.0	0.000108	8.4e-05
CLIC5	0.0	0.000358	0.001071	0.00105	0.0	0.001983	0.000121	0.000433	0.000251
CLU	0.002045	0.0	0.006337	0.010146	9.6e-05	0.00846	0.001455	0.002597	0.000167
CMTM8	0.001636	0.000715	0.039539	0.038717	0.031304	0.044283	0.003517	0.010387	0.011802
CNRIP1	0.000818	0.0	0.001071	0.000233	0.0	0.0	0.000485	0.000108	0.0
CNTNAP1	0.0	0.000119	0.000536	0.002099	0.0	0.001058	0.0	0.000325	0.000167
COCH	0.000409	0.017052	0.000536	0.000117	0.0	0.000132	0.000849	0.000649	8.4e-05
COL5A3	0.0	0.0	0.00125	0.002799	0.0	0.001058	0.000364	0.000433	0.000167
CPA5	0.0	0.0	0.04311	0.058892	0.022784	0.053007	0.000121	0.163601	0.229346
CPNE5	0.000409	0.032554	0.0	0.000466	9.6e-05	0.000132	0.000121	0.000108	0.0
CPNE7	0.0	0.0	0.00482	0.007464	0.000287	0.004098	0.001941	0.00238	0.000502
CPVL	0.306339	0.0	0.000803	0.000233	0.000191	0.0	0.000364	0.000108	0.0
CRIP2	0.002045	0.017171	0.182346	0.200117	0.098315	0.232783	0.013463	0.060809	0.033649
CRTAM	0.003681	0.0	0.004016	0.000117	0.008329	0.000925	0.015403	0.05778	0.054909
CRYGN	0.0	0.0	0.000893	0.001516	9.6e-05	0.002115	0.000121	0.000108	8.4e-05
CSF1	0.0	0.000119	0.003213	0.006297	0.000287	0.004627	0.000364	0.001298	0.000167
CSF2RA	0.052352	0.000119	0.0	0.0	9.6e-05	0.0	0.0	0.000108	8.4e-05
CST3	4.73456	0.000477	0.004998	0.001283	0.004882	0.003173	0.036022	0.004761	0.000753
CST7	0.002454	0.000238	0.060246	0.083265	0.004595	0.059088	3.168102	0.452824	0.006278
CTHRC1	0.0	0.000119	0.000714	0.000117	0.00067	0.000132	0.000121	0.0	0.0
CTLA4	0.0	0.0	0.010353	0.00688	0.003351	0.015598	0.0	0.001623	0.000502
CX3CR1	0.008589	0.0	8.9e-05	0.0	0.000191	0.0	0.15658	0.006059	0.0
CXADR	0.0	0.0	0.001339	0.000466	0.001915	0.001851	0.0	0.000974	0.001004
CXCR6	0.0	0.000119	0.002678	0.00105	0.0	0.000661	0.001941	0.001623	8.4e-05
CYBRD1	0.007771	0.0	0.000446	0.000233	0.0	0.000264	0.025834	0.000216	0.0
CYP2E1	0.0	0.0	0.000268	0.000816	0.0	0.001322	0.0	0.000108	0.000167
CYP2J2	0.0	0.000715	0.000446	0.00035	0.001627	0.000132	0.000243	0.001948	0.002595
CYP4F22	0.0	0.0	0.000893	0.0007	0.0	0.000264	0.000606	0.002164	0.001088
DAB1	0.0	0.0	0.00241	0.002682	0.000479	0.002908	0.000243	0.000216	0.000335
DACT1	0.0	0.000715	0.001607	0.000117	0.002968	0.000264	0.000121	0.000216	0.000335
DBN1	0.000409	0.0	0.002142	0.000466	0.002298	0.001058	0.0057	0.020775	0.021679
DERL3	0.002863	0.056881	0.00125	0.000583	0.000191	0.000793	0.000728	0.000325	8.4e-05
DHDH	0.0	0.000238	0.001874	0.000816	0.002968	0.001454	0.000121	0.001298	0.002846
DKK3	0.0	0.0	0.000268	0.00035	0.0	0.000397	0.0	0.003138	0.002595
DLL3	0.0	0.002146	0.00116	0.00105	0.000862	0.000793	0.000243	0.004653	0.005859
DNAH6	0.0	0.000477	0.00473	0.000583	0.007467	0.000397	0.000606	0.007574	0.010295
DPP4	0.0	0.000119	0.02749	0.022507	0.022688	0.024851	0.001334	0.012119	0.008454
DPYSL4	0.0	0.000119	0.004909	0.002566	0.008711	0.001322	0.000243	0.000216	0.000251
DSC1	0.0	0.0	0.000268	0.000117	0.000862	0.0	0.0	0.002272	0.001507
DSEL	0.000818	0.001192	0.001339	0.003149	0.000862	0.00119	0.001334	0.022939	0.029045
DUSP16	0.0	0.000238	0.006783	0.007114	0.00268	0.00846	0.000849	0.003787	0.001339
DUSP4	0.0	0.000119	0.006248	0.004781	9.6e-05	0.009518	0.0	0.001623	0.0
DUSP8	0.000409	0.0	0.000536	0.000466	9.6e-05	0.000264	0.000121	0.001407	0.000167
EBF1	0.0	0.018722	8.9e-05	0.000117	0.0	0.000264	0.0	0.000216	0.0
EDAR	0.0	0.0	0.001607	0.000466	0.002585	0.001454	0.0	0.00119	0.003097
EEPD1	0.008589	0.000119	0.029007	0.031137	0.00785	0.022736	0.000728	0.005518	0.00226
EFNA1	0.000409	0.000119	0.004463	0.0007	0.008807	0.002379	0.000606	0.00303	0.003934
EGOT	0.0	0.0	0.000268	0.002332	9.6e-05	0.000397	0.000849	0.0	0.0
ELOVL4	0.0	0.0	0.008211	0.010729	0.000766	0.007931	0.000485	0.003787	0.002846
EMR2	0.022904	0.000119	0.0	0.000233	0.0	0.0	0.000121	0.0	8.4e-05
EPHX2	0.0	0.001789	0.092824	0.050379	0.13565	0.056444	0.00279	0.072495	0.099104
EREG	0.038037	0.0	8.9e-05	0.000117	0.0	0.0	0.000606	0.0	8.4e-05
ESPN	0.0	0.0	0.002231	0.003732	0.000479	0.005155	0.000606	0.000757	0.000586
ETV7	0.000409	0.000238	0.001696	0.002216	9.6e-05	0.003173	0.000606	0.000757	0.0
EVPL	0.0	0.0	8.9e-05	0.0	0.000191	0.000132	0.0	0.000649	0.000586
F2RL1	0.0	0.000119	0.001964	0.001399	0.001915	0.001718	0.0	0.000216	0.000502
F5	0.003272	0.0	0.004106	0.004082	0.00067	0.003833	0.0	0.000433	0.0
FAAH2	0.0	0.0	0.006516	0.00793	0.003255	0.004627	0.0	0.001298	0.000921
FAM129C	0.000409	0.135702	8.9e-05	0.0	9.6e-05	0.0	0.000121	0.000216	0.000335
FAM153A	0.0	0.000358	0.002678	0.002682	0.004882	0.001586	0.000121	0.003679	0.002595
FAM171A1	0.0	0.0	0.002945	0.003149	0.003351	0.001983	0.000121	0.001515	0.00226
FAM178B	0.0	0.0	0.00116	0.00035	0.001915	0.000529	0.001577	0.002813	0.00226
FAM19A1	0.0	0.000119	0.004016	0.003499	0.000957	0.002908	0.0	0.00119	0.000419
FANK1	0.0	0.000119	0.009282	0.004198	0.0	0.020093	0.0	0.000541	0.000502
FAR2	0.002454	0.0	0.003481	0.002099	0.000862	0.002512	0.000606	0.000433	0.000167
FAS	0.00409	0.001073	0.016155	0.016793	0.001436	0.023001	0.00849	0.006817	0.000586
FASLG	0.0	0.0	0.001339	0.001516	9.6e-05	0.001718	0.052638	0.002597	0.0
FBLN7	0.0	0.0	0.030168	0.030321	0.018572	0.033443	0.0	0.000757	0.001172
FCER1A	0.097342	0.0	0.000714	0.0	0.000191	0.000132	0.000485	0.0	0.0
FCER2	0.000818	0.501789	0.000179	0.0	0.000383	0.0	0.0	0.0	0.000251
FCGBP	0.000409	0.002981	0.000893	0.002682	0.000957	0.000793	0.000728	0.010604	0.01515
FCGR2B	0.016769	0.125566	8.9e-05	0.000117	0.0	0.0	0.002183	0.000433	0.0
FCRL1	0.0	0.142022	0.000357	0.0	0.000191	0.003305	0.000121	0.000757	0.0
FCRL6	0.0	0.0	0.000446	0.000233	0.0	0.000264	0.211886	0.038303	0.000167
FEZ1	0.0	0.0	8.9e-05	0.000117	0.0	0.000264	0.054215	0.002705	0.000251
FGFBP2	0.0	0.0	0.001607	0.00035	0.002106	0.0	2.131231	0.200931	0.00611
FHIT	0.005317	0.011209	0.085237	0.027638	0.156806	0.040714	0.013584	0.040251	0.057169
FHL2	0.0	0.0	0.001785	0.0007	0.00134	0.0	0.000121	0.002272	0.002846
FOLR2	0.042127	0.004174	0.000179	0.0	0.0	0.000132	0.000364	0.000325	0.0
FOXJ1	0.0	0.000119	0.000446	0.000233	0.000957	0.000264	0.000121	0.002164	0.005273
FOXP3	0.0	0.0	0.009461	0.005948	0.003063	0.035294	0.0	0.000757	8.4e-05
G0S2	0.26135	0.000238	0.001874	0.005364	9.6e-05	0.003173	0.0	0.0	0.000335
GAL3ST4	0.000409	0.000119	0.009372	0.005015	0.008041	0.007138	0.0	0.002489	0.005524
GAPT	0.018814	0.135345	0.000625	0.0	0.000287	0.0	0.000243	0.000433	0.000251
GCAT	0.000409	0.0	0.008122	0.006414	0.00986	0.003966	0.000606	0.003787	0.00519
GCNT4	0.0	0.0	0.003927	0.001633	0.00268	0.007931	0.000121	0.002597	0.002762
GIPC3	0.0	0.0	0.000536	0.000117	0.001053	0.000132	0.00097	0.001839	0.002093
GJB6	0.0	0.0	0.00125	0.000466	0.000862	0.003833	0.0	0.00119	0.001088
GLIS3	0.0	0.0	0.000714	0.000117	0.000383	0.000132	0.0	0.001298	0.002009
GNAL	0.0	0.000238	8.9e-05	0.000117	0.0	0.000264	0.008126	0.000216	8.4e-05
GNAO1	0.0	0.000358	0.002231	0.005948	0.000287	0.003569	0.00097	0.003571	8.4e-05
GNG3	0.0	0.014071	0.000179	0.000233	0.0	0.000264	0.000243	0.0	0.000335
GNLY	0.02045	0.000119	0.049714	0.059592	0.011296	0.025644	24.520679	1.378922	0.012639
GP5	0.0	0.0	0.001607	0.000583	0.001627	0.000264	0.000364	0.000649	0.001339
GPBAR1	0.082209	0.000238	0.0	0.000117	9.6e-05	0.0	0.000121	0.0	8.4e-05
GPC3	0.0	0.0	0.00116	0.000117	0.001819	0.0	0.000121	0.001082	0.000502
GPR146	0.000409	0.000119	0.023831	0.011545	0.019625	0.023001	0.00097	0.003462	0.006529
GPR19	0.0	0.0	0.001785	0.000117	0.000191	0.000793	0.000728	0.000325	0.000251
GPR56	0.0	0.0	0.000625	0.00035	0.000191	0.0	0.330018	0.023804	8.4e-05
GPRC5B	0.0	0.0	0.000803	0.000233	0.000766	0.000132	0.0	0.0	0.000167
GTSCR1	0.0	0.0	0.004016	0.001166	0.004021	0.006477	0.000121	0.00541	0.007282
GTSF1L	0.0	0.000119	0.000179	0.0	0.00067	0.000661	0.0	0.000108	0.001004
GZMA	0.0	0.0	0.102285	0.15172	0.017806	0.060278	3.605458	0.467864	0.015067
GZMB	0.003272	0.0	0.000893	0.00105	0.000479	0.0	3.89909	0.180697	0.000335
GZMH	0.0	0.0	0.002856	0.001516	0.00201	0.000529	1.195755	0.376001	0.000586
GZMK	0.0	0.0	0.100946	0.1193	0.015987	0.04534	0.20752	0.395694	0.018749
H1F0	0.012679	0.0	0.010264	0.005364	0.013594	0.004759	0.000364	0.002056	0.003683
HBA1	0.0	0.0	8.9e-05	0.0	0.000191	0.0	0.010916	0.00119	0.000167
HBEGF	0.038855	0.0	0.000357	0.00035	9.6e-05	0.000397	0.000121	0.000216	0.0
HEMGN	0.0	0.0	0.0108	0.004548	0.013689	0.006081	0.001334	0.006817	0.011802
HKDC1	0.0	0.0	0.006605	0.003848	0.006222	0.005816	0.000121	0.001731	0.002595
HLA-DOB	0.002454	0.253041	0.000446	0.000933	0.000191	0.000397	0.000364	0.000541	0.000586
HLA-DRA	2.958282	7.940854	0.029632	0.004315	0.002872	0.013483	0.013705	0.037005	0.002093
HLF	0.0	0.0	0.001428	0.003265	0.000191	0.001586	0.0	0.000216	0.0
HMOX1	0.080573	0.000596	0.000268	0.0	0.000287	0.0	0.008369	0.000216	0.0
HOXA1	0.0	0.0	0.000536	0.000233	0.0	0.000661	0.0	0.000757	0.000167
HOXA10	0.000409	0.000119	8.9e-05	0.0	0.000287	0.000132	0.013948	0.000325	0.0
HPCAL4	0.0	0.0	0.005355	0.006414	0.002776	0.009782	0.000243	0.001623	0.001172
HS3ST1	0.000409	0.025996	8.9e-05	0.000117	0.0	0.0	0.0	0.000108	0.0
HSD11B1	0.0	0.0	0.003927	0.006064	0.000287	0.004494	0.0	0.000325	0.0
HSF4	0.003681	0.0	0.000893	0.004315	0.000383	0.002379	0.000364	0.000866	0.000167
ICA1	0.000818	0.000358	0.009193	0.008746	0.00201	0.017184	0.009945	0.001839	0.001172
ICOS	0.0	0.0	0.024009	0.017843	0.02355	0.020489	0.000485	0.006925	0.008203
IFI27	0.000409	0.0	0.00357	0.011079	0.0	0.002115	0.000243	0.000541	0.000251
IFI30	0.433538	0.015741	0.000357	0.0007	9.6e-05	0.000661	0.000849	0.000866	0.000167
IGFBP3	0.0	0.0	0.002588	0.004898	9.6e-05	0.002644	0.000364	0.001839	0.00067
IGFBP6	0.0	0.0	0.000982	0.002216	0.000574	0.00119	0.000485	0.010712	0.012053
IGFBP7	0.067485	0.0	0.002321	0.000117	0.001149	0.000397	0.627896	0.000325	0.0
IGJ	0.017587	0.132244	0.002767	0.0	0.001149	0.000132	0.000243	0.000433	0.000921
IGSF6	0.490389	0.000715	0.000268	0.000117	0.000191	0.000264	0.002183	0.000541	0.000251
IL18RAP	0.0	0.0	0.00116	0.002216	9.6e-05	0.000661	0.095816	0.00238	0.0
IL2RA	0.0	0.003697	0.018119	0.011895	0.00134	0.041375	0.00097	0.001948	0.000167
IL4I1	0.005726	0.000596	0.00598	0.01656	0.0	0.008328	0.001819	0.002056	8.4e-05
IL5RA	0.0	0.000596	0.000179	0.000816	0.0	0.00119	0.000121	0.000541	0.0
IQCA1	0.0	0.000477	0.000357	0.000466	0.00067	0.000132	0.000364	0.002164	0.004101
IQSEC2	0.018405	0.0	0.000268	0.000117	0.0	0.000132	0.000121	0.000216	0.0
IRF8	0.054806	0.385762	0.001517	0.0	0.002585	0.000132	0.040509	0.000541	0.001004
ISM1	0.0	0.0	0.004195	0.004198	0.001819	0.003966	0.000121	0.000974	0.000251
ITGA1	0.000818	0.0	0.0	0.000583	0.000191	0.000132	0.000121	0.001839	0.0
ITGA3	0.0	0.000358	0.001071	0.003265	0.000574	0.000661	0.000121	0.000433	0.000502
JAKMIP1	0.0	0.000119	0.006873	0.008047	9.6e-05	0.011104	0.006549	0.006925	0.000251
KCNA2	0.0	0.0	0.000179	0.000583	9.6e-05	0.000793	0.0	0.000325	0.0
KCNIP2	0.0	0.011448	0.000179	0.000466	0.0	0.000397	0.000243	0.000108	0.000167
KIAA0125	0.000409	0.217386	0.00125	0.0	0.000479	0.000132	0.001577	0.004112	0.002176
KIFC3	0.000818	0.0	0.000446	0.0007	0.0	0.000397	0.031656	0.005735	0.0
KIR3DL2	0.0	0.0	0.00116	0.002566	0.000191	0.001058	0.066586	0.003571	0.000586
KLHL13	0.0	0.0	0.000179	0.0	0.001244	0.000132	0.000364	0.000541	0.000753
KLHL34	0.0	0.000477	0.002142	0.000583	0.003063	0.001454	0.0	0.000866	0.001172
KLRB1	0.0	0.0	0.066673	0.200233	0.002298	0.063186	2.459794	0.032136	0.003013
KLRC1	0.0	0.0	0.000803	0.000233	0.00067	0.0	0.677138	0.039602	0.001256
KLRC2	0.0	0.0	0.000179	0.000117	0.000479	0.0	0.10285	0.013958	0.001004
KLRD1	0.0	0.000119	0.000714	0.000466	0.000479	0.000264	0.776349	0.050206	0.000251
KLRF1	0.000818	0.002743	0.000446	0.001283	0.000287	0.000793	1.069254	0.004544	0.000502
KMO	0.000818	0.020749	0.000179	0.000233	0.000191	0.0	0.000121	0.000325	8.4e-05
KRT1	0.0	0.0	0.021778	0.020875	0.007754	0.031857	0.000121	0.004653	0.000586
KRT2	0.0	0.0	0.010443	0.002682	0.020678	0.003305	0.010067	0.00844	0.019168
KRT72	0.0	0.0	0.003927	0.002099	0.007946	0.000661	0.009096	0.005843	0.011718
LAG3	0.0	0.0	0.019368	0.017026	0.003351	0.018506	0.001455	0.050855	0.004185
LCN8	0.0	0.106725	8.9e-05	0.0	0.000191	0.000132	0.000121	0.000325	0.000251
LCNL1	0.0	0.0	8.9e-05	0.000583	0.0	0.000397	0.0057	0.017204	0.017661
LEF1	0.0	0.000477	0.352731	0.13691	0.438445	0.240978	0.006792	0.244319	0.347619
LGALS9C	0.001636	0.000358	0.000268	0.000233	9.6e-05	0.000132	0.075076	0.000108	8.4e-05
LILRB3	0.04908	0.000238	0.000714	0.001866	9.6e-05	0.001322	0.000243	0.000325	0.000167
LMCD1	0.0	0.000358	0.001517	0.000583	9.6e-05	0.002247	0.0	0.000325	0.0
LOXL1	0.0	0.000119	0.005623	0.005831	0.000862	0.007799	0.001092	0.002921	0.001256
LOXL2	0.0	0.0	0.000357	0.001399	0.000191	0.000264	0.000485	0.000108	0.0
LRP1	0.135378	0.000358	0.000446	0.001399	0.000479	0.000793	0.000121	0.000541	0.000753
LRRC32	0.000409	0.000119	0.000357	0.000233	0.0	0.001718	0.0	0.0	0.0
LRRC37A2	0.000409	0.000477	0.0	0.000117	9.6e-05	0.000264	0.001092	0.00119	8.4e-05
LRRC7	0.0	0.000119	0.000357	0.000233	0.000862	0.000397	0.000121	0.002813	0.001674
LRRN3	0.0	0.0	0.035077	0.003965	0.05897	0.003569	0.0	0.051179	0.0755
LTK	0.000818	0.000119	0.002945	0.007464	0.0	0.003569	0.000121	0.001298	0.000251
LYPD3	0.000818	0.000358	0.018119	0.015743	0.030921	0.014937	0.002668	0.020883	0.0303
LYZ	3.741922	0.000477	0.003213	0.002216	0.000383	0.007667	0.000485	0.001515	0.0
MAFB	0.103476	0.000119	0.0	0.00035	0.0	0.000132	0.000485	0.000216	8.4e-05
MAL	0.0	0.000358	0.361032	0.332828	0.372296	0.334171	0.000485	0.207098	0.248598
MANSC1	0.0	0.000238	0.002945	0.0007	0.004021	0.000661	0.0	0.000866	0.000921
MARCH1	0.009407	0.094682	0.0	0.000117	9.6e-05	0.0	0.000121	0.0	0.0
MCOLN3	0.0	0.0	0.002231	0.002682	9.6e-05	0.001851	0.0	0.000757	0.000251
MEF2C	0.031084	0.181493	0.000357	0.0	9.6e-05	0.000132	0.007884	0.000108	0.0
MEOX1	0.0	0.0	0.008122	0.003965	0.001244	0.006609	0.0	0.00119	0.001256
MEST	0.000818	0.002385	0.006337	0.003265	0.008424	0.004494	0.000728	0.028132	0.044195
MIR146A	0.0	0.0	0.000982	0.000583	0.000862	0.003569	0.00097	0.000757	0.000251
MLC1	0.001636	0.0	0.000179	0.0	9.6e-05	0.0	0.05664	0.000974	8.4e-05
MMP28	0.0	0.000238	0.00723	0.0007	0.021635	0.001058	0.000364	0.014391	0.020758
