Fill	Fill	Fill	Fill	Fill
Fill	0.28	0.18	0.47	0.07
Fill	0.18	0.8	0.01	0.01
Fill	0.99	0	0.01	0
Fill	0.54	0.43	0.02	0.01
Fill	0.12	0.46	0.28	0.14
Fill	0.94	0.01	0.04	0.01
Fill	0.06	0.24	0	0.7
Fill	0.77	0.03	0.03	0.17
Fill	0.62	0.01	0.36	0.01
Fill	0.18	0.2	0.57	0.05
Fill	0.28	0.46	0.07	0.19
Fill	0.55	0.04	0.27	0.14
Fill	0.04	0.92	0.01	0.03
Fill	0.01	0.01	0.97	0.01
Fill	0.01	0.07	0.01	0.91
Fill	0.38	0.06	0.04	0.52
Fill	0.07	0.48	0.38	0.07
Fill	0.16	0.03	0.2	0.61
Fill	0.13	0.55	0.03	0.29
Fill	0.1	0.53	0.21	0.16
Fill	0.02	0.01	0.78	0.19
Fill	0.16	0.41	0.4	0.03
Fill	0.01	0.53	0.01	0.45
Fill	0.02	0.04	0.92	0.02
Fill	0.05	0.08	0.86	0.01
Fill	0.13	0.2	0.07	0.6
Fill	0.24	0.06	0.68	0.02
Fill	0.28	0.46	0.09	0.17
Fill	0.09	0.74	0.11	0.06
Fill	0.39	0.02	0.05	0.54
Fill	0.47	0.04	0.46	0.03
Fill	0.58	0.04	0.14	0.24
Fill	0.3	0.17	0.19	0.34
Fill	0.27	0.11	0.03	0.59
Fill	0.03	0	0.02	0.95
Fill	0.05	0.47	0.25	0.23
Fill	0.1	0.43	0.19	0.28
Fill	0.11	0.62	0.02	0.25
Fill	0.01	0.81	0.01	0.17
Fill	0.77	0.01	0.01	0.21
Fill	0.29	0.14	0.38	0.19
Fill	0.01	0.13	0.77	0.09
Fill	0.97	0	0.03	0
Fill	0.06	0.86	0.07	0.01
Fill	0.29	0.08	0.61	0.02
Fill	0.75	0	0.23	0.02
Fill	0.72	0.08	0.09	0.11
Fill	0.02	0.01	0.94	0.03
Fill	0.01	0.02	0.02	0.95
Fill	0.02	0.28	0.13	0.57
Fill	0.05	0.64	0	0.31
Fill	0.51	0.1	0.23	0.16
Fill	0.04	0.9	0.04	0.02
Fill	0.35	0.06	0.55	0.04
Fill	0.05	0.06	0.8	0.09
Fill	0.15	0.01	0.04	0.8
Fill	0.13	0.53	0.28	0.06
Fill	0.07	0.4	0.03	0.5
Fill	0.45	0.04	0.45	0.06
Fill	0.02	0	0.9	0.08
Fill	0.13	0.74	0.11	0.02
Fill	0.23	0.04	0.64	0.09
Fill	0.2	0	0.7	0.1
Fill	0.55	0.31	0.07	0.07
Fill	0.06	0.14	0.77	0.03
Fill	0.16	0.01	0.83	0
Fill	0.02	0.03	0.05	0.9
Fill	0	0.03	0.89	0.08
Fill	0.73	0	0.26	0.01
Fill	0.93	0.05	0.01	0.01
Fill	0.01	0.82	0.17	0
Fill	0.33	0.08	0.19	0.4
Fill	0.01	0.92	0.06	0.01
Fill	0.05	0.9	0	0.05
Fill	0.17	0.21	0.52	0.1
Fill	0.38	0.11	0.26	0.25
Fill	0.17	0.26	0.43	0.14
Fill	0.04	0.28	0.63	0.05
Fill	0	0.27	0.72	0.01
Fill	0.56	0.04	0.23	0.17
Fill	0.09	0.06	0.02	0.83
Fill	0.02	0.95	0	0.03
Fill	0.16	0.04	0.44	0.36
Fill	0.03	0	0.15	0.82
Fill	0.62	0.37	0.01	0
Fill	0	0.18	0.3	0.52
Fill	0.35	0.03	0.17	0.45
Fill	0.01	0.53	0.4	0.06
Fill	0.59	0.03	0.28	0.1
Fill	0.75	0.08	0.05	0.12
Fill	0.06	0.8	0.02	0.12
Fill	0.05	0.02	0.04	0.89
Fill	0.65	0	0.22	0.13
Fill	0	0.01	0.98	0.01
Fill	0.46	0.35	0.02	0.17
Fill	0.04	0.21	0.18	0.57
Fill	0.04	0.06	0.31	0.59
Fill	0.63	0.07	0.14	0.16
Fill	0.01	0	0.02	0.97
Fill	0.49	0.04	0.17	0.3
Fill	0.06	0.06	0.81	0.07
Fill	0.2	0.56	0.08	0.16
Fill	0.03	0.89	0.07	0.01
Fill	0.07	0	0.93	0
Fill	0.23	0.53	0.13	0.11
Fill	0.1	0.85	0.02	0.03
Fill	0.02	0.27	0.43	0.28
Fill	0.26	0.22	0.43	0.09
Fill	0.8	0.18	0.02	0
Fill	0.45	0.07	0.46	0.02
Fill	0.92	0.01	0	0.07
Fill	0.28	0.01	0.66	0.05
Fill	0.09	0.37	0	0.54
Fill	0.02	0.18	0.21	0.59
Fill	0.17	0.12	0.61	0.1
Fill	0.07	0	0.08	0.85
Fill	0.28	0.1	0.6	0.02
Fill	0.07	0.28	0.02	0.63
Fill	0	0.03	0.25	0.72
Fill	0.12	0.11	0.64	0.13
Fill	0.62	0.36	0	0.02
Fill	0	0.57	0.39	0.04
Fill	0.06	0.02	0.74	0.18
Fill	0.12	0.16	0.46	0.26
Fill	0.76	0.11	0.07	0.06
Fill	0.02	0.94	0.02	0.02
Fill	0.21	0.23	0.31	0.25
Fill	0.3	0.32	0.04	0.34
Fill	0.08	0.31	0.17	0.44
Fill	0.49	0.49	0.01	0.01
Fill	0.1	0.71	0.16	0.03
Fill	0	0.11	0.02	0.87
Fill	0.02	0.46	0.13	0.39
Fill	0.12	0.6	0.05	0.23
Fill	0.28	0.14	0.4	0.18
Fill	0.09	0.67	0.06	0.18
Fill	0.04	0.54	0.02	0.4
Fill	0.06	0.05	0.85	0.04
Fill	0.08	0.14	0.64	0.14
Fill	0.61	0.38	0.01	0
Fill	0.18	0.32	0.09	0.41
Fill	0.05	0.02	0.1	0.83
Fill	0.61	0.27	0.09	0.03
Fill	0.29	0.63	0.07	0.01
Fill	0	0.54	0.11	0.35
Fill	0.02	0.15	0.12	0.71
Fill	0.05	0.02	0.74	0.19
Fill	0.16	0.12	0.19	0.53
Fill	0.35	0.01	0.36	0.28
Fill	0.31	0.1	0.06	0.53
Fill	0.01	0.05	0.2	0.74
Fill	0.38	0.08	0.41	0.13
Fill	0.32	0.01	0.38	0.29
Fill	0.03	0.32	0.51	0.14
Fill	0.17	0.68	0.03	0.12
Fill	0.26	0.39	0.31	0.04
Fill	0	0.98	0.01	0.01
Fill	0.12	0	0.87	0.01
Fill	0.06	0.22	0.52	0.2
Fill	0.02	0.03	0.07	0.88
Fill	0.23	0	0.62	0.15
Fill	0.96	0.02	0.01	0.01
Fill	0.63	0.16	0.21	0
Fill	0.01	0.01	0.98	0
Fill	0.21	0.12	0.3	0.37
Fill	0.04	0.01	0.14	0.81
Fill	0.06	0.62	0.16	0.16
Fill	0.31	0.17	0.4	0.12
Fill	0.03	0.78	0.19	0
Fill	0.02	0.03	0.41	0.54
Fill	0.05	0.01	0.85	0.09
Fill	0.84	0.03	0.05	0.08
Fill	0.05	0.66	0.24	0.05
Fill	0.25	0.08	0.47	0.2
Fill	0.03	0.02	0.11	0.84
Fill	0.11	0.32	0.29	0.28
Fill	0.48	0.12	0.07	0.33
Fill	0.51	0.07	0.05	0.37
Fill	0.51	0.44	0.03	0.02
Fill	0	0.43	0.56	0.01
Fill	0	0.97	0.02	0.01
Fill	0.16	0.12	0.47	0.25
Fill	0.15	0.06	0.68	0.11
Fill	0.24	0.03	0.02	0.71
Fill	0.08	0.65	0.1	0.17
Fill	0.51	0.16	0.01	0.32
Fill	0.09	0.7	0.1	0.11
Fill	0.02	0.38	0.59	0.01
Fill	0.27	0.27	0.42	0.04
Fill	0.18	0.7	0.04	0.08
Fill	0.15	0.06	0.14	0.65
Fill	0.08	0.14	0.47	0.31
Fill	0.74	0.01	0.25	0
Fill	0.04	0.04	0.16	0.76
Fill	0.03	0.03	0.11	0.83
Fill	0.74	0	0.02	0.24
Fill	0.01	0.03	0.42	0.54
Fill	0.3	0.21	0.02	0.47
Fill	0.14	0.08	0.22	0.56
Fill	0.67	0.02	0.12	0.19
Fill	0.08	0.02	0.89	0.01
Fill	0.78	0.01	0.07	0.14
Fill	0.49	0.09	0.16	0.26
Fill	0.81	0.02	0.1	0.07
Fill	0.27	0.02	0.17	0.54
Fill	0.52	0.16	0.22	0.1
Fill	0.33	0.33	0.17	0.17
Fill	0.38	0.52	0.02	0.08
Fill	0.27	0.25	0.47	0.01
Fill	0.37	0.12	0.03	0.48
Fill	0.37	0.23	0.19	0.21
Fill	0.25	0.23	0.36	0.16
Fill	0.09	0.23	0.13	0.55
Fill	0.2	0.38	0.22	0.2
Fill	0.01	0.95	0.01	0.03
Fill	0.72	0.1	0.13	0.05
Fill	0.39	0.15	0.12	0.34
Fill	0.18	0.53	0.17	0.12
Fill	0	0.56	0.08	0.36
Fill	0.04	0.15	0.72	0.09
Fill	0.76	0.19	0.05	0
Fill	0.02	0.02	0.08	0.88
Fill	0.09	0.19	0.61	0.11
Fill	0.2	0.04	0.19	0.57
Fill	0.58	0.27	0.03	0.12
Fill	0	0.98	0.01	0.01
Fill	0.09	0.24	0.4	0.27
Fill	0	0.01	0.02	0.97
Fill	0.09	0.84	0.04	0.03
Fill	0.4	0.01	0	0.59
Fill	0.15	0.08	0.5	0.27
Fill	0.06	0.46	0.2	0.28
Fill	0.04	0.48	0.34	0.14
Fill	0.39	0.04	0.26	0.31
Fill	0.01	0.06	0.93	0
Fill	0.36	0.62	0.01	0.01
Fill	0.07	0.11	0.16	0.66
Fill	0.01	0	0.03	0.96
Fill	0	0.87	0.02	0.11
Fill	0.15	0.04	0.68	0.13
Fill	0.04	0.06	0.01	0.89
Fill	0.08	0.01	0.88	0.03
Fill	0	0.05	0.62	0.33
Fill	0.06	0.23	0.59	0.12
Fill	0.09	0.04	0.79	0.08
Fill	0.07	0.38	0.21	0.34
Fill	0.09	0.74	0.07	0.1
Fill	0.01	0	0.04	0.95
Fill	0.69	0.19	0.03	0.09
Fill	0.17	0.03	0.46	0.34
Fill	0.1	0.1	0.06	0.74
Fill	0.06	0.71	0	0.23
Fill	0.3	0.09	0.07	0.54
Fill	0.45	0.02	0.15	0.38
Fill	0.34	0.02	0.14	0.5
Fill	0.21	0.24	0.01	0.54
Fill	0.54	0.18	0.05	0.23
Fill	0.03	0.1	0.01	0.86
Fill	0.43	0.05	0.05	0.47
Fill	0.07	0.13	0.59	0.21
Fill	0.28	0.34	0.16	0.22
Fill	0.68	0.01	0.12	0.19
Fill	0.01	0.01	0.98	0
Fill	0.56	0.02	0.38	0.04
Fill	0.04	0.8	0.07	0.09
Fill	0.56	0.11	0.21	0.12
Fill	0.02	0.07	0.21	0.7
Fill	0.5	0.05	0.33	0.12
Fill	0.14	0.84	0.02	0
Fill	0.91	0.06	0	0.03
Fill	0.03	0.01	0.08	0.88
Fill	0.75	0.09	0.09	0.07
Fill	0	0.92	0.06	0.02
Fill	0.54	0.04	0.34	0.08
Fill	0.29	0.13	0.4	0.18
Fill	0	0.02	0.01	0.97
Fill	0.24	0.24	0.01	0.51
Fill	0.02	0.76	0.11	0.11
Fill	0.93	0.01	0.04	0.02
Fill	0.05	0.03	0.01	0.91
Fill	0.31	0.26	0	0.43
Fill	0.23	0.46	0.18	0.13
Fill	0.45	0.12	0.01	0.42
Fill	0.36	0.43	0.04	0.17
Fill	0.52	0.21	0.01	0.26
Fill	0.29	0.56	0.1	0.05
Fill	0.45	0.41	0.07	0.07
Fill	0.02	0.18	0.3	0.5
Fill	0.48	0.14	0.21	0.17
Fill	0.24	0.12	0.05	0.59
Fill	0.29	0.34	0	0.37
Fill	0.1	0.52	0.35	0.03
Fill	0.11	0	0.12	0.77
Fill	0.17	0.39	0.1	0.34
Fill	0.15	0.02	0.07	0.76
Fill	0.53	0.05	0.24	0.18
Fill	0.13	0.57	0.01	0.29
Fill	0.02	0.08	0.8	0.1
Fill	0.08	0.31	0.06	0.55
Fill	0.14	0.01	0.83	0.02
Fill	0.63	0.18	0.14	0.05
Fill	0.12	0.12	0.09	0.67
Fill	0.02	0.07	0.03	0.88
Fill	0.12	0.71	0.02	0.15
Fill	0.24	0.27	0.15	0.34
Fill	0.07	0.05	0.1	0.78
Fill	0	0	0.88	0.12
Fill	0.2	0.1	0.68	0.02
Fill	0.3	0.32	0.09	0.29
Fill	0.4	0.47	0.05	0.08
Fill	0.03	0.81	0.15	0.01
Fill	0.01	0	0	0.99
Fill	0.18	0.16	0.52	0.14
Fill	0.21	0.6	0.16	0.03
Fill	0.26	0.68	0	0.06
Fill	0.01	0	0.98	0.01
Fill	0.28	0.12	0.07	0.53
Fill	0.56	0.28	0.15	0.01
Fill	0.1	0.12	0.73	0.05
Fill	0	0	0.04	0.96
Fill	0.49	0.29	0.18	0.04
Fill	0.18	0.11	0.22	0.49
Fill	0.22	0.68	0.02	0.08
Fill	0.18	0.22	0.27	0.33
Fill	0.09	0.25	0.45	0.21
Fill	0.54	0.12	0.15	0.19
Fill	0.69	0.19	0.06	0.06
Fill	0.21	0.07	0.51	0.21
Fill	0.21	0.5	0.28	0.01
Fill	0.05	0.41	0.06	0.48
Fill	0.22	0.06	0.1	0.62
Fill	0.08	0.61	0.23	0.08
Fill	0.01	0.06	0	0.93
Fill	0.7	0.08	0.07	0.15
Fill	0.89	0.1	0	0.01
Fill	0.04	0.03	0.27	0.66
Fill	0.95	0.04	0	0.01
Fill	0.03	0.84	0.01	0.12
Fill	0.03	0	0.62	0.35
Fill	0.51	0.05	0.4	0.04
Fill	0.01	0.13	0.57	0.29
Fill	0.31	0.14	0.28	0.27
Fill	0.01	0.74	0.21	0.04
Fill	0.23	0.22	0.04	0.51
Fill	0.57	0.1	0.1	0.23
Fill	0.19	0.03	0.41	0.37
Fill	0.1	0.84	0	0.06
Fill	0.06	0.07	0.24	0.63
Fill	0.01	0.2	0.67	0.12
Fill	0.02	0.85	0.13	0
Fill	0.16	0.33	0.04	0.47
Fill	0.25	0.35	0.16	0.24
Fill	0.01	0.01	0.71	0.27
Fill	0.5	0	0.02	0.48
Fill	0.18	0	0.39	0.43
Fill	0.53	0.27	0.18	0.02
Fill	0.4	0.07	0.11	0.42
Fill	0.24	0.42	0.18	0.16
Fill	0.19	0.67	0.09	0.05
Fill	0.02	0.49	0.08	0.41
Fill	0.18	0.14	0.27	0.41
Fill	0.84	0.01	0.02	0.13
Fill	0.1	0.1	0.19	0.61
Fill	0.32	0.16	0.09	0.43
Fill	0.05	0.86	0.08	0.01
Fill	0.04	0.61	0.33	0.02
Fill	0.15	0.74	0.1	0.01
Fill	0.3	0.03	0.65	0.02
Fill	0.53	0.04	0	0.43
Fill	0.17	0.71	0.05	0.07
Fill	0	0.52	0.01	0.47
Fill	0.21	0.15	0.61	0.03
Fill	0.05	0.09	0.03	0.83
Fill	0.09	0.23	0.34	0.34
Fill	0	0.02	0.94	0.04
Fill	0.76	0.04	0.02	0.18
Fill	0.07	0.75	0.04	0.14
Fill	0.01	0.78	0.21	0
Fill	0.65	0.34	0	0.01
Fill	0	0.01	0.98	0.01
Fill	0.72	0.01	0.15	0.12
Fill	0.23	0	0.76	0.01
Fill	0.06	0.07	0.85	0.02
Fill	0.12	0.26	0.38	0.24
Fill	0.63	0.12	0.01	0.24
Fill	0.2	0.44	0.04	0.32
Fill	0.22	0.01	0.07	0.7
Fill	0.62	0.04	0	0.34
Fill	0.03	0.28	0.61	0.08
Fill	0.77	0.15	0	0.08
Fill	0.4	0.01	0.47	0.12
Fill	0.06	0.18	0.01	0.75
Fill	0.04	0.75	0.19	0.02
Fill	0.02	0.09	0.14	0.75
Fill	0.15	0.78	0.05	0.02
Fill	0.04	0.05	0.23	0.68
Fill	0.06	0.07	0.67	0.2
Fill	0.01	0.85	0.11	0.03
Fill	0.14	0.01	0.13	0.72
Fill	0.06	0.08	0	0.86
Fill	0.51	0.17	0.05	0.27
Fill	0.01	0.05	0.59	0.35
Fill	0.46	0.17	0.32	0.05
Fill	0.01	0.01	0.46	0.52
Fill	0.22	0.01	0.66	0.11
Fill	0.25	0.01	0.7	0.04
Fill	0.56	0.06	0.04	0.34
Fill	0.06	0.78	0.08	0.08
Fill	0.05	0.73	0.21	0.01
Fill	0	0.04	0.22	0.74
Fill	0.15	0.03	0.82	0
Fill	0.52	0	0.22	0.26
Fill	0.3	0.29	0.35	0.06
Fill	0.02	0.02	0.02	0.94
Fill	0.04	0.28	0.24	0.44
Fill	0	0.55	0.35	0.1
Fill	0.02	0.11	0.85	0.02
Fill	0.57	0.34	0.05	0.04
Fill	0.32	0.47	0.07	0.14
Fill	0.15	0.28	0.1	0.47
Fill	0.02	0.02	0.01	0.95
Fill	0.01	0.37	0.02	0.6
Fill	0.46	0.13	0.37	0.04
Fill	0.07	0.32	0.4	0.21
Fill	0.66	0.18	0.02	0.14
Fill	0.58	0.02	0.14	0.26
Fill	0.2	0.17	0.39	0.24
Fill	0.03	0.24	0.25	0.48
Fill	0.7	0.03	0.12	0.15
Fill	0.26	0.01	0.07	0.66
Fill	0.03	0.09	0.8	0.08
Fill	0.04	0.32	0.59	0.05
Fill	0.69	0.08	0.07	0.16
Fill	0.12	0.06	0.01	0.81
Fill	0.08	0.67	0.06	0.19
Fill	0.43	0.17	0.4	0
Fill	0.67	0.01	0	0.32
Fill	0.34	0.04	0.34	0.28
Fill	0.01	0.63	0.35	0.01
Fill	0.37	0.17	0.2	0.26
Fill	0.32	0.23	0.41	0.04
Fill	0.02	0.08	0.16	0.74
Fill	0.75	0.22	0	0.03
Fill	0.24	0.48	0.12	0.16
Fill	0.95	0.03	0	0.02
Fill	0	0.02	0.08	0.9
Fill	0	0.23	0.02	0.75
Fill	0.12	0.29	0.29	0.3
Fill	0.04	0.32	0.58	0.06
Fill	0.02	0.2	0.12	0.66
Fill	0.52	0	0.17	0.31
Fill	0	0.03	0.83	0.14
Fill	0.36	0.27	0.36	0.01
Fill	0.03	0.73	0.01	0.23
Fill	0.12	0.11	0.63	0.14
Fill	0.27	0.21	0.11	0.41
Fill	0.33	0.27	0.09	0.31
Fill	0.25	0.42	0.33	0
Fill	0.04	0.15	0.75	0.06
Fill	0.84	0.05	0.04	0.07
Fill	0.71	0.2	0	0.09
Fill	0.01	0.19	0.45	0.35
Fill	0.88	0.09	0.01	0.02
Fill	0.24	0.4	0.33	0.03
Fill	0.01	0.97	0.01	0.01
Fill	0.14	0.09	0.7	0.07
Fill	0.37	0.43	0.16	0.04
Fill	0.03	0.06	0.84	0.07
Fill	0.06	0.09	0.77	0.08
Fill	0.29	0	0.7	0.01
Fill	0.09	0.1	0.44	0.37
Fill	0.12	0.63	0.12	0.13
Fill	0.63	0.22	0.08	0.07
Fill	0.04	0.55	0.03	0.38
Fill	0.19	0.28	0.02	0.51
Fill	0.02	0.07	0.01	0.9
Fill	0.53	0.23	0.08	0.16
Fill	0.29	0.1	0.38	0.23
Fill	0.03	0.94	0	0.03
Fill	0.06	0.41	0.07	0.46
Fill	0.37	0.02	0.49	0.12
Fill	0.22	0.08	0.57	0.13
Fill	0.19	0.07	0.68	0.06
Fill	0.62	0.21	0.06	0.11
Fill	0.52	0	0.13	0.35
Fill	0.72	0.08	0.2	0
Fill	0.12	0.78	0.1	0
Fill	0.21	0.4	0.27	0.12
Fill	0.08	0.89	0	0.03
Fill	0.32	0.29	0.28	0.11
Fill	0.02	0.02	0.92	0.04
Fill	0.21	0.36	0.25	0.18
Fill	0.65	0.17	0.03	0.15
Fill	0.13	0.32	0.33	0.22
Fill	0.03	0.12	0.12	0.73
Fill	0.34	0.4	0.12	0.14
Fill	0.48	0.49	0.02	0.01
Fill	0.05	0.3	0.63	0.02
Fill	0.28	0.53	0.16	0.03
Fill	0.86	0.08	0.02	0.04
Fill	0.11	0.29	0.55	0.05
Fill	0.01	0.97	0.02	0
Fill	0.63	0.18	0.12	0.07
Fill	0.44	0.35	0.15	0.06
Fill	0.09	0.19	0.17	0.55
Fill	0.02	0.01	0.02	0.95
Fill	0.34	0.51	0	0.15
Fill	0.23	0	0.06	0.71
Fill	0.42	0.05	0.45	0.08
Fill	0.15	0	0.84	0.01
Fill	0.08	0.14	0.7	0.08
Fill	0.21	0.12	0.38	0.29
Fill	0.01	0.03	0.31	0.65
Fill	0.22	0.01	0.18	0.59
Fill	0.07	0.09	0.02	0.82
Fill	0.01	0.05	0.01	0.93
Fill	0.77	0.01	0.02	0.2
Fill	0.5	0.3	0.09	0.11
Fill	0.21	0.03	0.01	0.75
Fill	0.11	0.5	0.13	0.26
Fill	0.48	0.1	0.02	0.4
Fill	0.13	0.06	0.49	0.32
Fill	0.76	0.06	0.04	0.14
Fill	0.94	0	0.02	0.04
Fill	0.08	0.05	0.77	0.1
Fill	0.04	0.41	0.5	0.05
Fill	0.04	0.84	0.03	0.09
Fill	0.13	0.26	0.52	0.09
Fill	0.53	0.23	0.07	0.17
Fill	0.09	0.76	0.11	0.04
Fill	0.76	0.07	0.01	0.16
