MADD	ENSG00000110514
VAV3-AS1	ENSG00000230489
ELFN2	ENSG00000243902
NUFIP1	ENSG00000083635
LOC100128386	ENSG00000248027
IFNA5	ENSG00000147873
CPEB2-AS1	ENSG00000247624
MARS2	ENSG00000247626
DHRS13	ENSG00000167536
CACNB3	ENSG00000167535
ASTL	ENSG00000188886
KLRG2	ENSG00000188883
KRT31	ENSG00000094796
CKMT1B	ENSG00000237289
LINC00851	ENSG00000237282
SNORD15A	ENSG00000206941
SNORA36A	ENSG00000206948
LOC63930	ENSG00000272259
PDYN	ENSG00000101327
SNORD115-41	ENSG00000200478
ADAMTS6	ENSG00000049192
NLGN2	ENSG00000169992
C4orf51	ENSG00000237136
DAD1	ENSG00000129562
IFNW1	ENSG00000177047
TEP1	ENSG00000129566
SIX5	ENSG00000177045
GAL3ST2	ENSG00000154252
TOB1	ENSG00000141232
OR13C5	ENSG00000277556
THEMIS	ENSG00000172673
ZFAND4	ENSG00000172671
MED15P9	ENSG00000223760
LOC100130417	ENSG00000223764
LINC01134	ENSG00000236423
SNORD1C	ENSG00000274091
TSPY10	ENSG00000236424
GAD2	ENSG00000136750
ABI1	ENSG00000136754
YME1L1	ENSG00000136758
LOC101929006	ENSG00000232505
ZNF436-AS1	ENSG00000249087
KISS1R	ENSG00000116014
ARID3A	ENSG00000116017
EPAS1	ENSG00000116016
C5orf66-AS1	ENSG00000249082
SNORD113-3	ENSG00000201700
BCAM	ENSG00000187244
LOC102724250	ENSG00000271254
ANKRD20A3	ENSG00000276203
VTRNA2-1	ENSG00000270123
LOC105373635	ENSG00000224231
VWA8-AS1	ENSG00000278338
MIR4798	ENSG00000264658
MTCH1	ENSG00000137409
MIR5194	ENSG00000264653
NRM	ENSG00000137404
MIR3171	ENSG00000264657
PPP1R3E	ENSG00000235194
GRIFIN	ENSG00000275572
YBX3	ENSG00000060138
GUCA2B	ENSG00000044012
MAP3K10	ENSG00000130758
CYP21A2	ENSG00000231852
UTAT33	ENSG00000231851
NPAS1	ENSG00000130751
LOC105373805	ENSG00000231858
TENM1	ENSG00000009694
HPS5	ENSG00000110756
LOC101928443	ENSG00000248844
PPBPP2	ENSG00000248848
SPIRE1	ENSG00000134278
BTBD1	ENSG00000064726
HSD17B10	ENSG00000072506
SMC1A	ENSG00000072501
GNAT2	ENSG00000134183
KIAA1107	ENSG00000069712
PRPF38B	ENSG00000134186
GSTM1	ENSG00000134184
LOC101927849	ENSG00000248210
LINC00567	ENSG00000259831
TUBG2	ENSG00000037042
ZCWPW1	ENSG00000078487
LOC388456	ENSG00000259837
BGLT3	ENSG00000260629
AP2S1	ENSG00000042753
ITGB8	ENSG00000105855
PON2	ENSG00000105854
COPZ1	ENSG00000111481
HBP1	ENSG00000105856
PIK3CG	ENSG00000105851
MIR4710	ENSG00000265291
PON3	ENSG00000105852
LOC101929240	ENSG00000265298
MBTPS2	ENSG00000012174
TXLNGY	ENSG00000131002
MIR6872	ENSG00000012171
TTTY9B	ENSG00000131007
SMPD2	ENSG00000135587
RPL31	ENSG00000071082
CRISP2	ENSG00000124490
METTL21C	ENSG00000139780
MAB21L1	ENSG00000180660
EMX1	ENSG00000135638
YOD1	ENSG00000180667
CHM	ENSG00000188419
SMYD5	ENSG00000135632
RAB11FIP5	ENSG00000135631
DYSF	ENSG00000135636
CCDC142	ENSG00000135637
EBP	ENSG00000147155
MIR4450	ENSG00000263445
C6orf118	ENSG00000112539
NCBP2	ENSG00000114503
HDLBP	ENSG00000115677
QKI	ENSG00000112531
TMEM19	ENSG00000139291
SLC39A9	ENSG00000029364
SMIM2-AS1	ENSG00000227258
SLC1A6	ENSG00000105143
CASP14	ENSG00000105141
AURKC	ENSG00000105146
CGB1	ENSG00000267631
AZIN2	ENSG00000142920
LCE6A	ENSG00000235942
ANO7	ENSG00000146205
EGOT	ENSG00000235947
GRIK2	ENSG00000164418
GJB7	ENSG00000164411
SLC35A1	ENSG00000164414
CGRRF1	ENSG00000100532
LRCH4	ENSG00000077454
FAM76B	ENSG00000077458
KRTAP29-1	ENSG00000212658
KRTAP9-6	ENSG00000212659
LOC101928992	ENSG00000229433
KRTAP16-1	ENSG00000212657
MIR4696	ENSG00000265902
PLEKHB1	ENSG00000021300
CHADL	ENSG00000100399
SNORD83A	ENSG00000209482
SNORD83B	ENSG00000209480
MIR1281	ENSG00000100393
L3MBTL2	ENSG00000100395
FAM72A	ENSG00000196550
LINC00238	ENSG00000196553
CACNA1H	ENSG00000196557
MIR5007	ENSG00000264387
MIR4513	ENSG00000264386
SLC22A4	ENSG00000197208
LOC105374002	ENSG00000239462
CSNK1G3	ENSG00000151292
MIR3655	ENSG00000113141
AGPAT4	ENSG00000026652
IMP3	ENSG00000177971
LRRC37B	ENSG00000185158
TARP	ENSG00000211689
MIXL1	ENSG00000185155
MFSD6L	ENSG00000185156
LOC441601	ENSG00000255042
LOC105377391	ENSG00000229565
LINC01204	ENSG00000229563
MIR23B	ENSG00000207563
BCL7B	ENSG00000106635
YKT6	ENSG00000106636
MIR635	ENSG00000207561
LMO7-AS1	ENSG00000261105
GCK	ENSG00000106633
TBL2	ENSG00000106638
MIR501	ENSG00000211538
MIR526A2	ENSG00000211532
MAGEA9	ENSG00000123584
DDX4	ENSG00000152670
CLEC4F	ENSG00000152672
TTC13	ENSG00000143643
NQO2	ENSG00000124588
GALNT2	ENSG00000143641
PEX6	ENSG00000124587
OR51E2	ENSG00000167332
TRIM68	ENSG00000167333
POMT2	ENSG00000009830
FLJ35934	ENSG00000220161
C17orf62	ENSG00000178927
PFAS	ENSG00000178921
HYI	ENSG00000178922
TPRX1	ENSG00000178928
IRF2	ENSG00000168310
MOBP	ENSG00000168314
SNORD67	ENSG00000212135
PFKFB4	ENSG00000114268
PQLC2	ENSG00000040487
OR2B3	ENSG00000204703
OR2J3	ENSG00000204701
OR2J2	ENSG00000204700
MAMDC2-AS1	ENSG00000204706
OR2W1	ENSG00000204704
ANAPC1	ENSG00000153107
WEE2-AS1	ENSG00000228775
OR2L8	ENSG00000279263
ECI2	ENSG00000198721
PDIA3	ENSG00000167004
PLCG1-AS1	ENSG00000226648
TRIM63	ENSG00000158022
WDR66	ENSG00000158023
WT1-AS	ENSG00000183242
C19orf45	ENSG00000198723
TBX10	ENSG00000167800
PRR36	ENSG00000183248
SDE2	ENSG00000143751
EMC6	ENSG00000127774
LINC01471	ENSG00000239921
RPS28	ENSG00000233927
LOC101927502	ENSG00000233926
LOC105372840	ENSG00000233922
10-Mar	ENSG00000173838
TAF1L	ENSG00000122728
ACO1	ENSG00000122729
PCGEM1	ENSG00000227418
ARNTL2-AS1	ENSG00000245311
LOC100996419	ENSG00000245317
8-Mar	ENSG00000165406
TSHR	ENSG00000165409
CRCP	ENSG00000241258
SNORA22	ENSG00000206634
SNORD60	ENSG00000206630
SNORA80B	ENSG00000206633
MIR574	ENSG00000207944
LOC101927702	ENSG00000254718
MIR516B1	ENSG00000207946
MIR152	ENSG00000207947
MIR567	ENSG00000207940
MIR552	ENSG00000207941
MIR136	ENSG00000207942
MIR634	ENSG00000207943
HOXB5	ENSG00000120075
MIR328	ENSG00000207948
ATP6V0D2	ENSG00000147614
TMEM189	ENSG00000240849
PKD1L1	ENSG00000158683
PIK3R3	ENSG00000278139
SYN1	ENSG00000008056
KIAA1683	ENSG00000130518
M1AP	ENSG00000159374
PSMB4	ENSG00000159377
SSBP4	ENSG00000130511
GDF15	ENSG00000130513
PGPEP1	ENSG00000130517
MED30	ENSG00000164758
SLC30A8	ENSG00000164756
MIR3610	ENSG00000164754
PEX2	ENSG00000164751
LAMC2	ENSG00000058085
SYNJ1	ENSG00000159082
LARP1	ENSG00000155506
PAXBP1	ENSG00000159086
QPCTL	ENSG00000011478
HFE	ENSG00000010704
ADH1B	ENSG00000196616
SSUH2	ENSG00000125046
MMP1	ENSG00000196611
PHLPP1	ENSG00000081913
TEX11	ENSG00000120498
SCARNA18	ENSG00000238835
ABCB4	ENSG00000005471
PGA5	ENSG00000256713
FLT4	ENSG00000037280
CCDC58	ENSG00000160124
C1orf146	ENSG00000203910
FGF12-AS1	ENSG00000231383
CATSPER1	ENSG00000175294
TBC1D3I	ENSG00000274933
MIR7150	ENSG00000274932
HLA-DPA1	ENSG00000231389
GCNT4	ENSG00000176928
OR51S1	ENSG00000176922
FUT2	ENSG00000176920
EFCAB5	ENSG00000176927
OR51F2	ENSG00000176925
ZNF251	ENSG00000198169
SVIP	ENSG00000198168
MAN1A2	ENSG00000198162
MIER1	ENSG00000198160
FPR2	ENSG00000171049
TSNARE1	ENSG00000171045
XKR6	ENSG00000171044
NR2F1	ENSG00000175745
LINC00305	ENSG00000179676
ARL14	ENSG00000179674
RPRML	ENSG00000179673
MCPH1	ENSG00000147316
LOC100505664	ENSG00000230387
LYAR	ENSG00000145220
LOC105372240	ENSG00000167476
LOC105378960	ENSG00000248789
MIDN	ENSG00000167470
LOC101929488	ENSG00000253871
PCDHGA11	ENSG00000253873
LINC01608	ENSG00000253877
CECR5	ENSG00000069998
HADHA	ENSG00000084754
PSMB9	ENSG00000240065
SORBS1	ENSG00000095637
LOC285692	ENSG00000249781
SCARNA22	ENSG00000249784
LOC105374698	ENSG00000249785
GABARAPL2	ENSG00000034713
OR11H6	ENSG00000176219
COL6A4P1	ENSG00000230524
LOC101060019	ENSG00000230525
MBD3L2	ENSG00000230522
LOC101928460	ENSG00000230523
HIST1H2BA	ENSG00000146047
KAAG1	ENSG00000146049
WDR31	ENSG00000148225
RNF128	ENSG00000133135
BEX2	ENSG00000133134
MORC4	ENSG00000133131
POLE3	ENSG00000148229
PLA2G12B	ENSG00000138308
PDK4	ENSG00000004799
CTDSP1	ENSG00000144579
PDZD4	ENSG00000067840
ATP2B3	ENSG00000067842
CES3	ENSG00000172828
LOC102467225	ENSG00000249128
KSR1	ENSG00000141068
HMGA1	ENSG00000137309
STAC	ENSG00000144681
CES4A	ENSG00000172824
FGFR2	ENSG00000066468
MAN1B1-AS1	ENSG00000268996
FAM231B	ENSG00000268991
LINC01487	ENSG00000241336
PARP14	ENSG00000173193
DHX8	ENSG00000067596
MEF2D	ENSG00000116604
CAMK2A	ENSG00000070808
MIR6081	ENSG00000274115
LOC100128002	ENSG00000279746
MIR6777	ENSG00000274111
SLC35C2	ENSG00000080189
CDKN2B	ENSG00000147883
IFNA16	ENSG00000147885
CDKN2A	ENSG00000147889
AMMECR1	ENSG00000101935
CHRDL1	ENSG00000101938
HBZ	ENSG00000130656
PNPLA7	ENSG00000130653
CENPVL1	ENSG00000223591
NPR3	ENSG00000113389
LOC105374644	ENSG00000223597
CSNK1G2-AS1	ENSG00000180846
LOC105378057	ENSG00000223598
DNTTIP2	ENSG00000067334
SUB1	ENSG00000113387
GOLPH3	ENSG00000113384
OSM	ENSG00000099985
GSTT2	ENSG00000099984
FMO4	ENSG00000076258
SKIDA1	ENSG00000180592
SPAG4	ENSG00000061656
HIST1H2BC	ENSG00000180596
SDHA	ENSG00000073578
RPL6	ENSG00000089009
LOC105371333	ENSG00000261348
OR10G3	ENSG00000169208
SNX5	ENSG00000089006
LINC01616	ENSG00000261340
LOC105372440	ENSG00000261341
TRABD2B	ENSG00000269113
CDK18	ENSG00000117266
GPR89A	ENSG00000117262
FGF8	ENSG00000107831
NPM3	ENSG00000107833
MIR378D2	ENSG00000264448
EEF1A1	ENSG00000156508
SUPV3L1	ENSG00000156502
FAM122C	ENSG00000156500
FAM122B	ENSG00000156504
LACTB	ENSG00000103642
CORO2B	ENSG00000103647
MIR4528	ENSG00000263872
ABCA7	ENSG00000064687
LINC00672	ENSG00000263874
DLGAP1-AS4	ENSG00000263878
NLRP2	ENSG00000022556
OR52N4	ENSG00000181074
LOC100505585	ENSG00000076928
CHRM2	ENSG00000181072
XAB2	ENSG00000076924
TOR1AIP1	ENSG00000143337
RGS16	ENSG00000143333
PEBP4	ENSG00000134020
THAP9	ENSG00000168152
TSPYL1	ENSG00000189241
RNF187	ENSG00000168159
MAK	ENSG00000111837
RSPH4A	ENSG00000111834
RWDD1	ENSG00000111832
CYP4F11	ENSG00000171903
FOXP1-AS1	ENSG00000244203
CFAP54	ENSG00000188596
FUNDC1	ENSG00000069509
KIAA2026	ENSG00000183354
LINC01476	ENSG00000265313
LOC102723896	ENSG00000251126
TMED11P	ENSG00000215367
LOC102723828	ENSG00000251129
WWC2-AS1	ENSG00000251128
SUPT7L	ENSG00000119760
LOC101928988	ENSG00000259351
LINC00396	ENSG00000231428
HGF	ENSG00000019991
SPIN2A	ENSG00000147059
NTPCR	ENSG00000135778
ABCB10	ENSG00000135776
COG2	ENSG00000135775
MMAB	ENSG00000139428
CAPN9	ENSG00000135773
KDM6A	ENSG00000147050
ADGRA3	ENSG00000152990
EME2	ENSG00000197774
TESMIN	ENSG00000132749
SLC18A2	ENSG00000165646
ALDH3B2	ENSG00000132746
COMTD1	ENSG00000165644
ACY3	ENSG00000132744
SOHLH1	ENSG00000165643
IGHMBP2	ENSG00000132740
MIR3680-2	ENSG00000266758
MR1	ENSG00000153029
MIR4645	ENSG00000266750
MIR3661	ENSG00000266751
MIR5680	ENSG00000266756
KRTAP21-2	ENSG00000187026
PTRH1	ENSG00000187024
CCDC97	ENSG00000142039
PNLIPRP1	ENSG00000187021
PPP1R32	ENSG00000162148
ZNF559-ZNF177	ENSG00000188629
ZNF48	ENSG00000180035
IGFL3	ENSG00000188624
GOLGA8M	ENSG00000188626
CYB561A3	ENSG00000162144
HMX3	ENSG00000188620
SHANK1	ENSG00000161681
KCNIP4	ENSG00000185774
SPATA31A6	ENSG00000185775
TWF1	ENSG00000151239
SPTLC1	ENSG00000090054
NFATC2	ENSG00000101096
RIMS4	ENSG00000101098
LOC100240735	ENSG00000250654
MAGEA12	ENSG00000213401
PTPRCAP	ENSG00000213402
VEGFA	ENSG00000112715
SNORA50C	ENSG00000281311
EPB42	ENSG00000166947
ZNF578	ENSG00000258405
GNPTG	ENSG00000090581
SENP7	ENSG00000138468
LOC102724392	ENSG00000250387
COG5	ENSG00000164597
COMMD1	ENSG00000173163
MYOZ3	ENSG00000164591
DIRC2	ENSG00000138463
SCG3	ENSG00000104112
GABRA3	ENSG00000011677
LINC01226	ENSG00000223907
SOX21	ENSG00000125285
RNF41	ENSG00000181852
ZBTB7C	ENSG00000184828
TRIM49	ENSG00000168930
TMEM129	ENSG00000168936
SPRY3	ENSG00000168939
PPIC	ENSG00000168938
SLC28A3	ENSG00000197506
LOC100996679	ENSG00000256551
NBPF6	ENSG00000186086
KRT5	ENSG00000186081
FAM78A	ENSG00000126882
TNRC6C-AS1	ENSG00000204282
LOC101927533	ENSG00000204929
GRXCR2	ENSG00000204928
FBXO48	ENSG00000204923
UQCC3	ENSG00000204922
ZNF155	ENSG00000204920
NFIX	ENSG00000008441
LHFPL1	ENSG00000182508
CEP97	ENSG00000182504
SEC22A	ENSG00000121542
ADCK2	ENSG00000133597
SNAI1	ENSG00000124216
DHDH	ENSG00000104808
NUCB1	ENSG00000104805
TULP2	ENSG00000104804
ZNF444	ENSG00000167685
ZNHIT1	ENSG00000106400
MGC27382	ENSG00000237413
PRSS56	ENSG00000237412
IRX3	ENSG00000177508
LOC101928932	ENSG00000237419
LOC101927062	ENSG00000257845
EIF4EBP1	ENSG00000187840
P2RX2	ENSG00000187848
VTRNA1-3	ENSG00000202515
MIR4800	ENSG00000123933
ABHD2	ENSG00000140526
WDR93	ENSG00000140527
LOC283575	ENSG00000246548
RLBP1	ENSG00000140522
POLG	ENSG00000140521
LOC101929210	ENSG00000246541
MOXD2P	ENSG00000240268
FAM102A	ENSG00000167106
TMEM92	ENSG00000167105
BPIFB6	ENSG00000167104
PIP5KL1	ENSG00000167103
SAMD14	ENSG00000167100
EIF1B-AS1	ENSG00000280739
LOC101928445	ENSG00000244945
PLK1	ENSG00000166851
GPR182	ENSG00000166856
RNU6-2	ENSG00000207357
CLPX	ENSG00000166855
YY1AP1	ENSG00000163374
KBTBD8	ENSG00000163376
FAM19A4	ENSG00000163377
EOGT	ENSG00000163378
PADI6	ENSG00000276747
STX17-AS1	ENSG00000255145
RC3H2	ENSG00000056586
ZNF664-FAM101A	ENSG00000178882
FAM212B-AS1	ENSG00000227811
CGNL1	ENSG00000128849
MKRN2OS	ENSG00000225526
LINC00881	ENSG00000241135
TTTY16	ENSG00000225520
SST	ENSG00000157005
DENND5A	ENSG00000184014
TMPRSS2	ENSG00000184012
MYADM	ENSG00000179820
MRGPRX3	ENSG00000179826
SLC45A1	ENSG00000162426
SNORD114-2	ENSG00000200823
NAP1L6	ENSG00000204118
CHIC1	ENSG00000204116
LOC100287792	ENSG00000204117
DENND4C	ENSG00000137145
IGFBPL1	ENSG00000137142
RAX2	ENSG00000173976
LOC105371660	ENSG00000233882
HEATR9	ENSG00000270379
MIR6080	ENSG00000278581
HIST1H2BI	ENSG00000278588
ENPP4	ENSG00000001561
IFNGR2	ENSG00000159128
SLC25A16	ENSG00000122912
TRAPPC13	ENSG00000253251
LOXL1	ENSG00000129038
ANKRD29	ENSG00000154065
LOC101927513	ENSG00000254278
CCDC181	ENSG00000117477
TM4SF19-AS1	ENSG00000235897
LOC100129620	ENSG00000232825
SLC10A7	ENSG00000120519
C16orf87	ENSG00000155330
TSPEAR-AS1	ENSG00000235890
MFAP3	ENSG00000037749
KRT83	ENSG00000170523
ELOVL6	ENSG00000170522
PFKFB3	ENSG00000170525
PRH2	ENSG00000134551
ZNF627	ENSG00000198551
ZNF789	ENSG00000198556
WDHD1	ENSG00000198554
SEMA3C	ENSG00000075223
CHRNB2	ENSG00000160716
UBE2Q1	ENSG00000160714
IL6R	ENSG00000160712
ADAR	ENSG00000160710
PGC	ENSG00000096088
ARPC5L	ENSG00000136950
LINC00269	ENSG00000215162
GRHL2	ENSG00000083307
MRPS18A	ENSG00000096080
LOC100506271	ENSG00000237862
SART1	ENSG00000175467
TBC1D10C	ENSG00000175463
NAPA	ENSG00000105402
MIR1181	ENSG00000105401
OSR1	ENSG00000143867
RABAC1	ENSG00000105404
GFPT2	ENSG00000131459
ATP1A3	ENSG00000105409
LINC01118	ENSG00000222005
G2E3	ENSG00000092140
FCRLA	ENSG00000132185
SYNGR2	ENSG00000108639
NUP210	ENSG00000132182
SIPA1L2	ENSG00000116991
CACNG7	ENSG00000105605
ILK	ENSG00000166333
CTSL3P	ENSG00000188029
LOC105374244	ENSG00000244247
LGALS3	ENSG00000131981
UBQLN2	ENSG00000188021
RILPL1	ENSG00000188026
MIR6853	ENSG00000273945
LOC105375448	ENSG00000225647
KRBOX1	ENSG00000240747
TXLNA	ENSG00000084652
LOC388942	ENSG00000214691
ARHGEF33	ENSG00000214694
MTBP	ENSG00000172167
SNTB1	ENSG00000172164
CLDN12	ENSG00000157224
RNU4ATAC	ENSG00000264229
MIR3168	ENSG00000264226
OR4F13P	ENSG00000214344
MNAT1	ENSG00000020426
KCNQ5-AS1	ENSG00000229154
MID1	ENSG00000101871
CYP2C8	ENSG00000138115
MFSD13A	ENSG00000138111
HOXC5	ENSG00000172789
CBWD1	ENSG00000172785
FADS6	ENSG00000172782
RAB43	ENSG00000172780
FXYD4	ENSG00000150201
PTPRG	ENSG00000144724
FLNA	ENSG00000196924
LINC00320	ENSG00000224924
PDLIM7	ENSG00000196923
ZNF252P	ENSG00000196922
SRP72	ENSG00000174780
CNP	ENSG00000173786
LOC339807	ENSG00000233694
LOC100505795	ENSG00000233693
TTTY18	ENSG00000233699
DYTN	ENSG00000232125
ZNF80	ENSG00000174255
RAP1A	ENSG00000116473
MRPS30	ENSG00000112996
NNT	ENSG00000112992
HDAC1	ENSG00000116478
LALBA	ENSG00000167531
MIR486-1	ENSG00000274705
C1GALT1C1L	ENSG00000223658
MADCAM1	ENSG00000099866
ANK3	ENSG00000151150
PALM	ENSG00000099864
GADD45B	ENSG00000099860
SLC7A9	ENSG00000021488
BUD31	ENSG00000106245
PDAP1	ENSG00000106244
ALDH3A2	ENSG00000072210
SHANK2	ENSG00000162105
STRADA	ENSG00000266173
MIR4666A	ENSG00000266174
PABPN1	ENSG00000100836
C7orf31	ENSG00000153790
LOC101928995	ENSG00000228127
FALEC	ENSG00000228126
CCDC188	ENSG00000234409
SYTL1	ENSG00000142765
METTL21EP	ENSG00000250878
RARS	ENSG00000113643
WWC1	ENSG00000113645
TCERG1	ENSG00000113649
H2AFY	ENSG00000113648
SCN9A	ENSG00000169432
RASSF6	ENSG00000169435
COL22A1	ENSG00000169436
SDC2	ENSG00000169439
MIR4772	ENSG00000264764
MIR4295	ENSG00000264763
MIR3141	ENSG00000264760
VHLL	ENSG00000189030
DUSP21	ENSG00000189037
ACRBP	ENSG00000111644
UHRF1BP1L	ENSG00000111647
NOP2	ENSG00000111641
GAPDH	ENSG00000111640
CHD4	ENSG00000111642
AQP9	ENSG00000103569
SLC47A1	ENSG00000142494
IER3IP1	ENSG00000267228
SNORD3A	ENSG00000263934
KPNA1	ENSG00000114030
SP5	ENSG00000204335
LINC00838	ENSG00000261683
RPGR	ENSG00000156313
C6	ENSG00000039537
CHIC2	ENSG00000109220
BRCA1	ENSG00000012048
MIR3197	ENSG00000263681
LOC101929475	ENSG00000229656
ORAOV1	ENSG00000149716
INF2	ENSG00000203485
ALDH1A3	ENSG00000184254
RNF185	ENSG00000138942
KIAA1644	ENSG00000138944
CDR1	ENSG00000184258
BOLA3	ENSG00000163170
CDC42EP3	ENSG00000163171
TMEM72	ENSG00000187783
LINC00836	ENSG00000280809
DLEC1	ENSG00000008226
ZSCAN21	ENSG00000166529
ZNF3	ENSG00000166526
CLEC4D	ENSG00000166527
YBEY	ENSG00000182362
CLEC4E	ENSG00000166523
PARVG	ENSG00000138964
PLSCR4	ENSG00000114698
LOC101927987	ENSG00000229385
LOC101927000	ENSG00000229380
LOC101929634	ENSG00000260792
SATL1	ENSG00000184788
TCTE3	ENSG00000184786
UBE2G2	ENSG00000184787
SMIM10	ENSG00000184785
LOC101927230	ENSG00000251085
EDDM3B	ENSG00000181552
SETD2	ENSG00000181555
LOC101928907	ENSG00000259251
REEP4	ENSG00000168476
TNXB	ENSG00000168477
TMEM30A	ENSG00000112697
COX7A2	ENSG00000112695
GMDS	ENSG00000112699
WRB	ENSG00000182093
TNRC18	ENSG00000182095
SPATA31D3	ENSG00000186788
BLMH	ENSG00000108578
SLC6A4	ENSG00000108576
LINC01493	ENSG00000254562
BBOX1-AS1	ENSG00000254560
LOC105369520	ENSG00000254561
GALNT12	ENSG00000119514
NTN4	ENSG00000074527
JKAMP	ENSG00000050130
TIGD4	ENSG00000169989
ENPP3	ENSG00000154269
ZNF35	ENSG00000169981
ABCA6	ENSG00000154262
ABCA10	ENSG00000154263
ABCA5	ENSG00000154265
NPSR1	ENSG00000187258
MYLPF	ENSG00000180209
KIAA0196	ENSG00000164961
WFDC9	ENSG00000180205
LOC102724009	ENSG00000227495
RBMY1B	ENSG00000242875
RPP25L	ENSG00000164967
LINC01585	ENSG00000245479
LRRC18	ENSG00000165383
SETD6	ENSG00000103037
GTF2IP12	ENSG00000283050
LOC101928311	ENSG00000283051
SETD3	ENSG00000183576
LAMA1	ENSG00000101680
PGPEP1L	ENSG00000183571
TNFAIP8L3	ENSG00000183578
ZNRF3	ENSG00000183579
C15orf38-AP3S2	ENSG00000250021
TMPRSS11BNL	ENSG00000250026
ADPRHL2	ENSG00000116863
LOC105369723	ENSG00000255760
ARSD	ENSG00000006756
PNPLA4	ENSG00000006757
MPPE1	ENSG00000154889
KLF8	ENSG00000102349
LINC01600	ENSG00000164385
STAG3L5P	ENSG00000242294
HECW2	ENSG00000138411
LOC101929754	ENSG00000242290
UBR1	ENSG00000159459
SNAPC4	ENSG00000165684
TCHH	ENSG00000159450
VCPKMT	ENSG00000100483
TMEM52B	ENSG00000165685
