gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
AHSP	0.254059	0.918663	0.33754	0.329053	0.271742	0.262729	0.237438	0.31251	0.380628	0.234591	0.412391	0.458008	0.618403	2.55846	0.362337	0.360795	0.258099	0.298506	0.255212	0.284625	0.208382
ALAS2	0.143733	0.474867	0.150685	0.151846	0.0658	0.05445	0.083912	0.116963	0.197752	0.12953	0.317502	0.234278	0.441962	2.341669	0.285206	0.283127	0.124187	0.179956	0.170145	0.135657	0.058834
ALDH1A1	0.056591	1.140225	0.518619	0.0	0.356151	0.167084	1.149649	1.379451	0.934841	0.027722	0.118167	0.121547	0.195949	0.075217	1.832033	0.092171	0.018412	0.096997	0.104581	0.002039	2.659543
ALDH8A1	0.570373	0.596512	0.203861	0.377833	0.045544	0.415563	0.303324	0.244024	0.360799	0.723166	0.171623	0.528461	0.306519	0.135086	0.327061	0.493297	1.212919	0.665373	0.360146	2.05706	0.0
ALOX12	0.007339	0.310561	0.087519	0.005867	0.018941	0.474257	0.01473	0.071028	0.356189	0.067912	0.212806	0.105842	2.545016	0.205296	0.0	0.01473	0.031674	0.108253	0.059388	0.009797	0.008076
ALOX15	0.071603	0.07374	2.124855	2.38472	0.062788	0.046843	0.044156	0.132212	0.079867	0.054037	0.829844	0.0768	0.255031	0.35721	0.092212	0.086333	0.042071	0.059461	0.087259	0.105305	0.04356
ALPK2	0.078165	0.007233	0.197222	0.067083	2.475214	0.017221	0.027845	0.100334	0.148235	0.0	0.102659	0.10295	0.173133	0.471872	0.190697	0.169462	0.15457	0.113175	0.067366	0.204714	0.010193
AMPD1	0.065653	0.113963	0.076447	0.133161	0.055247	0.069725	0.027686	0.082323	0.074982	0.081734	0.105525	2.393494	0.147674	0.424149	0.010986	0.063332	0.054384	0.082618	0.044937	0.065943	0.047791
ANGPT2	0.066808	0.093421	0.045693	0.065148	0.003382	0.023921	2.357988	0.093988	0.034616	0.0	0.046508	0.067085	0.178503	0.138764	0.692724	0.119496	0.025785	0.066808	0.027385	0.052504	2.431074
ANKRD1	0.118548	0.129497	0.173714	0.247331	0.311084	0.129104	0.305829	0.166455	0.140528	0.110391	0.145281	0.182632	0.307141	0.420302	0.060554	0.124012	0.137763	0.191601	0.088865	0.169677	2.216228
ANKRD36BP2	0.897837	0.584917	0.035225	1.053071	0.0	0.04047	0.943717	0.051581	0.076929	0.149745	0.155861	2.119618	0.205956	0.493217	0.222245	0.435774	0.545402	0.400075	0.109153	0.475324	0.82506
AOC3	0.125685	0.141783	0.128176	0.0	0.061478	0.083348	0.388721	0.466456	0.084932	0.051899	0.62143	0.158579	0.233187	0.206401	2.655665	0.080978	0.106601	0.054761	0.015626	0.140729	0.083546
APBA2	0.385695	0.760852	0.4062	0.404874	0.471748	0.427482	2.086243	0.391637	0.471074	1.687935	0.694903	0.673608	1.428547	1.14723	0.26946	2.116306	1.915588	2.314304	0.360711	1.790758	1.83971
APOBEC3A	0.097266	0.290159	0.567886	1.002072	0.019924	0.356893	0.038715	0.472744	1.586757	0.257114	2.585612	0.145598	0.564101	0.026067	0.079116	0.285379	0.132022	0.20163	0.094146	0.0	0.009535
APOC1	0.104254	0.918173	1.158697	0.297458	0.113983	0.188941	0.146676	2.612343	0.368515	0.044262	0.217058	0.401521	0.486918	0.299192	0.721383	0.267692	0.130279	0.179354	0.062111	0.220012	0.069287
APOD	0.09978	0.021335	0.208974	0.177731	0.465799	0.104155	1.845671	0.183782	0.087184	0.022353	0.214449	0.1522	0.103279	0.542508	2.767808	0.075578	0.066632	0.030119	0.036497	0.0	0.912577
APOLD1	0.222533	0.446963	0.052847	0.0	0.473559	0.249125	2.528483	0.091725	0.021753	0.223453	0.228678	0.272993	0.140761	0.266994	1.493199	0.139891	0.29817	0.082797	0.347331	0.359585	1.941388
AQP9	0.085518	0.281182	1.557418	0.324147	0.101944	0.786396	0.0369	1.860087	1.742226	0.208267	2.761194	0.184014	0.415663	0.610896	0.283671	0.207414	0.123768	0.171565	0.0	0.005656	0.036185
AQPEP	0.00475	0.007928	0.010159	0.112228	0.057414	0.037617	0.012394	0.018806	0.00984	0.000632	0.028172	0.004115	0.058413	0.048463	2.25559	0.008884	0.0	0.016879	0.032722	0.017842	0.000632
ARRDC4	0.673782	1.403302	2.56178	1.288611	1.27539	2.221049	1.102972	2.019719	1.791725	0.614231	1.142343	0.299497	0.716505	0.187854	1.301884	0.269472	0.350605	0.368134	0.0	0.238779	0.393186
ASGR1	0.250995	0.678778	0.679519	0.44288	0.138373	0.378632	2.184308	0.636743	2.212708	0.071143	0.391664	0.308165	0.468765	0.711525	0.087337	0.458249	0.141553	0.293446	0.0	0.119368	1.594425
ASPM	0.334094	1.121443	0.093735	0.240722	0.856163	0.700019	0.310511	0.209308	0.091156	0.711547	0.113261	0.399708	0.18863	0.218518	0.0	0.314291	0.398912	0.189326	2.288873	0.504501	0.936068
ATG16L1	1.442454	0.740252	0.509034	0.681082	0.453121	0.420666	0.578339	0.467838	0.674542	1.40483	0.731451	0.29064	0.505855	1.256173	0.666921	2.17092	1.695871	1.950842	1.245498	2.05366	0.37388
ATHL1	1.523467	0.641588	0.362308	0.801317	0.391731	0.271442	1.230234	0.364972	0.708935	1.287728	2.166615	0.890881	1.041989	0.522587	0.577652	1.985965	1.920394	2.447453	0.618631	1.835701	0.673957
ATM	1.560714	0.334515	0.600883	0.858506	0.586803	0.0	0.357865	0.630937	0.624734	1.460551	0.737578	0.606173	0.403252	0.159374	0.771194	1.820375	1.538902	2.192025	0.911583	1.219164	0.621193
ATP6V0D2	0.266057	0.310368	0.538125	0.984322	0.237197	0.338049	0.226113	2.087655	0.479542	0.412101	0.598601	0.468087	0.309924	2.293832	0.250067	0.244479	0.334008	0.351122	0.221867	0.310368	0.235488
ATP8A1	1.66854	1.155429	0.697252	0.73417	0.0	0.068201	0.53857	0.533391	0.68978	1.565748	0.921749	0.763155	1.253711	0.185439	0.83807	1.235751	1.231856	1.725844	1.249019	1.17768	0.714295
ATP8B4	0.02778	1.462939	0.657612	0.520341	0.185421	0.015494	0.02289	0.592424	0.861702	1.548061	0.407172	0.052182	0.067205	0.05942	1.429133	0.11558	0.225578	0.211481	2.440229	0.0	0.049782
BAALC	0.129225	2.196456	0.336575	0.201162	1.846743	0.227112	1.395626	0.501829	0.348767	0.487742	0.264021	0.196772	0.314654	0.800837	0.73887	0.124969	0.111719	0.154394	0.02167	0.104861	0.362183
BACE2	0.898905	0.498814	0.122243	1.652612	1.151516	1.018733	2.643888	0.21291	0.070836	0.051138	0.387166	0.158353	0.329849	0.446916	1.004181	0.065141	0.063166	0.045776	0.0	0.097932	2.269246
BACH2	2.452252	0.492319	0.078199	0.153433	0.0	0.208749	0.250157	0.073172	0.182841	1.052109	0.285674	0.256465	0.890436	0.150625	0.244977	1.481886	1.609001	1.371961	0.200072	1.248432	0.123136
BANK1	2.465737	0.621389	0.328601	0.96605	0.122127	0.064087	0.0	0.179367	0.503258	0.245421	0.406288	0.734228	2.15095	0.594379	0.675146	0.252901	0.119148	0.165145	0.106413	0.023171	0.033407
BCHE	0.0	0.045324	0.037137	0.046793	0.286198	1.286111	1.758577	0.020964	0.015252	0.033359	0.037428	0.379883	0.129588	0.141376	1.440926	0.010424	0.060705	0.027862	0.032489	0.015821	1.303597
BCL11A	2.458801	1.698915	0.727798	0.676829	0.263847	1.109256	0.180272	0.671075	0.895253	0.160489	0.624603	0.721489	0.795337	0.485417	0.034367	0.329554	0.183472	0.224866	0.0	0.079215	0.086256
BCL11B	0.1651	0.084936	0.16269	0.466022	0.203836	1.308806	0.216247	0.188367	0.280098	1.230209	0.508323	0.153768	0.874866	0.273458	0.11961	2.132597	2.046729	2.046729	1.25694	1.867338	0.0
BCL2A1	1.0074	0.674303	1.163812	2.715881	0.012217	0.037595	0.000291	1.943445	1.781774	0.829232	2.755694	0.148489	0.289302	0.07774	0.121861	0.835346	0.785769	0.904306	0.537772	0.319019	0.0
BEND2	0.028822	0.049283	0.023895	0.008276	0.025533	0.024077	0.022806	0.025716	0.155972	0.021537	0.070564	0.041584	2.564315	0.045705	0.007036	0.019186	0.023714	0.042144	0.015409	0.017565	0.020993
BET3L	0.057592	0.058212	0.055733	0.055423	0.056043	0.048637	0.115191	0.036713	0.094488	0.033677	0.082053	0.067248	2.278441	0.206228	0.047407	0.072266	0.054495	0.074468	0.058833	0.058833	0.027633
BEX1	0.580767	2.454542	0.80259	1.146846	1.014379	0.896944	0.798817	0.66538	0.771724	0.688928	0.957514	0.739995	2.066419	1.254053	0.420612	0.531208	0.698976	0.649547	0.383151	0.65389	0.436951
BLK	2.255944	0.217163	0.258438	0.28144	0.178103	0.172576	0.292494	0.225875	0.346876	0.135251	0.279865	0.42949	0.599325	0.568886	0.086932	0.477101	0.346337	0.420617	0.311025	0.554939	0.178606
BLNK	2.572962	0.663482	1.065449	0.115102	0.0	1.365673	0.00231	1.06737	0.563881	0.118868	0.186142	1.66247	0.94553	0.351032	0.497445	0.373422	0.1599	0.191135	0.056881	0.087654	0.009674
BMP2	0.024617	0.231912	0.13556	0.10205	0.377389	1.706462	2.388409	0.100179	0.078852	0.297557	0.202436	0.067261	0.129172	0.285133	1.032652	0.031961	0.080999	0.074875	0.0	0.0921	1.913198
BMX	0.020241	0.091446	0.051418	0.127705	0.025728	0.026686	1.738337	0.106586	0.101174	0.071494	0.889477	0.128231	0.125339	0.288407	0.682885	0.028844	0.061036	0.057573	0.0	0.031969	2.519005
BTLA	2.318729	0.137186	0.151718	0.131486	0.012902	0.038716	0.0	0.117509	0.263182	0.106641	0.383869	2.061294	0.716053	0.229123	0.031597	1.150151	1.292693	0.715555	0.468085	0.776497	0.010802
BTN3A2	1.613904	1.117235	0.978461	1.700637	0.691253	0.432661	1.048328	1.223922	1.347815	2.421132	1.561341	1.548589	2.468508	0.0	1.229015	2.161402	2.17699	2.474187	2.272028	1.867481	1.025081
BTN3A3	1.606309	1.044929	0.931888	0.575769	0.940952	0.448813	1.155934	1.170773	1.313048	2.221242	1.294428	1.460351	1.0395	0.0	1.433857	2.10497	2.006117	2.393926	2.098618	1.887145	1.385735
C10ORF116	0.067775	0.034369	0.115274	0.0	0.986223	0.847774	1.148544	0.098973	0.085732	0.01427	0.097471	0.108605	0.14085	0.207114	2.763633	0.127203	0.039433	0.091303	0.067775	0.091117	1.310407
C11ORF45	0.080828	0.323805	0.794801	0.125284	0.290328	0.868837	0.204918	2.121432	0.302677	0.0	0.093277	0.133935	0.164764	0.205514	0.230056	0.143779	0.093277	0.136247	0.058933	0.083086	0.094412
C11ORF96	0.212652	1.029599	0.305282	0.0	1.366728	0.491395	2.418896	0.335542	0.421101	0.326568	0.328487	0.979577	0.300868	0.269061	2.14139	0.128243	0.209974	0.161743	0.00353	0.140355	1.545146
C12ORF59	0.147591	0.393899	0.878649	0.085765	0.249064	0.096144	0.107808	1.990369	1.264575	0.124499	0.36618	1.622684	0.122018	0.114592	0.0	0.074834	0.071808	0.086374	0.032303	0.044188	0.10904
C13ORF18	2.567624	0.396661	0.49379	0.21163	0.317468	0.006507	0.141869	1.003808	1.08457	0.150024	2.225597	0.184816	0.819095	0.166482	0.341717	0.249132	0.157954	0.177843	0.11877	0.031454	0.0
C14ORF64	0.231007	0.130795	0.171084	0.335584	0.020638	0.386916	0.164346	0.21851	0.283603	0.150898	0.487495	0.299719	0.740236	0.765241	0.217376	2.015207	1.755822	1.539529	0.123	1.874984	0.0
C15ORF26	0.078307	0.115631	0.123311	0.055129	0.059057	0.066349	0.099481	0.115631	0.133955	0.075535	0.109587	0.19576	2.279255	0.226073	0.047916	0.065739	0.085733	0.065739	0.04016	0.083252	0.153885
C15ORF48	0.105526	0.285871	2.50827	0.0	0.16837	1.129257	0.149086	2.618773	1.305146	0.554063	1.333509	0.025882	0.129932	0.040549	0.002854	0.212267	0.284608	0.095465	0.123554	0.056092	0.002854
C17ORF60	0.879496	0.570651	1.815582	0.125602	0.310262	0.16468	0.569264	1.762983	2.161259	0.257745	1.031382	0.595703	0.458154	0.430128	0.458154	0.376123	0.200663	0.314735	0.209889	0.216675	0.224097
C19ORF77	0.430134	2.443897	0.445472	0.625994	0.333259	0.376348	0.330643	0.437593	0.476471	0.568728	0.601411	0.668506	0.498993	1.64258	0.252715	0.51115	0.501824	0.50628	0.50912	0.414904	0.306521
C1ORF150	0.169065	2.001999	0.213968	0.191082	0.011322	0.127567	0.091816	0.111185	0.599445	0.253059	0.30982	0.064015	1.484886	0.123776	0.095551	0.59793	0.111813	0.182639	0.29347	0.138345	0.05422
C1QA	0.039817	0.312062	1.191887	0.060993	0.017666	0.0	0.057199	1.889181	0.521266	0.006986	0.116409	0.473744	0.153229	0.35441	1.677341	0.144307	0.037954	0.077014	0.197678	0.044957	0.009702
C1QB	0.030044	0.294445	1.205553	0.029642	0.009377	0.0	0.04729	1.683131	0.329193	0.115076	0.06007	0.370589	0.146605	0.313251	1.132337	0.097706	0.040353	0.074072	0.121223	0.065272	0.034275
C1QTNF4	0.227512	2.215015	0.255075	0.16154	0.291062	0.234901	0.661627	0.224878	0.238604	0.099469	0.186249	0.272196	0.374117	0.510511	0.427185	0.281341	0.166152	0.249217	0.360735	0.242314	0.341343
C1S	0.098173	0.097458	0.182877	0.071077	2.200344	0.256549	0.425263	0.391721	0.063662	0.04672	0.080892	0.119379	0.139259	0.282572	2.581181	0.066668	0.075506	0.100084	0.0	0.149204	0.074806
C20ORF103	0.279446	0.189706	0.351717	0.49195	0.125022	0.110605	0.413639	0.253704	0.459802	0.213473	0.37861	2.423564	1.762749	0.867468	0.0	0.167386	0.200763	0.216663	0.109471	0.158838	0.259805
C20ORF187	0.396683	0.441158	0.535431	0.975132	0.461592	0.419221	0.446355	0.567807	0.571025	0.525045	0.694302	0.65631	0.555439	2.265358	0.397106	0.519197	0.491968	0.512021	0.450262	0.515606	0.427365
C21ORF7	0.286372	0.091189	0.040573	0.025863	0.720307	0.342555	0.134881	0.218993	0.900012	0.162822	0.237002	0.03722	2.70165	0.0	0.31544	0.100098	0.177822	0.291857	0.057749	0.109678	0.156115
C2ORF88	0.23032	0.55046	0.060389	0.103147	0.106807	0.030782	0.110479	0.084354	0.35406	0.056885	0.252797	1.029286	2.651964	0.671307	0.194823	0.069643	0.074079	0.138642	0.0	0.056885	0.049263
C2ORF89	0.92086	0.3948	1.42077	0.26387	0.429336	0.28303	0.328966	0.64477	0.587597	0.581309	0.72209	1.034887	1.285145	1.136987	0.599684	2.35425	2.358876	2.141248	0.689423	2.240419	0.286787
C3ORF42	1.448628	0.640528	0.445395	0.828507	0.116371	0.240361	0.370104	0.31799	0.87252	1.170744	1.186235	0.281745	0.557638	0.832162	0.261006	1.187528	1.546118	1.979929	1.328673	1.60224	0.06922
C4ORF31	0.004211	0.066423	0.114579	0.377127	1.464458	0.10869	1.58168	0.151215	0.111142	0.174266	0.307478	2.326977	0.111142	0.627771	1.464458	0.09793	0.095491	0.117529	0.041999	0.146233	1.026414
C5AR1	0.11049	0.211959	0.916582	0.682757	0.046118	0.058896	0.005441	1.823207	1.844216	0.158922	2.723763	0.12265	0.178122	0.005593	0.38589	0.341518	0.094509	0.205412	0.013546	0.010015	0.0
C5ORF20	0.014422	0.681108	2.151786	0.124442	0.044677	0.0	0.063938	0.771772	0.717244	0.080494	0.201499	0.197289	0.222043	0.693113	0.080494	0.176344	0.108736	0.023344	0.009974	0.113379	0.019994
C5ORF23	0.141911	2.415273	0.200026	0.399721	1.623142	0.568687	0.310737	0.25888	0.277585	0.298964	0.379725	0.31125	0.676909	1.427222	1.8305	0.190172	0.173012	0.28317	0.083147	0.098783	0.167153
C5ORF39	1.86635	1.030131	0.638796	0.859136	0.551308	0.428022	1.841448	0.616989	0.857945	1.681448	0.779548	0.84724	1.003498	0.546393	0.674883	2.30739	2.200444	2.376989	1.790512	2.100546	1.629818
C8ORF4	0.048308	0.069087	0.03508	0.131945	0.576598	0.018511	1.631834	0.036052	0.014486	0.015904	0.024471	0.011659	0.127054	0.062772	1.288583	0.016851	0.00464	0.053514	0.0	0.032656	2.324044
C9ORF173	0.170998	0.175882	0.373221	0.129067	0.263181	0.259252	0.170456	0.316513	0.309075	0.162338	0.315367	0.274441	0.366216	2.239922	0.35981	0.261497	0.190592	0.200447	0.258691	0.167206	0.224142
C9ORF38	0.908609	0.890176	0.209721	0.398853	0.107693	0.163666	0.404177	0.140565	0.278602	0.470082	0.214521	0.229406	0.338202	0.409516	0.055625	0.739063	1.03457	0.807567	0.336055	2.258892	0.139038
CA1	0.223819	1.117701	0.316777	0.79474	0.286276	0.334327	0.207595	0.331947	0.389257	0.331472	0.516814	0.729398	1.14502	2.282738	0.25344	0.337662	0.307347	0.327195	0.527092	0.25023	0.268639
CACNA2D2	0.691202	0.811127	0.497719	0.609572	0.253402	0.549109	1.198345	0.529388	0.616512	1.906116	0.589582	0.887292	1.272339	1.438459	0.451393	1.26621	0.940637	2.266531	0.417347	1.001208	0.281801
CACNA2D3	0.114021	0.558441	0.213879	0.063323	0.304121	0.166328	0.069379	0.32927	2.165784	0.083972	0.293594	0.151281	0.618017	0.285067	0.6144	0.218357	0.099261	0.114638	1.57902	0.005314	0.0
CADPS2	0.089753	0.176818	0.063388	1.00814	0.369407	0.197773	1.66987	0.295286	0.100776	0.16207	0.228081	2.374258	0.340882	0.465335	1.30995	0.02036	0.104134	0.162419	0.0	0.027962	2.012161
CALCRL	0.015236	0.189209	0.76685	0.100987	0.06313	0.064003	1.195101	0.120055	0.299725	0.099486	0.100387	0.301796	0.084575	0.301796	1.345223	0.039499	0.048663	0.046939	0.013285	0.0	2.409722
CALN1	0.054164	2.081916	0.205146	0.254199	0.081676	0.227794	0.181273	0.212912	0.192483	0.128623	0.324531	0.443288	0.433416	0.731387	0.00327	0.116981	0.134119	0.145143	0.052162	0.061517	0.1715
CAMK4	0.307984	0.069259	0.118362	0.253374	0.183794	0.070501	0.258404	0.139771	0.21985	0.259779	0.326344	0.092168	0.488916	0.365935	0.036892	1.98588	2.265358	1.782958	1.497193	1.878306	0.0
CARD18	0.0	0.001725	0.031009	0.185414	0.023924	2.498672	0.088617	0.034824	0.026702	0.01764	0.091027	0.042753	0.097208	0.29369	0.007912	0.006176	0.035079	0.02822	0.037375	0.050482	0.006919
CARD9	0.142934	1.011164	2.194119	0.475428	0.240123	0.213341	0.173328	1.412234	1.619525	0.268416	0.447894	0.130269	0.105712	0.312968	0.027606	0.184352	0.089072	0.174551	0.025871	0.234497	0.0
CCDC110	0.245106	0.0752	0.103531	0.0	0.240156	0.140749	0.408337	0.087445	0.107328	0.030409	0.116841	1.875161	0.311119	0.318194	0.137871	0.126383	0.121608	0.147475	0.01747	0.125427	0.314149
CCDC64	1.181412	0.208771	0.428574	0.422138	0.036424	1.585948	0.244164	0.237952	0.386421	1.102785	0.33917	0.497083	0.797342	0.509207	0.0	2.110838	2.147257	1.949393	1.793238	1.937895	0.058589
CCDC65	0.31965	0.325181	0.270139	0.0	0.29071	0.202175	0.31965	0.249652	0.283843	1.337493	0.359885	0.218402	0.588967	0.485325	0.165863	1.183964	1.386675	1.854902	1.038493	0.908428	0.267402
CCL13	0.0	0.090127	1.994443	0.15189	0.06885	0.040432	0.062222	0.433231	0.143259	0.081338	0.203093	0.221324	0.182377	0.613293	0.347015	0.061809	0.089708	0.072172	0.043705	0.058504	0.063877
CCL17	0.116524	0.082593	2.473467	0.021499	0.048036	0.047744	0.096429	0.253173	0.120516	0.023212	0.098244	0.080799	0.107049	0.421549	0.034409	0.160738	0.121131	0.068602	0.304151	0.150972	0.047453
CCL18	0.0	0.206203	1.620961	0.008834	0.026228	0.009794	0.014602	1.682426	0.222471	0.075439	0.102875	0.210953	0.194254	0.12641	0.265639	0.07164	0.041666	0.024768	0.233224	0.031351	0.017981
CCL2	0.016341	0.231541	1.07742	0.126933	1.054952	0.114362	2.651501	1.254156	0.962764	0.081563	0.294302	0.147997	0.252323	0.181991	0.807138	0.112953	0.084475	0.120423	0.146328	0.0	1.630499
CCL21	0.070137	0.039502	0.154864	0.188458	0.051555	0.026123	2.524798	0.132145	0.118853	0.017723	0.220649	0.221807	0.368044	0.352486	1.214826	0.135852	0.062253	0.086363	0.180484	0.176319	0.336212
CCL22	0.299393	0.071659	2.692438	0.241464	0.088628	0.122193	0.138177	1.31456	0.511714	0.124847	0.228949	0.163927	0.276921	0.505712	0.062526	0.312342	0.306505	0.086606	0.232383	0.179673	0.0
CCL23	0.018614	0.19358	1.741302	2.266648	0.0	0.012262	0.452543	1.14225	0.33389	0.081265	0.469069	0.106306	0.054475	0.225384	0.23394	0.005941	0.016846	0.032127	0.340373	0.038577	0.021093
CCL26	0.112706	0.157343	2.252161	0.0	0.739786	0.203922	0.097264	0.502248	0.268596	0.095866	0.33511	0.245002	0.23404	0.581257	0.362755	0.23404	0.145855	0.157343	0.214245	0.171308	0.132532
CCL8	0.020426	0.274195	1.172649	0.158829	0.079193	0.07359	0.15463	1.004188	0.523357	0.123875	0.105925	0.189727	0.082865	0.075535	0.706015	0.076022	0.122856	0.06681	0.0	0.045334	0.052915
CCNE2	0.268005	0.89085	0.081545	0.417881	0.709298	0.454685	0.336477	0.241081	0.106343	0.739816	0.178917	0.395477	0.133335	0.080882	0.0	0.175714	0.36176	0.210594	2.319861	0.304982	0.794216
CCR10	0.411393	0.131212	0.190545	0.0	0.410372	0.051601	0.937031	0.146234	0.174284	0.014903	0.174284	1.754477	0.149434	1.322449	0.285293	0.354292	0.44947	0.166891	0.080587	1.14106	0.902169
CCR2	0.263435	0.386396	0.691432	0.193837	0.017153	0.056589	0.0	0.307668	2.285785	0.527026	0.456648	2.33675	0.575927	0.257204	0.148034	0.974675	0.904865	0.635572	1.829463	0.633715	0.020811
CCR3	0.069542	0.074893	0.156253	2.741385	0.050191	0.023249	0.039716	0.135129	0.307793	0.171256	1.375079	0.145064	0.143557	0.237795	0.052036	0.347779	0.163917	0.118329	0.525961	0.32239	0.050023
CCR7	2.012467	0.343897	1.317265	0.017964	0.040451	0.025248	0.0	0.600043	0.888554	0.523624	0.678296	0.214037	0.872857	0.458615	0.132146	2.542583	2.555232	1.833512	1.742633	1.714704	0.029141
CCR9	0.804447	0.5026	0.27755	0.493969	0.216908	0.289985	0.257189	0.347732	0.37628	0.504172	0.475217	0.291451	0.544503	1.151193	0.12843	0.94628	1.166995	0.65691	0.283395	2.019814	0.17019
CCRL1	0.182958	0.014594	0.011661	0.351704	2.282738	0.378579	0.069699	0.012964	0.017536	0.011335	0.040999	0.149236	0.404574	0.189646	1.122165	0.0	0.051053	0.127305	0.030698	0.1209	0.046016
CCRL2	0.250897	0.749015	1.831198	0.024679	0.049841	0.043652	0.420477	2.487494	1.610262	0.411292	1.956582	0.647878	0.558841	0.655614	0.33998	0.371358	0.336799	0.318876	0.63733	0.426747	0.452762
CD14	0.190404	0.497113	0.79512	0.0	0.195725	0.191954	0.473175	1.80336	2.665607	0.128045	2.24374	0.257041	0.52945	0.243329	1.496951	0.496565	0.199286	0.28993	0.027617	0.086922	0.258444
CD160	0.16903	0.025139	0.094125	0.057312	0.029884	0.047307	0.062167	0.118458	0.211628	2.35135	0.375584	0.207054	1.624121	0.292037	0.081399	0.911556	0.197184	1.931204	1.161255	0.031582	0.015027
CD163	0.05844	0.329044	0.492702	0.187987	0.024946	0.000923	0.0	1.307669	1.300544	0.094567	0.289361	0.329044	0.473815	0.162373	0.888573	0.099968	0.063024	0.12296	0.004626	0.01265	0.000738
CD19	2.540478	0.251036	0.290386	0.232005	0.136343	0.1201	0.105512	0.262424	0.417142	0.1675	0.437398	0.511856	0.551343	0.820658	0.154901	0.304362	0.190808	0.221132	0.212865	0.126396	0.140583
CD1A	0.526548	0.149529	2.430018	0.117345	0.0	0.098345	0.088499	0.428775	0.533868	0.090137	0.337518	0.565304	0.527523	1.190113	0.066109	0.158388	0.177918	0.085636	0.090956	0.163467	0.012967
CD1B	0.036562	0.094281	2.470585	0.735637	0.085888	0.080629	0.0	0.490705	0.349929	0.153756	0.343772	0.40324	0.427597	1.03968	0.066496	0.088991	0.168419	0.136981	0.01403	0.074467	0.071089
CD1C	1.533535	0.259571	2.553468	0.212675	0.01491	0.042395	0.0	0.438889	0.935253	0.186725	0.414634	0.230263	0.933718	0.860245	0.294677	0.246734	0.226982	0.174252	0.025035	0.091439	0.027291
