Symbol	MSC	Bronchial_Epithelial_cells	Fibroblasts	Endothelial_cells	Adipocytes	Keratinocytes	Schwann_cells	Smooth_muscle_cells	CD34+	Platelets	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	Macrophage	M1(IFNg)	M2(IL-4)	M(IFNa)	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	T_cells_(gamma-delta)	NK_cells	Neutrophils	Neutrophils_LPS	B_cells
ACE	0.031268	0.034163	0.047373	0.270385	0.032716	0.015827	0.010037	0.04835	0.022341	0.050376	0.038235	0.046709	0.220114	0.161914	1.0	0.114264	0.028614	0.035611	0.032716	0.069366	0.030934	0.032716	0.016671	0.045455	0.069268	0.038506
ACER3	0.047107	0.149067	0.197587	0.18238	0.468313	0.069444	0.195664	0.032709	0.134288	0.461949	0.309416	0.270236	0.403318	0.303619	0.347672	0.290066	0.970405	1.0	0.27476	0.046022	0.020915	0.06311	0.108275	0.023751	0.0	0.012102
ACOT4	0.04403	0.053947	0.094804	0.028849	0.343779	0.0476	0.110009	0.034907	0.095729	0.029195	0.02499	0.032262	0.925462	1.0	0.204363	0.757371	0.018247	0.015073	0.017982	0.091594	0.086291	0.171361	0.174798	0.026656	0.0	0.049187
ACP5	0.0	0.028055	0.005622	0.012573	0.00154	0.03042	0.000663	0.001479	0.008674	0.005142	0.021023	0.024316	0.905024	0.810388	1.0	0.439813	0.020005	0.029161	0.033472	0.021027	0.004337	0.028799	0.008751	0.008209	0.011688	0.020787
ACTA2	1.0	0.014267	0.373807	0.028096	0.377031	0.001459	0.125103	0.322601	0.0076	0.005829	0.009981	0.007194	0.017749	0.015392	0.027059	0.018077	0.007124	0.003415	0.0	0.006996	0.004708	0.034027	0.001946	0.009635	0.002016	0.006212
ACVR1C	0.001999	0.008439	0.00496	0.004132	1.0	0.005478	0.001925	0.018862	0.005675	0.02739	0.011252	0.004984	0.00537	0.004886	0.005123	0.007847	0.002912	0.001777	0.002616	0.062357	0.032743	0.011104	0.005083	0.012229	0.0	0.018803
ADAM12	1.0	0.003482	0.735306	0.007929	0.196436	0.0	0.036282	0.312538	0.002749	0.501645	0.0052	0.002749	0.022322	0.005681	0.139704	0.005497	0.008979	0.007146	0.003298	0.004931	0.007287	0.002382	0.002932	0.004691	0.001832	0.008429
ADAM28	0.002994	0.105187	0.007115	0.001834	0.001981	0.002341	0.0	0.001549	0.117435	0.202558	0.042744	0.012068	0.193657	0.229872	0.008249	0.175252	0.822316	1.0	0.099334	0.005272	0.010939	0.005223	0.07101	0.115778	0.024135	0.639454
ADAMDEC1	0.000174	0.000586	0.002552	0.000452	0.001561	0.000586	9.8e-05	0.0	0.001073	0.000805	0.005251	0.003208	0.388381	0.311313	0.157719	0.909455	0.013576	0.005892	0.000525	0.000569	0.00136	0.000403	0.000921	0.00161	0.054561	0.003879
ADAMTS1	0.609019	0.071221	0.599797	0.109512	0.337717	0.00613	0.138356	1.0	0.019921	0.013952	0.003193	0.004123	0.001426	0.001852	0.002306	0.001897	0.003284	0.002518	0.001751	0.001138	0.005024	0.026781	0.03842	0.004451	0.002317	0.002591
ADAMTS18	0.005339	0.037684	0.009107	1.0	0.015492	0.01633	0.002094	0.005276	0.033078	0.011305	0.018371	0.013818	0.008793	0.009107	0.004773	0.012143	0.002722	0.004606	0.000837	0.017015	0.031307	0.007537	0.005862	0.017837	0.0	0.027635
ADCY3	0.140383	0.036417	0.327952	0.232779	0.107947	0.124132	0.229077	0.24756	0.029369	0.013549	0.018307	0.00483	1.0	0.893204	0.845588	0.94907	0.175691	0.282332	0.213414	0.174113	0.052081	0.316009	0.03211	0.016681	0.0	0.021537
ADH1B	0.000181	0.000726	0.038752	0.000148	1.0	0.000181	0.000181	0.017378	0.001028	0.000762	0.000703	0.000605	0.000148	0.000136	7.3e-05	0.000423	9.1e-05	0.000227	0.0	0.000454	0.000858	0.000363	0.000317	0.000689	9.1e-05	0.001315
ADH4	0.018081	0.006027	0.003767	0.002603	1.0	0.003516	0.003516	0.005726	0.000502	0.000904	0.002449	0.005023	0.003151	0.003014	0.001507	0.005525	0.004018	0.002511	0.005525	0.000411	0.000464	0.0	0.002009	0.002109	0.013561	0.000753
ADIPOQ	0.000177	0.000114	0.000263	0.00016	1.0	0.0	0.00017	0.00042	0.000965	0.001034	0.000444	0.000568	0.000315	0.000305	0.000522	0.000341	0.000568	0.000312	0.000454	0.000237	0.000376	0.000114	0.000454	0.000284	0.001051	0.000454
AFAP1L1	0.005556	0.17709	0.050725	0.438227	0.404725	0.090696	0.155939	0.015988	0.019358	0.009536	0.013085	0.009679	1.0	0.499723	0.015558	0.983314	0.003406	0.004302	0.0	0.006876	0.008659	0.003943	0.001613	0.009105	0.001255	0.017386
AGAP1	0.141388	0.247559	0.159519	0.118803	0.23338	0.171548	0.287773	0.182985	0.015109	0.033752	0.005753	0.004184	0.002663	0.0	0.003905	0.006044	0.004184	0.000232	0.000232	0.021428	0.046508	0.009066	1.0	0.0053	0.000697	0.013947
AGPAT3	0.279911	0.200221	0.366242	0.316195	0.354953	0.215495	0.196901	0.271278	0.16746	0.201682	0.205783	0.21306	0.242059	0.358771	0.300764	0.256669	0.870504	0.638849	0.173437	0.171122	0.050802	0.313116	0.063973	0.001395	0.009629	0.0
AGR2	0.002418	1.0	0.001263	0.002061	0.001725	0.017251	0.0	0.00276	0.003635	0.002021	0.003042	0.003142	0.00196	0.001679	0.001429	0.002464	0.001848	0.001263	0.000924	0.003271	0.002806	0.003204	0.00419	0.003352	0.001448	0.003666
AGTR1	0.073628	0.011585	0.110823	0.010643	1.0	0.008943	0.012195	0.293171	0.024187	0.010244	0.012424	0.017073	0.008426	0.011128	0.00878	0.012195	0.00874	0.010366	0.009756	0.009812	0.010647	0.012195	0.019207	0.012195	0.007927	0.008232
AGTRAP	0.063015	0.228124	0.180042	0.091157	0.063827	0.178206	0.141209	0.071508	0.051259	0.033467	1.0	0.377452	0.164907	0.202706	0.215372	0.178489	0.152788	0.010238	0.0	0.08434	0.039414	0.325982	0.205001	0.501406	0.163838	0.069051
AHI1	0.051589	0.016438	0.104189	0.04529	0.07182	0.044845	0.108067	0.127961	0.053106	0.002529	0.000917	0.002276	0.034025	0.016438	0.058569	0.036922	0.018924	0.081598	1.0	0.017978	0.015037	0.083706	0.019852	0.001922	0.004046	0.006828
AIF1	0.005375	0.015618	0.000805	0.005463	0.004856	0.005229	0.0	0.004062	0.072953	0.05712	1.0	0.996711	0.314392	0.279666	0.152676	0.349847	0.366667	0.278178	0.040807	0.058511	0.060144	0.028574	0.031749	0.69368	0.159049	0.08075
AIM2	0.005441	0.010236	0.0	0.002243	0.001904	0.003484	0.000323	0.003513	0.012535	0.041957	0.082588	0.070718	0.014703	0.298836	0.002306	0.091118	0.02234	0.287613	0.003125	0.022304	0.02358	0.074884	0.005316	0.165047	0.428294	1.0
AKAP12	0.116015	0.069979	0.280512	0.660296	0.25249	0.007434	0.139236	1.0	0.096312	0.012877	0.010661	0.008179	0.007417	0.009333	0.011255	0.006781	0.00536	0.005942	0.014331	0.008446	0.011384	0.006222	0.003915	0.008795	0.0	0.011815
AKAP9	0.0	0.007188	0.064694	0.045253	0.044927	0.055709	0.101235	0.259856	0.160538	0.075118	0.184874	0.280942	0.074987	0.094346	0.213132	0.004193	0.329163	0.245599	0.57626	0.453188	1.0	0.089853	0.223735	0.25123	0.139273	0.059303
ALAS1	0.045196	0.091499	0.05787	0.121308	0.350165	0.103735	0.057702	0.042258	0.041363	0.0	0.036327	0.035133	0.554082	1.0	0.567572	0.237507	0.057926	0.054568	0.033007	0.022439	0.011172	0.183491	0.037539	0.036707	0.047518	0.013553
ALDH1A1	0.004397	0.138364	0.7405	0.819157	0.001077	0.005862	0.697863	0.046875	0.151166	0.011773	0.332586	0.037388	0.601944	1.0	0.280964	0.286659	0.001585	0.006132	0.001316	0.001517	0.003216	0.0	0.000987	0.005886	0.021356	0.007448
ALDH1A2	0.000235	0.010594	0.047674	0.203921	0.001726	0.020874	0.0	0.001413	0.007141	0.013749	0.006827	0.005179	1.0	0.953001	0.072417	0.216591	7.8e-05	0.001923	0.001177	0.004987	0.008892	0.000942	0.004002	0.008852	0.004826	0.008711
ALDH1A3	0.081125	1.0	0.075561	0.033699	0.156925	0.018594	0.185475	0.224231	0.001154	0.00269	0.00115	0.000495	0.000414	0.000569	0.000435	6.6e-05	1.6e-05	4.9e-05	0.0	0.000486	0.001339	0.000495	0.00061	0.000831	4.9e-05	0.001385
ALDH1L1	0.005035	0.054935	0.011994	0.013209	1.0	0.006537	0.00232	0.01666	0.014445	0.015521	0.021523	0.019823	0.009355	0.01144	0.012358	0.01666	0.021615	0.017767	0.023197	0.010908	0.019774	0.010017	0.013813	0.016533	0.04497	0.020772
ALDH1L2	0.540874	0.005552	1.0	0.010498	0.256118	0.003701	0.063659	0.629341	0.006292	0.000888	0.000625	0.000555	0.046533	0.0161	0.265593	0.119547	0.006014	0.003794	0.002221	0.000454	0.000342	0.0	0.00074	0.002887	0.004719	0.00111
ALDH2	0.041942	0.340127	0.135996	0.165785	0.231563	0.347053	0.05721	0.119515	0.078087	0.075243	0.438392	0.16609	0.25972	0.25823	0.461114	0.110143	0.897235	0.702187	0.463418	0.010426	0.007274	0.0	0.031339	0.044359	0.024717	0.018045
ALDH3A1	0.00276	1.0	0.00092	0.002007	0.003169	0.018129	0.001806	0.005193	0.000239	0.003517	0.00115	0.001056	0.002351	0.002096	0.002515	0.002283	0.003041	0.00259	0.002896	0.000251	0.001085	0.001431	0.0	0.001758	0.002326	0.001917
ALOX12	0.0	0.003676	0.001321	0.002047	0.001072	0.097418	0.000306	0.001838	0.011105	1.0	0.006117	0.005361	0.00188	0.00201	0.001654	0.003829	0.001723	0.001187	0.000613	0.002548	0.002934	0.002987	0.003063	0.009558	0.026192	0.002642
ALOX12B	0.001712	0.002153	0.0	0.002113	0.002153	0.767213	0.002006	0.001623	0.002006	0.001888	0.002319	0.00289	0.000909	0.001215	0.000387	0.002153	0.00392	0.003331	0.002448	0.000186	0.001134	0.002595	0.000423	0.001623	0.000718	0.00127
ALOX15	0.00901	0.783539	0.009591	0.007081	0.011238	0.010463	0.010463	0.010463	0.005425	0.032318	0.01613	0.014725	0.00856	0.009881	1.0	0.009688	0.024607	0.046888	0.016663	0.00539	0.015739	0.010463	0.005231	0.206231	0.036038	0.043013
ALPL	0.029113	0.034735	0.01979	0.004421	0.221938	0.003656	0.016088	0.008629	0.0	0.003803	0.01218	0.010238	0.00841	0.005804	0.00841	0.006581	0.00521	0.004022	0.003473	0.002426	0.005541	0.005667	0.000914	1.0	0.101645	0.008958
ANGPT1	1.0	0.030889	0.105905	0.00479	0.688298	0.000952	0.034869	0.124854	0.378196	0.341856	0.012654	0.007701	0.007339	0.000649	5.2e-05	0.001644	0.000952	0.001471	0.001817	0.001298	0.002176	0.00026	0.0	0.062141	0.002855	0.005191
ANGPTL7	0.00341	0.002912	0.002024	0.003287	0.003528	0.001918	1.0	0.003566	0.00277	0.004362	0.003747	0.003765	0.002796	0.003587	0.003452	0.004286	0.005233	0.004665	0.004807	0.002693	0.003743	0.003054	0.003433	0.004589	0.006109	0.004404
ANKRD22	0.004078	0.089033	0.000325	0.001123	0.00091	0.405392	0.0	0.001924	0.002145	0.002937	0.033664	0.014687	0.00566	0.489875	0.002158	0.089293	0.045394	0.028335	0.0013	0.002806	0.002649	0.003639	0.000325	0.047545	0.249974	0.003834
ANKRD29	0.09768	0.687126	0.156063	0.012384	0.079341	0.122255	0.002495	0.234431	0.012475	0.008683	0.010853	0.012974	0.295182	1.0	0.236228	0.346806	0.002745	0.001497	0.015968	0.009799	0.013128	0.008982	0.006737	0.008084	0.003743	0.010479
ANKRD36	0.01161	0.006192	0.039861	0.027582	0.006192	0.0	0.026832	0.039628	1.0	0.086068	0.012964	0.003096	0.020265	0.010062	0.074923	0.016512	0.031218	0.137255	0.644995	0.160287	0.330674	0.156347	0.613003	0.006192	0.365325	0.05418
ANKRD36B	0.008844	0.0	0.050518	0.067877	0.050563	0.007325	0.133822	0.224799	1.0	0.127247	0.017353	0.009112	0.075771	0.069144	0.08308	0.011971	0.049937	0.181436	0.588351	0.467539	0.393755	0.067536	0.608987	0.019618	0.187869	0.151956
ANKRD55	0.011431	0.03736	0.005576	0.081614	0.0	0.021189	0.0	0.00223	0.049627	0.509434	0.044679	0.027881	0.020784	0.022304	0.028327	0.021189	0.132433	0.208547	0.018959	1.0	0.045595	0.018959	0.005576	0.182227	0.03736	0.039033
ANPEP	0.172703	0.000997	0.242759	0.351351	0.205486	0.007326	0.057133	0.189426	0.024997	0.007704	0.22157	0.13772	0.345792	0.283412	1.0	0.242143	0.08855	0.318189	0.001573	0.002892	0.001917	0.000258	0.002415	0.700023	0.193014	0.003956
AOAH	0.011357	0.004973	0.003203	0.006742	0.012305	0.0	0.001517	0.001281	0.036831	0.108688	1.0	0.562067	0.234898	0.30655	0.148132	0.178001	0.936821	0.453893	0.027054	0.021384	0.064021	0.842132	0.387312	0.526686	0.095869	0.035946
AOC2	0.003256	0.016278	0.012107	0.011099	1.0	0.021704	0.00217	0.00586	0.012208	0.010092	0.01643	0.021432	0.009471	0.009665	0.010092	0.011394	0.00624	0.005562	0.00624	0.013096	0.01778	0.007325	0.015328	0.166522	0.016888	0.014243
AOC3	0.003744	0.00078	0.003081	0.001617	1.0	0.001144	0.002288	0.001872	0.009723	0.005678	0.002164	0.00286	0.001446	0.002457	0.001061	0.00104	0.002392	0.003146	0.002132	0.001064	0.0021	0.0	0.00026	0.035878	0.072379	0.002886
AP1S2	0.050855	0.0	0.11678	0.164375	0.050761	0.003624	0.955112	0.077814	0.125715	0.663942	1.0	0.805004	0.37474	0.353865	0.275939	0.296393	0.837345	0.7265	0.547424	0.138712	0.043961	0.211067	0.084977	0.181675	0.256392	0.105683
APCDD1	0.077398	0.000887	0.050012	0.00508	0.277627	0.063983	0.017536	0.000866	0.000675	0.000823	0.008337	0.000852	0.001591	0.000913	0.000738	0.001559	0.001223	0.002531	0.015168	0.0	0.000642	0.000887	0.000869	0.000738	0.012446	0.001311
APOBEC3A	0.000147	0.005165	0.000281	0.000603	0.000393	0.007083	0.000571	0.0	0.030812	0.133007	0.499226	1.0	0.009094	0.184672	0.154578	0.29647	0.005611	0.003314	0.006236	0.007124	0.006225	0.001552	0.005366	0.970125	0.584497	0.008577
APOBEC3C	0.047159	0.219367	0.134207	0.065028	0.109553	0.0	0.109901	0.152958	0.064933	0.114519	0.290236	0.346109	0.131556	0.171774	0.162229	0.131777	0.115022	0.108164	0.06285	0.178764	0.394094	0.544381	0.110291	0.083163	0.187335	1.0
APOC1	0.001575	0.00611	0.007551	0.007725	0.058831	0.002708	0.0	0.015709	0.14166	0.030826	0.025361	0.02592	0.67154	0.359473	0.842089	1.0	0.030486	0.035872	0.011842	0.01457	0.020951	0.004504	0.007417	0.023117	0.004173	0.031667
APOC2	0.035338	0.033557	0.014236	0.016225	0.01856	0.03029	0.26771	0.024202	0.023683	0.021886	0.027961	0.037491	1.0	0.669367	0.376367	0.528886	0.017818	0.020416	0.010765	0.019788	0.023688	0.015962	0.012584	0.016719	0.012621	0.025204
APOE	0.013771	0.003339	0.006896	0.001837	0.71497	0.010027	0.011945	0.003471	0.01163	0.005313	0.000369	0.000914	0.752792	0.539745	1.0	0.825942	0.004559	0.004621	0.004189	2.1e-05	0.0	0.001983	0.000674	0.002386	0.023628	0.002394
APOL3	0.00289	0.003296	0.013884	0.044629	0.00305	0.079393	9.8e-05	0.014777	0.039697	0.070559	0.124894	0.143587	0.023111	0.321828	0.030774	0.329772	0.177577	0.458799	0.0	0.194508	0.081281	0.338282	0.047321	0.005923	0.209674	0.052363
APOL4	0.016618	0.029988	0.004802	0.007638	0.267542	0.017412	0.0	0.007684	0.003869	0.011332	0.016099	0.013405	0.098695	1.0	0.057931	0.017965	0.020245	0.035999	0.004008	0.00598	0.003168	0.044498	0.006288	0.011332	0.024598	0.009259
AQP3	5.3e-05	0.982532	0.000985	0.00334	0.006709	0.15314	0.000985	0.008811	0.00556	0.006447	0.011208	0.011964	0.008535	0.006809	0.008896	0.005677	0.0	0.000798	0.001713	0.06538	0.016723	0.00929	0.007718	0.007516	0.001513	0.012492
AREG	0.011178	0.155639	0.001165	0.000905	0.002437	0.189013	0.0	0.000657	1.0	0.000848	0.020872	0.00694	0.004662	0.000291	0.003899	0.006675	0.374371	0.12351	0.256185	0.00131	0.003415	0.001007	0.51078	0.164221	0.083567	0.000132
ARHGAP22	0.381796	0.081764	0.166685	0.454779	0.121147	0.062928	0.093322	0.238442	0.281036	0.048373	0.069644	0.032748	0.331725	0.160905	0.382791	0.375428	1.0	0.915668	0.023545	0.028934	0.03074	0.031036	0.031464	0.028082	0.033926	0.0564
ARID4B	0.002207	0.006937	0.00618	0.003944	0.001766	0.004541	0.0	0.001867	0.00555	0.005953	0.011809	0.005802	0.001949	0.00268	0.00338	0.00555	0.006622	0.003405	0.002523	0.006731	0.014184	0.005045	0.00782	0.020332	1.0	0.01564
ARL5B	0.005415	0.012096	0.011814	0.016468	0.006001	0.023441	0.010689	0.007426	0.108486	0.004388	0.003903	0.001875	0.005012	0.009564	0.006526	0.052883	0.001125	0.000891	0.002344	0.002839	0.002986	0.018003	0.018894	0.078537	1.0	0.0
ARRDC2	0.049971	0.109314	0.038277	0.062039	0.067347	0.0	0.023887	0.021232	0.418844	0.174903	0.310421	0.619225	0.216125	0.12698	0.212524	0.01692	1.0	0.497636	0.168367	0.491634	0.244786	0.155097	0.725719	0.245567	0.686572	0.101601
ARRDC4	0.120451	0.215792	0.180713	0.012568	0.119245	0.235634	0.085076	0.023219	0.046428	0.049451	0.148902	0.060558	0.116255	0.17595	1.0	0.110678	0.16161	0.171753	0.051499	0.00764	0.004317	0.0	0.088375	0.138426	0.013662	0.004653
ASGR1	0.048612	0.000953	0.007387	0.073654	0.007625	0.02097	0.012709	0.008388	0.03209	0.017538	1.0	0.302157	0.080067	0.114381	0.031645	0.040033	0.135669	0.016522	0.016204	0.003899	0.003226	0.0	0.019858	0.036983	0.056714	0.016681
ASGR2	0.022688	0.025622	0.000391	0.023648	0.017994	0.008215	0.0	0.024096	0.047527	0.068689	1.0	0.095054	0.058853	0.162335	0.060005	0.051634	0.596044	0.179547	0.022297	0.020928	0.049182	0.029729	0.0266	0.048036	0.135051	0.046451
ASPA	0.002091	0.002413	0.050678	0.001857	0.102912	0.001448	1.0	0.002735	0.006167	0.005953	0.00173	0.001126	0.000278	0.0	0.00029	0.00059	0.001448	0.002789	0.000912	0.001038	0.001621	0.00177	0.003003	0.002735	0.00177	0.001931
ASPHD2	0.118215	0.041118	0.133943	0.195873	0.0	0.348684	0.021382	0.057401	0.033717	0.195559	0.222451	0.328536	0.025643	0.24558	0.078125	0.133224	0.857936	0.757607	0.318668	0.098535	0.04425	0.311266	0.06435	0.066283	0.374178	0.092928
ASPM	0.031739	0.073234	0.193229	0.448824	0.014182	0.029763	0.395818	0.009213	0.182418	0.007181	0.00138	0.00131	0.078746	0.024456	0.0	0.041957	0.002157	0.006786	0.012827	0.006103	0.004054	1.0	0.003229	0.001219	0.000915	0.002947
ASPN	0.022954	0.001709	0.548949	0.018059	0.020146	0.000855	0.003785	1.0	0.002564	0.002222	0.002259	0.001831	0.00081	0.00061	0.000757	0.000366	0.000549	0.00061	0.001221	0.000477	0.001991	0.001343	0.0	0.000904	0.003541	0.00464
ASPRV1	0.001121	0.003601	0.000814	0.000767	0.001025	1.0	0.0	0.002332	0.004562	0.00264	0.002996	0.002602	0.001396	0.001073	0.001487	0.000923	0.002044	0.001711	0.004242	0.003164	0.002486	0.00141	0.002518	0.034289	0.028361	0.00314
ASRGL1	0.031862	0.049497	0.032603	0.492146	0.020649	0.052264	0.090597	0.035034	0.322771	0.075817	0.328847	0.182874	1.0	0.382346	0.262188	0.647419	0.123991	0.121817	0.084274	0.052569	0.067691	0.057204	0.047917	0.164023	0.0	0.05009
ASS1	0.12023	0.414343	0.318006	0.040534	1.0	0.11347	0.0	0.210865	0.00398	0.005143	0.002264	0.001544	0.001759	0.001297	0.002596	0.00632	0.002641	0.003244	0.002895	0.002917	0.00483	0.0007	0.005632	0.000222	0.000917	0.003449
ATG3	0.00664	0.0	0.006942	0.00761	0.004024	0.008317	0.007512	0.004024	0.004158	0.007566	0.01157	0.022939	0.010536	0.015192	0.008049	0.014756	0.021195	0.027634	0.005634	0.004354	0.004582	0.006036	0.009457	0.049579	0.715119	0.003421
ATP13A3	0.058638	0.023969	0.021186	0.013663	0.023084	0.001019	0.030888	0.094571	0.006458	0.002333	0.004933	0.000999	0.058346	0.0702	0.035386	0.048418	0.000865	0.0	1.9e-05	0.006387	0.010954	0.014915	0.003075	0.005932	1.0	0.006266
ATP6V0D2	0.001244	0.00622	0.003577	0.003619	0.000415	0.002073	0.002903	0.002239	0.002488	0.00199	0.003343	0.004562	1.0	0.61861	0.228161	0.668476	0.001555	0.000829	0.001866	0.002036	0.002632	0.0	0.006946	0.003732	0.006842	0.004354
ATP8B2	0.497515	0.031202	0.753252	0.301168	0.174209	0.002235	0.275021	0.546165	0.136005	0.276709	0.004944	0.001323	0.019321	0.026668	0.0	0.035535	0.004231	0.016718	0.12711	1.0	0.124575	0.346297	0.324572	0.05036	0.058914	0.009477
B3GNT7	0.032946	0.073535	0.005421	0.009664	0.004751	0.01145	0.042269	0.0102	0.022542	0.017793	0.00891	0.015396	0.020384	0.017704	0.003411	0.026786	0.051612	0.143212	0.021053	0.005725	0.008444	0.01413	1.0	0.019937	0.070185	0.01815
B4GALT6	0.068685	0.015673	0.114667	0.276206	0.043792	0.002305	0.165181	0.013553	1.0	0.123448	0.015097	0.02397	0.022839	0.007952	0.005624	0.041948	0.075215	0.133682	0.084972	0.002472	0.007907	0.01429	0.171404	9.2e-05	0.000922	0.003227
BANK1	0.014653	0.020397	0.00527	0.00892	0.030026	0.016075	0.010312	0.012981	0.032528	0.133359	0.021904	0.013117	0.01016	0.015449	0.008705	0.010767	0.037874	0.063426	0.032832	0.013965	0.027501	0.005383	0.009819	0.029177	0.025173	1.0
BATF3	0.0	0.014014	0.013901	0.013582	0.000377	0.014391	0.008212	0.010985	0.023809	0.021021	0.09677	0.552496	0.025911	0.078885	0.184487	0.211038	0.326125	1.0	0.011302	0.017425	0.019369	0.404144	0.01699	0.039646	0.170767	0.034244
BCL11A	0.004451	0.02918	0.001008	0.00413	0.0	0.030817	0.002475	0.004487	0.189693	0.057658	0.054	0.042513	0.071999	0.02945	0.069969	0.174045	0.212726	0.277035	1.0	0.008419	0.012212	0.004511	0.000998	0.013349	0.06858	0.273422
BCL11B	0.001129	0.016892	0.001675	0.000953	0.000777	0.098923	0.0	0.000349	0.002573	0.169558	0.003258	0.004126	0.009081	0.016236	0.000349	0.004563	0.00034	0.000655	0.001019	1.0	0.448997	0.300119	0.176635	0.02959	0.006116	0.004369
BEND2	0.003467	0.002237	0.002237	0.002521	0.00328	0.002982	0.002386	0.001789	0.002386	1.0	0.005088	0.00328	0.002521	0.002013	0.003042	0.002386	0.002013	0.002684	0.003578	0.002847	0.004542	0.001342	0.003429	0.011988	0.007157	0.009393
BEND5	0.045747	0.021928	0.009452	0.0409	0.068809	0.00983	0.00983	0.061853	0.294896	0.121739	0.015974	0.0	0.022753	0.023629	0.00741	0.056711	0.262382	1.0	0.235917	0.062554	0.061015	0.069565	0.090359	0.001966	0.101323	0.489225
BLK	0.038219	0.007092	0.005122	0.015689	0.012346	0.004465	0.006567	0.021277	0.018913	0.042711	0.007979	0.005516	0.012537	0.015563	0.009299	0.017599	0.044917	0.071579	1.0	0.016047	0.005395	0.023641	0.019307	0.009614	0.038219	0.247833
