gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
ADCY3	0.227902	0.104083	0.070094	0.181108	0.15076	0.258446	0.122879	0.096721	0.10676	0.126361	0.139796	0.126126	0.196967	0.158592	0.239258	0.134424	0.282332	0.172689	0.246169	0.197893	0.178954
ADH1B	0.08163	0.0868	0.072379	0.039182	0.000302	0.019138	0.161875	0.027078	0.011171	0.000726	0.033813	0.014225	0.004467	0.21897	0.057625	0.039364	0.033877	0.000423	0.000302	0.383288	0.037296
ADH4	0.03767	0.020718	0.03767	0.028049	0.019086	0.029131	0.051984	0.026118	0.03356	0.025615	0.022351	0.018081	0.020403	0.023606	0.020794	0.01557	0.03767	0.017579	0.043697	0.032848	0.027807
ADIPOQ	0.058788	0.186181	0.066212	0.069654	0.00017	0.008836	0.202595	0.013	0.017525	0.000256	0.01397	0.012721	0.000767	0.227259	0.029076	0.049009	0.047838	0.000199	0.000469	0.549208	0.107172
AFAP1L1	0.067663	0.11794	0.13461	0.078507	0.050725	0.103601	0.06847	0.145902	0.172071	0.057447	0.20906	0.10862	0.062555	0.098941	0.083526	0.068111	0.074923	0.071911	0.050402	0.18528	0.118801
AGAP1	0.120874	0.152022	0.106578	0.077596	0.073454	0.07357	0.09205	0.050732	0.072524	0.051081	0.05265	0.069177	0.043468	0.112134	0.106462	0.066946	0.063649	0.087169	0.008717	0.15608	0.075081
AGPAT3	0.293978	0.628556	1.0	0.199557	0.134034	0.180631	0.415163	0.278716	0.368677	0.24073	0.296779	0.247814	0.205534	0.301826	0.175385	0.52846	0.167239	0.210625	0.305368	0.332817	0.195042
AGR2	0.009921	0.05126	0.031991	0.008887	0.016068	0.013801	0.00764	0.006826	0.006777	0.010813	0.006223	0.01092	0.006038	0.01635	0.010625	0.009734	0.0069	0.01491	0.005668	0.040416	0.036966
AGTR1	0.210976	0.197561	0.046951	0.063567	0.007393	0.064634	0.098577	0.032012	0.037195	0.0	0.095528	0.05122	0.0125	0.422074	0.10561	0.14561	0.201118	0.001441	0.002744	0.971646	0.109756
AGTRAP	0.052353	0.096022	0.001341	0.053942	0.091133	0.157801	0.025167	0.003107	0.02043	0.022311	0.013132	0.147268	0.15533	0.029336	0.082749	0.058672	0.007202	0.12087	0.196026	0.060748	0.142198
AHI1	0.02134	0.005816	0.0	0.0175	0.015679	0.009886	0.014162	0.005229	0.00712	0.01551	0.005816	0.01068	0.007587	0.014667	0.008	0.007485	0.039672	0.004299	0.02276	0.008472	0.006406
AIF1	0.070362	0.096172	0.021502	0.015501	0.015898	0.129331	0.068864	0.072381	0.148719	0.016248	0.172824	0.065062	0.169204	0.027804	0.042805	0.207142	0.359707	0.025213	0.429126	0.049375	0.142919
AIM2	0.006465	0.006896	0.001042	0.007111	0.008771	0.016054	0.159358	0.087226	0.225357	0.0	0.100743	0.016665	0.159459	0.002321	0.021549	0.149273	0.258701	0.096964	0.207628	0.00237	0.030234
AKAP12	0.021882	0.039709	0.015357	0.014611	0.008599	0.019598	0.070259	0.010999	0.041974	0.012374	0.043507	0.023664	0.009508	0.040582	0.01806	0.064387	0.031576	0.005307	0.00309	0.068505	0.036248
AKAP9	0.562037	0.333955	0.195881	0.623583	0.439858	0.293641	0.472629	0.175514	0.330661	0.591835	0.499095	0.52115	0.327516	0.721602	0.425007	0.359414	0.564114	0.295079	0.341933	0.427703	0.298314
ALAS1	0.093444	0.198711	0.143072	0.095939	0.109095	0.137025	0.18935	0.054046	0.130389	0.060567	0.24733	0.164649	0.159407	0.110371	0.173419	0.446262	0.254368	0.169733	0.133102	0.144098	0.16398
ALDH1A1	0.034935	0.067537	0.214874	0.018215	0.042353	0.029144	0.02665	0.198933	0.033869	0.011414	0.433282	0.08528	0.105822	0.1066	0.059581	0.16636	0.3795	0.048335	0.029942	0.228453	0.084562
ALDH1A2	0.018834	0.0113	0.008882	0.01287	0.008004	0.008946	0.012399	0.008554	0.016087	0.009652	0.019776	0.012713	0.007534	0.01745	0.010987	0.019587	0.008004	0.014596	0.012124	0.030193	0.016095
ALDH1A3	0.021944	0.05855	0.012923	0.018964	0.046064	0.089836	0.102714	0.00867	0.040586	0.006884	0.021066	0.086531	0.030875	0.012028	0.055925	0.024093	0.057825	0.047143	0.002769	0.031121	0.292783
ALDH1L1	0.01202	0.019823	0.061894	0.010333	0.00232	0.002109	0.015797	0.07423	0.004323	0.01337	0.002281	0.003796	0.004766	0.01492	0.00485	0.005019	0.0	0.003532	0.013209	0.018716	0.003269
ALDH1L2	0.010271	0.020356	0.034791	0.009771	0.011507	0.027759	0.013879	0.046432	0.047282	0.005552	0.035531	0.019986	0.007148	0.011844	0.011474	0.013324	0.04508	0.014157	0.007936	0.03975	0.046735
ALDH2	0.337775	0.470141	0.542069	0.485291	0.442128	0.32343	1.0	0.455892	0.406512	0.46632	0.73899	0.212581	0.210614	0.559276	0.671712	0.628057	0.774634	0.414173	0.379038	0.486637	0.246603
ALDH3A1	0.018043	0.01321	0.004532	0.028706	0.036444	0.033735	0.011914	0.003135	0.001303	0.07451	0.001295	0.003504	0.000835	0.018262	0.040816	0.007165	0.006952	0.036734	0.00197	0.001942	0.002584
ALOX12	0.008654	0.023282	0.007812	0.025446	0.02558	0.017653	0.014475	0.007295	0.003676	0.068736	0.005821	0.00942	0.003676	0.043807	0.044573	0.01351	0.015899	0.04121	0.004442	0.00494	0.008654
ALOX12B	0.085197	0.286636	0.108431	0.35818	0.299696	0.190768	0.30679	0.321665	0.053034	1.0	0.02954	0.061289	0.028068	0.262842	0.868367	0.046149	0.213557	0.545083	0.007366	0.011871	0.090277
ALOX15	0.095327	0.010075	0.034876	0.015888	0.010463	0.010463	0.004069	0.0	0.007673	0.015113	0.006588	0.003488	0.122065	0.008138	0.007556	0.004883	0.012788	0.006764	0.011393	0.011393	0.01395
ALPL	0.010238	0.015202	0.021363	0.011152	0.010786	0.044388	0.007313	0.044607	0.007587	0.005717	0.007587	0.012797	0.0117	0.006833	0.012249	0.009689	0.010603	0.014625	0.015033	0.00841	0.012897
ANGPT1	0.025698	0.025178	0.008479	0.026217	0.01393	0.017533	0.026217	0.007647	0.043868	0.008566	0.026632	0.027463	0.009085	0.035302	0.025957	0.021025	0.01843	0.013757	0.006489	0.074584	0.032654
ANGPTL7	0.002628	0.010158	0.046528	0.005508	0.000327	0.001586	0.001011	0.006855	0.0	0.001705	0.001776	0.002543	0.000639	0.011484	0.004036	0.002273	0.004309	0.000687	0.001944	0.016977	0.006038
ANKRD22	0.212444	0.350575	0.124204	0.233435	0.198407	0.232103	1.0	0.078603	0.374913	0.266917	0.123658	0.088123	0.129455	0.323142	0.507706	0.592325	0.231615	0.404092	0.875998	0.160828	0.225855
ANKRD29	0.065868	0.101048	0.037189	0.248802	0.073728	0.099301	0.050898	0.022455	0.223054	0.032435	0.418413	0.061976	0.072854	0.142216	0.168663	0.114142	0.234486	0.260978	0.0	0.413673	0.197904
ANKRD36	0.094427	0.129584	0.564499	0.072755	0.46016	0.086068	0.033755	0.980828	0.070082	0.081527	0.079463	0.111455	0.061533	0.160475	0.096749	0.044118	0.698142	0.116099	0.117647	0.123839	0.066563
ANKRD36B	0.329909	0.118188	0.127702	0.123816	0.31742	0.108906	0.061506	0.46382	0.072003	0.060471	0.04355	0.35581	0.043684	0.128015	0.076648	0.026264	0.558335	0.052635	0.091299	0.075398	0.071288
ANKRD55	0.018122	0.017704	0.011109	0.047118	0.036524	0.027323	0.025093	0.010595	0.053059	0.044051	0.036356	0.041542	0.095909	0.024738	0.01868	0.044508	0.064125	0.030334	0.042378	0.012937	0.034014
ANPEP	0.035394	0.016419	0.017394	0.027668	0.009165	0.103283	0.005374	0.02812	0.00984	0.0	0.004265	0.009463	0.016038	0.010449	0.011138	0.008543	0.011929	0.003545	0.128869	0.01086	0.048888
AOAH	0.019015	0.030425	0.048092	0.002866	0.006616	0.049102	0.084174	0.118751	0.24708	0.003034	0.202695	0.032743	0.129055	0.003034	0.01871	0.249913	0.289622	0.012266	0.364806	0.007585	0.05394
AOC2	0.004341	0.002035	0.0	0.016685	0.012887	0.007528	0.006837	0.00061	0.010174	0.011937	0.005087	0.010174	0.009631	0.007325	0.003561	0.002984	0.005562	0.013124	0.009495	0.015834	0.009224
AOC3	0.057508	0.089434	0.364705	0.128349	0.004784	0.045107	0.175333	0.242034	0.125501	0.001846	0.048396	0.035358	0.015162	0.175125	0.045861	0.036153	0.022911	0.004617	0.002418	0.600913	0.176269
AP1S2	0.05965	0.083275	0.01882	0.021724	0.021419	0.044963	0.096287	0.014661	0.109605	0.017395	0.231603	0.239484	0.062858	0.033379	0.032376	0.229278	0.112956	0.015621	0.080548	0.043213	0.063426
APCDD1	0.618806	0.499507	0.70281	0.900609	0.511426	0.421988	0.104136	0.525353	0.04358	1.0	0.057594	0.201012	0.066952	0.793285	0.556015	0.155181	0.439654	0.376824	0.000781	0.3235	0.236365
APOBEC3A	0.010919	0.010651	0.000839	0.00835	0.018591	0.085801	0.121062	0.039433	0.212554	0.000321	0.180992	0.003314	0.035516	0.000125	0.012614	0.12985	0.028939	0.049992	0.254186	0.001987	0.182598
APOBEC3C	0.146291	0.052622	0.314228	0.153609	0.186116	0.153279	0.113113	0.645004	0.149355	0.114769	0.125668	0.176223	0.484433	0.094622	0.118582	0.128336	0.082903	0.150658	0.467034	0.046573	0.063718
APOC1	0.059776	0.234524	0.852434	0.00834	0.031656	0.028442	0.003228	0.174239	0.525222	0.066138	0.879285	0.194255	0.30365	0.070767	0.007962	0.188612	0.705922	0.034077	0.277201	0.163051	0.055484
APOC2	0.005453	0.007632	0.006496	0.002659	0.008835	0.007276	0.004157	0.004517	0.014291	0.022866	0.030973	0.034804	0.029176	0.007478	0.007008	0.01791	0.137715	0.012175	0.022569	0.0	0.00438
APOE	0.035105	0.067351	0.102458	0.025424	0.040795	0.019702	0.007533	0.058973	0.011829	0.057496	0.093003	0.084355	0.105645	0.065548	0.01728	0.046247	0.049987	0.023045	0.107391	0.055139	0.018008
APOL3	0.066953	0.019086	0.070637	0.072851	0.015721	0.03827	1.0	0.362927	0.221184	0.004968	0.181709	0.060594	0.268432	0.042107	0.050777	0.506057	0.287588	0.059756	0.258476	0.036573	0.038959
APOL4	0.020038	0.010503	0.023666	0.007186	0.008222	0.012783	0.063901	0.044222	0.028433	0.007186	0.017211	0.007488	0.028744	0.009121	0.018656	0.017551	0.022664	0.020038	0.049335	0.006564	0.008015
AQP3	0.656382	0.396432	0.660647	0.835853	0.453101	0.574815	1.0	0.832311	0.232947	0.605529	0.122201	0.169215	0.203178	0.530781	0.59042	0.308567	0.320475	0.68283	0.014656	0.116995	0.280523
AREG	0.001801	0.015786	0.039334	0.00525	0.013985	0.102981	0.014753	0.004556	0.024289	0.005562	0.011465	0.002466	0.011734	0.013681	0.009853	0.000954	0.002437	0.034751	0.055072	0.010648	0.137967
ARHGAP22	0.004388	0.007161	0.010167	0.00214	0.004966	0.011665	0.003853	0.016734	0.025578	0.002943	0.025685	0.000963	0.012842	0.0	0.00289	0.0061	0.048373	0.004452	0.037778	0.002374	0.013057
ARID4B	0.096866	0.087532	0.155168	0.107233	0.115835	0.076181	0.23775	0.222535	0.164974	0.080217	0.26121	0.087381	0.09037	0.114322	0.080721	0.199029	0.4084	0.086681	0.175317	0.109478	0.098127
ARL5B	0.167089	0.139522	0.16347	0.122082	0.298875	0.156587	0.639624	0.12254	0.495352	0.133671	0.321988	0.12752	0.06948	0.155884	0.246648	0.244163	0.17173	0.197187	0.098003	0.090577	0.16587
ARRDC2	0.158331	0.061541	0.058555	0.163556	0.014431	0.095795	0.096873	0.127105	0.257926	0.026955	0.220163	0.046197	0.211495	0.063848	0.062661	0.25087	0.026209	0.020901	0.654038	0.108816	0.096692
ARRDC4	0.256647	0.350053	0.098665	0.18507	0.168926	0.176356	0.248257	0.074934	0.19696	0.347001	0.381222	0.126088	0.066798	0.32975	0.27315	0.291826	0.236175	0.32648	0.161007	0.233765	0.305893
ASGR1	0.022495	0.044482	0.109615	0.024523	0.015632	0.022044	0.031137	0.158227	0.035903	0.038907	0.028595	0.012478	0.024401	0.025736	0.027642	0.029866	0.073135	0.022241	0.218277	0.01811	0.047659
ASGR2	0.114808	0.044104	0.099179	0.031978	0.042442	0.069041	0.154849	0.163509	0.175048	0.070019	0.063761	0.063956	0.047331	0.043224	0.059507	0.097499	0.033445	0.05686	0.348244	0.012126	0.047185
ASPA	0.025205	0.040382	0.018873	0.030206	0.00724	0.028511	0.051644	0.015348	0.034697	0.043793	0.036279	0.025795	0.007347	0.041743	0.022256	0.042634	0.048212	0.005309	0.003593	0.060439	0.037325
ASPHD2	0.089115	0.164474	0.002632	0.070724	0.074424	0.05515	1.0	0.008429	0.619038	0.295724	0.332648	0.039474	0.11102	0.111123	0.088468	0.618421	0.313734	0.107466	0.340872	0.011513	0.074536
ASPM	0.017258	0.025237	0.014322	0.043764	0.036086	0.04119	0.010399	0.015717	0.010938	0.037328	0.009439	0.025698	0.091864	0.013222	0.044285	0.013278	0.031344	0.045925	0.049071	0.008875	0.052402
ASPN	0.145906	0.225247	0.099998	0.244622	0.210007	0.046702	0.271666	0.036507	0.200422	0.047129	0.217089	0.445177	0.038412	0.230641	0.152255	0.180972	0.271336	0.161461	0.00061	0.303167	0.061049
ASPRV1	0.174949	0.43195	0.281505	0.185609	0.47486	0.294657	0.314046	0.372457	0.192397	0.972679	0.196128	0.25038	0.071857	0.517121	0.44519	0.241885	0.137638	0.625385	0.010695	0.214006	0.146581
ASRGL1	0.051632	0.064436	0.003735	0.062934	0.091639	0.069257	0.11668	0.002865	0.123003	0.046695	0.332256	0.255138	0.083642	0.059377	0.049794	0.22674	0.033887	0.049201	0.072239	0.095735	0.117668
ASS1	0.192175	0.157902	0.170079	0.219655	0.112119	0.155563	0.318394	0.067343	0.051826	0.366969	0.026281	0.034429	0.019901	0.204844	0.199382	0.097187	0.047438	0.140094	0.00539	0.19729	0.074856
ATG3	0.619097	0.43693	0.406133	0.356553	0.393276	0.661595	0.496197	0.478624	0.925176	0.525703	0.642937	0.521506	0.738993	0.581646	0.728935	0.342602	0.422149	0.609279	1.0	0.575611	0.773648
ATP13A3	0.033348	0.035126	0.070272	0.021227	0.023747	0.054345	0.096139	0.081113	0.074412	0.017321	0.113269	0.030934	0.029043	0.015934	0.024459	0.08463	0.048475	0.025837	0.043113	0.017472	0.058163
ATP6V0D2	0.019905	0.027618	0.005089	0.034523	0.039654	0.024259	0.022004	0.009839	0.053064	0.04603	0.305417	0.067179	0.042298	0.024881	0.015965	0.070912	0.125401	0.03981	0.031309	0.014833	0.039966
ATP8B2	0.180915	0.136347	0.113995	0.061536	0.054124	0.157103	0.098817	0.172612	0.123119	0.037816	0.090389	0.092099	0.290702	0.097288	0.067723	0.08329	0.175007	0.034597	0.152313	0.201579	0.206825
B3GNT7	0.003262	0.007207	0.012344	0.0	0.000135	0.005942	0.002629	0.021053	0.013684	0.000422	0.013535	0.010446	0.004165	0.001773	0.002852	0.002785	0.062905	0.001773	0.011044	0.004137	0.010334
B4GALT6	0.012865	0.020673	0.001383	0.018732	0.029733	0.01792	0.024278	0.0	0.002682	0.026433	0.007283	0.096343	0.012446	0.017559	0.014106	0.017056	0.027812	0.017056	0.001844	0.046374	0.036785
BANK1	0.003488	0.003336	0.0	0.003488	0.005469	0.002881	0.009705	0.003621	0.012526	0.002426	0.012151	0.006407	0.017326	0.00466	0.004322	0.017165	0.013221	0.006635	0.006597	0.01198	0.004929
BATF3	0.172371	0.01956	0.000527	0.020908	0.004822	0.023959	0.036504	0.022377	0.115803	0.005048	0.017856	0.014843	0.406329	0.002938	0.013505	0.032232	0.035487	0.005086	0.076003	0.008702	0.045432
BCL11A	0.085985	0.084382	0.058551	0.102064	0.128974	0.043591	0.121883	0.027955	0.026815	0.157519	0.022115	0.015329	0.006176	0.0978	0.08624	0.0528	0.046266	0.075286	0.007505	0.029989	0.028007
BCL11B	0.164112	0.115597	0.071353	0.093924	0.294586	0.073392	0.165794	0.063684	0.034026	0.100804	0.055626	0.023202	0.079915	0.122028	0.11071	0.109298	0.113873	0.125717	0.098383	0.037084	0.052495
BEND2	0.000596	0.001074	0.001118	0.0	0.000298	0.000895	0.000224	0.001074	0.001252	0.000325	0.001118	0.000447	0.000298	0.000358	0.000596	0.00123	0.001267	0.000596	0.000447	0.001006	0.000447
BEND5	0.094518	0.129679	0.077278	0.057316	0.137618	0.048015	0.035539	0.059735	0.021928	0.044612	0.049905	0.067297	0.06276	0.089981	0.085444	0.069565	0.112287	0.056333	0.102684	0.228149	0.09225
BLK	0.010835	0.00788	0.027318	0.0	0.002651	0.006042	0.008668	0.042553	0.008238	0.00788	0.008668	0.002679	0.12988	0.001313	0.007486	0.018125	0.014184	0.004991	0.022459	0.003415	0.005319
BLNK	0.042648	0.090165	0.062166	0.076098	0.054561	0.06865	0.190414	0.087674	0.113519	0.038408	0.124715	0.034101	0.038433	0.055279	0.13351	0.068201	0.11915	0.137569	0.071387	0.069704	0.09077
BMP2	0.092668	0.153311	0.111509	0.123615	0.112361	0.159079	0.262911	0.042967	0.279284	0.165729	0.161594	0.039216	0.034839	0.299915	0.172027	0.134868	0.138619	0.144871	0.00661	0.147246	0.206991
BMP4	0.049489	0.040889	0.017715	0.093261	0.018333	0.022659	0.018745	0.011741	0.003625	0.071169	0.015449	0.020599	0.040333	0.05881	0.027378	0.027062	0.011226	0.023895	0.011535	0.056647	0.022412
BMP6	0.00174	0.004169	0.001551	0.004014	0.004772	0.002182	0.002056	0.002498	0.002498	0.002182	0.007046	0.001693	0.000822	0.003635	0.001108	0.005038	0.000793	0.002624	0.0	0.007962	0.006762
BMX	0.002763	0.004399	0.000394	0.009555	0.003918	0.005912	0.003231	0.000206	0.005476	0.002131	0.005403	0.007218	0.002093	0.008867	0.003918	0.007126	0.00566	0.004743	0.003552	0.012854	0.010517
BOLA2	0.016076	0.014274	0.521036	0.006296	0.004622	0.011097	0.010583	1.0	0.01065	0.009646	0.006966	0.00451	0.009478	0.007413	0.012191	0.005225	0.131305	0.006631	0.016135	0.008753	0.010894
BST1	0.02091	0.03574	0.006757	0.0101	0.008298	0.062007	0.031437	0.013229	0.028643	0.003201	0.052194	0.023945	0.024893	0.02822	0.018729	0.057516	0.108861	0.001229	0.204125	0.051501	0.064367
BTBD11	0.07213	0.092772	0.03297	0.127824	0.114972	0.2111	0.199565	0.008062	0.046035	0.220616	0.023397	0.019396	0.024303	0.137065	0.207277	0.070962	0.080153	0.209029	0.101973	0.050125	0.108546
BTBD18	0.197876	0.129843	0.031811	0.745676	0.320808	0.358766	0.223757	0.139646	0.239716	0.83464	0.126706	0.133176	0.098669	0.341297	0.070632	0.092199	0.238854	0.166853	0.24101	0.148273	0.131019
BTLA	0.004939	0.00381	0.0	0.000918	0.000449	0.001504	0.00592	0.006506	0.006952	0.000509	0.013071	0.001808	0.048121	0.000449	0.003263	0.026786	0.016705	0.000918	0.023973	0.002286	0.006076
BTN2A2	0.313733	0.154075	0.2099	0.223297	0.260141	0.173055	0.480536	0.66096	0.68086	0.153629	0.960179	0.406401	0.37514	0.206178	0.193524	0.47339	0.466691	0.1896	0.593971	0.140677	0.172954
BTNL8	0.014924	0.007292	0.005142	0.016329	0.037494	0.022748	0.021813	0.006669	0.011156	0.018884	0.035275	0.043502	0.019071	0.021614	0.018448	0.042006	0.0	0.041321	0.057213	0.010246	0.010533
BUB1B	0.031043	0.068428	0.009179	0.157572	0.186426	0.235118	0.084492	0.013185	0.034728	0.133185	0.050487	0.157302	0.328411	0.034631	0.106284	0.12573	0.050236	0.19694	0.132381	0.026843	0.270271
C10ORF116	0.171437	0.110229	0.12812	0.112575	0.008137	0.07004	0.004113	0.065247	0.000813	0.021499	0.000275	0.032397	0.0086	0.163129	0.081742	0.001929	0.124445	0.024997	0.002472	0.442512	0.132567
C10ORF128	0.041332	0.02121	0.007573	0.023801	0.003892	0.023846	0.02551	0.008673	0.150169	0.001765	0.095539	0.014595	0.063895	0.018706	0.015272	0.086277	0.073935	0.004916	0.057013	0.036171	0.028767
C10ORF55	0.001065	0.00653	0.013816	0.002886	0.000479	0.002366	0.002413	0.009262	0.00165	0.003407	0.000994	0.000284	0.000674	0.001325	0.003407	0.000284	0.023706	0.003797	0.003992	0.003123	0.004773
C10ORF99	0.010569	0.042472	0.00952	0.160129	0.261503	0.24703	0.061852	0.180161	0.076363	0.014858	0.005244	0.039562	0.01815	0.020569	0.634455	0.014031	0.048971	0.565349	0.001823	4.2e-05	0.077827
C11ORF45	0.01221	0.007784	0.014194	0.015638	0.006105	0.013919	0.013487	0.006487	0.0	0.029304	0.008578	0.001145	0.000916	0.01946	0.020147	0.007402	0.051129	0.014042	0.009463	0.003892	0.012515
C12ORF39	0.015059	0.016813	0.011024	0.010527	0.010553	0.010088	0.011513	0.006177	0.013579	0.01155	0.014102	0.011916	0.013743	0.022808	0.01155	0.016989	0.007493	0.010088	0.016155	0.04324	0.010892
C13ORF15	0.425412	0.402761	0.39941	0.192455	0.223496	0.424457	0.102379	0.215789	0.447929	0.063999	0.551243	0.207579	0.828489	0.522048	0.269633	0.173904	0.603136	0.142742	0.434258	1.0	0.612383
C13ORF18	0.017568	0.019304	0.006126	0.007234	0.005531	0.078332	0.031291	0.036892	0.056258	0.001166	0.045676	0.031291	0.023438	0.004216	0.007068	0.050678	0.038657	0.003307	0.03564	0.008259	0.055266
C17ORF44	0.077408	0.127331	0.04308	0.104722	0.050484	0.086664	0.10744	0.040948	0.060275	0.118917	0.124397	0.055532	0.210349	0.135082	0.133782	0.171339	0.238284	0.089615	0.142196	0.123405	0.124527
C17ORF58	0.343532	0.184075	0.036926	0.072575	0.057825	0.098978	0.221834	0.027597	0.264701	0.034983	0.247043	0.136629	0.204712	0.144902	0.143231	0.21406	0.268886	0.108927	0.101477	0.213875	0.161864
C19ORF59	0.001362	0.003786	0.001647	0.000554	0.001609	0.05902	0.009144	0.004689	0.08536	0.001275	0.00811	0.002954	0.00178	0.00064	0.00087	0.003439	3.8e-05	0.001338	0.111954	0.0	0.006019
C19ORF77	0.011691	0.008851	0.005502	0.013635	0.01594	0.012965	0.013799	0.009807	0.023442	0.014053	0.014771	0.026101	0.024818	0.013814	0.013637	0.013396	0.0	0.018419	0.027803	0.007368	0.007385
