Gene	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
ABO	1.2e-05	9e-05	0.000152	0.002402	0.007457	0.003713	0.000243	0.020636	0.002755	0.070458	0.025014	0.004341	1.5e-05	6e-06	9e-05	5e-06	0.000269	4e-05	0.001216	9.4e-05	0.00075	2.7e-05	3e-05	2.7e-05	6e-06	9e-06	0.000615	1.5e-05	0.0	3.7e-05	0.001	0.016858	0.003469	2.5e-05
ACE	0.003313	0.001716	0.039447	0.00044	0.000438	0.28457	0.115939	0.546947	0.014935	0.001912	0.001248	1.0	0.015637	0.012728	0.10911	0.08386	0.004736	0.04253	0.0	0.002426	0.026977	0.073217	0.2673	0.010142	0.015428	0.118652	0.037455	0.05565	0.017398	0.070765	0.029337	0.004233	0.044686	0.047157
ACER1	0.000591	3.3e-05	5.1e-05	5e-06	6e-06	7.5e-05	7.8e-05	3e-06	0.000991	1.1e-05	7.7e-05	7.8e-05	0.007046	8e-06	0.00064	8e-06	8.6e-05	0.0	1e-06	3.4e-05	0.000228	0.000689	1.5e-05	1.4e-05	0.000437	0.00081	8e-06	1.1e-05	0.000406	1.7e-05	1.5e-05	0.027777	0.013918	0.004086
ACOX2	0.116221	3e-05	5.1e-05	0.024624	0.0	0.040933	0.052333	0.024832	0.015649	0.003275	0.001951	0.481896	0.322105	0.318906	0.361952	0.380948	0.020405	0.288243	0.001634	0.017913	0.123679	0.444596	0.314778	0.181872	0.467399	0.625925	0.482067	0.426079	0.319703	0.386171	0.121352	8.3e-05	3e-06	9e-06
ACP5	0.000134	0.01377	0.103908	0.015008	0.011468	6.6e-05	0.000224	0.00013	0.004344	0.000505	0.015046	4.1e-05	0.000162	0.000683	0.000233	0.005168	0.012235	1.0	0.006548	0.060266	0.0	0.000547	0.000145	0.000593	0.000147	0.000287	0.000718	0.002182	0.000756	0.000212	0.002006	0.012063	0.011747	0.010982
ACSF2	0.04564	0.118044	0.31292	0.071414	0.027937	0.018531	0.065122	0.016554	0.214935	0.1678	0.101329	0.22132	0.0	0.106399	1.0	0.080144	0.141634	0.305191	0.036518	0.09338	0.063939	0.379277	0.024684	0.147928	0.037762	0.404441	0.19202	0.338602	0.12529	0.229403	0.108476	0.046824	0.04694	0.052257
ACSL4	0.20017	0.025355	0.031269	0.146907	0.032609	0.192719	0.151568	0.091769	0.265746	0.322158	0.093193	0.14362	0.069366	1.0	0.279599	0.229413	0.116182	0.241977	0.186191	0.121591	0.158883	0.170159	0.290276	0.366219	0.199793	0.20319	0.326486	0.156402	0.230496	0.341611	0.274696	0.021293	0.032408	0.038664
ACSL6	0.002114	0.001314	0.001207	0.002933	0.008807	0.001012	0.001973	0.016278	0.004406	0.000525	0.00137	0.00252	0.001099	0.005124	2.1e-05	0.032419	0.007459	0.044557	0.002496	0.016304	0.003797	0.000988	0.0	0.000734	0.002817	0.002316	0.001236	0.001998	0.001112	0.004549	0.001649	1.0	0.664935	0.774336
ACSM5	0.006892	3.5e-05	0.002344	0.000916	6e-06	0.00119	0.003364	0.038738	5.7e-05	0.070742	0.003943	1.0	1.1e-05	9e-06	3.5e-05	0.003364	9.1e-05	0.052876	1e-06	0.007287	0.000241	0.178756	0.038469	0.00193	0.002592	1e-05	0.00118	0.000912	0.001046	0.000756	0.008941	0.0	9e-06	1.5e-05
ACSS3	0.246988	4.3e-05	7.1e-05	0.006957	0.000242	0.003775	0.017211	0.004442	0.291404	0.224612	0.024856	0.29335	0.046199	1.0	0.507798	0.453395	0.089407	0.002851	0.564271	0.003751	0.39182	0.613007	0.149377	0.278898	0.748957	0.41388	0.489903	0.257738	0.211668	0.33672	0.239175	0.0	6e-06	1.4e-05
ACTA2	0.021012	0.0	0.000688	0.002502	0.002406	0.0166	0.02449	0.010396	0.253069	0.018765	0.004994	0.187454	0.116173	0.047504	0.096399	0.13276	0.011716	0.013552	0.007908	0.020036	0.126003	0.564172	0.041091	0.337603	0.112888	0.051138	0.143711	0.192443	1.0	0.060282	0.150548	0.000109	0.001219	0.002716
ACTB	0.025717	0.00015	0.0	0.007771	0.005797	0.039085	0.023009	0.008394	0.053247	0.023009	0.006183	0.002633	0.365601	0.005048	0.039085	0.057327	0.014192	0.009259	0.009562	0.069482	0.017466	0.028454	0.032712	0.014192	0.011761	0.001915	0.003418	0.014192	0.053247	0.032712	0.045838	0.001103	0.000688	0.001426
ACVR1C	0.004176	0.002682	0.019605	2.6e-05	0.000405	0.001088	9.8e-05	0.000669	0.018546	0.008486	0.010277	0.005912	0.005551	0.011124	0.016133	0.078976	0.008171	0.000263	0.000775	0.023069	0.000341	0.005972	0.002436	0.013589	0.003185	0.009422	0.001615	0.007952	0.017337	0.00968	0.00745	0.229547	0.117732	0.03955
ACVR2A	0.07458	0.042327	0.02016	0.201948	0.149449	0.076738	0.030473	0.053698	0.25148	0.100675	0.103319	0.128902	0.283525	0.207325	0.475681	0.249095	0.031567	0.107899	0.0	0.060132	0.032228	0.361256	0.163223	0.143597	0.036346	0.248236	0.681891	0.22972	0.066936	0.086651	0.097212	0.135784	0.200751	0.073958
ACVRL1	0.015242	4e-06	7e-06	0.008847	1e-06	1.0	0.920463	0.956685	0.00059	0.003213	0.00082	0.513067	0.094083	0.059113	0.105394	0.444835	0.001377	0.00949	0.0	0.002339	0.057165	0.017883	0.223446	0.081559	0.129373	0.158086	0.064336	0.289519	0.036501	0.323662	0.018454	0.000992	1e-06	2e-06
ADAM12	0.500699	0.000114	3.5e-05	0.0	0.00107	0.002094	0.000945	0.002543	0.016379	0.041986	0.002918	0.075151	0.21049	0.068909	0.20234	0.246648	0.001783	0.001545	0.000824	0.048568	0.048109	1.0	0.479351	0.137089	0.032047	0.029338	0.145363	0.111327	0.2463	0.063728	0.177758	0.000154	0.012717	0.003801
ADAM23	0.014807	0.061218	0.000181	0.00353	2.1e-05	0.466131	0.719673	0.07011	0.878662	0.000983	0.010349	0.289679	0.134894	0.120849	0.15328	0.037437	0.180521	0.0	0.000513	0.471431	0.193046	0.011218	0.204009	0.200004	0.304196	0.563541	0.435635	0.096688	1.0	0.483004	0.409083	0.04926	0.580155	0.032282
ADAM28	0.000945	1.0	0.38214	0.031359	0.015299	0.000631	8e-06	0.000693	5e-06	0.002113	0.025522	8e-06	0.000515	0.000586	0.00109	0.004311	9e-06	0.032317	0.051087	3e-06	2.6e-05	0.001291	0.001444	0.001181	0.000585	0.000313	0.002629	0.00118	0.001683	1e-06	0.00083	0.001318	0.0	0.000285
ADAMDEC1	3.5e-05	0.001289	0.002723	0.004106	1e-06	0.0	1.1e-05	0.0	7e-06	2e-06	0.0	1.1e-05	1e-06	9.4e-05	4e-06	1e-06	1.2e-05	0.095243	0.000235	5e-06	3.1e-05	0.001201	2e-06	2e-06	5.9e-05	1e-06	0.000436	0.000174	1e-06	6.1e-05	2e-06	0.0	1e-06	2e-06
ADAMTS10	0.38353	0.024491	0.001195	0.038383	0.994794	0.082931	0.178317	0.193342	0.011729	0.060672	0.001063	0.139728	0.130788	0.215283	0.280923	0.497547	0.0	0.005338	0.004609	0.019455	0.075411	1.0	0.0449	0.165545	0.344489	0.168789	0.171472	0.383144	0.438161	0.116586	0.148939	0.650536	0.187621	0.422915
ADAMTS17	0.092606	4.8e-05	8.7e-05	0.010496	0.099811	0.011379	0.003994	0.009032	0.044861	0.024571	0.034667	0.016031	0.0	0.003774	0.009922	0.004467	0.028469	0.000483	0.08491	0.01446	0.025084	0.003176	0.011508	0.016989	0.499217	0.001723	0.001193	0.083628	0.153465	0.00391	0.005256	0.334397	0.254093	0.173557
ADAMTS5	1.0	9e-06	1.5e-05	0.010777	2e-06	0.000121	0.001939	0.00344	0.091675	0.12426	0.000938	0.041517	0.036767	0.014689	0.054554	0.131581	2.4e-05	4e-06	0.000164	0.001319	0.017985	0.157296	0.123183	0.01666	0.019747	0.034156	0.114818	0.021511	0.031292	0.028087	0.014463	0.0	2e-06	4e-06
ADAMTS6	0.684886	0.026668	0.087949	0.000373	0.005949	0.348434	0.084647	0.300414	0.329943	0.087845	0.090877	0.010581	0.141637	0.230601	0.241101	0.433584	0.123244	0.009368	2.7e-05	0.003301	0.108756	0.726288	0.266719	1.0	0.140288	0.249621	0.348736	0.420579	0.422502	0.177618	0.770732	0.042996	0.014828	0.015596
ADAMTSL5	0.077983	7e-05	0.00011	0.000474	0.006322	0.011544	0.002772	0.000958	0.159221	0.064965	0.173364	0.24498	0.853761	0.059236	0.065366	0.22278	0.260867	0.002391	0.0	0.075498	0.271925	0.019943	0.075794	0.078387	0.094178	0.16972	0.090778	0.070217	0.16589	0.211536	0.125933	0.118939	0.100263	0.098924
ADARB1	0.136059	0.907826	0.08725	0.032667	0.103957	0.190407	0.219528	0.257828	0.939337	0.021767	0.127699	0.035581	0.183254	0.228627	0.028848	0.128839	0.235448	0.115063	0.0	0.088994	0.108681	0.195298	0.030165	0.048441	0.050396	0.033354	1.0	0.11054	0.076252	0.008227	0.045887	0.20001	0.299652	0.244374
ADCY1	0.011286	0.000113	0.011304	0.0	2e-05	0.018646	0.011286	0.040057	0.145987	0.017263	0.072847	0.046561	0.004024	0.053682	0.012646	0.11587	0.033609	0.09832	4e-06	1.0	0.027827	0.020689	0.053233	0.008365	0.003729	0.097351	0.011828	0.059821	0.005998	0.700257	0.017169	8e-06	0.001365	0.001274
ADCY4	1.0	0.025187	0.029157	0.050414	0.019663	0.401847	0.209389	0.622127	0.006977	0.008916	0.007648	0.015699	0.004421	0.032791	0.029651	0.172426	0.005928	0.013496	0.266051	0.002902	0.0	0.151819	0.050088	0.091297	0.023675	0.060501	0.045896	0.10308	0.031526	0.077924	0.050562	0.019746	0.020757	0.016561
ADD3	0.203896	0.412416	0.355137	0.120935	0.324001	0.060243	0.0	0.456767	0.050168	0.212099	0.028614	0.443968	0.285247	0.098686	0.325796	0.220197	0.01172	0.00958	0.110958	0.359362	0.03813	1.0	0.312933	0.484655	0.747274	0.343183	0.192869	0.318516	0.28874	0.267025	0.068874	0.668339	0.403618	0.290288
ADM	0.233549	2.1e-05	0.0	0.021937	9e-06	0.03732	0.05588	0.106266	0.083226	0.013161	0.087326	0.050532	0.133054	0.278362	0.068441	1.0	0.009769	0.002385	0.059191	0.00456	0.087674	0.079688	0.06184	0.234863	0.030983	0.066425	0.070164	0.102768	0.082219	0.314565	0.053859	2.1e-05	6.5e-05	1.1e-05
AFAP1L1	0.003463	9e-06	1.4e-05	0.0	0.000409	0.461929	0.226308	1.0	0.073393	0.084864	0.099363	0.166811	0.004958	0.031215	0.024	0.031717	0.058215	0.453735	0.0	0.034175	0.035528	0.003903	0.060208	0.034951	0.053925	0.007067	0.012293	0.031215	0.035898	0.015124	0.025961	0.001922	2e-06	4e-06
AFF3	0.010627	1.0	0.371554	0.012056	0.001787	0.000179	0.018729	0.000155	7e-06	9.7e-05	3.6e-05	0.00063	0.002149	0.000777	0.002892	0.008637	1.1e-05	0.000173	0.001463	0.009631	0.000655	0.006601	0.000187	0.004794	0.0	0.000656	0.001371	0.000241	0.00966	0.001332	0.004752	0.052936	0.003071	0.000639
AGRN	0.016652	0.00169	0.002992	0.001545	0.001337	0.095066	0.094473	0.093658	0.391552	1.0	0.247726	0.063598	0.016098	0.046464	0.044707	0.033317	0.339539	0.015552	0.008809	0.092492	0.098119	0.019119	0.016545	0.035957	0.019586	0.038111	0.041518	0.045698	0.087325	0.061397	0.039639	0.001949	0.0	0.000155
AHR	0.824597	0.002723	0.001272	0.471	0.000324	0.148917	0.114121	0.198209	0.964252	0.195722	0.234456	0.472199	0.055556	0.118015	0.660752	0.223495	0.034763	0.06342	0.0	0.2559	0.043903	0.533184	0.184431	0.212711	1.0	0.235691	0.159936	0.123267	0.367184	0.11923	0.057973	0.046196	0.111207	0.035926
AHRR	0.105244	0.002175	0.001112	0.013483	0.006403	0.038277	0.077839	0.029498	0.008144	0.00425	0.003568	0.019163	0.134585	0.092973	0.104652	1.0	0.007664	0.008144	0.029789	0.266378	0.011858	0.334209	0.102677	0.135885	0.169346	0.203662	0.174252	0.067047	0.184912	0.416626	0.143589	0.0	0.000888	0.000986
AIM1	0.001497	0.046056	0.053	0.034552	0.02185	0.019105	0.024901	0.013821	0.073427	0.010135	0.069393	0.011924	0.002518	0.003888	0.052317	0.02354	0.076314	0.055614	0.035738	0.0	0.019105	0.010306	0.097883	0.002631	0.002458	0.005923	0.003888	0.001485	0.010139	0.009334	0.016185	0.046593	0.081546	0.058849
AIM1L	5e-06	0.021939	0.07891	0.003441	0.013783	0.002562	9.4e-05	0.007525	0.036082	0.050598	1.0	9.4e-05	6e-06	0.000842	3.5e-05	2e-06	0.109065	0.003069	0.203357	3.6e-05	0.00487	1e-05	1.1e-05	0.000788	2e-06	0.000554	0.000356	6e-06	0.0	1.5e-05	0.001893	0.021163	0.093992	0.051615
AIM2	3e-06	0.060881	1.0	0.055079	0.004969	0.000451	3.8e-05	0.0	0.001652	4e-06	4.4e-05	3.8e-05	0.020086	3e-06	1.5e-05	0.000178	0.001309	0.00024	0.230858	0.001743	0.023852	0.00376	0.008983	6e-06	3e-06	3e-06	9.3e-05	4e-06	0.000108	0.002171	0.000844	0.001766	0.031171	0.036928
AKR1C1	0.339149	0.0	2e-06	0.000189	0.00016	0.005868	0.00088	0.055858	0.008518	0.005924	0.191996	0.974945	0.058415	0.183353	0.366561	0.255046	0.057487	0.001181	0.004412	0.002694	0.014155	0.192872	0.597278	0.135533	0.531967	0.374786	0.44453	0.220669	0.137115	1.0	0.103955	0.009397	0.000887	0.000109
AKR1E2	0.129863	0.01044	0.0	0.031061	0.032587	0.198821	0.16823	0.546641	0.480841	0.092757	0.231843	0.056895	0.221776	0.192885	0.046042	0.341239	0.061047	0.048754	0.005803	0.080129	0.109578	0.358806	0.161387	1.0	0.124156	0.199505	0.282617	0.936985	0.309893	0.266032	0.322004	0.743603	0.258873	0.019776
ALDH1A1	4.3e-05	0.000398	1e-06	0.041473	0.0	0.071402	0.023611	1.0	0.00012	0.027416	0.003761	0.00097	1e-05	0.018078	0.01254	0.001241	2e-06	0.12676	0.000996	0.008043	0.264762	7.9e-05	0.002207	0.007002	0.025738	0.003852	0.107691	0.008683	0.002744	0.00417	0.051423	0.000247	0.0	0.0
ALDH6A1	0.434232	0.065429	0.046683	0.053058	0.071883	0.225509	0.0566	0.282378	0.084962	0.201189	0.275964	0.610028	0.276877	0.407049	0.298243	0.476677	0.132543	0.078488	0.0	0.305224	0.184694	0.395913	0.177193	0.350983	0.336046	0.661028	1.0	0.536118	0.480964	0.835382	0.306689	0.131724	0.069413	0.062525
ALDOC	0.150964	0.060023	0.099257	0.022634	0.142568	0.081994	0.038698	0.121383	0.186486	0.103719	0.222977	0.509303	0.105801	0.324441	0.09134	0.209135	0.247674	0.0	0.092733	0.057655	0.428918	0.039732	0.11762	0.353467	0.132831	0.218639	0.626284	0.357205	1.0	0.322629	0.307772	0.116579	0.147562	0.084255
ALOX12P2	0.000591	0.008589	0.002442	0.000211	0.113837	5e-06	0.000182	0.002215	1.0	0.059039	0.337092	0.000182	0.000589	1.9e-05	7.7e-05	1.8e-05	0.142361	0.0	0.00292	0.003415	0.00053	0.001604	0.00142	3.3e-05	1.9e-05	0.003193	0.004739	0.000678	1.5e-05	4.1e-05	0.001442	0.021457	0.052693	0.083988
ALOX15B	0.000274	4e-06	7e-06	0.007231	1e-06	4.4e-05	1e-05	0.0	0.093017	0.001613	0.089939	0.001555	1e-06	1e-06	0.000491	5.7e-05	0.126411	0.018371	1e-05	0.000144	0.001183	0.000134	0.002739	0.000346	1e-06	1e-06	0.000145	0.000116	0.00104	9.3e-05	0.000137	0.0	1e-06	2e-06
ALS2CL	0.02876	0.0	0.000469	0.034043	2.2e-05	0.042417	0.060277	0.058917	0.455945	0.126472	1.0	0.002643	0.01734	0.074968	0.000982	0.033049	0.552941	0.006215	0.001201	0.023904	0.017539	0.007413	0.002691	0.015058	0.01575	0.003534	0.007829	0.009811	0.013935	0.008233	0.010217	0.253185	0.239022	0.013473
AMIGO2	0.001389	0.031743	0.034584	0.00169	0.024549	0.029345	0.0013	0.003997	1.0	0.688188	0.192965	0.00046	0.072323	0.010481	0.005027	0.021789	0.223503	0.003625	0.003302	0.003631	0.003878	0.01633	0.003223	0.087583	0.07062	0.0	0.105443	0.228646	0.090495	0.001408	0.180633	0.061373	0.047478	0.056049
AMN	0.003235	0.188436	0.510343	0.004838	0.021421	0.004597	0.000128	0.005443	0.008291	0.046531	0.212627	0.007177	0.006792	0.001164	0.0	0.005191	0.03243	0.001111	0.054448	0.004806	0.000551	0.004882	0.002033	0.009836	0.001215	0.003955	0.015262	0.006508	0.002937	0.00474	0.013737	0.101643	0.047109	0.054627
ANGPT1	0.317231	0.004947	0.00395	0.059689	0.0	0.012049	0.008016	0.003294	0.019841	0.003616	0.002987	0.833885	0.638868	0.960595	0.170621	0.810321	8.2e-05	0.000148	0.421964	0.006296	0.322493	1.0	0.065452	0.443284	0.587485	0.397978	0.735242	0.10237	0.391207	0.373066	0.169518	0.00121	0.000898	8e-06
ANK2	0.230481	0.002293	0.010623	3.4e-05	1e-06	0.006348	0.004824	0.254469	0.145597	0.033259	0.021554	0.466847	0.066993	0.306374	0.709295	0.670951	0.010664	0.027918	0.0	0.356252	0.027628	0.242772	0.322072	0.101238	0.819599	1.0	0.14831	0.654172	0.366825	0.522175	0.231964	1.7e-05	0.000371	0.000366
ANK3	0.013624	0.021171	0.067173	0.000682	0.007812	0.015394	0.008695	0.000395	0.0442	0.066784	0.033941	0.391201	0.000354	0.00102	1.0	0.006185	0.013601	0.000264	0.0	0.012901	0.007259	0.098377	0.006903	0.262303	0.809287	0.005503	0.00899	0.069332	0.376292	0.00305	0.016759	0.200592	0.138504	0.009646
ANKRD1	0.002468	3e-06	8.4e-05	0.0	0.0	1.0	0.7776	0.713058	0.078685	0.074354	0.004624	0.002078	0.007088	3.5e-05	0.002962	0.000193	0.000154	6e-06	0.0	0.000218	0.00196	0.045557	0.043239	0.281034	0.002378	0.000464	0.00019	0.209721	0.026106	0.001277	0.001008	0.001226	1e-06	1e-06
ANKRD33B	0.065488	0.123226	0.267901	0.016453	0.021265	0.205399	0.169955	0.117798	0.002231	0.58554	0.027798	0.083694	0.053474	0.218984	0.347772	0.331714	0.035596	0.0	0.362198	0.001805	0.106205	0.172394	0.132979	0.073819	0.501566	0.679176	0.3972	0.323106	0.11789	0.571754	0.044415	0.00461	0.047716	0.018065
ANKRD36BP2	0.005588	0.016268	0.07889	0.000481	0.003504	0.012253	0.078711	1.0	0.002496	0.056094	0.00864	0.001257	0.001052	0.00156	0.001571	0.004563	0.0	0.000254	0.001349	0.001446	0.000123	0.001549	0.000706	0.002379	0.000583	0.002817	0.001451	0.000249	0.000114	0.00103	0.002504	0.689844	0.01906	0.01007
ANKRD37	0.124438	0.365572	0.408045	0.145784	0.292091	0.148834	0.101254	0.263323	0.017756	0.092986	0.29321	0.136419	0.344114	0.078666	0.051249	0.04366	0.161676	0.077038	0.346384	0.196206	0.0	0.352296	0.09439	0.600564	0.07194	0.025523	0.341768	0.224196	0.397578	0.050519	0.086126	0.077499	0.311595	0.351812
ANO10	0.37239	0.001802	0.0	0.141033	0.024273	0.262203	0.629277	0.276839	0.301232	0.38724	0.179909	0.233261	0.483938	1.0	0.231855	0.336304	0.183866	0.205223	0.252497	0.134732	0.369321	0.415609	0.176008	0.392216	0.324593	0.405265	0.548443	0.245409	0.477102	0.527695	0.904821	0.017968	0.028622	0.015619
ANO5	0.000475	0.003707	5e-05	0.06549	0.003357	0.038746	0.010579	0.003127	0.00115	0.094738	0.003697	0.001589	3e-06	0.032887	0.002001	0.006421	9e-05	1.0	0.000255	0.176667	0.000257	0.011938	8e-06	0.000372	0.023001	1e-06	0.002464	0.003306	0.024154	1e-05	0.009385	8e-06	0.0	0.000427
ANPEP	0.069798	4.1e-05	0.003197	0.25087	0.000295	0.042486	0.153062	0.016159	0.005573	0.069908	0.002773	0.220516	0.776747	0.069798	0.076935	0.467964	0.078636	0.138171	0.568654	0.004906	0.393951	0.147489	1.0	0.046784	0.062896	0.087162	0.110612	0.036016	0.246645	0.244615	0.176175	0.000299	0.0	1e-06
ANXA3	0.000718	0.000113	0.000185	0.000386	0.0	0.201242	0.255642	0.077544	0.572013	0.431392	1.0	0.000592	0.003743	0.007839	0.018977	0.002095	0.551604	0.000182	0.160211	0.007548	0.025439	0.00203	0.002757	0.022708	0.00511	0.006306	0.023044	0.006402	0.038358	0.003739	0.004298	5.1e-05	0.0	1e-06
AP1M2	0.000144	1.1e-05	2e-05	0.000153	0.005916	0.000163	3.2e-05	0.000365	1.0	0.225593	0.90317	0.000623	0.001433	0.000538	0.00029	0.000101	0.736291	0.03322	0.095898	0.00046	0.072435	0.00334	0.000365	0.011331	0.00092	0.000696	0.000339	0.008991	0.000426	4e-06	0.005145	0.000852	0.0	2e-06
AP1S3	1.0	0.168631	0.344107	0.025057	0.039967	0.055052	0.108217	0.036724	0.419592	0.520963	0.931528	0.013183	0.028903	0.036407	0.135394	0.023586	0.26002	0.056305	0.072361	0.108672	0.050211	0.027027	0.053211	0.279112	0.345906	0.012906	0.066248	0.091937	0.461997	0.031458	0.082868	0.015499	0.020947	0.036941
APCDD1	0.00718	0.00045	3e-06	0.00258	0.0	0.000182	0.000156	7.7e-05	0.021967	1.6e-05	0.000113	0.054627	0.000156	0.009017	5.9e-05	0.469529	0.003404	0.000367	9e-05	0.001311	0.00031	0.00184	0.000566	0.000137	0.002095	4.7e-05	0.000671	0.005944	0.003439	0.001939	1e-06	0.0	0.0	1e-06
APLP2	0.313896	0.15476	0.01412	0.307566	0.035639	0.425481	0.39424	0.704687	0.277393	0.517086	0.366596	0.285166	0.175241	0.267416	0.575557	0.63314	0.252497	0.483958	0.10468	0.060656	0.183126	0.177385	0.166825	0.263485	1.0	0.354367	0.221121	0.300732	0.449021	0.445397	0.336767	0.0	0.004222	0.005227
APOBEC3A	1e-06	9e-05	3e-06	0.179564	8.5e-05	0.0	8.1e-05	0.0	3e-06	0.000564	0.000968	4e-06	1.9e-05	0.0	2e-06	0.0	5e-06	0.004123	1.0	2e-06	1.2e-05	1e-06	1e-06	1e-06	0.0	4.7e-05	0.0	1e-06	0.0	1e-06	1e-06	0.0	0.0	1e-06
