Gene	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
ACVR1C	0.066349	0.042871	0.308864	0.001122	0.00708	0.017809	0.002251	0.011232	0.292219	0.134099	0.162241	0.093629	0.087968	0.17556	0.254286	1.242059	0.129141	0.004848	0.012899	0.363314	0.006073	0.094574	0.038996	0.214307	0.05077	0.148814	0.026099	0.125706	0.273221	0.152862	0.117812	3.608739	1.851226	0.622365
ACVR2A	3.067192	1.777591	0.891282	8.159879	6.060759	3.153487	1.303629	2.232233	10.140335	4.110555	4.216309	5.239181	11.421616	8.374851	19.104771	10.04499	1.347366	4.399416	0.085197	2.489493	1.37378	14.529614	6.611492	5.826775	1.538439	10.010652	27.349846	9.270312	2.761542	3.549829	3.972129	5.514356	8.112006	3.042313
ACVRL1	2.852824	0.001096	0.001565	1.655885	0.000407	187.145346	172.260467	179.039123	0.110728	0.601566	0.153821	96.01818	17.607405	11.062942	19.724223	83.248914	0.257922	1.776311	0.000284	0.438084	10.698512	3.347012	41.817165	15.263695	24.211729	29.5853	12.040388	54.182298	6.831182	60.572054	3.453873	0.185986	0.000472	0.000604
ADAM12	82.005293	0.055441	0.042655	0.036856	0.21195	0.379643	0.191485	0.453132	2.718188	6.910374	0.514523	12.339646	34.495703	11.317792	33.161533	40.415194	0.328714	0.289834	0.1718	7.987831	7.912709	163.744894	78.5105	22.479415	5.283127	4.839739	23.833911	18.26205	40.358215	10.469657	29.137259	0.062131	2.118699	0.65912
ADAM23	0.107707	0.44451	0.001565	0.02587	0.000407	3.382961	5.222916	0.509044	6.376696	0.007386	0.075355	2.102449	0.97918	0.877255	1.112603	0.271934	1.310293	0.000254	0.003977	3.421424	1.401188	0.08166	1.480742	1.451683	2.207798	4.089862	3.16165	0.70192	7.257243	3.505405	2.968964	0.357733	4.210432	0.234525
ADAM28	0.20559	217.110568	82.966985	6.808856	3.322143	0.137561	0.002251	0.150852	0.001631	0.459315	5.541654	0.002248	0.112324	0.127691	0.237133	0.93654	0.002444	7.016833	11.092032	0.001126	0.006073	0.280708	0.313914	0.256961	0.127425	0.068384	0.571235	0.256662	0.365914	0.000701	0.180654	0.28673	0.000472	0.062271
ADAMDEC1	0.006741	0.24223	0.5115	0.771239	0.000407	0.00031	0.002251	0.000333	0.001631	0.000537	0.000284	0.002248	0.000529	0.017984	0.001095	0.000455	0.002444	17.884824	0.044342	0.001126	0.006073	0.225849	0.000642	0.00062	0.011406	0.000485	0.082129	0.032868	0.000418	0.011651	0.000639	0.000254	0.000472	0.000604
ADAMTS10	7.897712	0.506601	0.02704	0.792592	20.48107	1.709644	3.67324	3.982547	0.243898	1.25142	0.024334	2.878866	2.694826	4.434216	5.785467	10.244839	0.002444	0.112324	0.097332	0.402935	1.554845	20.588237	0.926749	3.410311	7.094033	3.477106	3.532335	7.88977	9.022327	2.402461	3.068475	13.394238	3.864776	8.708485
ADAMTS17	1.097432	0.001096	0.001565	0.124858	1.182767	0.135312	0.047836	0.107516	0.531896	0.291572	0.411147	0.190412	0.000529	0.045233	0.118056	0.053438	0.337745	0.00625	1.006278	0.1718	0.297639	0.038149	0.136839	0.201756	5.91366	0.02094	0.014659	0.991082	1.818289	0.046837	0.062788	3.961394	3.010218	2.056276
ADAMTS5	90.201334	0.001096	0.001565	0.972315	0.000407	0.011209	0.175189	0.310569	8.269466	11.208603	0.084892	3.745135	3.316696	1.325227	4.921097	11.869017	0.002444	0.000649	0.015023	0.119272	1.622523	14.188525	11.111465	1.502965	1.781441	3.081193	10.356969	1.940555	2.82286	2.533764	1.304813	0.000254	0.000472	0.000604
ADAMTS6	58.228902	2.356644	7.558398	0.124614	0.597875	29.669446	7.278116	25.593301	28.099841	7.549583	7.80697	0.991082	12.115703	19.667332	20.558615	36.897313	10.554375	0.888149	0.09523	0.373152	9.324636	61.743224	22.733143	84.977041	12.001168	21.281816	29.695097	35.793397	35.956619	15.169876	65.515836	3.742637	1.351583	1.416791
ADAMTSL5	0.906117	0.001096	0.001565	0.00579	0.073721	0.134375	0.032485	0.011415	1.849764	0.754901	2.014055	2.845931	9.917425	0.688354	0.759568	2.588052	3.03047	0.028062	0.000284	0.877255	3.158911	0.231937	0.880691	0.910812	1.094244	1.971724	1.054746	0.815909	1.927229	2.457454	1.4631	1.381856	1.164926	1.149369
ADARB1	5.80657	35.841797	3.907046	1.782817	4.557225	7.921671	9.054965	10.545517	37.0681	1.358609	5.48121	1.896213	7.64329	9.409067	1.63421	5.525593	9.674551	4.989475	0.5115	3.974923	4.741084	8.112006	1.685437	2.396691	2.472796	1.809544	39.428956	4.813444	3.47904	0.83169	2.297292	8.295369	12.173176	10.021927
ADCY1	0.08462	0.001096	0.084756	0.000254	0.000407	0.139641	0.08462	0.299697	1.091565	0.129305	0.544812	0.348315	0.030333	0.401548	0.094784	0.866426	0.251491	0.735232	0.000284	7.475632	0.208269	0.15491	0.398188	0.062788	0.028129	0.727989	0.088671	0.447436	0.045091	5.234936	0.128596	0.00031	0.010455	0.009778
ADCY4	40.123141	1.016507	1.175761	2.028554	0.794898	16.127008	8.406127	24.963995	0.285953	0.363758	0.312886	0.635873	0.183435	1.321548	1.19557	6.923302	0.243898	0.547497	10.679249	0.122497	0.006073	6.096615	2.015456	3.668626	0.95585	2.433189	1.847299	4.141323	1.270819	3.132148	2.034489	0.798221	0.838799	0.670463
ADD3	90.818828	174.485425	151.503023	57.531753	139.009916	33.179643	9.007724	192.280955	29.137259	94.110342	20.488602	187.145346	123.460191	48.604376	139.730262	97.359393	13.710142	12.85146	53.52867	153.19806	24.307167	410.247621	134.569062	203.470569	308.844029	146.706625	86.39452	136.808932	124.861543	116.148673	36.642872	277.172025	170.955473	125.482698
ADM	316.624497	0.029391	0.001565	29.74103	0.013659	50.596595	75.757633	144.066032	112.830866	17.843572	118.389305	68.507656	180.382582	377.377304	92.78771	1355.70379	13.245081	3.234717	80.246489	6.183686	118.86112	108.035233	83.838844	318.405245	42.005708	90.053981	95.123492	139.325041	111.466275	426.458043	73.018113	0.03062	0.090344	0.016271
AFAP1L1	0.325249	0.001096	0.001565	0.000254	0.038602	43.348401	21.237343	93.841861	6.88754	7.964004	9.324636	15.654066	0.465506	2.929487	2.252456	2.976635	5.463238	42.579461	0.000284	3.207288	3.334293	0.366545	5.650227	3.280149	5.060678	0.663465	1.153809	2.929487	3.369015	1.41952	2.436477	0.180654	0.000472	0.000604
AFF3	1.865464	175.492368	65.205217	2.116245	0.314147	0.031912	3.287237	0.027752	0.001631	0.017503	0.006769	0.111036	0.377524	0.136839	0.508017	1.516228	0.002444	0.030764	0.25721	1.690667	0.11545	1.158922	0.033247	0.841688	0.000464	0.115568	0.241101	0.042826	1.695701	0.234133	0.834419	9.290237	0.539487	0.112643
AGRN	6.682767	0.856174	1.363137	0.79973	0.718956	37.21761	36.986724	36.669527	152.671796	389.60669	96.664886	24.963995	6.466774	18.291545	17.607405	13.172082	132.417516	6.254346	3.628406	36.21547	38.406385	7.64329	6.641034	14.200078	7.824967	15.038826	16.365644	17.993321	34.203439	24.106653	15.633843	0.95698	0.198205	0.25838
AHR	227.5158	3.783623	3.388513	131.258791	3.130613	43.580828	34.108618	56.999196	265.533003	56.322261	66.866297	131.585195	18.165818	35.168575	182.913604	63.882525	12.505615	20.306631	3.042313	72.703868	14.993546	148.186786	53.2486	60.946918	275.264308	67.202453	46.580496	36.598313	102.997982	35.499263	18.823827	15.617922	33.315221	12.822279
AHRR	6.586525	0.15114	0.084756	0.857156	0.415146	2.405266	4.875415	1.857132	0.523835	0.280708	0.238127	1.2118	8.41847	5.820324	6.549522	62.452822	0.493842	0.523835	1.87527	16.647287	0.755746	20.882526	6.426226	8.499646	10.588894	12.731461	10.895171	4.201596	11.560787	26.028435	8.980665	0.015332	0.070767	0.076912
AIM1	1.049508	22.098025	25.378475	16.663835	10.663779	9.367095	12.105008	6.871076	35.027837	5.129798	33.122172	5.974895	1.531479	2.178808	25.055736	11.462004	36.39181	26.613428	17.224099	0.342166	9.367095	5.210376	46.580496	1.584776	1.503443	3.140018	2.178808	1.043434	5.131772	4.751261	7.987831	22.351977	38.863081	28.141488
AIM1L	0.000507	0.427576	1.536818	0.067416	0.268782	0.050301	0.002251	0.146936	0.702957	0.985577	19.470768	0.002248	0.000529	0.016819	0.001095	0.000455	2.123953	0.060165	3.959842	0.001126	0.09523	0.00062	0.000642	0.015759	0.000464	0.011209	0.007358	0.000529	0.000418	0.000701	0.037268	0.412478	1.830471	1.005378
AIM2	0.000507	3.092557	50.791497	2.797841	0.25273	0.023242	0.002251	0.000333	0.084232	0.000537	0.002572	0.002248	1.020504	0.000465	0.001095	0.009365	0.066798	0.012532	11.725905	0.088878	1.2118	0.191287	0.456607	0.00062	0.000464	0.000485	0.005056	0.000529	0.005796	0.110612	0.043188	0.090018	1.583532	1.875946
AKR1C1	98.181216	0.001096	0.001565	0.05573	0.04754	1.699877	0.255962	16.171387	2.466832	1.716114	55.581883	282.237761	16.911513	53.079995	106.116816	73.834263	16.643123	0.343063	1.278326	0.781026	4.098759	55.835556	172.9071	39.236536	154.000288	108.497969	128.688108	63.882525	39.694462	289.490983	30.094966	2.721434	0.257922	0.032783
AKR1E2	2.008164	0.16288	0.001565	0.481516	0.505092	3.073669	2.600996	8.448058	7.431335	1.434815	3.583918	0.880691	3.428357	2.981957	0.712983	5.274261	0.944837	0.754901	0.091234	1.239696	1.694723	5.545699	2.495264	15.453188	1.919979	3.084234	4.368456	14.479501	4.789917	4.112191	4.977049	11.491444	4.001567	0.307134
ALDH1A1	0.046881	0.427576	0.001565	44.553913	0.000407	76.705446	25.364901	1074.271573	0.128886	29.452341	4.040462	1.042544	0.01166	19.421117	13.472105	1.333285	0.002444	136.175189	1.07028	8.641006	284.426593	0.085197	2.371361	7.522077	27.650069	4.138123	115.690264	9.328363	2.948269	4.479707	55.242492	0.265544	0.000472	0.000604
ALDH6A1	11.95204	2.965909	2.50916	2.664491	3.123179	6.866379	2.75079	8.252038	3.441857	6.273795	8.095753	16.235433	8.118002	11.289708	8.63859	12.986248	4.601208	3.284117	1.371701	8.808691	5.8719	11.01838	5.689134	9.923636	9.559688	17.478095	25.737365	14.434563	13.090717	21.726338	8.844379	4.581237	3.062999	2.895167
ALDOC	15.160534	6.302192	10.123859	2.660141	14.342656	8.442288	4.22497	12.279063	18.620705	10.55852	22.175192	50.065665	10.761326	32.058544	9.352658	20.826874	24.58083	0.455436	9.488384	6.071485	42.23552	4.325693	11.912591	34.885941	13.394238	21.752619	61.460495	35.250106	97.863436	31.882088	30.434927	11.811181	14.829199	8.662538
ALOX12P2	0.006741	0.094479	0.02704	0.002572	1.249096	0.00031	0.002251	0.02455	10.970691	0.647934	3.698305	0.002248	0.006718	0.000465	0.001095	0.000455	1.562014	0.000254	0.032287	0.037714	0.006073	0.017853	0.015826	0.00062	0.000464	0.035284	0.052244	0.007695	0.000418	0.000701	0.016075	0.235643	0.578321	0.921639
ALOX15B	0.053969	0.001096	0.001565	1.416791	0.000407	0.008946	0.002251	0.000333	18.222018	0.316172	17.619102	0.304926	0.000529	0.000465	0.096404	0.011481	24.763845	3.599106	0.002116	0.028498	0.231937	0.026425	0.536833	0.068093	0.000464	0.000485	0.028688	0.023026	0.203989	0.018469	0.027159	0.000254	0.000472	0.000604
ALS2CL	1.526592	0.018049	0.042655	1.8037	0.019184	2.242974	3.179766	3.10841	23.933752	6.651875	52.471115	0.156686	0.927598	3.95035	0.069566	1.751552	29.021486	0.344026	0.081065	1.271866	0.938002	0.406867	0.159174	0.807878	0.844194	0.20341	0.42871	0.532678	0.748992	0.449922	0.553951	13.29838	12.55546	0.72477
AMIGO2	0.400562	4.378108	4.750413	0.439985	3.435345	4.063933	0.3888	0.742251	131.258791	90.398799	25.504679	0.278828	9.695749	1.591878	0.877255	3.073669	29.506413	0.693483	0.651188	0.694267	0.726654	2.358434	0.640798	11.695351	9.472569	0.218495	14.035779	30.180287	12.076983	0.402935	23.888655	8.260862	6.440021	7.563111
AMN	0.030343	1.704709	4.615007	0.044834	0.194763	0.042655	0.002251	0.050301	0.076052	0.421774	1.923418	0.065977	0.062498	0.01162	0.001095	0.048023	0.294288	0.011143	0.493346	0.044547	0.006073	0.045233	0.019478	0.090018	0.012076	0.036856	0.139079	0.059935	0.02765	0.043952	0.125293	0.920032	0.426996	0.494965
ANGPT1	7.862396	0.123021	0.098299	1.479688	0.000407	0.299025	0.19908	0.082043	0.492139	0.090018	0.074446	20.666699	15.833585	23.806978	4.228923	20.082724	0.002444	0.004077	10.458008	0.15644	7.992813	24.783565	1.622523	10.986386	14.560139	9.863562	18.222018	2.537448	9.695749	9.246165	4.201596	0.030393	0.022666	0.000604
ANK2	27.566022	0.274535	1.270819	0.004327	0.000407	0.759568	0.577188	30.434927	17.413769	3.978091	2.578161	55.835556	8.01267	36.642872	84.832561	80.246489	1.275667	3.339322	0.000284	42.60829	3.304616	29.035956	38.520365	12.108373	98.024998	119.601057	17.738218	78.239764	43.872893	62.452822	27.743309	0.002326	0.044646	0.044106
ANK3	2.768757	4.224068	13.094945	0.273221	1.648031	3.110066	1.818289	0.217758	8.664875	13.01993	6.686733	75.578844	0.209979	0.338315	192.976471	1.334306	2.764449	0.192588	0.141648	2.629384	1.541515	19.112129	1.472797	50.722779	156.200387	1.202785	1.87527	13.511363	72.703868	0.729809	3.373296	38.822727	26.850085	2.001711
ANKRD1	0.790933	0.001096	0.02704	0.000254	0.000407	320.437125	249.171809	228.490267	25.213808	23.82588	1.481877	0.666001	2.27156	0.01162	0.949239	0.062206	0.049573	0.002282	0.000284	0.070033	0.628254	14.598363	13.855736	90.053981	0.76229	0.149062	0.060989	67.202453	8.365523	0.409394	0.32317	0.392966	0.000472	0.000604
ANKRD33B	0.787402	1.478693	3.210892	0.200311	0.257922	2.462559	2.03818	1.413707	0.030032	7.013978	0.336144	1.005378	0.64356	2.625213	4.167181	3.974923	0.429506	0.003317	4.339909	0.024925	1.274909	2.06739	1.595468	0.887153	6.008556	8.135077	4.758985	3.871855	1.414812	6.848915	0.535097	0.058513	0.574615	0.219605
ANKRD36BP2	0.167238	0.482174	2.328788	0.016624	0.105784	0.363758	2.323511	29.490825	0.076052	1.656561	0.25721	0.039506	0.03346	0.048451	0.048777	0.137008	0.002444	0.009937	0.042222	0.045091	0.006073	0.048107	0.023264	0.072608	0.019645	0.085513	0.045233	0.009778	0.005796	0.032826	0.07628	20.344815	0.564498	0.299398
ANKRD37	2.439427	6.675099	7.421162	2.814385	5.384365	2.867957	2.03218	4.879028	0.565491	1.886956	5.404014	2.649869	6.298168	1.635414	1.153809	1.020504	3.093532	1.606817	6.338053	3.700078	0.253587	6.441906	1.911602	10.802893	1.517252	0.70192	6.25697	4.191732	7.237308	1.140991	1.766446	1.614909	5.726953	6.433392
ANO10	20.234446	1.916803	1.827747	8.798782	3.02753	14.78807	32.931995	15.511503	16.717178	20.968454	10.720358	13.357472	25.74809	51.256258	13.287998	18.450728	10.915978	11.971604	14.308277	8.487327	20.082724	22.37068	10.52754	21.214401	17.871918	21.859409	28.936458	13.957928	25.41019	27.910915	46.551699	2.715877	3.242504	2.599775
ANO5	0.010835	0.081341	0.001565	1.429279	0.073721	0.845795	0.231266	0.068696	0.025567	2.06739	0.081134	0.035131	0.000529	0.717972	0.044133	0.140567	0.002444	21.817675	0.006036	3.854852	0.006073	0.260923	0.000642	0.008583	0.502282	0.000485	0.054229	0.072608	0.527444	0.000701	0.205237	0.000639	0.000472	0.009778
ANPEP	18.233467	0.018049	0.842145	65.515836	0.084504	11.10148	39.975721	4.226941	1.462514	18.26205	0.731536	57.589541	202.835214	18.233467	20.097039	122.204331	20.541259	36.087366	148.49712	1.288387	102.877843	38.520365	261.132246	12.223827	16.431021	22.767579	28.890861	9.412137	64.41248	63.882525	46.011086	0.085513	0.007392	0.007754
ANXA3	0.27142	0.042871	0.070325	0.146117	0.000407	75.944586	96.473949	29.263756	215.864874	162.797761	377.377304	0.223991	1.412916	2.95871	7.162008	0.790933	208.163056	0.069244	60.46046	2.848684	9.600595	0.76631	1.040723	8.569894	1.928628	2.380013	8.696705	2.416187	14.47589	1.411605	1.622523	0.019696	0.000472	0.000604
AP1M2	0.008509	0.001096	0.001565	0.008979	0.329597	0.00956	0.002251	0.020758	55.634371	12.551063	50.247325	0.035131	0.080182	0.030393	0.016602	0.006081	40.96322	1.848638	5.335663	0.026055	4.030338	0.186263	0.020758	0.630849	0.051656	0.039176	0.019328	0.500685	0.024146	0.000701	0.28673	0.047867	0.000472	0.000604
AP1S3	29.939429	5.049638	10.303119	0.751291	1.197674	1.649285	3.240965	1.100585	12.562988	15.597883	27.889489	0.395792	0.866426	1.091092	4.054597	0.707239	7.785697	1.686805	2.167483	3.254579	1.504369	0.810266	1.594174	8.357272	10.356969	0.387499	1.984492	2.753554	13.832528	0.94292	2.482064	0.465136	0.628254	1.107065
APCDD1	3.123179	0.196142	0.001565	1.122444	0.000407	0.079241	0.068335	0.033604	9.554519	0.007386	0.049573	23.758866	0.068157	3.921983	0.02613	204.210907	1.480742	0.15979	0.039287	0.570643	0.135097	0.800624	0.246624	0.059672	0.91164	0.02094	0.291958	2.585475	1.4958	0.843452	0.000639	0.0003	0.000472	0.000604
APLP2	261.132246	135.309194	24.110884	256.127565	41.125383	349.358177	324.656616	570.115263	232.270332	421.786539	302.799643	238.416712	151.503023	224.381879	468.017085	513.545563	212.585911	395.593816	95.712965	60.905012	157.737328	153.19806	144.848734	221.274312	803.607708	293.130956	187.778856	250.723523	367.970126	365.104607	279.215249	12.946783	16.285278	17.079426
